,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
13035,87,52.0,,25.3,,52.0,59.0,,,,,38.8,,46.1,,,80.0,,36.6,,27.0,,59.0,46.0,,85.0,56.0,,,,,,46.6,,,,,79.5,-35.0,,-61.7,,-35.0,-28.0,,,,,-48.2,,-40.9,,,-7.0,,-50.4,,-60.0,,-28.0,-41.0,,-2.0,-31.0,,,,,,-40.4,,,,,-7.5,,False,,False,True,,,,,False,,False,,,True,,False,,False,,True,False,,True,True,,,,,,False,,,,,True
13037,35,0.0,,0.0,,3.0,0.0,,,,,5.9,,3.2,,,24.0,,4.2,,2.4,,8.0,3.3,,0.0,5.0,,,,,,0.0,,,,,3.6,-35.0,,-35.0,,-32.0,-35.0,,,,,-29.1,,-31.8,,,-11.0,,-30.8,,-32.6,,-27.0,-31.7,,-35.0,-30.0,,,,,,-35.0,,,,,-31.4,,False,,True,False,,,,,True,,True,,,True,,True,,True,,True,True,,False,True,,,,,,False,,,,,True
13039,105,101.0,,103.6,,102.0,115.0,,,,,65.6,,80.3,,,68.0,,100.5,,94.4,,112.0,101.7,,145.0,106.0,,,,,,130.4,,,,,120.6,-4.0,,-1.4,,-3.0,10.0,,,,,-39.4,,-24.7,,,-37.0,,-4.5,,-10.6,,7.0,-3.3,,40.0,1.0,,,,,,25.4,,,,,15.6,,True,,True,False,,,,,False,,False,,,False,,False,,False,,False,True,,False,True,,,,,,False,,,,,False
13043,5,3.0,,5.2,,5.0,7.0,,,,,12.4,,7.0,,,25.0,,5.0,,6.3,,0.0,4.4,,6.0,9.0,,,,,,12.4,,,,,11.2,-2.0,,0.2,,0.0,2.0,,,,,7.4,,2.0,,,20.0,,-0.0,,1.3,,-5.0,-0.6,,1.0,4.0,,,,,,7.4,,,,,6.2,,True,,True,False,,,,,False,,True,,,False,,True,,True,,False,True,,True,False,,,,,,False,,,,,False
13045,403,311.0,,116.9,,296.0,280.0,,,,,228.3,,305.7,,,396.0,,191.5,,143.6,,311.0,313.8,,446.0,362.0,,,,,295.6,313.6,,,,,395.5,-92.0,,-286.1,,-107.0,-123.0,,,,,-174.7,,-97.3,,,-7.0,,-211.5,,-259.4,,-92.0,-89.2,,43.0,-41.0,,,,,-107.4,-89.4,,,,,-7.5,,False,,False,False,,,,,False,,False,,,True,,False,,False,,False,True,,True,True,,,,,False,True,,,,,True
13047,196,180.0,,184.3,,180.0,210.0,,,,,96.0,,128.5,,,354.0,,200.5,,124.7,,178.0,162.0,,227.0,208.0,,,,,,261.7,,,,,176.8,-16.0,,-11.7,,-16.0,14.0,,,,,-100.0,,-67.5,,,158.0,,4.5,,-71.3,,-18.0,-34.0,,31.0,12.0,,,,,,65.7,,,,,-19.2,,True,,False,True,,,,,False,,False,,,False,,True,,False,,False,False,,False,True,,,,,,False,,,,,False
13049,32,20.0,,10.7,,14.0,14.0,,,,,19.3,,18.4,,,20.0,,11.0,,5.8,,8.0,17.7,,28.0,24.0,,,,,,33.3,,,,,24.3,-12.0,,-21.3,,-18.0,-18.0,,,,,-12.7,,-13.6,,,-12.0,,-21.0,,-26.2,,-24.0,-14.3,,-4.0,-8.0,,,,,,1.3,,,,,-7.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,True,True,,,,,,True,,,,,True
13051,384,352.0,,349.0,,332.0,345.0,,,,,255.4,,377.8,,,523.0,,262.0,,320.2,,326.0,331.8,,473.0,478.0,,,,,308.3,538.3,308.0,,,,340.3,-32.0,,-35.0,,-52.0,-39.0,,,,,-128.6,,-6.2,,,139.0,,-122.0,,-63.8,,-58.0,-52.2,,89.0,94.0,,,,,-75.7,154.3,-76.0,,,,-43.7,,False,,False,False,,,,,False,,True,,,False,,False,,False,,False,False,,False,False,,,,,False,False,False,,,,False
13053,52,47.0,,47.6,,47.0,58.0,,,,,50.4,,44.2,,,59.0,,2.7,,33.9,,23.0,35.5,,33.0,41.0,,,,,,60.2,,,,,58.2,-5.0,,-4.4,,-5.0,6.0,,,,,-1.6,,-7.8,,,7.0,,-49.3,,-18.1,,-29.0,-16.5,,-19.0,-11.0,,,,,,8.2,,,,,6.2,,True,,False,False,,,,,True,,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
13055,81,50.0,,45.7,,50.0,54.0,,,,,43.4,,34.6,,,133.0,,18.7,,24.3,,41.0,50.2,,43.0,63.0,,,,,,95.6,,,,,62.0,-31.0,,-35.3,,-31.0,-27.0,,,,,-37.6,,-46.4,,,52.0,,-62.3,,-56.7,,-40.0,-30.8,,-38.0,-18.0,,,,,,14.6,,,,,-19.0,,False,,False,True,,,,,False,,False,,,False,,False,,False,,False,True,,False,True,,,,,,True,,,,,True
13057,913,677.0,,694.7,,663.0,663.0,,,,,416.6,,651.8,,,774.0,,686.2,,374.7,,474.0,526.4,,810.0,757.0,,,,,674.5,705.6,536.0,,,,833.5,-236.0,,-218.3,,-250.0,-250.0,,,,,-496.4,,-261.2,,,-139.0,,-226.8,,-538.3,,-439.0,-386.6,,-103.0,-156.0,,,,,-238.5,-207.4,-377.0,,,,-79.5,,True,,False,False,,,,,False,,False,,,True,,True,,False,,False,False,,True,True,,,,,False,True,False,,,,True
13059,448,238.0,,269.8,,212.0,212.0,,,,,214.3,,224.4,,,312.0,,100.1,,140.5,,133.0,213.6,,304.0,297.0,,,,,239.7,392.5,178.0,,,,382.9,-210.0,,-178.2,,-236.0,-236.0,,,,,-233.7,,-223.6,,,-136.0,,-347.9,,-307.5,,-315.0,-234.4,,-144.0,-151.0,,,,,-208.3,-55.5,-270.0,,,,-65.1,,True,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,True,True,False,,,,True
13061,2,1.0,,1.8,,2.0,0.0,,,,,3.4,,1.4,,,7.0,,1.1,,0.2,,3.0,2.4,,,4.0,,,,,,0.3,,,,,2.0,-1.0,,-0.2,,0.0,-2.0,,,,,1.4,,-0.6,,,5.0,,-0.9,,-1.8,,1.0,0.4,,,2.0,,,,,,-1.7,,,,,-0.0,,True,,True,False,,,,,False,,True,,,False,,True,,False,,False,True,,,False,,,,,,False,,,,,True
13063,588,378.0,,369.5,,307.0,349.0,,,,,272.1,,406.0,,,643.0,,291.6,,353.8,,293.0,307.4,,480.0,460.0,,,,,390.4,361.1,288.0,,,,402.2,-210.0,,-218.5,,-281.0,-239.0,,,,,-315.9,,-182.0,,,55.0,,-296.4,,-234.2,,-295.0,-280.6,,-108.0,-128.0,,,,,-197.6,-226.9,-300.0,,,,-185.8,,False,,False,False,,,,,False,,True,,,True,,False,,False,,False,False,,True,True,,,,,True,False,False,,,,True
13065,7,3.0,,1.3,,2.0,7.0,,,,,11.1,,6.3,,,10.0,,1.1,,5.5,,0.0,1.9,,3.0,8.0,,,,,,14.7,,,,,3.0,-4.0,,-5.7,,-5.0,0.0,,,,,4.1,,-0.7,,,3.0,,-5.9,,-1.5,,-7.0,-5.1,,-4.0,1.0,,,,,,7.7,,,,,-4.0,,False,,False,True,,,,,False,,True,,,True,,False,,True,,False,False,,False,True,,,,,,False,,,,,True
13067,2151,1369.0,,1573.8,1328.3,1337.0,1170.0,,,,,963.2,,1458.0,,,1702.0,,1371.4,,1171.8,,1345.5,1191.2,,2138.0,1597.0,,,,,1357.8,1995.0,947.0,,,,2624.6,-782.0,,-577.2,-822.7,-814.0,-981.0,,,,,-1187.8,,-693.0,,,-449.0,,-779.6,,-979.2,,-805.5,-959.8,,-13.0,-554.0,,,,,-793.2,-156.0,-1204.0,,,,473.6,,True,False,False,False,,,,,False,,True,,,True,,True,,False,,False,False,,True,True,,,,,False,True,False,,,,True
13069,223,106.0,,91.5,,87.0,74.0,,,,,87.9,,87.5,,,104.0,,74.4,,65.3,,131.0,81.9,,155.0,121.0,,,,,110.4,85.7,,,,,129.3,-117.0,,-131.5,,-136.0,-149.0,,,,,-135.1,,-135.5,,,-119.0,,-148.6,,-157.7,,-92.0,-141.1,,-68.0,-102.0,,,,,-112.6,-137.3,,,,,-93.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,True,False,,True,True,,,,,True,False,,,,,True
13071,107,0.0,,0.0,,4.0,27.0,,,,,36.0,,38.2,,,110.0,,4.4,,30.5,,0.0,17.1,,,29.0,,,,,16.9,17.3,,,,,7.0,-107.0,,-107.0,,-103.0,-80.0,,,,,-71.0,,-68.8,,,3.0,,-102.6,,-76.5,,-107.0,-89.9,,,-78.0,,,,,-90.1,-89.7,,,,,-100.0,,False,,True,True,,,,,True,,True,,,True,,True,,True,,False,True,,,True,,,,,True,True,,,,,True
13073,587,344.0,,396.0,,289.0,297.0,,,,,242.7,,270.8,,,369.0,,192.5,,216.9,,218.0,289.3,,403.0,391.0,,,,,305.1,449.9,256.0,,,,587.9,-243.0,,-191.0,,-298.0,-290.0,,,,,-344.3,,-316.2,,,-218.0,,-394.5,,-370.1,,-369.0,-297.7,,-184.0,-196.0,,,,,-281.9,-137.1,-331.0,,,,0.9,,True,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,False,True,False,,,,True
13075,72,57.0,,53.9,,42.0,79.0,,,,,29.5,,46.7,,,38.0,,38.0,,34.3,,42.0,36.3,,57.0,50.0,,,,,,75.8,,,,,70.0,-15.0,,-18.1,,-30.0,7.0,,,,,-42.5,,-25.3,,,-34.0,,-34.0,,-37.7,,-30.0,-35.7,,-15.0,-22.0,,,,,,3.8,,,,,-2.0,,False,,False,True,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,,True,,,,,True
13077,500,396.0,,466.8,,400.0,519.0,,,,,258.9,,336.2,,,400.0,,422.2,,189.0,,496.0,351.2,,537.0,444.0,,,,,397.0,370.8,326.0,,,,710.6,-104.0,,-33.2,,-100.0,19.0,,,,,-241.1,,-163.8,,,-100.0,,-77.8,,-311.0,,-4.0,-148.8,,37.0,-56.0,,,,,-103.0,-129.2,-174.0,,,,210.6,,True,,True,True,,,,,False,,False,,,True,,True,,False,,True,False,,True,True,,,,,True,False,False,,,,False
13079,20,4.0,,3.2,,7.0,7.0,,,,,9.4,,5.4,,,33.0,,4.5,,4.1,,15.0,12.5,,6.0,11.0,,,,,,5.7,,,,,6.7,-16.0,,-16.8,,-13.0,-13.0,,,,,-10.6,,-14.6,,,13.0,,-15.5,,-15.9,,-5.0,-7.5,,-14.0,-9.0,,,,,,-14.3,,,,,-13.3,,False,,True,True,,,,,True,,True,,,True,,True,,True,,True,True,,True,True,,,,,,True,,,,,True
13081,41,32.0,,32.9,,21.0,29.0,,,,,22.6,,25.3,,,65.0,,6.8,,11.8,,9.0,19.3,,37.0,34.0,,,,,,47.6,,,,,20.6,-9.0,,-8.1,,-20.0,-12.0,,,,,-18.4,,-15.7,,,24.0,,-34.2,,-29.2,,-32.0,-21.7,,-4.0,-7.0,,,,,,6.6,,,,,-20.4,,True,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,True,True,,,,,,True,,,,,False
13083,67,34.0,,34.4,,34.0,37.0,,,,,20.6,,16.9,,,84.0,,32.8,,19.2,,20.0,27.2,,36.0,41.0,,,,,,43.7,,,,,47.9,-33.0,,-32.6,,-33.0,-30.0,,,,,-46.4,,-50.1,,,17.0,,-34.2,,-47.8,,-47.0,-39.8,,-31.0,-26.0,,,,,,-23.3,,,,,-19.1,,True,,False,True,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,,True,,,,,True
13085,99,68.0,,71.2,,70.0,68.0,,,,,42.7,,47.1,,,70.0,,121.8,,35.4,,106.0,62.8,,105.0,66.0,,,,,,56.4,,,,,135.8,-31.0,,-27.8,,-29.0,-31.0,,,,,-56.3,,-51.9,,,-29.0,,22.8,,-63.6,,7.0,-36.2,,6.0,-33.0,,,,,,-42.6,,,,,36.8,,True,,True,False,,,,,False,,False,,,True,,True,,False,,True,False,,True,False,,,,,,False,,,,,False
13087,79,20.0,,12.4,,19.0,21.0,,,,,33.4,,29.8,,,75.0,,21.0,,14.7,,0.0,25.3,,,31.0,,,,,21.9,35.5,,,,,18.3,-59.0,,-66.6,,-60.0,-58.0,,,,,-45.6,,-49.2,,,-4.0,,-58.0,,-64.3,,-79.0,-53.7,,,-48.0,,,,,-57.1,-43.5,,,,,-60.7,,False,,False,True,,,,,True,,True,,,True,,True,,False,,False,True,,,True,,,,,True,True,,,,,False
13089,1800,1169.0,,1301.4,1327.3,1028.0,1022.0,,,,,818.0,,1252.1,,,1354.0,,1034.7,,1243.0,,923.5,976.6,,1606.0,1318.0,,,,,1115.7,1346.0,856.0,,,,1320.7,-631.0,,-498.6,-472.7,-772.0,-778.0,,,,,-982.0,,-547.9,,,-446.0,,-765.3,,-557.0,,-876.5,-823.4,,-194.0,-482.0,,,,,-684.3,-454.0,-944.0,,,,-479.3,,True,True,False,False,,,,,False,,True,,,True,,False,,True,,False,False,,True,True,,,,,False,True,False,,,,True
13091,29,14.0,,22.1,,16.0,18.0,,,,,27.7,,27.9,,,64.0,,4.7,,15.7,,2.0,15.6,,15.0,31.0,,,,,,32.7,,,,,25.0,-15.0,,-6.9,,-13.0,-11.0,,,,,-1.3,,-1.1,,,35.0,,-24.3,,-13.3,,-27.0,-13.4,,-14.0,2.0,,,,,,3.7,,,,,-4.0,,True,,True,True,,,,,True,,True,,,False,,False,,True,,False,True,,True,True,,,,,,True,,,,,True
13093,27,11.0,,5.8,,13.0,14.0,,,,,14.6,,10.5,,,34.0,,14.1,,7.1,,7.0,12.6,,21.0,14.0,,,,,,20.6,,,,,19.7,-16.0,,-21.2,,-14.0,-13.0,,,,,-12.4,,-16.5,,,7.0,,-12.9,,-19.9,,-20.0,-14.4,,-6.0,-13.0,,,,,,-6.4,,,,,-7.3,,False,,True,True,,,,,True,,False,,,True,,True,,False,,False,True,,True,True,,,,,,True,,,,,True
13095,194,57.0,,52.9,,53.0,61.0,,,,,82.1,,60.8,,,202.0,,27.4,,38.2,,40.0,52.9,,83.0,108.0,,,,,58.4,79.9,,,,,63.4,-137.0,,-141.1,,-141.0,-133.0,,,,,-111.9,,-133.2,,,8.0,,-166.6,,-155.8,,-154.0,-141.1,,-111.0,-86.0,,,,,-135.6,-114.1,,,,,-130.6,,False,,False,True,,,,,True,,True,,,True,,False,,False,,False,False,,True,True,,,,,True,True,,,,,True
13097,440,294.0,,323.3,,299.0,324.0,,,,,172.0,,217.7,,,382.0,,353.6,,219.9,,299.0,232.1,,484.0,332.0,,,,,287.3,327.3,218.0,,,,472.2,-146.0,,-116.7,,-141.0,-116.0,,,,,-268.0,,-222.3,,,-58.0,,-86.4,,-220.1,,-141.0,-207.9,,44.0,-108.0,,,,,-152.7,-112.7,-222.0,,,,32.2,,True,,True,True,,,,,False,,False,,,True,,True,,False,,True,False,,True,True,,,,,False,True,False,,,,True
13099,18,19.0,,17.8,,18.0,12.0,,,,,19.3,,11.6,,,32.0,,35.0,,4.7,,8.0,13.8,,38.0,27.0,,,,,,20.9,,,,,38.7,1.0,,-0.2,,0.0,-6.0,,,,,1.3,,-6.4,,,14.0,,17.0,,-13.3,,-10.0,-4.2,,20.0,9.0,,,,,,2.9,,,,,20.7,,True,,True,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
13101,25,9.0,,8.7,,4.0,0.0,,,,,7.9,,4.6,,,4.0,,3.9,,1.5,,4.0,4.8,,6.0,11.0,,,,,,25.2,,,,,9.7,-16.0,,-16.3,,-21.0,-25.0,,,,,-17.1,,-20.4,,,-21.0,,-21.1,,-23.5,,-21.0,-20.2,,-19.0,-14.0,,,,,,0.2,,,,,-15.3,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,True,,,,,,True,,,,,True
13103,54,70.0,,70.8,,71.0,79.0,,,,,63.4,,71.0,,,116.0,,61.6,,61.7,,74.0,70.5,,86.0,131.0,,,,,67.1,82.0,,,,,86.3,16.0,,16.8,,17.0,25.0,,,,,9.4,,17.0,,,62.0,,7.6,,7.7,,20.0,16.5,,32.0,77.0,,,,,13.1,28.0,,,,,32.3,,False,,False,False,,,,,True,,False,,,False,,True,,True,,False,False,,False,False,,,,,True,False,,,,,False
13105,76,72.0,,75.0,,72.0,105.0,,,,,37.9,,40.6,,,76.0,,34.8,,26.9,,40.0,51.4,,97.0,73.0,,,,,,53.6,,,,,74.2,-4.0,,-1.0,,-4.0,29.0,,,,,-38.1,,-35.4,,,0.0,,-41.2,,-49.1,,-36.0,-24.6,,21.0,-3.0,,,,,,-22.4,,,,,-1.8,,True,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,False,True,,,,,,False,,,,,True
13107,36,18.0,,25.6,,7.0,7.0,,,,,29.3,,23.9,,,58.0,,2.4,,12.4,,4.0,14.0,,18.0,28.0,,,,,,28.2,,,,,0.9,-18.0,,-10.4,,-29.0,-29.0,,,,,-6.7,,-12.1,,,22.0,,-33.6,,-23.6,,-32.0,-22.0,,-18.0,-8.0,,,,,,-7.8,,,,,-35.1,,True,,False,False,,,,,True,,True,,,False,,False,,False,,False,False,,False,True,,,,,,True,,,,,False
13109,7,11.0,,16.4,,11.0,7.0,,,,,12.5,,7.7,,,22.0,,12.2,,10.0,,6.0,7.7,,9.0,17.0,,,,,,20.1,,,,,16.6,4.0,,9.4,,4.0,0.0,,,,,5.5,,0.7,,,15.0,,5.2,,3.0,,-1.0,0.7,,2.0,10.0,,,,,,13.1,,,,,9.6,,False,,False,True,,,,,False,,True,,,False,,False,,True,,True,True,,True,False,,,,,,False,,,,,False
13111,61,45.0,,46.8,,45.0,59.0,,,,,32.2,,36.6,,,89.0,,35.8,,23.2,,41.0,39.4,,54.0,44.0,,,,,,36.5,,,,,49.6,-16.0,,-14.2,,-16.0,-2.0,,,,,-28.8,,-24.4,,,28.0,,-25.2,,-37.8,,-20.0,-21.6,,-7.0,-17.0,,,,,,-24.5,,,,,-11.4,,True,,False,True,,,,,False,,False,,,False,,False,,False,,False,False,,True,False,,,,,,False,,,,,True
13113,312,237.0,,207.5,,240.0,283.0,,,,,144.4,,198.1,,,244.0,,339.7,,110.3,,264.0,213.4,,373.0,272.0,,,,,230.4,297.1,,,,,358.4,-75.0,,-104.5,,-72.0,-29.0,,,,,-167.6,,-113.9,,,-68.0,,27.7,,-201.7,,-48.0,-98.6,,61.0,-40.0,,,,,-81.6,-14.9,,,,,46.4,,False,,True,True,,,,,False,,False,,,True,,True,,False,,True,False,,True,True,,,,,False,True,,,,,True
13115,378,328.0,,323.7,,282.0,338.0,,,,,199.0,,223.9,,,443.0,,240.5,,154.2,,239.0,220.6,,342.0,365.0,,,,,298.7,406.9,,,,,374.0,-50.0,,-54.3,,-96.0,-40.0,,,,,-179.0,,-154.1,,,65.0,,-137.5,,-223.8,,-139.0,-157.4,,-36.0,-13.0,,,,,-79.3,28.9,,,,,-4.0,,False,,False,True,,,,,False,,False,,,False,,False,,False,,False,False,,True,True,,,,,False,True,,,,,True
13117,649,445.0,,403.5,,427.0,433.0,,,,,274.9,,428.1,,,582.0,,477.7,,391.2,,536.0,427.1,,712.0,505.0,,,,,460.8,578.8,365.0,,,,398.5,-204.0,,-245.5,,-222.0,-216.0,,,,,-374.1,,-220.9,,,-67.0,,-171.3,,-257.8,,-113.0,-221.9,,63.0,-144.0,,,,,-188.2,-70.2,-284.0,,,,-250.5,,False,,False,False,,,,,False,,False,,,True,,True,,False,,True,False,,True,True,,,,,True,True,False,,,,False
13119,82,71.0,,67.9,,68.0,80.0,,,,,42.3,,55.9,,,102.0,,48.6,,40.0,,75.0,58.9,,87.0,76.0,,,,,,61.5,,,,,57.8,-11.0,,-14.1,,-14.0,-2.0,,,,,-39.7,,-26.1,,,20.0,,-33.4,,-42.0,,-7.0,-23.1,,5.0,-6.0,,,,,,-20.5,,,,,-24.2,,False,,False,True,,,,,False,,False,,,False,,False,,False,,True,False,,True,True,,,,,,False,,,,,False
13121,2683,1908.0,,1882.4,2035.4,1754.0,1618.0,,,,,1220.4,,2031.0,,,1904.0,,2030.2,,1704.7,,1524.5,1625.4,,2844.0,2029.0,,,,,1908.1,2197.3,1960.0,,,,1597.0,-775.0,,-800.6,-647.6,-929.0,-1065.0,,,,,-1462.6,,-652.0,,,-779.0,,-652.8,,-978.3,,-1158.5,-1057.6,,161.0,-654.0,,,,,-774.9,-485.7,-723.0,,,,-1086.0,,False,True,False,False,,,,,False,,True,,,False,,True,,False,,False,False,,True,True,,,,,True,True,True,,,,False
13123,76,54.0,,52.7,,54.0,54.0,,,,,35.1,,42.4,,,108.0,,30.9,,42.7,,58.0,50.0,,58.0,57.0,,,,,,50.8,,,,,59.3,-22.0,,-23.3,,-22.0,-22.0,,,,,-40.9,,-33.6,,,32.0,,-45.1,,-33.3,,-18.0,-26.0,,-18.0,-19.0,,,,,,-25.2,,,,,-16.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,True,False,,True,True,,,,,,False,,,,,True
13125,6,0.0,,0.0,,1.0,0.0,,,,,2.4,,1.7,,,17.0,,0.9,,1.5,,5.0,1.1,,3.0,4.0,,,,,,5.7,,,,,2.6,-6.0,,-6.0,,-5.0,-6.0,,,,,-3.6,,-4.3,,,11.0,,-5.1,,-4.5,,-1.0,-4.9,,-3.0,-2.0,,,,,,-0.3,,,,,-3.4,,False,,True,False,,,,,True,,True,,,False,,True,,True,,True,True,,True,True,,,,,,True,,,,,True
13127,124,126.0,,130.8,,122.0,140.0,,,,,99.0,,124.8,,,146.0,,58.0,,91.3,,114.0,118.9,,143.0,151.0,,,,,124.1,224.0,,,,,130.0,2.0,,6.8,,-2.0,16.0,,,,,-25.0,,0.8,,,22.0,,-66.0,,-32.7,,-10.0,-5.1,,19.0,27.0,,,,,0.1,100.0,,,,,6.0,,False,,False,False,,,,,False,,True,,,False,,False,,False,,False,False,,False,False,,,,,True,False,,,,,False
13129,232,181.0,,171.7,,170.0,202.0,,,,,123.5,,119.7,,,262.0,,158.3,,90.9,,168.0,130.5,,197.0,199.0,,,,,170.9,186.8,,,,,189.7,-51.0,,-60.3,,-62.0,-30.0,,,,,-108.5,,-112.3,,,30.0,,-73.7,,-141.1,,-64.0,-101.5,,-35.0,-33.0,,,,,-61.1,-45.2,,,,,-42.3,,False,,False,True,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,False,True,,,,,True
13131,41,30.0,,26.7,,22.0,22.0,,,,,24.4,,19.6,,,60.0,,9.9,,11.5,,12.0,22.2,,34.0,39.0,,,,,,37.6,,,,,23.1,-11.0,,-14.3,,-19.0,-19.0,,,,,-16.6,,-21.4,,,19.0,,-31.1,,-29.5,,-29.0,-18.8,,-7.0,-2.0,,,,,,-3.4,,,,,-17.9,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,True,True,,,,,,True,,,,,False
13133,55,21.0,,15.1,,21.0,25.0,,,,,20.6,,17.9,,,43.0,,16.4,,13.3,,14.0,22.0,,29.0,28.0,,,,,,18.1,,,,,29.3,-34.0,,-39.9,,-34.0,-30.0,,,,,-34.4,,-37.1,,,-12.0,,-38.6,,-41.7,,-41.0,-33.0,,-26.0,-27.0,,,,,,-36.9,,,,,-25.7,,False,,False,True,,,,,False,,False,,,True,,False,,False,,False,True,,True,True,,,,,,False,,,,,True
13135,2917,1744.0,,1884.2,1904.6,1619.0,1623.0,,,,,1221.2,,1841.1,,,2015.0,,1307.3,,1228.3,,1520.0,1616.0,,2406.0,1960.0,,,,,1524.0,1882.4,1464.0,,,,3052.6,-1173.0,,-1032.8,-1012.4,-1298.0,-1294.0,,,,,-1695.8,,-1075.9,,,-902.0,,-1609.7,,-1688.7,,-1397.0,-1301.0,,-511.0,-957.0,,,,,-1393.0,-1034.6,-1453.0,,,,135.6,,True,True,False,False,,,,,False,,True,,,True,,False,,False,,False,False,,True,True,,,,,False,True,False,,,,True
13137,213,145.0,,148.9,,147.0,225.0,,,,,85.1,,102.1,,,160.0,,264.7,,88.3,,217.0,124.0,,206.0,159.0,,,,,122.4,138.3,,,,,114.1,-68.0,,-64.1,,-66.0,12.0,,,,,-127.9,,-110.9,,,-53.0,,51.7,,-124.7,,4.0,-89.0,,-7.0,-54.0,,,,,-90.6,-74.7,,,,,-98.9,,True,,True,True,,,,,False,,False,,,True,,True,,False,,True,False,,True,True,,,,,False,False,,,,,False
