,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
13289,32,18.0,,17.5,,18.0,13.0,,,,14.6,,35.0,,1.3,,13.0,,,5.0,24.4,,28.0,,,,,,,,,,26.6,-14.0,,-14.5,,-14.0,-19.0,,,,-17.4,,3.0,,-30.7,,-19.0,,,-27.0,-7.6,,-4.0,,,,,,,,,,-5.4,,False,,False,False,,,,False,,True,,False,,False,,,False,True,,True,,,,,,,,,,True
13291,147,0.0,,0.0,,6.0,57.0,,,,57.5,,154.0,,3.5,,54.4,,,5.0,636.7,,,,,,,0.0,,,,,122.8,-147.0,,-147.0,,-141.0,-90.0,,,,-89.5,,7.0,,-143.5,,-92.6,,,-142.0,489.7,,,,,,,-147.0,,,,,-24.2,,False,,True,True,,,,True,,True,,True,,True,,,True,False,,,,,,,False,,,,,True
13293,207,186.0,,122.8,,169.0,106.0,,,,234.7,,199.0,,8.8,,61.4,,,327.0,276.2,,,,,,,159.5,,,,,296.9,-21.0,,-84.2,,-38.0,-101.0,,,,27.7,,-8.0,,-198.2,,-145.6,,,120.0,69.2,,,,,,,-47.5,,,,,89.9,,False,,False,False,,,,False,,True,,False,,False,,,False,False,,,,,,,False,,,,,False
13295,578,522.0,,513.4,,532.0,726.0,,,,310.8,,786.0,,339.2,,329.1,536.0,,519.0,557.7,,797.0,,,,,356.6,,,,,621.2,-56.0,,-64.6,,-46.0,148.0,,,,-267.2,,208.0,,-238.8,,-248.9,-42.0,,-59.0,-20.3,,219.0,,,,,-221.4,,,,,43.2,,False,,True,False,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,,,,,True
13297,682,411.0,,471.7,,405.0,269.0,,,,1517.4,,492.0,,80.1,,409.7,458.0,,595.0,434.3,,505.0,,,,,298.9,,,,,372.0,-271.0,,-210.3,,-277.0,-413.0,,,,835.4,,-190.0,,-601.9,,-272.3,-224.0,,-87.0,-247.7,,-177.0,,,,,-383.1,,,,,-310.0,,True,,False,False,,,,False,,True,,False,,False,True,,True,True,,True,,,,,False,,,,,False
13299,189,210.0,,160.5,,121.0,102.0,,,,349.0,,126.0,,7.6,,128.3,192.5,,68.5,338.8,,250.0,,,,,111.2,,,,,264.2,21.0,,-28.5,,-68.0,-87.0,,,,160.0,,-63.0,,-181.4,,-60.7,3.5,,-120.5,149.8,,61.0,,,,,-77.8,,,,,75.2,,False,,False,False,,,,False,,False,,False,,False,True,,False,False,,False,,,,,False,,,,,False
13301,27,24.0,,23.3,,19.0,0.0,,,,20.2,,26.0,,1.7,,2.8,,,15.0,31.1,,24.0,,,,,,,,,,18.7,-3.0,,-3.7,,-8.0,-27.0,,,,-6.8,,-1.0,,-25.3,,-24.2,,,-12.0,4.1,,-3.0,,,,,,,,,,-8.3,,False,,False,False,,,,False,,True,,False,,False,,,False,False,,False,,,,,,,,,,False
13303,139,213.0,,203.1,,183.0,239.0,,,,127.6,,111.0,,144.4,,108.1,,,345.0,194.2,,341.0,,,,,,,,,,204.4,74.0,,64.1,,44.0,100.0,,,,-11.4,,-28.0,,5.4,,-30.9,,,206.0,55.2,,202.0,,,,,,,,,,65.4,,True,,True,False,,,,True,,True,,True,,True,,,False,True,,False,,,,,,,,,,True
13305,215,222.0,,184.9,,150.0,55.0,,,,159.2,,92.0,,35.3,,66.7,168.0,,170.0,212.3,,248.0,,,,,150.1,,,,,222.3,7.0,,-30.1,,-65.0,-160.0,,,,-55.8,,-123.0,,-179.7,,-148.3,-47.0,,-45.0,-2.7,,33.0,,,,,-64.9,,,,,7.3,,False,,False,False,,,,False,,False,,False,,False,False,,False,True,,False,,,,,False,,,,,False
13307,3,12.0,,15.3,,8.0,0.0,,,,6.4,,19.0,,0.6,,0.5,,,3.0,8.6,,22.0,,,,,,,,,,10.8,9.0,,12.3,,5.0,-3.0,,,,3.4,,16.0,,-2.4,,-2.5,,,0.0,5.6,,19.0,,,,,,,,,,7.8,,False,,True,True,,,,True,,False,,True,,True,,,True,True,,False,,,,,,,,,,True
13309,9,9.0,,27.2,,9.0,0.0,,,,29.6,,33.0,,0.4,,6.3,,,3.0,15.3,,,,,,,,,,,,25.5,0.0,,18.2,,0.0,-9.0,,,,20.6,,24.0,,-8.6,,-2.7,,,-6.0,6.3,,,,,,,,,,,,16.5,,False,,True,False,,,,False,,False,,False,,False,,,False,False,,,,,,,,,,,,False
13311,306,141.0,,139.0,,139.0,43.0,,,,94.1,,169.0,,158.3,,89.8,,,191.0,172.2,,232.0,,,,,107.5,,,,,124.3,-165.0,,-167.0,,-167.0,-263.0,,,,-211.9,,-137.0,,-147.7,,-216.2,,,-115.0,-133.8,,-74.0,,,,,-198.5,,,,,-181.7,,False,,False,False,,,,False,,True,,True,,False,,,True,True,,True,,,,,False,,,,,False
13313,1885,1545.0,,1540.3,,1542.0,1815.0,,,,2476.3,,1123.0,,1516.6,,1121.6,1618.5,,2363.0,2062.1,,2710.0,,,,,856.8,,,,,1956.4,-340.0,,-344.7,,-343.0,-70.0,,,,591.3,,-762.0,,-368.4,,-763.4,-266.5,,478.0,177.1,,825.0,,,,,-1028.2,,,,,71.4,,False,,False,True,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,,,,,True
13315,73,24.0,,40.8,,23.0,0.0,,,,29.0,,43.0,,1.3,,4.1,,,7.0,35.6,,,,,,,,,,,,26.0,-49.0,,-32.2,,-50.0,-73.0,,,,-44.0,,-30.0,,-71.7,,-68.9,,,-66.0,-37.4,,,,,,,,,,,,-47.0,,True,,False,False,,,,True,,True,,False,,False,,,False,True,,,,,,,,,,,,True
13317,92,105.0,,108.1,,94.0,43.0,,,,45.9,,58.0,,19.5,,36.1,,,106.0,95.2,,122.0,,,,,,,,,,121.5,13.0,,16.1,,2.0,-49.0,,,,-46.1,,-34.0,,-72.5,,-55.9,,,14.0,3.2,,30.0,,,,,,,,,,29.5,,False,,True,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
13319,54,45.0,,43.3,,34.0,0.0,,,,32.4,,34.0,,8.1,,17.2,,,31.0,50.0,,56.0,,,,,,,,,,55.2,-9.0,,-10.7,,-20.0,-54.0,,,,-21.6,,-20.0,,-45.9,,-36.8,,,-23.0,-4.0,,2.0,,,,,,,,,,1.2,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,True,,,,,,,,,,True
13321,103,30.0,,70.0,,24.0,21.0,,,,46.8,,84.0,,3.7,,20.0,,,0.0,39.0,,,,,,,,,,,,23.9,-73.0,,-33.0,,-79.0,-82.0,,,,-56.2,,-19.0,,-99.3,,-83.0,,,-103.0,-64.0,,,,,,,,,,,,-79.1,,True,,False,False,,,,True,,True,,False,,False,,,False,True,,,,,,,,,,,,False
15001,173,252.0,,249.2,,218.0,228.0,,,,169.3,,,,155.6,,598.4,281.5,,113.0,228.8,,145.0,,,,,159.0,84.0,,,,344.4,79.0,,76.2,,45.0,55.0,,,,-3.7,,,,-17.4,,425.4,108.5,,-60.0,55.8,,-28.0,,,,,-14.0,-89.0,,,,171.4,,True,,True,True,,,,True,,,,True,,False,False,,True,True,,True,,,,,True,False,,,,False
15003,1453,1689.0,,1638.8,2496.5,1596.0,1116.0,,,,1504.3,,,,1527.1,,3368.6,1548.5,,1636.5,1847.4,,1678.0,,,,,1079.9,1090.0,,,,1784.1,236.0,,185.8,1043.5,143.0,-337.0,,,,51.3,,,,74.1,,1915.6,95.5,,183.5,394.4,,225.0,,,,,-373.1,-363.0,,,,331.1,,True,False,True,False,,,,True,,,,True,,False,True,,True,False,,True,,,,,False,False,,,,False
15005,0,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.3,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.3,,0.0,,,,,,,,,,,,True,,True,True,,,,,,,,True,,True,,,,False,,True,,,,,,,,,,
15007,39,27.0,,25.0,,27.0,62.0,,,,17.9,,,,68.9,,27.5,21.0,,59.0,32.5,,,,,,,,,,,,18.8,-12.0,,-14.0,,-12.0,23.0,,,,-21.1,,,,29.9,,-11.5,-18.0,,20.0,-6.5,,,,,,,,,,,,-20.2,,False,,False,False,,,,False,,,,False,,True,False,,False,True,,,,,,,,,,,,False
15009,200,81.0,,107.6,,78.0,59.0,,,,88.8,,,,108.6,,388.8,94.0,,51.0,82.9,,62.0,,,,,,37.0,,,,86.9,-119.0,,-92.4,,-122.0,-141.0,,,,-111.2,,,,-91.4,,188.8,-106.0,,-149.0,-117.1,,-138.0,,,,,,-163.0,,,,-113.1,,True,,False,False,,,,True,,,,True,,False,True,,False,True,,False,,,,,,False,,,,True
16001,6556,6639.0,,6528.1,9616.9,7736.0,8139.0,,,,6548.3,,5341.0,,11889.6,,3093.9,7862.5,,8735.0,7813.7,,9452.0,,,,,3743.7,5717.0,,,,11895.4,83.0,,-27.9,3060.9,1180.0,1583.0,,,,-7.7,,-1215.0,,5333.6,,-3462.1,1306.5,,2179.0,1257.7,,2896.0,,,,,-2812.3,-839.0,,,,5339.4,,True,False,False,False,,,,True,,False,,False,,False,False,,False,False,,False,,,,,False,False,,,,False
16003,34,21.0,,19.2,,21.0,1.0,,,,10.0,,33.0,,6.4,,9.6,,,42.0,31.7,,25.0,,,,,,,,,,27.9,-13.0,,-14.8,,-13.0,-33.0,,,,-24.0,,-1.0,,-27.6,,-24.4,,,8.0,-2.3,,-9.0,,,,,,,,,,-6.1,,False,,False,False,,,,False,,True,,False,,False,,,True,True,,True,,,,,,,,,,True
16005,1598,1029.0,,992.2,,971.0,690.0,,,,730.1,,2213.0,,440.0,,623.1,1402.0,,764.0,1133.9,,716.0,,,,,958.7,,,,,975.2,-569.0,,-605.8,,-627.0,-908.0,,,,-867.9,,615.0,,-1158.0,,-974.9,-196.0,,-834.0,-464.1,,-882.0,,,,,-639.3,,,,,-622.8,,False,,False,False,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,,,,,False
16007,79,69.0,,58.5,,69.0,55.0,,,,34.4,,69.0,,345.3,,54.8,,,223.5,73.0,,100.0,,,,,,,,,,51.0,-10.0,,-20.5,,-10.0,-24.0,,,,-44.6,,-10.0,,266.3,,-24.2,,,144.5,-6.0,,21.0,,,,,,,,,,-28.0,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
16009,75,60.0,,60.1,,56.0,12.0,,,,27.5,,166.0,,48.7,,31.3,,,48.0,57.6,,58.0,,,,,,,,,,79.3,-15.0,,-14.9,,-19.0,-63.0,,,,-47.5,,91.0,,-26.3,,-43.7,,,-27.0,-17.4,,-17.0,,,,,,,,,,4.3,,True,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,True
16011,911,723.0,,714.5,,716.0,615.0,,,,450.7,,1202.0,,766.2,,278.7,816.5,,651.5,776.6,,895.0,,,,,558.5,,,,,839.2,-188.0,,-196.5,,-195.0,-296.0,,,,-460.3,,291.0,,-144.8,,-632.3,-94.5,,-259.5,-134.4,,-16.0,,,,,-352.5,,,,,-71.8,,False,,False,False,,,,False,,False,,True,,False,True,,False,True,,True,,,,,False,,,,,True
16013,306,258.0,,243.7,,285.0,432.0,,,,102.0,,305.0,,324.3,,98.2,,,272.0,289.7,,372.0,,,,,,,,,,448.9,-48.0,,-62.3,,-21.0,126.0,,,,-204.0,,-1.0,,18.3,,-207.8,,,-34.0,-16.3,,66.0,,,,,,,,,,142.9,,False,,True,False,,,,False,,True,,True,,False,,,True,True,,False,,,,,,,,,,False
16015,44,33.0,,33.8,,33.0,0.0,,,,12.9,,54.0,,26.5,,49.3,,,58.0,42.0,,31.0,,,,,,,,,,38.2,-11.0,,-10.2,,-11.0,-44.0,,,,-31.1,,10.0,,-17.5,,5.3,,,14.0,-2.0,,-13.0,,,,,,,,,,-5.8,,True,,False,False,,,,False,,True,,False,,True,,,False,True,,False,,,,,,,,,,True
16017,424,450.0,,457.6,,456.0,718.0,,,,208.5,,365.0,,1135.0,,352.0,391.0,,753.0,469.4,,556.0,,,,,,,,,,434.1,26.0,,33.6,,32.0,294.0,,,,-215.5,,-59.0,,711.0,,-72.0,-33.0,,329.0,45.4,,132.0,,,,,,,,,,10.1,,False,,False,False,,,,False,,False,,False,,False,False,,False,False,,False,,,,,,,,,,True
16019,2250,2034.0,,2060.0,,2225.0,2175.0,,,,3356.3,,2072.0,,2224.7,,1119.4,2512.5,,2623.0,2717.3,,3049.0,,,,,1366.7,,,,,3066.3,-216.0,,-190.0,,-25.0,-75.0,,,,1106.3,,-178.0,,-25.3,,-1130.6,262.5,,373.0,467.3,,799.0,,,,,-883.3,,,,,816.3,,True,,True,True,,,,False,,True,,True,,False,False,,False,False,,False,,,,,False,,,,,False
16021,103,117.0,,105.8,,106.0,186.0,,,,53.2,,58.0,,49.4,,136.0,,,89.0,134.4,,74.0,,,,,,,,,,164.3,14.0,,2.8,,3.0,83.0,,,,-49.8,,-45.0,,-53.6,,33.0,,,-14.0,31.4,,-29.0,,,,,,,,,,61.3,,True,,True,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
16023,24,6.0,,6.4,,6.0,0.0,,,,22.0,,49.0,,2.7,,16.5,,,0.0,10.4,,,,,,,,,,,,8.5,-18.0,,-17.6,,-18.0,-24.0,,,,-2.0,,25.0,,-21.3,,-7.5,,,-24.0,-13.6,,,,,,,,,,,,-15.5,,True,,False,False,,,,True,,False,,False,,True,,,False,True,,,,,,,,,,,,True
16025,6,3.0,,4.8,,5.0,0.0,,,,8.2,,23.0,,0.7,,4.3,,,7.0,8.1,,,,,,,,,,,,7.8,-3.0,,-1.2,,-1.0,-6.0,,,,2.2,,17.0,,-5.3,,-1.7,,,1.0,2.1,,,,,,,,,,,,1.8,,True,,True,False,,,,True,,False,,False,,True,,,True,True,,,,,,,,,,,,True
16027,4101,3414.0,,3432.3,4434.4,3976.0,4109.0,,,,4824.7,,2459.0,,2198.9,,2461.6,3691.5,,4808.0,4767.2,,5408.0,,,,,2069.8,4571.0,,,,5176.9,-687.0,,-668.7,333.4,-125.0,8.0,,,,723.7,,-1642.0,,-1902.1,,-1639.4,-409.5,,707.0,666.2,,1307.0,,,,,-2031.2,470.0,,,,1075.9,,True,True,True,True,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,True,,,,False
16029,81,93.0,,87.7,,86.0,21.0,,,,65.3,,111.0,,32.7,,40.6,,,42.0,96.6,,61.0,,,,,,,,,,123.5,12.0,,6.7,,5.0,-60.0,,,,-15.7,,30.0,,-48.3,,-40.4,,,-39.0,15.6,,-20.0,,,,,,,,,,42.5,,True,,True,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
16031,440,510.0,,496.5,,496.0,609.0,,,,293.2,,949.0,,323.8,,224.2,,,466.5,639.2,,538.0,,,,,323.5,,,,,541.7,70.0,,56.5,,56.0,169.0,,,,-146.8,,509.0,,-116.2,,-215.8,,,26.5,199.2,,98.0,,,,,-116.5,,,,,101.7,,True,,True,False,,,,False,,False,,False,,False,,,True,False,,False,,,,,False,,,,,False
16033,5,9.0,,9.2,,9.0,0.0,,,,10.4,,20.0,,33.4,,1.6,,,3.0,7.6,,7.0,,,,,,,,,,14.8,4.0,,4.2,,4.0,-5.0,,,,5.4,,15.0,,28.4,,-3.4,,,-2.0,2.6,,2.0,,,,,,,,,,9.8,,False,,False,False,,,,False,,False,,False,,True,,,True,True,,True,,,,,,,,,,False
16035,354,174.0,,169.2,,158.0,0.0,,,,72.3,,155.0,,160.4,,126.4,,,196.0,139.0,,213.0,,,,,,,,,,233.2,-180.0,,-184.8,,-196.0,-354.0,,,,-281.7,,-199.0,,-193.6,,-227.6,,,-158.0,-215.0,,-141.0,,,,,,,,,,-120.8,,False,,False,False,,,,False,,False,,False,,False,,,True,False,,True,,,,,,,,,,True
16037,44,54.0,,55.4,,45.0,,,,,20.2,,39.0,,168.4,,15.2,,,21.0,37.0,,,,,,,,,,,,56.9,10.0,,11.4,,1.0,,,,,-23.8,,-5.0,,124.4,,-28.8,,,-23.0,-7.0,,,,,,,,,,,,12.9,,False,,True,,,,,False,,True,,False,,False,,,False,True,,,,,,,,,,,,False
16039,246,270.0,,268.9,,274.0,326.0,,,,105.0,,458.0,,329.6,,118.2,,,207.0,264.2,,281.0,,,,,,,,,,319.8,24.0,,22.9,,28.0,80.0,,,,-141.0,,212.0,,83.6,,-127.8,,,-39.0,18.2,,35.0,,,,,,,,,,73.8,,True,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
16041,265,186.0,,190.4,,184.0,88.0,,,,119.0,,257.0,,48.7,,83.5,,,176.5,192.9,,219.0,,,,,,,,,,204.1,-79.0,,-74.6,,-81.0,-177.0,,,,-146.0,,-8.0,,-216.3,,-181.5,,,-88.5,-72.1,,-46.0,,,,,,,,,,-60.9,,True,,False,False,,,,False,,True,,False,,False,,,False,True,,True,,,,,,,,,,True
16043,152,195.0,,211.4,,145.0,124.0,,,,94.3,,145.0,,74.2,,113.6,,,125.0,191.3,,174.0,,,,,,,,,,194.1,43.0,,59.4,,-7.0,-28.0,,,,-57.7,,-7.0,,-77.8,,-38.4,,,-27.0,39.3,,22.0,,,,,,,,,,42.1,,False,,True,True,,,,False,,True,,False,,True,,,True,True,,True,,,,,,,,,,True
16045,493,303.0,,290.2,,288.0,372.0,,,,158.3,,232.0,,214.3,,90.7,,,357.0,353.8,,454.0,,,,,,,,,,376.7,-190.0,,-202.8,,-205.0,-121.0,,,,-334.7,,-261.0,,-278.7,,-402.3,,,-136.0,-139.2,,-39.0,,,,,,,,,,-116.3,,False,,False,True,,,,False,,False,,False,,False,,,True,True,,True,,,,,,,,,,True
16047,198,228.0,,225.3,,229.0,267.0,,,,99.9,,383.0,,124.4,,117.9,,,183.0,263.0,,206.0,,,,,,,,,,355.3,30.0,,27.3,,31.0,69.0,,,,-98.1,,185.0,,-73.6,,-80.1,,,-15.0,65.0,,8.0,,,,,,,,,,157.3,,True,,False,False,,,,False,,False,,False,,False,,,True,False,,True,,,,,,,,,,False
16049,280,213.0,,213.7,,176.0,0.0,,,,82.9,,321.0,,135.2,,125.1,,,177.0,177.7,,189.0,,,,,,,,,,98.7,-67.0,,-66.3,,-104.0,-280.0,,,,-197.1,,41.0,,-144.8,,-154.9,,,-103.0,-102.3,,-91.0,,,,,,,,,,-181.3,,True,,False,False,,,,False,,True,,False,,False,,,False,False,,False,,,,,,,,,,False
16051,449,360.0,,362.0,,357.0,334.0,,,,173.4,,489.0,,443.0,,169.6,,,338.0,410.0,,418.0,,,,,295.8,,,,,557.8,-89.0,,-87.0,,-92.0,-115.0,,,,-275.6,,40.0,,-6.0,,-279.4,,,-111.0,-39.0,,-31.0,,,,,-153.2,,,,,108.8,,True,,False,False,,,,False,,True,,True,,False,,,False,True,,True,,,,,False,,,,,False
16053,400,555.0,,557.2,,515.0,405.0,,,,260.6,,827.0,,495.3,,224.7,,,412.0,623.3,,771.0,,,,,354.1,,,,,735.0,155.0,,157.2,,115.0,5.0,,,,-139.4,,427.0,,95.3,,-175.3,,,12.0,223.3,,371.0,,,,,-45.9,,,,,335.0,,False,,True,True,,,,True,,False,,True,,False,,,True,False,,False,,,,,True,,,,,False
16055,2645,2229.0,,2268.7,,2226.0,2435.0,,,,3449.0,,3015.0,,1864.2,,1274.1,2937.0,,2181.5,2303.7,,2496.0,,,,,1239.2,1844.0,,,,3035.1,-416.0,,-376.3,,-419.0,-210.0,,,,804.0,,370.0,,-780.8,,-1370.9,292.0,,-463.5,-341.3,,-149.0,,,,,-1405.8,-801.0,,,,390.1,,True,,False,True,,,,False,,True,,False,,False,True,,False,True,,True,,,,,False,False,,,,True
16057,476,696.0,,694.9,,580.0,1133.0,,,,340.6,,584.0,,384.8,,305.4,568.0,,452.0,505.2,,834.0,,,,,482.4,,,,,732.7,220.0,,218.9,,104.0,657.0,,,,-135.4,,108.0,,-91.2,,-170.6,92.0,,-24.0,29.2,,358.0,,,,,6.4,,,,,256.7,,True,,True,False,,,,True,,True,,True,,True,True,,True,True,,False,,,,,True,,,,,False
16059,55,114.0,,104.0,,104.0,,,,,62.2,,114.0,,67.3,,78.4,,,91.0,128.7,,72.0,,,,,,,,,,128.1,59.0,,49.0,,49.0,,,,,7.2,,59.0,,12.3,,23.4,,,36.0,73.7,,17.0,,,,,,,,,,73.1,,True,,True,,,,,True,,False,,True,,True,,,True,False,,True,,,,,,,,,,False
16061,95,102.0,,110.8,,77.0,29.0,,,,32.4,,68.0,,158.0,,70.8,,,73.0,77.1,,129.0,,,,,,,,,,138.8,7.0,,15.8,,-18.0,-66.0,,,,-62.6,,-27.0,,63.0,,-24.2,,,-22.0,-17.9,,34.0,,,,,,,,,,43.8,,False,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
16063,76,63.0,,29.8,,46.0,3.0,,,,40.8,,113.0,,20.1,,12.4,,,46.0,75.9,,36.0,,,,,,,,,,110.6,-13.0,,-46.2,,-30.0,-73.0,,,,-35.2,,37.0,,-55.9,,-63.6,,,-30.0,-0.1,,-40.0,,,,,,,,,,34.6,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
16065,1112,978.0,,995.4,,900.0,292.0,,,,687.1,,755.0,,430.8,,265.4,916.5,,929.0,1226.1,,903.0,,,,,932.3,,,,,1233.3,-134.0,,-116.6,,-212.0,-820.0,,,,-424.9,,-357.0,,-681.2,,-846.6,-195.5,,-183.0,114.1,,-209.0,,,,,-179.7,,,,,121.3,,True,,False,False,,,,False,,False,,False,,False,False,,False,True,,False,,,,,False,,,,,True
16067,309,438.0,,465.3,,432.0,239.0,,,,227.1,,783.0,,419.8,,193.5,,,437.0,517.8,,628.0,,,,,259.2,,,,,435.3,129.0,,156.3,,123.0,-70.0,,,,-81.9,,474.0,,110.8,,-115.5,,,128.0,208.8,,319.0,,,,,-49.8,,,,,126.3,,False,,True,True,,,,True,,False,,True,,True,,,True,False,,False,,,,,True,,,,,True
16069,861,1107.0,,1151.8,,1048.0,1167.0,,,,340.8,,753.0,,915.8,,420.4,1488.5,,1048.0,907.9,,1370.0,,,,,773.0,,,,,1504.1,246.0,,290.8,,187.0,306.0,,,,-520.2,,-108.0,,54.8,,-440.6,627.5,,187.0,46.9,,509.0,,,,,-88.0,,,,,643.1,,False,,True,False,,,,False,,True,,True,,False,False,,True,True,,False,,,,,True,,,,,False
16071,84,33.0,,31.1,,30.0,1.0,,,,24.6,,63.0,,28.1,,27.4,,,29.0,41.7,,32.0,,,,,,,,,,31.7,-51.0,,-52.9,,-54.0,-83.0,,,,-59.4,,-21.0,,-55.9,,-56.6,,,-55.0,-42.3,,-52.0,,,,,,,,,,-52.3,,False,,False,False,,,,False,,True,,False,,False,,,False,True,,False,,,,,,,,,,False
16073,257,168.0,,165.2,,159.0,26.0,,,,94.0,,68.0,,143.6,,47.7,,,224.0,177.1,,240.0,,,,,,,,,,205.1,-89.0,,-91.8,,-98.0,-231.0,,,,-163.0,,-189.0,,-113.4,,-209.3,,,-33.0,-79.9,,-17.0,,,,,,,,,,-51.9,,False,,False,False,,,,False,,False,,False,,False,,,True,True,,True,,,,,,,,,,True
16075,390,348.0,,349.6,,323.0,293.0,,,,196.4,,251.0,,178.4,,125.4,,,400.0,346.9,,483.0,,,,,227.3,,,,,391.0,-42.0,,-40.4,,-67.0,-97.0,,,,-193.6,,-139.0,,-211.6,,-264.6,,,10.0,-43.1,,93.0,,,,,-162.7,,,,,1.0,,True,,False,False,,,,False,,False,,False,,False,,,True,False,,False,,,,,False,,,,,True
16077,69,51.0,,54.6,,51.0,38.0,,,,41.4,,163.0,,9.4,,32.4,,,37.0,67.2,,32.0,,,,,,,,,,68.6,-18.0,,-14.4,,-18.0,-31.0,,,,-27.6,,94.0,,-59.6,,-36.6,,,-32.0,-1.8,,-37.0,,,,,,,,,,-0.4,,True,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,True
16079,174,183.0,,181.2,,178.0,41.0,,,,56.9,,226.0,,453.1,,276.2,,,165.0,156.3,,179.0,,,,,,,,,,379.3,9.0,,7.2,,4.0,-133.0,,,,-117.1,,52.0,,279.1,,102.2,,,-9.0,-17.7,,5.0,,,,,,,,,,205.3,,True,,True,False,,,,False,,False,,False,,False,,,False,False,,True,,,,,,,,,,False
16081,162,225.0,,220.9,,228.0,260.0,,,,83.5,,102.0,,537.8,,40.1,,,272.0,223.3,,309.0,,,,,,,,,,409.3,63.0,,58.9,,66.0,98.0,,,,-78.5,,-60.0,,375.8,,-121.9,,,110.0,61.3,,147.0,,,,,,,,,,247.3,,True,,False,False,,,,False,,True,,False,,False,,,False,True,,False,,,,,,,,,,False
16083,1415,2016.0,,1925.7,,2036.0,1735.0,,,,3466.7,,2203.0,,1988.1,,1159.0,2741.5,,2374.0,2208.0,,2341.0,,,,,1707.8,,,,,3091.1,601.0,,510.7,,621.0,320.0,,,,2051.7,,788.0,,573.1,,-256.0,1326.5,,959.0,793.0,,926.0,,,,,292.8,,,,,1676.1,,True,,False,True,,,,False,,False,,True,,True,False,,False,False,,False,,,,,True,,,,,False
