,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,34296,33672.7,33627.6,33699.6,33906.0,33828.9,33782.0,33951.0,33738.0,34214.4,34022.0,33672.9,33531.0,33700.5,,33823.8,33717.0,33824.8,34263.3,33991.0,33875.4,33749.5,33848.1,33593.1,33735.6,33955.0,33785.8,33785.8,,33700.7,33796.5,33422.0,,33701.6,33769.4,,33786.0,34324.3,33745.0,33623.4,,33719.1,33802.0,33867.0,33961.7,36719.4,33733.0,33650.5,33380.0,33607.0,-403.3,-448.4,-376.4,-170.0,-247.1,-294.0,-125.0,-338.0,138.4,-54.0,-403.1,-545.0,-375.5,,-252.2,-359.0,-251.2,187.3,-85.0,-200.6,-326.5,-227.9,-482.9,-340.4,-121.0,-290.2,-290.2,,-375.3,-279.5,-654.0,,-374.4,-306.6,,-290.0,248.3,-331.0,-452.6,,-356.9,-274.0,-209.0,-114.3,2643.4,-343.0,-425.5,-696.0,-469.0,False,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,True,True,,True,True,True,False,,True,True,True,True,False,True,False,False,False
North Carolina,5005,5017.1,5567.4,5051.7,4974.0,5003.7,4944.0,5127.0,5307.0,5012.8,4748.0,4901.7,4882.4,5012.2,,4794.4,4892.0,5074.6,4772.4,5208.0,4732.7,4802.0,5148.2,4669.6,5009.2,4810.0,5056.7,4944.9,,4669.7,5207.7,4855.5,,4716.5,4464.1,,5024.6,4079.0,4971.0,4787.2,,4562.1,5064.9,4944.0,4827.9,5097.0,5095.0,4919.0,4565.4,5107.0,12.1,562.4,46.7,-31.0,-1.3,-61.0,122.0,302.0,7.8,-257.0,-103.3,-122.6,7.2,,-210.6,-113.0,69.6,-232.6,203.0,-272.3,-203.0,143.2,-335.4,4.2,-195.0,51.7,-60.1,,-335.3,202.7,-149.5,,-288.5,-540.9,,19.6,-926.0,-34.0,-217.8,,-442.9,59.9,-61.0,-177.1,92.0,90.0,-86.0,-439.6,102.0,False,False,False,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
North Dakota,840,656.6,621.6,633.7,740.0,644.0,728.0,606.0,1108.0,927.3,696.0,778.9,762.2,893.1,,821.7,677.0,815.2,990.0,750.0,501.4,751.5,903.1,656.8,685.9,664.0,710.9,730.7,,858.0,795.4,702.0,,,561.4,,739.8,465.3,791.0,629.2,,815.7,730.3,741.0,726.3,702.5,829.0,713.0,553.0,646.0,-183.4,-218.4,-206.3,-100.0,-196.0,-112.0,-234.0,268.0,87.3,-144.0,-61.1,-77.8,53.1,,-18.3,-163.0,-24.8,150.0,-90.0,-338.6,-88.5,63.1,-183.2,-154.1,-176.0,-129.1,-109.3,,18.0,-44.6,-138.0,,,-278.6,,-100.2,-374.7,-49.0,-210.8,,-24.3,-109.7,-99.0,-113.7,-137.5,-11.0,-127.0,-287.0,-194.0,False,False,True,False,True,False,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,False
Ohio,5984,5742.1,7511.7,5715.0,5717.0,5762.4,5821.0,6629.0,5990.0,5850.8,5758.0,5678.3,5817.7,6182.7,,5931.3,5839.0,5633.7,6007.1,6004.0,6013.7,5602.0,5812.7,5490.9,5838.1,5763.0,6016.8,5878.8,6682.0,5591.3,6053.6,5630.0,,5452.7,5266.0,,5821.0,6670.8,5752.0,5663.5,,5206.0,6044.6,6108.0,5760.1,7221.7,6196.0,5550.0,5554.4,,-241.9,1527.7,-269.0,-267.0,-221.6,-163.0,645.0,6.0,-133.2,-226.0,-305.7,-166.3,198.7,,-52.7,-145.0,-350.3,23.1,20.0,29.7,-382.0,-171.3,-493.1,-145.9,-221.0,32.8,-105.2,698.0,-392.7,69.6,-354.0,,-531.3,-718.0,,-163.0,686.8,-232.0,-320.5,,-778.0,60.6,124.0,-223.9,1237.7,212.0,-434.0,-429.6,,False,False,False,True,True,False,True,True,True,False,True,True,,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,False,True,False,False,
Oklahoma,1624,1549.9,1749.1,1572.3,1550.0,1577.0,1556.0,1432.0,1549.0,1492.4,1556.0,1515.9,1553.0,1541.7,,1675.9,1526.0,1560.6,1520.7,1747.0,1479.4,1538.5,1568.2,1454.9,1629.5,1625.0,1612.0,1576.0,,1477.9,1675.8,1668.0,,,1386.1,,1572.1,1565.8,1596.0,1524.8,,1464.6,1640.2,1552.0,1528.3,1738.9,1609.0,1592.5,1381.6,1560.0,-74.1,125.1,-51.7,-74.0,-47.0,-68.0,-192.0,-75.0,-131.6,-68.0,-108.1,-71.0,-82.3,,51.9,-98.0,-63.4,-103.3,123.0,-144.6,-85.5,-55.8,-169.1,5.5,1.0,-12.0,-48.0,,-146.1,51.8,44.0,,,-237.9,,-51.9,-58.2,-28.0,-99.2,,-159.4,16.2,-72.0,-95.7,114.9,-15.0,-31.5,-242.4,-64.0,False,True,True,True,True,False,False,False,True,False,True,False,,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,True,True,,,False,,True,True,True,False,,False,True,True,False,False,True,True,False,True
Oregon,819,780.3,826.4,785.9,791.0,789.0,773.0,773.0,734.0,798.1,738.0,752.7,772.4,784.8,,745.6,751.0,759.3,761.3,871.0,851.1,776.0,771.5,735.2,749.3,834.0,916.6,777.7,,764.0,773.5,768.0,,,725.4,,792.0,873.3,780.0,771.8,,737.7,940.5,783.0,753.7,834.9,797.0,737.0,712.6,,-38.7,7.4,-33.1,-28.0,-30.0,-46.0,-46.0,-85.0,-20.9,-81.0,-66.3,-46.6,-34.2,,-73.4,-68.0,-59.7,-57.7,52.0,32.1,-43.0,-47.5,-83.8,-69.7,15.0,97.6,-41.3,,-55.0,-45.5,-51.0,,,-93.6,,-27.0,54.3,-39.0,-47.2,,-81.3,121.5,-36.0,-65.3,15.9,-22.0,-82.0,-106.4,,True,True,True,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,False,False,True,False,False,,False,False,False,,,False,,True,False,False,False,,False,False,True,False,True,True,False,False,
Pennsylvania,9775,9349.0,9641.5,9383.0,9266.0,9413.3,9446.0,9612.0,9828.0,9579.9,9329.0,9483.5,9311.7,9670.9,,9739.7,9268.0,9497.7,9687.7,9521.0,9429.4,9241.0,9780.1,9073.5,9471.6,9191.0,9619.4,9298.9,,9643.4,9604.6,9059.0,,9228.8,8911.7,,9455.0,9373.4,9490.0,9112.1,,9194.8,9654.6,9407.0,9371.9,11092.6,9542.0,9437.0,8982.9,9313.0,-426.0,-133.5,-392.0,-509.0,-361.7,-329.0,-163.0,53.0,-195.1,-446.0,-291.5,-463.3,-104.1,,-35.3,-507.0,-277.3,-87.3,-254.0,-345.6,-534.0,5.1,-701.5,-303.4,-584.0,-155.6,-476.1,,-131.6,-170.4,-716.0,,-546.2,-863.3,,-320.0,-401.6,-285.0,-662.9,,-580.2,-120.4,-368.0,-403.1,1317.6,-233.0,-338.0,-792.1,-462.0,True,True,False,True,True,True,True,True,False,True,False,True,,True,False,True,True,True,True,False,True,False,True,False,True,False,,True,True,False,,False,False,,True,True,True,False,,False,True,True,True,False,True,True,False,False
Rhode Island,1294,1273.4,1340.1,1278.2,1262.0,1280.8,1300.0,1261.0,1512.0,1342.7,1290.0,1395.9,1289.5,1269.6,,1260.4,1272.0,1300.4,1394.7,1227.0,1255.8,1243.5,1357.9,1231.0,1273.3,1226.0,1292.2,1312.9,,1317.9,1325.6,1307.0,,,1183.6,,1304.0,1486.5,1365.0,1237.9,,1255.6,1321.6,1390.0,1277.5,1399.6,1342.0,1272.0,1176.5,1258.0,-20.6,46.1,-15.8,-32.0,-13.2,6.0,-33.0,218.0,48.7,-4.0,101.9,-4.5,-24.4,,-33.6,-22.0,6.4,100.7,-67.0,-38.2,-50.5,63.9,-63.0,-20.7,-68.0,-1.8,18.9,,23.9,31.6,13.0,,,-110.4,,10.0,192.5,71.0,-56.1,,-38.4,27.6,96.0,-16.5,105.6,48.0,-22.0,-117.5,-36.0,False,True,False,True,True,False,False,False,True,False,True,False,,False,False,True,False,False,False,False,False,False,False,False,True,True,,False,False,True,,,False,,True,False,False,False,,False,False,False,True,False,False,False,False,False
South Carolina,4274,4388.3,5043.8,4467.8,4300.0,4417.3,4257.0,4251.0,4262.0,4098.8,4093.0,4221.9,4161.6,4253.2,,4314.0,4140.0,4169.5,4122.5,4446.0,4007.4,4246.5,4339.1,4175.6,4368.4,4126.0,4316.1,4256.1,,4102.9,4223.7,4023.0,,4147.3,3989.3,,4337.0,5192.1,4393.0,4307.0,,4002.4,4356.2,4282.0,4409.0,4394.9,4380.0,4323.0,4115.2,4508.0,114.3,769.8,193.8,26.0,143.3,-17.0,-23.0,-12.0,-175.2,-181.0,-52.1,-112.4,-20.8,,40.0,-134.0,-104.5,-151.5,172.0,-266.6,-27.5,65.1,-98.4,94.4,-148.0,42.1,-17.9,,-171.1,-50.3,-251.0,,-126.7,-284.7,,63.0,918.1,119.0,33.0,,-271.6,82.2,8.0,135.0,120.9,106.0,49.0,-158.8,234.0,False,False,True,False,True,True,True,False,False,True,True,True,,True,False,True,False,False,False,True,True,True,True,False,True,True,,False,True,False,,False,False,,True,False,False,True,,False,True,True,False,False,True,True,False,False
South Dakota,777,575.6,643.3,579.3,555.0,570.0,618.0,501.0,726.0,654.5,595.0,627.1,589.3,665.0,,540.4,518.0,634.2,661.2,669.0,403.2,558.0,660.1,575.9,597.3,618.0,684.4,599.8,,640.3,643.6,737.0,,,452.5,,617.7,501.3,715.0,531.9,,560.3,712.9,651.0,617.4,664.9,643.0,805.5,435.0,604.0,-201.4,-133.7,-197.7,-222.0,-207.0,-159.0,-276.0,-51.0,-122.5,-182.0,-149.9,-187.7,-112.0,,-236.6,-259.0,-142.8,-115.8,-108.0,-373.8,-219.0,-116.9,-201.1,-179.7,-159.0,-92.6,-177.2,,-136.7,-133.4,-40.0,,,-324.5,,-159.3,-275.7,-62.0,-245.1,,-216.7,-64.1,-126.0,-159.6,-112.1,-134.0,28.5,-342.0,-173.0,True,True,False,False,True,False,True,True,True,True,True,True,,False,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,False,True,True,True,True,True,True,False,True
Tennessee,4211,3987.3,4252.6,3898.4,3818.0,3887.8,3909.0,4221.0,4519.0,4199.4,3697.0,3781.9,3845.8,4317.4,,4046.0,3821.0,4088.4,4135.0,4186.0,3588.7,3801.5,4273.9,3834.2,4006.7,3693.0,4062.9,4078.2,,3517.6,4093.9,3632.0,,3843.3,3116.5,,4005.3,3688.8,4125.0,3823.4,,3754.6,4083.0,4311.0,3870.9,3920.4,4040.0,3887.0,3460.4,3893.0,-223.7,41.6,-312.6,-393.0,-323.2,-302.0,10.0,308.0,-11.6,-514.0,-429.1,-365.2,106.4,,-165.0,-390.0,-122.6,-76.0,-25.0,-622.3,-409.5,62.9,-376.8,-204.3,-518.0,-148.1,-132.8,,-693.4,-117.1,-579.0,,-367.7,-1094.5,,-205.7,-522.2,-86.0,-387.6,,-456.4,-128.0,100.0,-340.1,-290.6,-171.0,-324.0,-750.6,-318.0,True,False,False,False,False,True,False,True,False,False,False,True,,True,False,True,True,True,False,False,True,False,True,False,True,True,,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,False,False,False
Texas,20903,19845.0,19729.2,19875.9,19918.0,19815.1,19876.0,21141.0,19434.0,19753.2,19323.0,19403.2,20030.2,21257.5,,19523.5,19727.0,19982.8,20361.7,20037.0,19428.6,18177.5,20738.2,19095.6,19984.2,19536.0,20683.4,20074.8,,19639.5,20494.2,18980.0,,21029.8,18904.7,27265.0,19994.0,21061.5,20487.0,19705.8,,19354.7,20721.9,20490.0,20307.7,20868.5,20245.0,19379.0,19417.7,19178.0,-1057.0,-1172.8,-1026.1,-984.0,-1086.9,-1026.0,239.0,-1468.0,-1148.8,-1579.0,-1498.8,-871.8,355.5,,-1378.5,-1175.0,-919.2,-540.3,-865.0,-1473.4,-2724.5,-163.8,-1806.4,-917.8,-1366.0,-218.6,-827.2,,-1262.5,-407.8,-1922.0,,127.8,-1997.3,6363.0,-908.0,159.5,-415.0,-1196.2,,-1547.3,-180.1,-412.0,-594.3,-33.5,-657.0,-1523.0,-1484.3,-1724.0,False,True,True,False,True,True,False,False,False,False,True,True,,False,False,True,True,True,False,False,True,False,True,False,True,True,,False,True,False,,True,False,False,True,True,True,False,,False,True,True,True,True,True,False,False,False
Utah,787,683.9,696.2,674.3,696.0,680.0,717.0,727.0,716.0,875.7,666.0,696.8,692.0,625.0,,735.5,720.0,751.1,606.8,652.0,692.7,713.0,743.3,713.4,785.6,736.0,755.6,774.4,,721.4,718.2,685.0,,,578.6,,721.4,719.6,738.0,683.7,,745.9,778.7,751.0,652.3,827.7,705.0,682.0,498.3,683.0,-103.1,-90.8,-112.7,-91.0,-107.0,-70.0,-60.0,-71.0,88.7,-121.0,-90.2,-95.0,-162.0,,-51.5,-67.0,-35.9,-180.2,-135.0,-94.3,-74.0,-43.7,-73.6,-1.4,-51.0,-31.4,-12.6,,-65.6,-68.8,-102.0,,,-208.4,,-65.6,-67.4,-49.0,-103.3,,-41.1,-8.3,-36.0,-134.7,40.7,-82.0,-105.0,-288.7,-104.0,True,False,True,False,True,True,True,True,False,True,True,False,,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,False,True,True,False,False,False
Vermont,63,58.0,58.2,58.0,58.0,59.0,59.0,59.0,58.0,58.6,61.0,60.6,60.4,61.0,,59.5,58.0,58.0,59.0,65.0,66.8,58.0,59.7,63.4,58.0,89.0,58.0,75.2,,61.4,58.0,58.0,,,58.0,,61.0,60.5,83.0,58.0,,58.1,85.3,62.0,60.4,79.1,58.0,59.0,57.9,,-5.0,-4.8,-5.0,-5.0,-4.0,-4.0,-4.0,-5.0,-4.4,-2.0,-2.4,-2.6,-2.0,,-3.5,-5.0,-5.0,-4.0,2.0,3.8,-5.0,-3.3,0.4,-5.0,26.0,-5.0,12.2,,-1.6,-5.0,-5.0,,,-5.0,,-2.0,-2.5,20.0,-5.0,,-4.9,22.3,-1.0,-2.6,16.1,-5.0,-4.0,-5.1,,True,False,False,True,True,True,False,True,True,True,True,True,,True,False,False,True,True,True,False,True,True,True,False,True,False,,True,False,False,,,False,,True,True,False,False,,True,False,True,True,False,False,True,False,
Virginia,3938,4134.3,4798.4,4132.0,4072.0,4194.0,4028.0,4203.0,3977.0,3932.1,3727.0,4161.3,3958.0,3994.5,,3719.0,4063.0,3927.2,3979.8,4202.0,4049.5,3982.5,4022.6,3856.3,4046.3,4077.0,4141.7,4007.8,,3842.0,4004.7,4154.5,,4071.7,3856.8,,4109.0,3921.6,4043.0,3958.9,,3611.5,4176.3,4002.0,4040.1,4195.4,4119.0,3898.0,3845.2,4172.0,200.3,864.4,198.0,138.0,260.0,94.0,269.0,43.0,-1.9,-207.0,227.3,24.0,60.5,,-215.0,129.0,-6.8,45.8,268.0,115.5,48.5,88.6,-77.7,112.3,143.0,207.7,73.8,,-92.0,70.7,220.5,,137.7,-77.2,,175.0,-12.4,109.0,24.9,,-322.5,242.3,68.0,106.1,261.4,185.0,-36.0,-88.8,238.0,False,True,True,False,True,False,True,True,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,,True,True,True,True,,False,False,True,True,False,True,True,True,False
Washington,2619,2515.9,2691.9,2514.8,2550.0,2523.8,2536.0,2580.0,2550.0,2533.4,2444.0,2429.0,2495.7,2538.2,,2452.7,2565.0,2611.4,2592.1,2580.0,2555.8,2498.5,2578.6,2451.6,2499.3,2556.0,2541.7,2543.4,,2376.4,2574.8,2579.0,,2539.9,2461.7,,2571.0,2574.7,2593.0,2513.6,,2504.6,2529.4,2546.0,2527.4,2788.6,2550.0,2444.0,2431.5,2539.0,-103.1,72.9,-104.2,-69.0,-95.2,-83.0,-39.0,-69.0,-85.6,-175.0,-190.0,-123.3,-80.8,,-166.3,-54.0,-7.6,-26.9,-39.0,-63.2,-120.5,-40.4,-167.4,-119.7,-63.0,-77.3,-75.6,,-242.6,-44.2,-40.0,,-79.1,-157.3,,-48.0,-44.3,-26.0,-105.4,,-114.4,-89.6,-73.0,-91.6,169.6,-69.0,-175.0,-187.5,-80.0,True,False,True,True,True,True,True,True,False,False,False,True,,False,True,True,True,True,True,False,True,False,False,True,True,True,,False,True,True,,True,False,,True,True,True,False,,False,True,True,True,False,True,False,False,True
West Virginia,658,513.7,653.4,511.6,528.0,515.9,530.0,545.0,571.0,513.3,532.0,572.6,499.1,530.0,,515.1,559.0,509.2,611.7,580.0,539.1,508.0,551.2,485.0,495.3,594.0,529.5,,,494.4,546.9,504.0,,,440.2,,539.0,662.4,522.0,507.5,,441.4,555.1,494.0,500.2,569.0,538.0,469.0,475.4,,-144.3,-4.6,-146.4,-130.0,-142.1,-128.0,-113.0,-87.0,-144.7,-126.0,-85.4,-158.9,-128.0,,-142.9,-99.0,-148.8,-46.3,-78.0,-118.9,-150.0,-106.8,-173.0,-162.7,-64.0,-128.5,,,-163.6,-111.1,-154.0,,,-217.8,,-119.0,4.4,-136.0,-150.5,,-216.6,-102.9,-164.0,-157.8,-89.0,-120.0,-189.0,-182.6,,True,False,True,True,True,True,True,False,True,True,False,True,,True,True,False,True,True,True,False,True,False,False,True,True,,,False,True,False,,,False,,True,True,True,False,,False,True,False,False,True,True,False,False,
Wisconsin,3143,2564.9,3307.4,2576.0,2153.0,2554.1,2590.0,2837.0,2459.0,2506.8,2229.0,2302.3,,2659.7,,2439.7,2440.0,2666.3,2590.3,2872.0,2300.3,2587.5,3013.7,2287.0,2742.7,2394.0,2866.3,,2393.5,2263.3,2873.1,3009.0,,2161.4,2080.4,,2602.2,2320.6,2673.0,2321.2,,2414.7,2899.9,2516.0,2806.4,3197.9,2607.0,2780.5,1955.8,2706.0,-275.1,467.4,-264.0,-687.0,-285.9,-250.0,-3.0,-381.0,-333.2,-611.0,-537.7,,-180.3,,-400.3,-400.0,-173.7,-249.7,32.0,-539.7,-252.5,173.7,-553.0,-97.3,-446.0,26.3,,-446.5,-576.7,33.1,169.0,,-678.6,-759.6,,-237.8,-519.4,-167.0,-518.8,,-425.3,59.9,-324.0,-33.6,357.9,-233.0,-59.5,-884.2,-134.0,False,True,False,False,True,True,False,False,False,False,,True,,False,False,True,True,True,False,True,True,False,True,False,True,,False,False,True,True,,False,False,,True,False,True,False,,False,True,False,True,False,True,True,False,True
Wyoming,176,110.4,258.1,111.8,103.0,112.0,106.0,129.0,107.0,108.0,94.0,102.8,99.9,121.8,,71.3,86.0,97.1,101.5,188.0,100.4,92.0,114.9,96.7,103.1,159.0,151.4,,,103.0,137.4,92.0,,,62.6,,107.0,108.3,137.0,77.1,,70.5,178.9,113.0,77.8,135.4,123.0,81.5,76.9,103.0,-65.6,82.1,-64.2,-73.0,-64.0,-70.0,-47.0,-69.0,-68.0,-82.0,-73.2,-76.1,-54.2,,-104.7,-90.0,-78.9,-74.5,12.0,-75.6,-84.0,-61.1,-79.3,-72.9,-17.0,-24.6,,,-73.0,-38.6,-84.0,,,-113.4,,-69.0,-67.7,-39.0,-98.9,,-105.5,2.9,-63.0,-98.2,-40.6,-53.0,-94.5,-99.1,-73.0,False,True,False,True,False,True,False,False,False,False,False,True,,False,False,False,False,True,False,False,True,False,False,True,True,,,False,True,False,,,False,,False,False,True,False,,False,True,True,False,True,True,False,False,False
US,255946,246655.4,255320.8,247086.6,,247306.4,248793.0,252447.0,255604.0,252432.4,243084.0,245367.8,248315.3,,254102.0,249577.6,245900.0,250924.9,253508.9,250082.0,242368.6,,256121.6,238940.3,251596.5,244737.0,251622.1,247879.0,,242830.8,252698.0,242431.0,251226.8,247364.1,244692.0,242681.0,252578.9,256742.0,253070.0,243717.0,251261.0,,252921.5,254020.0,249313.4,269959.8,254523.5,247322.5,239035.4,246320.0,-8739.6,-74.2,-8308.4,,-8088.6,-6602.0,-2948.0,209.0,-2962.6,-12311.0,-10027.2,-7079.7,,-1293.0,-5817.4,-9495.0,-4470.1,-1886.1,-5313.0,-13026.4,,726.6,-16454.7,-3798.5,-10658.0,-3772.9,-7516.0,,-12564.2,-2697.0,-12964.0,-4168.2,-8030.9,-10703.0,-12714.0,-2816.1,1347.0,-2325.0,-11678.0,-4134.0,,-2473.5,-1375.0,-6081.6,14564.8,-871.5,-8072.5,-16359.6,-9075.0,True,True,,True,True,True,True,True,False,False,True,,True,True,False,True,True,True,False,,True,False,True,False,True,True,,False,True,False,True,True,False,False,True,True,True,False,True,,True,True,True,False,True,True,False,False
