,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Missouri,2054,1841.6,1839.3,1806.0,1835.6,1825.0,2148.0,,1858.2,1902.0,1766.5,1772.7,,1729.0,2165.4,1747.0,1758.2,1905.6,1964.2,1775.1,1754.4,1823.4,1832.7,,1967.6,1823.4,1826.0,,1757.9,1647.4,,1802.0,1893.0,1790.8,,1881.0,1781.7,2113.9,1815.0,,1791.6,1704.0,-212.4,-214.7,-248.0,-218.4,-229.0,94.0,,-195.8,-152.0,-287.5,-281.3,,-325.0,111.4,-307.0,-295.8,-148.4,-89.8,-278.9,-299.6,-230.6,-221.3,,-86.4,-230.6,-228.0,,-296.1,-406.6,,-252.0,-161.0,-263.2,,-173.0,-272.3,59.9,-239.0,,-262.4,-350.0,False,False,False,False,True,,True,True,False,False,,False,True,False,False,True,True,False,False,False,False,,True,False,False,,False,False,,False,True,False,,True,False,True,False,,False,False
Montana,171,158.0,160.1,157.0,160.0,148.0,120.0,,152.7,139.0,143.0,159.4,,190.8,104.7,147.0,146.1,140.0,189.5,146.6,140.5,132.2,167.1,,142.7,173.2,126.0,,,155.8,,148.0,171.0,147.3,,160.0,125.8,151.6,155.0,,144.3,139.0,-13.0,-10.9,-14.0,-11.0,-23.0,-51.0,,-18.3,-32.0,-28.0,-11.6,,19.8,-66.3,-24.0,-24.9,-31.0,18.5,-24.4,-30.5,-38.8,-3.9,,-28.3,2.2,-45.0,,,-15.2,,-23.0,0.0,-23.7,,-11.0,-45.2,-19.4,-16.0,,-26.7,-32.0,True,False,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,,False,True,False,,,False,,False,True,False,,True,False,False,False,,False,False
Nebraska,469,446.0,456.4,449.0,456.0,461.0,562.0,,468.7,424.0,471.8,440.6,,510.2,461.1,454.0,451.3,464.2,531.0,476.7,445.9,442.2,442.9,,455.2,463.1,475.0,,,405.1,,453.0,490.0,440.3,,465.0,460.5,485.5,453.0,,451.2,413.0,-23.0,-12.6,-20.0,-13.0,-8.0,93.0,,-0.3,-45.0,2.8,-28.4,,41.2,-7.9,-15.0,-17.7,-4.8,62.0,7.7,-23.1,-26.8,-26.1,,-13.8,-5.9,6.0,,,-63.9,,-16.0,21.0,-28.7,,-4.0,-8.5,16.5,-16.0,,-17.8,-56.0,True,True,True,True,False,,True,False,True,False,,False,True,True,True,True,False,True,False,False,False,,True,True,True,,,False,,True,True,False,,True,True,True,True,,True,False
Nevada,1582,1707.0,1719.0,1694.0,1722.2,1614.0,1532.0,,1575.6,1582.0,1673.4,1503.2,,1697.7,1938.0,1716.0,1622.0,1421.5,1625.8,1625.0,1584.3,1569.7,1485.7,,1665.2,1625.6,1546.0,,2171.9,1678.0,,1716.0,1782.0,1697.3,,1540.0,1646.5,1584.4,1594.0,,1628.4,1643.0,125.0,137.0,112.0,140.2,32.0,-50.0,,-6.4,0.0,91.4,-78.8,,115.7,356.0,134.0,40.0,-160.5,43.8,43.0,2.3,-12.3,-96.3,,83.2,43.6,-36.0,,589.9,96.0,,134.0,200.0,115.3,,-42.0,64.5,2.4,12.0,,46.4,61.0,False,True,False,True,True,,True,True,True,True,,True,False,False,True,False,True,True,True,True,True,,True,True,True,,False,True,,False,False,True,,True,True,True,True,,True,True
New Hampshire,439,443.6,444.6,446.0,448.7,448.0,432.0,,442.4,436.0,452.5,453.6,,449.2,443.9,464.0,444.0,451.9,464.4,441.3,443.0,432.2,449.2,,454.6,448.3,437.0,,,434.4,,448.0,450.0,449.0,,444.0,498.2,462.3,447.0,,447.8,,4.6,5.6,7.0,9.7,9.0,-7.0,,3.4,-3.0,13.5,14.6,,10.2,4.9,25.0,5.0,12.9,25.4,2.3,4.0,-6.8,10.2,,15.6,9.3,-2.0,,,-4.6,,9.0,11.0,10.0,,5.0,59.2,23.3,8.0,,8.8,,False,False,False,False,False,,True,True,False,False,,False,False,False,False,False,False,True,True,False,False,,False,False,True,,,False,,False,False,False,,False,False,False,False,,False,
New Jersey,16103,15902.3,15946.2,16058.0,16137.8,16053.0,16116.0,,16052.6,15968.0,16031.0,16197.2,,16254.9,16073.6,16138.0,15964.3,16124.2,16096.1,16091.1,16032.2,16027.8,15991.1,,16093.5,16052.8,15963.0,,16072.5,15969.1,,16088.0,16077.0,15967.9,,15966.0,,16734.9,15933.0,,16055.5,16141.0,-200.7,-156.8,-45.0,34.8,-50.0,13.0,,-50.4,-135.0,-72.0,94.2,,151.9,-29.4,35.0,-138.7,21.2,-6.9,-11.9,-70.8,-75.2,-111.9,,-9.5,-50.2,-140.0,,-30.5,-133.9,,-15.0,-26.0,-135.1,,-137.0,,631.9,-170.0,,-47.5,38.0,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,,True,,False,True,,True,True
New Mexico,870,866.4,868.8,874.0,873.0,855.0,810.0,,855.7,844.0,885.4,841.7,,873.9,902.6,912.0,849.2,829.3,924.9,834.1,838.8,846.3,905.4,,854.3,854.2,919.0,,,826.6,,889.0,901.0,849.1,,832.0,903.1,880.0,857.0,,856.4,838.0,-3.6,-1.2,4.0,3.0,-15.0,-60.0,,-14.3,-26.0,15.4,-28.3,,3.9,32.6,42.0,-20.8,-40.7,54.9,-35.9,-31.2,-23.7,35.4,,-15.7,-15.8,49.0,,,-43.4,,19.0,31.0,-20.9,,-38.0,33.1,10.0,-13.0,,-13.6,-32.0,True,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
New York,33125,33213.3,33201.8,33177.0,33448.4,33177.0,33256.0,,33158.5,32959.0,33132.1,33122.3,,32930.9,33093.9,33257.0,33066.1,33316.3,33168.1,33168.7,33098.2,33136.9,33311.4,,33242.2,33176.8,33018.0,,33094.1,33080.2,,33085.0,33169.0,33139.9,,33178.0,,34096.3,33159.0,,33178.3,33117.0,46.3,34.8,10.0,281.4,10.0,89.0,,-8.5,-208.0,-34.9,-44.7,,-236.1,-73.1,90.0,-100.9,149.3,1.1,1.7,-68.8,-30.1,144.4,,75.2,9.8,-149.0,,-72.9,-86.8,,-82.0,2.0,-27.1,,11.0,,929.3,-8.0,,11.3,-50.0,True,True,False,True,False,,True,False,True,True,,False,False,False,False,False,True,True,False,True,False,,False,True,False,,False,False,,False,True,True,,True,,False,True,,True,False
North Carolina,3440,3313.0,3325.9,3314.0,3330.6,3307.0,3688.0,,3332.3,3353.0,3273.5,3293.3,,3193.3,3317.2,3306.0,3340.3,3121.7,3555.3,3231.2,3139.1,3369.0,3528.8,,3143.5,3379.5,3229.0,,3361.2,3187.3,,3347.0,3475.0,3246.8,,3284.0,3198.2,3378.3,3452.0,,3245.5,3160.0,-127.0,-114.1,-126.0,-109.4,-133.0,248.0,,-107.7,-87.0,-166.5,-146.7,,-246.7,-122.8,-134.0,-99.7,-318.3,115.3,-208.8,-300.9,-71.0,88.8,,-296.5,-60.5,-211.0,,-78.8,-252.7,,-93.0,35.0,-193.2,,-156.0,-241.8,-61.7,12.0,,-194.5,-280.0,True,True,True,False,False,,True,True,False,False,,False,True,False,True,False,True,False,False,True,True,,False,True,False,,True,False,,True,True,False,,False,False,True,True,,False,False
North Dakota,227,165.1,162.1,172.0,165.0,189.0,221.0,,202.7,145.0,186.0,,,234.1,198.4,178.0,208.7,217.6,203.8,212.7,188.6,192.2,173.1,,225.0,179.5,200.5,,,152.1,,169.0,190.0,142.3,,227.0,167.6,222.7,192.0,,187.3,166.0,-61.9,-64.9,-55.0,-62.0,-38.0,-6.0,,-24.3,-82.0,-41.0,,,7.1,-28.6,-49.0,-18.3,-9.4,-23.2,-14.3,-38.4,-34.8,-53.9,,-2.0,-47.5,-26.5,,,-74.9,,-58.0,-37.0,-84.7,,0.0,-59.4,-4.3,-35.0,,-39.7,-61.0,False,True,False,True,True,,True,False,True,,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,True,False,,True,True,True,True,,True,True
Ohio,4740,4711.4,5353.2,4763.0,5359.4,5080.0,5077.0,,4812.3,4696.0,4765.5,5394.2,,4799.7,4808.7,4635.0,4788.5,4694.0,5215.0,4771.0,4628.6,4886.4,4722.4,7659.5,4578.1,4758.0,5820.0,,5083.7,4975.1,,4836.0,4809.0,5083.8,,4686.0,5019.6,5103.0,4857.0,,4543.8,4615.0,-28.6,613.2,23.0,619.4,340.0,337.0,,72.3,-44.0,25.5,654.2,,59.7,68.7,-105.0,48.5,-46.0,475.0,31.0,-111.4,146.4,-17.6,2919.5,-161.9,18.0,1080.0,,343.7,235.1,,96.0,69.0,343.8,,-54.0,279.6,363.0,117.0,,-196.2,-125.0,False,True,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Oklahoma,1004,1080.6,1084.1,1063.0,1085.0,1055.0,1128.0,,1067.3,1020.0,1041.6,1006.5,,1097.8,1141.6,1050.0,1027.1,980.2,1212.9,1006.3,1036.5,1063.2,1196.2,,969.6,1192.6,1329.0,,,905.3,,1060.0,1067.0,1029.1,,1011.0,1023.5,1083.0,1067.0,,1020.5,1002.0,76.6,80.1,59.0,81.0,51.0,124.0,,63.3,16.0,37.6,2.5,,93.8,137.6,46.0,23.1,-23.8,208.9,2.3,32.5,59.2,192.2,,-34.4,188.6,325.0,,,-98.7,,56.0,63.0,25.1,,7.0,19.5,79.0,63.0,,16.5,-2.0,False,True,False,True,False,,True,True,True,True,,False,False,True,True,True,False,True,True,True,False,,True,False,False,,,False,,True,True,True,,True,True,False,True,,True,True
Oregon,542,616.1,595.1,575.0,602.0,570.0,513.0,,562.4,556.0,572.4,581.8,,581.1,570.1,540.0,556.0,524.5,740.2,566.7,532.2,564.8,609.7,,551.6,572.1,556.0,,,573.3,,577.0,635.0,580.1,,560.0,544.1,570.3,557.0,,579.6,541.0,74.1,53.1,33.0,60.0,28.0,-29.0,,20.4,14.0,30.4,39.8,,39.1,28.1,-2.0,14.0,-17.5,198.2,24.7,-9.8,22.8,67.7,,9.6,30.1,14.0,,,31.3,,35.0,93.0,38.1,,18.0,2.1,28.3,15.0,,37.6,-1.0,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,,True,True,True,,,True,,True,False,True,,True,True,True,True,,True,True
Pennsylvania,8083,8047.6,8060.0,7991.0,8075.0,8048.0,8049.0,,8102.3,7914.0,8013.3,8169.4,,8023.5,8379.5,7848.0,8018.5,8097.0,8498.8,8053.0,7939.5,7924.8,7894.4,,8151.9,8005.6,7690.0,,8287.6,7861.8,,8048.0,8086.0,7956.5,,7986.0,8679.7,8684.4,8003.0,,8008.0,7844.0,-35.4,-23.0,-92.0,-8.0,-35.0,-34.0,,19.3,-169.0,-69.7,86.4,,-59.5,296.5,-235.0,-64.5,14.0,415.8,-30.0,-143.5,-158.2,-188.6,,68.9,-77.4,-393.0,,204.6,-221.2,,-35.0,3.0,-126.5,,-97.0,596.7,601.4,-80.0,,-75.0,-239.0,True,False,True,True,True,,True,False,False,False,,False,False,False,False,True,False,True,False,False,False,,False,False,False,,False,False,,True,True,False,,False,False,False,False,,False,False
Rhode Island,1107,1107.7,1112.1,,1112.4,1094.0,1092.0,,1081.2,1051.0,1096.8,1091.3,,1149.8,1081.9,1122.0,1099.5,1095.6,1112.1,1110.1,1062.1,1070.7,1117.8,,1105.3,1115.3,1051.0,,1064.1,1195.5,,1094.0,1083.0,1092.7,,1073.0,1193.2,1150.5,1099.0,,1087.9,1070.0,0.7,5.1,,5.4,-13.0,-15.0,,-25.8,-56.0,-10.2,-15.7,,42.8,-25.1,15.0,-7.5,-11.4,5.1,3.1,-44.9,-36.3,10.8,,-1.7,8.3,-56.0,,-42.9,88.5,,-13.0,-24.0,-14.3,,-34.0,86.2,43.5,-8.0,,-19.1,-37.0,False,,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,False
South Carolina,3323,3499.7,3511.2,3317.0,3518.5,3387.0,3462.0,,3318.5,3398.0,3380.0,3068.5,,3435.3,3421.3,3257.0,3304.9,2913.9,3294.3,3256.8,3442.7,3368.4,3141.0,,3191.6,3385.5,3248.0,,3309.7,3420.0,,3491.0,3347.0,3389.2,,3408.0,3394.9,3293.4,3440.0,,3306.3,2829.0,176.7,188.2,-6.0,195.5,64.0,139.0,,-4.5,75.0,57.0,-254.5,,112.3,98.3,-66.0,-18.1,-409.1,-28.7,-66.2,119.7,45.4,-182.0,,-131.4,62.5,-75.0,,-13.3,97.0,,168.0,24.0,66.2,,85.0,71.9,-29.6,117.0,,-16.7,-494.0,False,True,False,True,True,,True,True,True,False,,True,True,True,True,False,True,True,True,True,False,,True,True,True,,True,True,,True,True,True,,True,True,True,True,,True,False
South Dakota,218,190.1,193.5,198.0,195.0,204.0,269.0,,222.8,178.0,205.4,198.0,,235.3,192.7,208.0,224.4,246.1,205.7,255.9,237.5,214.2,192.2,,220.1,212.4,173.0,,,204.6,,203.0,259.0,168.3,,363.0,199.1,274.2,235.0,,211.6,186.0,-27.9,-24.5,-20.0,-23.0,-14.0,51.0,,4.8,-40.0,-12.6,-20.0,,17.3,-25.3,-10.0,6.4,28.1,-12.3,37.9,19.5,-3.8,-25.8,,2.1,-5.6,-45.0,,,-13.4,,-15.0,41.0,-49.7,,145.0,-18.9,56.2,17.0,,-6.4,-32.0,True,True,True,True,False,,True,False,True,True,,True,True,True,True,False,True,False,True,True,True,,True,True,False,,,True,,True,False,False,,False,True,False,True,,True,False
Tennessee,2374,2441.3,2258.6,2322.0,2372.9,2277.0,2445.0,,2293.6,2221.0,2325.0,,,2224.9,2785.6,2281.0,2286.2,2081.9,2491.3,2196.4,2192.8,2374.9,2158.6,,2130.0,2281.0,2688.0,,2775.3,2033.7,,2411.0,2317.0,2329.1,,2142.0,2255.7,2164.3,2320.0,,2284.4,2174.0,67.3,-115.4,-52.0,-1.1,-97.0,71.0,,-80.4,-153.0,-49.0,,,-149.1,411.6,-93.0,-87.8,-292.1,117.3,-177.6,-181.2,0.9,-215.4,,-244.0,-93.0,314.0,,401.3,-340.3,,37.0,-57.0,-44.9,,-232.0,-118.3,-209.7,-54.0,,-89.6,-200.0,False,True,True,False,False,,False,False,True,,,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,True,True,True,,False,False,False,True,,False,False
Texas,15707,16490.0,16765.2,15912.0,16721.9,16064.0,17108.0,,16242.7,16861.0,15704.0,14557.3,,15047.4,18871.7,16886.0,16359.0,14218.3,16228.7,16325.9,14887.3,15710.5,15048.2,,15780.9,15678.8,16070.0,,23454.8,14941.3,14777.0,17192.0,18248.0,16058.4,,15188.0,15708.2,15611.2,15441.0,,15873.2,14545.0,783.0,1058.2,205.0,1014.9,357.0,1401.0,,535.7,1154.0,-3.0,-1149.7,,-659.6,3164.7,1179.0,652.0,-1488.7,521.7,618.9,-819.7,3.5,-658.8,,73.9,-28.2,363.0,,7747.8,-765.7,-930.0,1485.0,2541.0,351.4,,-519.0,1.2,-95.8,-266.0,,166.2,-1162.0,False,True,False,True,False,,True,False,True,False,,True,False,False,True,False,True,True,False,True,True,,True,True,True,,False,True,False,False,False,True,,True,True,True,True,,True,False
Utah,448,491.9,497.1,497.0,495.0,488.0,488.0,,515.3,454.0,483.9,472.7,,387.8,487.7,500.0,483.8,396.9,574.0,478.7,475.2,481.9,484.7,,507.7,499.9,473.0,,,426.6,,495.0,491.0,496.4,,486.0,484.5,478.5,497.0,,494.3,420.0,43.9,49.1,49.0,47.0,40.0,40.0,,67.3,6.0,35.9,24.7,,-60.2,39.7,52.0,35.8,-51.1,126.0,30.7,27.2,33.9,36.7,,59.7,51.9,25.0,,,-21.4,,47.0,43.0,48.4,,38.0,36.5,30.5,49.0,,46.3,-28.0,False,False,False,True,True,,False,True,True,True,,False,True,False,True,False,False,True,True,True,True,,False,False,True,,,True,,False,True,False,,True,True,True,False,,False,True
Vermont,58,58.0,58.2,58.0,60.0,60.0,58.0,,60.0,59.0,60.4,59.5,,71.8,58.7,60.0,58.9,63.2,69.5,59.8,61.1,58.0,60.2,,60.2,59.2,58.0,,,58.0,,59.0,62.0,58.2,,60.0,,65.7,58.0,,61.5,,0.0,0.2,0.0,2.0,2.0,0.0,,2.0,1.0,2.4,1.5,,13.8,0.7,2.0,0.9,5.2,11.5,1.8,3.1,0.0,2.2,,2.2,1.2,0.0,,,0.0,,1.0,4.0,0.2,,2.0,,7.7,0.0,,3.5,,False,True,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,,False,False,True,,,True,,False,False,False,,False,,False,True,,False,
Virginia,3142,2962.4,3010.1,3004.0,3067.5,2927.0,3023.0,,2926.6,2677.0,2903.3,2939.5,,2941.3,2576.3,2853.0,2936.6,2927.0,3193.7,2857.0,2809.8,2933.5,2824.8,,2807.0,2969.3,2868.0,,2933.5,2762.2,,2935.0,2972.0,2898.8,,2914.0,2993.8,3156.4,2843.0,,2844.8,2851.0,-179.6,-131.9,-138.0,-74.5,-215.0,-119.0,,-215.4,-465.0,-238.7,-202.5,,-200.7,-565.7,-289.0,-205.4,-215.0,51.7,-285.0,-332.2,-208.5,-317.2,,-335.0,-172.7,-274.0,,-208.5,-379.8,,-207.0,-170.0,-243.2,,-228.0,-148.2,14.4,-299.0,,-297.2,-291.0,True,True,True,False,True,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,,False,True,False,,False,False,,False,True,False,,False,True,True,False,,False,False
Washington,2100,2067.0,2115.3,2096.0,2096.9,2129.0,2094.0,,2064.7,2236.0,2150.4,2111.2,,2155.4,2182.6,2132.0,2120.0,2134.5,2313.0,2132.3,2090.3,2050.8,2125.2,,2096.0,2065.8,2415.0,,2397.3,2010.0,,2173.0,2365.0,2119.7,,2039.0,2166.4,2264.9,2126.0,,2138.1,2107.0,-33.0,15.3,-4.0,-3.1,29.0,-6.0,,-35.3,136.0,50.4,11.2,,55.4,82.6,32.0,20.0,34.5,213.0,32.3,-9.7,-49.2,25.2,,-4.0,-34.2,315.0,,297.3,-90.0,,73.0,265.0,19.7,,-61.0,66.4,164.9,26.0,,38.1,7.0,True,True,True,True,True,,False,False,False,True,,False,False,True,True,False,False,True,True,False,True,,True,False,False,,False,False,,False,False,True,,False,False,False,True,,False,True
West Virginia,337,349.0,377.1,340.0,367.0,322.0,262.0,,312.4,258.0,344.6,356.6,,339.4,242.9,254.0,300.6,250.7,355.8,292.4,310.4,288.5,454.2,,259.5,420.2,281.0,,,363.9,,314.0,351.0,310.5,,376.0,282.9,285.4,350.0,,304.2,307.0,12.0,40.1,3.0,30.0,-15.0,-75.0,,-24.6,-79.0,7.6,19.6,,2.4,-94.1,-83.0,-36.4,-86.3,18.8,-44.6,-26.6,-48.5,117.2,,-77.5,83.2,-56.0,,,26.9,,-23.0,14.0,-26.5,,39.0,-54.1,-51.6,13.0,,-32.8,-30.0,False,True,False,False,False,,False,False,True,False,,True,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
Wisconsin,1281,1280.1,1267.7,1277.0,1271.4,1291.0,1420.0,,1321.9,1357.0,1298.5,1255.4,,1290.9,1302.1,1279.0,1273.6,1334.8,1559.3,1264.3,1231.4,1254.9,1280.5,1966.5,1340.0,1277.8,1412.0,,1266.6,1189.3,,1279.0,1278.0,1250.4,,1254.0,1289.6,1412.5,1286.0,,1300.4,1236.0,-0.9,-13.3,-4.0,-9.6,10.0,139.0,,40.9,76.0,17.5,-25.6,,9.9,21.1,-2.0,-7.4,53.8,278.3,-16.7,-49.6,-26.1,-0.5,685.5,59.0,-3.2,131.0,,-14.4,-91.7,,-2.0,-3.0,-30.6,,-27.0,8.6,131.5,5.0,,19.4,-45.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Wyoming,50,37.0,44.2,37.0,39.3,45.0,37.0,,50.1,47.0,52.1,50.7,,61.8,33.9,40.0,51.1,51.6,64.1,49.6,43.5,37.0,49.0,,46.3,44.5,75.0,,,44.6,,53.0,46.0,38.1,,44.0,44.0,45.0,45.0,,46.1,,-13.0,-5.8,-13.0,-10.7,-5.0,-13.0,,0.1,-3.0,2.1,0.7,,11.8,-16.1,-10.0,1.1,1.6,14.1,-0.4,-6.5,-13.0,-1.0,,-3.7,-5.5,25.0,,,-5.4,,3.0,-4.0,-11.9,,-6.0,-6.0,-5.0,-5.0,,-3.9,,True,False,True,True,False,,True,True,True,True,,True,False,True,True,True,False,True,True,False,True,,True,True,False,,,True,,True,True,True,,True,True,True,True,,True,
US,204490,207234.9,208589.6,,208410.1,205093.0,206529.0,204078.0,207299.2,204633.0,205398.8,203949.1,,,210752.0,205596.0,203625.1,196698.2,209528.4,204794.3,197344.9,204870.1,201475.6,,200688.0,204129.1,207165.0,203075.8,218386.3,197876.6,203846.0,205553.0,211451.0,204245.5,200462.0,201839.0,212427.1,209486.9,204895.0,197433.0,202421.5,188124.0,2702.9,4057.6,,3878.1,561.0,1997.0,-454.0,2767.2,101.0,866.8,-582.9,,,6220.0,1064.0,-906.9,-7833.8,4996.4,262.3,-7187.1,338.1,-3056.4,,-3844.0,-402.9,2633.0,-1456.2,13854.3,-6655.4,-686.0,1021.0,6919.0,-286.5,-4070.0,-2693.0,7895.1,4954.9,363.0,-7099.0,-2110.5,-16408.0,False,,False,True,True,True,False,True,True,True,,,False,True,True,False,False,True,False,True,False,,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False
