,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
18017,23,20.0,20.9,,17.0,0.0,,,,,,44.0,44.3,,11.5,22.4,50.0,,16.7,,16.9,,,,1.0,23.5,-3.0,-2.1,,-6.0,-23.0,,,,,,21.0,21.3,,-11.5,-0.6,27.0,,-6.3,,-6.1,,,,-22.0,0.5,True,,False,False,,,,,,False,False,,False,True,False,,False,,False,,,,False,True
18019,158,167.0,162.7,,130.0,159.0,,,,,,96.0,219.3,,101.8,133.3,149.0,,44.4,,178.4,,,,165.0,184.8,9.0,4.7,,-28.0,1.0,,,,,,-62.0,61.3,,-56.2,-24.7,-9.0,,-113.6,,20.4,,,,7.0,26.8,True,,False,True,,,,,,False,False,,False,False,False,,False,,False,,,,True,False
18021,27,34.0,34.2,,32.0,51.0,,,,,,19.0,47.4,,16.8,35.6,30.0,,40.6,,30.0,,,,55.0,27.0,7.0,7.2,,5.0,24.0,,,,,,-8.0,20.4,,-10.2,8.6,3.0,,13.6,,3.0,,,,28.0,-0.0,False,,True,False,,,,,,False,False,,False,False,True,,False,,True,,,,False,True
18023,42,27.0,23.6,,25.0,27.0,,,,,,27.0,45.7,,12.8,26.0,31.0,,16.8,,27.4,,,,32.0,23.8,-15.0,-18.4,,-17.0,-15.0,,,,,,-15.0,3.7,,-29.2,-16.0,-11.0,,-25.2,,-14.6,,,,-10.0,-18.2,False,,False,False,,,,,,False,True,,False,False,True,,False,,True,,,,True,False
18025,5,3.0,2.9,,2.0,6.0,,,,,,3.0,5.6,,1.3,1.5,,,2.2,,2.5,,,,5.0,3.4,-2.0,-2.1,,-3.0,1.0,,,,,,-2.0,0.6,,-3.7,-3.5,,,-2.8,,-2.5,,,,0.0,-1.6,False,,False,True,,,,,,False,True,,False,False,,,False,,False,,,,True,True
18027,77,89.0,88.5,,56.0,93.0,,,,,,25.0,70.1,,50.3,62.2,81.0,,26.2,,96.4,,,,75.0,57.7,12.0,11.5,,-21.0,16.0,,,,,,-52.0,-6.9,,-26.7,-14.8,4.0,,-50.8,,19.4,,,,-2.0,-19.3,True,,False,False,,,,,,False,True,,False,False,True,,False,,False,,,,True,False
18029,17,19.0,17.9,,17.0,12.0,,,,,,29.0,41.6,,6.9,16.4,23.0,,19.0,,23.6,,,,24.0,21.8,2.0,0.9,,0.0,-5.0,,,,,,12.0,24.6,,-10.1,-0.6,6.0,,2.0,,6.6,,,,7.0,4.8,True,,True,False,,,,,,False,False,,False,True,False,,True,,False,,,,False,False
18031,27,9.0,7.4,,8.0,9.0,,,,,,15.0,21.5,,4.8,11.6,15.0,,3.5,,16.6,,,,13.0,8.9,-18.0,-19.6,,-19.0,-18.0,,,,,,-12.0,-5.5,,-22.2,-15.4,-12.0,,-23.5,,-10.4,,,,-14.0,-18.1,False,,False,False,,,,,,True,True,,False,True,True,,False,,True,,,,True,False
18033,50,25.0,24.6,,23.0,24.0,,,,,,23.0,43.9,,12.8,21.9,24.0,,34.5,,24.9,,,,20.0,14.1,-25.0,-25.4,,-27.0,-26.0,,,,,,-27.0,-6.1,,-37.2,-28.1,-26.0,,-15.5,,-25.1,,,,-30.0,-35.9,False,,False,False,,,,,,False,True,,False,False,False,,True,,False,,,,False,False
18035,217,64.0,65.5,,59.0,53.0,,,,,,72.0,147.2,,44.7,58.4,64.0,,58.7,,59.9,,,,71.0,55.0,-153.0,-151.5,,-158.0,-164.0,,,,,,-145.0,-69.8,,-172.3,-158.6,-153.0,,-158.3,,-157.1,,,,-146.0,-162.0,True,,False,False,,,,,,True,True,,False,False,False,,False,,False,,,,True,False
18037,43,47.0,47.9,,43.0,44.0,,,,,,43.0,74.5,,24.2,40.5,53.0,,43.0,,41.9,,,,41.0,34.4,4.0,4.9,,0.0,1.0,,,,,,0.0,31.5,,-18.8,-2.5,10.0,,-0.0,,-1.1,,,,-2.0,-8.6,False,,True,True,,,,,,True,False,,False,True,False,,True,,True,,,,True,False
18039,240,212.0,221.8,,199.0,169.0,,,,,,199.0,150.0,,158.6,215.4,249.0,,242.3,,203.4,173.0,,,159.0,235.2,-28.0,-18.2,,-41.0,-71.0,,,,,,-41.0,-90.0,,-81.4,-24.6,9.0,,2.3,,-36.6,-67.0,,,-81.0,-4.8,True,,False,False,,,,,,False,False,,False,True,True,,True,,False,False,,,False,True
18041,44,50.0,47.7,,48.0,61.0,,,,,,13.0,42.5,,40.5,54.0,53.0,,84.8,,48.7,,,,46.0,31.8,6.0,3.7,,4.0,17.0,,,,,,-31.0,-1.5,,-3.5,10.0,9.0,,40.8,,4.7,,,,2.0,-12.2,True,,True,False,,,,,,False,True,,True,False,False,,False,,True,,,,True,False
18043,98,90.0,89.9,,82.0,83.0,,,,,,57.0,136.9,,59.8,81.1,82.0,,90.6,,94.0,,,,93.0,91.5,-8.0,-8.1,,-16.0,-15.0,,,,,,-41.0,38.9,,-38.2,-16.9,-16.0,,-7.4,,-4.0,,,,-5.0,-6.5,False,,False,False,,,,,,False,False,,False,False,False,,True,,True,,,,True,True
18045,10,5.0,5.7,,4.0,7.0,,,,,,11.0,11.4,,2.2,2.1,6.0,,0.5,,4.9,,,,5.0,5.0,-5.0,-4.3,,-6.0,-3.0,,,,,,1.0,1.4,,-7.8,-7.9,-4.0,,-9.5,,-5.1,,,,-5.0,-5.0,True,,False,True,,,,,,True,True,,False,False,True,,False,,False,,,,False,True
18047,13,7.0,4.9,,4.0,4.0,,,,,,11.0,15.3,,3.3,8.0,12.0,,2.6,,14.3,,,,9.0,6.8,-6.0,-8.1,,-9.0,-9.0,,,,,,-2.0,2.3,,-9.7,-5.0,-1.0,,-10.4,,1.3,,,,-4.0,-6.2,False,,False,False,,,,,,True,True,,False,True,True,,False,,True,,,,True,False
18049,10,14.0,14.5,,10.0,7.0,,,,,,16.0,23.5,,3.8,10.5,13.0,,10.5,,22.1,,,,13.0,18.4,4.0,4.5,,0.0,-3.0,,,,,,6.0,13.5,,-6.2,0.5,3.0,,0.5,,12.1,,,,3.0,8.4,False,,True,True,,,,,,False,False,,False,True,True,,True,,False,,,,True,False
18051,29,36.0,36.0,,28.0,39.0,,,,,,22.0,42.2,,24.9,31.7,35.0,,12.0,,36.4,,,,28.0,29.4,7.0,7.0,,-1.0,10.0,,,,,,-7.0,13.2,,-4.1,2.7,6.0,,-17.0,,7.4,,,,-1.0,0.4,True,,True,False,,,,,,False,False,,True,True,True,,False,,False,,,,True,True
18053,66,34.0,37.4,,31.0,28.0,,,,,,41.0,38.8,,25.9,37.0,38.0,,12.5,,33.4,,,,21.0,23.6,-32.0,-28.6,,-35.0,-38.0,,,,,,-25.0,-27.2,,-40.1,-29.0,-28.0,,-53.5,,-32.6,,,,-45.0,-42.4,True,,False,False,,,,,,True,True,,False,True,True,,False,,False,,,,False,False
18055,38,58.0,56.6,,45.0,61.0,,,,,,23.0,37.2,,44.6,45.5,53.0,,33.8,,51.2,,,,33.0,29.6,20.0,18.6,,7.0,23.0,,,,,,-15.0,-0.8,,6.6,7.5,15.0,,-4.2,,13.2,,,,-5.0,-8.4,True,,True,False,,,,,,True,True,,True,True,True,,True,,True,,,,True,True
18057,412,296.0,301.0,,252.0,252.0,,,,,,236.0,423.9,,223.7,249.4,270.0,,253.7,,306.3,258.0,,,337.0,264.4,-116.0,-111.0,,-160.0,-160.0,,,,,,-176.0,11.9,,-188.3,-162.6,-142.0,,-158.3,,-105.7,-154.0,,,-75.0,-147.6,True,,False,False,,,,,,False,True,,False,False,False,,False,,True,False,,,True,False
18059,64,37.0,35.4,,33.0,29.0,,,,,,46.0,55.5,,15.5,32.0,38.0,,27.3,,41.2,,,,41.0,38.3,-27.0,-28.6,,-31.0,-35.0,,,,,,-18.0,-8.5,,-48.5,-32.0,-26.0,,-36.7,,-22.8,,,,-23.0,-25.7,False,,False,False,,,,,,True,True,,False,False,True,,False,,True,,,,True,True
18061,48,52.0,52.1,,50.0,50.0,,,,,,21.0,55.3,,40.9,52.4,48.0,,66.2,,50.1,,,,47.0,64.6,4.0,4.1,,2.0,2.0,,,,,,-27.0,7.3,,-7.1,4.4,0.0,,18.2,,2.1,,,,-1.0,16.6,False,,True,True,,,,,,False,False,,False,False,True,,False,,True,,,,True,False
18063,161,128.0,129.8,,130.0,108.0,,,,,,131.0,143.0,,128.4,149.2,150.0,,133.3,,123.5,134.0,,,107.0,102.4,-33.0,-31.2,,-31.0,-53.0,,,,,,-30.0,-18.0,,-32.6,-11.8,-11.0,,-27.7,,-37.5,-27.0,,,-54.0,-58.6,True,,True,False,,,,,,True,True,,True,True,True,,True,,False,True,,,False,False
18065,60,29.0,29.7,,31.0,53.0,,,,,,32.0,46.9,,11.6,36.8,33.0,,35.8,,27.7,,,,72.0,23.8,-31.0,-30.3,,-29.0,-7.0,,,,,,-28.0,-13.1,,-48.4,-23.2,-27.0,,-24.2,,-32.3,,,,12.0,-36.2,True,,True,True,,,,,,True,True,,False,True,True,,True,,False,,,,True,False
18067,42,49.0,42.5,,45.0,41.0,,,,,,65.0,60.1,,28.1,49.1,52.0,,51.3,,46.7,,,,60.0,55.7,7.0,0.5,,3.0,-1.0,,,,,,23.0,18.1,,-13.9,7.1,10.0,,9.3,,4.7,,,,18.0,13.7,True,,True,True,,,,,,False,False,,False,False,False,,False,,True,,,,False,False
18069,11,18.0,20.0,,16.0,14.0,,,,,,19.0,24.8,,9.9,16.6,15.0,,35.8,,15.8,,,,13.0,11.6,7.0,9.0,,5.0,3.0,,,,,,8.0,13.8,,-1.1,5.6,4.0,,24.8,,4.8,,,,2.0,0.6,False,,True,True,,,,,,False,False,,True,True,True,,False,,True,,,,True,True
18071,38,29.0,27.0,,26.0,34.0,,,,,,36.0,31.8,,11.5,26.6,30.0,,25.2,,23.1,,,,28.0,26.3,-9.0,-11.0,,-12.0,-4.0,,,,,,-2.0,-6.2,,-26.5,-11.4,-8.0,,-12.8,,-14.9,,,,-10.0,-11.7,False,,False,True,,,,,,True,True,,False,False,True,,False,,False,,,,False,False
18073,23,25.0,23.8,,22.0,22.0,,,,,,22.0,37.3,,13.9,25.8,27.0,,26.0,,21.8,,,,29.0,28.1,2.0,0.8,,-1.0,-1.0,,,,,,-1.0,14.3,,-9.1,2.8,4.0,,3.0,,-1.2,,,,6.0,5.1,True,,True,True,,,,,,True,False,,False,False,False,,False,,True,,,,False,False
18075,16,12.0,12.0,,8.0,17.0,,,,,,9.0,16.7,,2.6,6.4,10.0,,6.3,,12.0,,,,12.0,11.6,-4.0,-4.0,,-8.0,1.0,,,,,,-7.0,0.7,,-13.4,-9.6,-6.0,,-9.7,,-4.0,,,,-4.0,-4.4,False,,False,True,,,,,,False,True,,False,False,False,,False,,True,,,,False,False
18077,12,13.0,12.0,,10.0,14.0,,,,,,14.0,29.3,,1.8,9.5,12.0,,6.2,,11.2,,,,16.0,11.0,1.0,-0.0,,-2.0,2.0,,,,,,2.0,17.3,,-10.2,-2.5,0.0,,-5.8,,-0.8,,,,4.0,-1.0,True,,False,False,,,,,,False,False,,False,False,True,,False,,True,,,,False,True
18079,21,9.0,9.8,,7.0,11.0,,,,,,13.0,17.4,,3.2,6.4,11.0,,6.1,,7.8,,,,9.0,7.4,-12.0,-11.2,,-14.0,-10.0,,,,,,-8.0,-3.6,,-17.8,-14.6,-10.0,,-14.9,,-13.2,,,,-12.0,-13.6,True,,False,True,,,,,,True,True,,False,False,True,,False,,False,,,,False,False
18081,102,77.0,77.8,,67.0,66.0,,,,,,126.0,98.8,,47.1,67.0,90.0,,79.9,,72.4,60.0,,,72.0,73.7,-25.0,-24.2,,-35.0,-36.0,,,,,,24.0,-3.2,,-54.9,-35.0,-12.0,,-22.1,,-29.6,-42.0,,,-30.0,-28.3,True,,False,False,,,,,,True,True,,False,False,True,,True,,False,False,,,False,False
18083,66,82.0,81.1,,66.0,119.0,,,,,,24.0,54.9,,79.0,52.8,,,47.8,,79.2,,,,85.0,49.7,16.0,15.1,,0.0,53.0,,,,,,-42.0,-11.1,,13.0,-13.2,,,-18.2,,13.2,,,,19.0,-16.3,True,,True,False,,,,,,False,True,,True,True,,,False,,True,,,,False,False
18085,117,21.0,22.0,,15.0,14.0,,,,,,60.0,35.5,,5.4,15.0,29.0,,12.3,,17.0,,,,23.0,28.0,-96.0,-95.0,,-102.0,-103.0,,,,,,-57.0,-81.5,,-111.6,-102.0,-88.0,,-104.7,,-100.0,,,,-94.0,-89.0,True,,False,False,,,,,,True,True,,False,False,True,,False,,False,,,,True,True
18087,18,6.0,6.1,,7.0,7.0,,,,,,34.0,14.2,,4.6,10.7,,,7.3,,4.8,,,,8.0,9.0,-12.0,-11.9,,-11.0,-11.0,,,,,,16.0,-3.8,,-13.4,-7.3,,,-10.7,,-13.2,,,,-10.0,-9.0,True,,True,True,,,,,,False,True,,False,True,,,True,,False,,,,True,True
18089,501,491.0,495.3,490.7,449.0,437.0,,,,,,405.0,493.4,,411.8,461.4,504.0,,416.8,,491.6,489.0,,,406.0,449.2,-10.0,-5.7,-10.3,-52.0,-64.0,,,,,,-96.0,-7.6,,-89.2,-39.6,3.0,,-84.2,,-9.4,-12.0,,,-95.0,-51.8,True,False,False,False,,,,,,False,True,,False,False,True,,False,,True,False,,,False,False
18091,82,109.0,108.6,,93.0,113.0,,,,,,88.0,136.2,,69.1,82.4,92.0,,98.8,,108.4,,,,89.0,83.8,27.0,26.6,,11.0,31.0,,,,,,6.0,54.2,,-12.9,0.4,10.0,,16.8,,26.4,,,,7.0,1.8,True,,True,False,,,,,,True,False,,True,True,True,,True,,True,,,,True,True
18093,63,19.0,18.0,,17.0,14.0,,,,,,32.0,28.8,,11.0,20.3,22.0,,16.0,,19.5,,,,17.0,16.8,-44.0,-45.0,,-46.0,-49.0,,,,,,-31.0,-34.2,,-52.0,-42.7,-41.0,,-47.0,,-43.5,,,,-46.0,-46.2,False,,False,False,,,,,,True,True,,False,True,True,,False,,True,,,,False,False
18095,96,95.0,94.2,,80.0,77.0,,,,,,90.0,206.6,,50.1,78.2,85.0,,52.7,,111.0,80.0,,,104.0,93.0,-1.0,-1.8,,-16.0,-19.0,,,,,,-6.0,110.6,,-45.9,-17.8,-11.0,,-43.3,,15.0,-16.0,,,8.0,-3.0,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,False,,,False,False
18097,873,800.0,769.5,838.5,699.0,794.0,,,,,,901.0,989.0,,632.0,665.0,899.0,,640.1,,733.8,610.0,,,617.0,689.9,-73.0,-103.5,-34.5,-174.0,-79.0,,,,,,28.0,116.0,,-241.0,-208.0,26.0,,-232.9,,-139.2,-263.0,,,-256.0,-183.1,False,True,False,False,,,,,,True,False,,False,False,True,,False,,False,False,,,False,False
18099,33,44.0,40.5,,38.0,41.0,,,,,,44.0,39.7,,19.1,32.1,47.0,,34.6,,43.8,,,,27.0,52.0,11.0,7.5,,5.0,8.0,,,,,,11.0,6.7,,-13.9,-0.9,14.0,,1.6,,10.8,,,,-6.0,19.0,True,,True,True,,,,,,False,True,,False,True,False,,True,,True,,,,True,False
18101,36,12.0,11.0,,11.0,16.0,,,,,,5.0,7.8,,7.2,15.5,15.0,,12.0,,11.0,,,,11.0,7.3,-24.0,-25.0,,-25.0,-20.0,,,,,,-31.0,-28.2,,-28.8,-20.5,-21.0,,-24.0,,-25.0,,,,-25.0,-28.7,False,,False,True,,,,,,False,False,,False,True,True,,True,,False,,,,False,False
18103,18,12.0,12.4,,12.0,7.0,,,,,,27.0,30.6,,8.9,15.8,16.0,,16.0,,12.6,,,,11.0,13.1,-6.0,-5.6,,-6.0,-11.0,,,,,,9.0,12.6,,-9.1,-2.2,-2.0,,-2.0,,-5.4,,,,-7.0,-4.9,True,,False,False,,,,,,False,False,,False,True,True,,True,,True,,,,False,True
18105,210,51.0,53.6,,48.0,42.0,,,,,,89.0,106.1,,49.5,59.2,61.0,,31.1,,48.1,48.0,,,50.0,45.5,-159.0,-156.4,,-162.0,-168.0,,,,,,-121.0,-103.9,,-160.5,-150.8,-149.0,,-178.9,,-161.9,-162.0,,,-160.0,-164.5,True,,False,False,,,,,,True,True,,False,True,True,,False,,False,False,,,False,False
18107,34,16.0,16.6,,14.0,14.0,,,,,,27.0,19.8,,8.3,16.8,20.0,,11.1,,14.5,,,,13.0,12.7,-18.0,-17.4,,-20.0,-20.0,,,,,,-7.0,-14.2,,-25.7,-17.2,-14.0,,-22.9,,-19.5,,,,-21.0,-21.3,True,,False,False,,,,,,True,True,,False,True,True,,False,,False,,,,False,False
18109,46,30.0,34.1,,32.0,25.0,,,,,,48.0,64.0,,17.5,33.2,35.0,,30.9,,39.3,,,,31.0,23.8,-16.0,-11.9,,-14.0,-21.0,,,,,,2.0,18.0,,-28.5,-12.8,-11.0,,-15.1,,-6.7,,,,-15.0,-22.2,True,,True,False,,,,,,True,False,,False,True,True,,True,,True,,,,True,False
18111,16,4.0,4.0,,3.0,0.0,,,,,,10.0,7.9,,3.0,5.4,8.0,,0.8,,3.5,,,,4.0,3.4,-12.0,-11.9,,-13.0,-16.0,,,,,,-6.0,-8.1,,-13.0,-10.6,-8.0,,-15.2,,-12.5,,,,-12.0,-12.6,True,,False,False,,,,,,True,True,,False,True,True,,False,,False,,,,False,False
18113,36,38.0,35.5,,34.0,42.0,,,,,,35.0,35.1,,13.2,29.7,35.0,,39.7,,33.5,,,,38.0,41.6,2.0,-0.5,,-2.0,6.0,,,,,,-1.0,-0.9,,-22.8,-6.3,-1.0,,3.7,,-2.5,,,,2.0,5.6,True,,False,False,,,,,,True,True,,False,False,True,,False,,False,,,,False,False
18115,2,6.0,5.9,,4.0,7.0,,,,,,2.0,5.0,,1.7,0.8,,,6.6,,7.0,,,,4.0,6.7,4.0,3.9,,2.0,5.0,,,,,,0.0,3.0,,-0.3,-1.2,,,4.6,,5.0,,,,2.0,4.7,True,,True,False,,,,,,True,True,,True,True,,,False,,False,,,,True,False
18117,32,15.0,13.6,,13.0,19.0,,,,,,11.0,23.5,,10.3,21.0,16.0,,31.5,,12.9,,,,14.0,10.0,-17.0,-18.4,,-19.0,-13.0,,,,,,-21.0,-8.5,,-21.7,-11.0,-16.0,,-0.5,,-19.1,,,,-18.0,-22.0,False,,False,True,,,,,,False,True,,False,True,True,,True,,False,,,,False,False
18119,9,17.0,16.4,,14.0,21.0,,,,,,13.0,19.4,,7.3,15.7,17.0,,13.0,,20.4,,,,22.0,30.5,8.0,7.4,,5.0,12.0,,,,,,4.0,10.4,,-1.7,6.7,8.0,,4.0,,11.4,,,,13.0,21.5,True,,True,False,,,,,,True,False,,True,True,False,,True,,False,,,,False,False
18121,5,15.0,15.0,,9.0,15.0,,,,,,10.0,16.1,,1.9,8.0,11.0,,7.9,,14.4,,,,15.0,14.3,10.0,10.0,,4.0,10.0,,,,,,5.0,11.1,,-3.1,3.0,6.0,,2.9,,9.4,,,,10.0,9.3,False,,True,False,,,,,,True,False,,True,True,True,,True,,True,,,,False,True
18123,3,3.0,3.0,,3.0,5.0,,,,,,8.0,8.3,,0.1,1.9,4.0,,7.3,,3.1,,,,5.0,5.3,0.0,0.0,,0.0,2.0,,,,,,5.0,5.3,,-2.9,-1.1,1.0,,4.3,,0.1,,,,2.0,2.3,False,,True,False,,,,,,False,False,,False,False,False,,False,,False,,,,False,False
18125,16,7.0,6.8,,6.0,8.0,,,,,,6.0,12.5,,2.1,5.5,6.0,,4.4,,6.6,,,,14.0,8.0,-9.0,-9.2,,-10.0,-8.0,,,,,,-10.0,-3.5,,-13.9,-10.5,-10.0,,-11.6,,-9.4,,,,-2.0,-8.0,False,,False,True,,,,,,False,True,,False,False,False,,False,,False,,,,True,True
18127,140,114.0,119.5,,107.0,94.0,,,,,,111.0,218.4,,87.6,100.4,108.0,,127.2,,106.6,107.0,,,125.0,118.4,-26.0,-20.5,,-33.0,-46.0,,,,,,-29.0,78.4,,-52.4,-39.6,-32.0,,-12.8,,-33.4,-33.0,,,-15.0,-21.6,True,,False,False,,,,,,False,False,,False,False,False,,True,,False,False,,,True,True
18129,12,12.0,11.2,,8.0,7.0,,,,,,17.0,24.8,,3.8,9.4,13.0,,3.5,,10.0,,,,12.0,10.9,0.0,-0.8,,-4.0,-5.0,,,,,,5.0,12.8,,-8.2,-2.6,1.0,,-8.5,,-2.0,,,,0.0,-1.1,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,True,False
18131,7,6.0,6.3,,5.0,7.0,,,,,,10.0,8.4,,2.3,3.1,6.0,,4.5,,5.5,,,,5.0,4.9,-1.0,-0.7,,-2.0,0.0,,,,,,3.0,1.4,,-4.7,-3.9,-1.0,,-2.5,,-1.5,,,,-2.0,-2.1,True,,False,True,,,,,,False,False,,False,False,False,,False,,False,,,,False,False
18133,32,57.0,58.6,,33.0,56.0,,,,,,30.0,61.1,,14.0,37.0,54.0,,2.2,,53.8,,,,61.0,38.8,25.0,26.6,,1.0,24.0,,,,,,-2.0,29.1,,-18.0,5.0,22.0,,-29.8,,21.8,,,,29.0,6.8,False,,True,True,,,,,,True,False,,True,True,True,,False,,True,,,,False,True
18135,20,7.0,6.5,,7.0,8.0,,,,,,10.0,17.7,,2.8,8.2,8.0,,5.1,,7.8,,,,11.0,7.8,-13.0,-13.5,,-13.0,-12.0,,,,,,-10.0,-2.3,,-17.2,-11.8,-12.0,,-14.9,,-12.2,,,,-9.0,-12.2,False,,False,True,,,,,,True,True,,False,True,True,,False,,True,,,,True,True
18137,12,8.0,7.9,,8.0,8.0,,,,,,15.0,19.9,,5.1,11.1,11.0,,10.2,,7.6,,,,11.0,7.0,-4.0,-4.1,,-4.0,-4.0,,,,,,3.0,7.9,,-6.9,-0.9,-1.0,,-1.8,,-4.4,,,,-1.0,-5.0,False,,False,False,,,,,,True,False,,False,True,True,,True,,False,,,,True,False
18139,7,24.0,26.8,,13.0,36.0,,,,,,6.0,20.9,,6.8,16.2,,,9.2,,19.5,,,,28.0,11.8,17.0,19.8,,6.0,29.0,,,,,,-1.0,13.9,,-0.2,9.2,,,2.2,,12.5,,,,21.0,4.8,False,,True,False,,,,,,True,True,,True,True,,,True,,True,,,,False,True
18141,849,370.0,369.5,,346.0,346.0,,,,,,200.0,406.4,,345.8,344.7,364.0,,282.4,,366.8,363.0,,,328.0,289.3,-479.0,-479.5,,-503.0,-503.0,,,,,,-649.0,-442.6,,-503.2,-504.3,-485.0,,-566.6,,-482.2,-486.0,,,-521.0,-559.7,False,,False,False,,,,,,False,True,,False,False,False,,False,,False,False,,,False,False
18143,11,11.0,11.1,,10.0,13.0,,,,,,13.0,23.0,,3.7,10.5,13.0,,7.7,,9.4,,,,15.0,9.3,0.0,0.1,,-1.0,2.0,,,,,,2.0,12.0,,-7.3,-0.5,2.0,,-3.3,,-1.6,,,,4.0,-1.7,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,False,False
18145,12,24.0,22.8,,22.0,22.0,,,,,,35.0,35.5,,8.1,21.9,30.0,,11.1,,22.4,,,,22.0,18.5,12.0,10.8,,10.0,10.0,,,,,,23.0,23.5,,-3.9,9.9,18.0,,-0.9,,10.4,,,,10.0,6.5,True,,True,True,,,,,,False,False,,True,True,False,,True,,True,,,,True,True
18147,7,8.0,10.1,,6.0,7.0,,,,,,8.0,14.6,,2.7,5.8,6.0,,0.0,,9.6,,,,8.0,9.3,1.0,3.1,,-1.0,0.0,,,,,,1.0,7.6,,-4.3,-1.2,-1.0,,-7.0,,2.6,,,,1.0,2.3,False,,False,True,,,,,,False,False,,False,False,False,,False,,False,,,,False,False
18149,21,2.0,3.3,,3.0,1.0,,,,,,17.0,12.8,,0.1,1.8,,,12.2,,2.5,,,,5.0,7.2,-19.0,-17.7,,-18.0,-20.0,,,,,,-4.0,-8.2,,-20.9,-19.2,,,-8.8,,-18.5,,,,-16.0,-13.8,True,,True,False,,,,,,True,True,,False,False,,,True,,True,,,,True,True
18151,30,18.0,17.2,,14.0,14.0,,,,,,24.0,25.3,,7.6,14.2,19.0,,0.2,,17.9,,,,14.0,12.3,-12.0,-12.8,,-16.0,-16.0,,,,,,-6.0,-4.7,,-22.4,-15.8,-11.0,,-29.8,,-12.1,,,,-16.0,-17.7,False,,False,False,,,,,,True,True,,False,False,True,,False,,False,,,,False,False
18153,35,79.0,79.2,,62.0,101.0,,,,,,18.0,39.4,,48.8,52.8,,,71.8,,74.0,,,,92.0,46.2,44.0,44.2,,27.0,66.0,,,,,,-17.0,4.4,,13.8,17.8,,,36.8,,39.0,,,,57.0,11.2,False,,True,False,,,,,,True,True,,True,True,,,True,,True,,,,False,True
18155,1,4.0,3.3,,2.0,7.0,,,,,,3.0,6.1,,1.4,1.6,6.0,,1.5,,3.9,,,,7.0,3.6,3.0,2.3,,1.0,6.0,,,,,,2.0,5.1,,0.4,0.6,5.0,,0.5,,2.9,,,,6.0,2.6,True,,True,False,,,,,,True,False,,True,True,False,,True,,True,,,,False,True
18157,121,117.0,114.8,,112.0,113.0,,,,,,119.0,190.7,,76.7,93.0,100.0,,120.4,,112.3,106.0,,,121.0,109.2,-4.0,-6.2,,-9.0,-8.0,,,,,,-2.0,69.7,,-44.3,-28.0,-21.0,,-0.6,,-8.7,-15.0,,,0.0,-11.8,False,,False,False,,,,,,True,False,,False,False,False,,True,,False,False,,,True,False
18159,16,9.0,6.3,,7.0,8.0,,,,,,9.0,15.2,,1.9,7.1,7.0,,3.8,,14.9,,,,16.0,9.2,-7.0,-9.7,,-9.0,-8.0,,,,,,-7.0,-0.8,,-14.1,-8.9,-9.0,,-12.2,,-1.1,,,,0.0,-6.8,False,,False,False,,,,,,False,True,,False,False,False,,False,,True,,,,True,True
