,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
13239,11,28.0,,,,,7.0,2.9,,,,60.3,17.0,,,,,-4.0,-8.1,,,,49.3,,,,,True,True,,,,False
13241,207,98.0,,,,,83.0,56.3,,,,494.3,-109.0,,,,,-124.0,-150.7,,,,287.3,,,,,False,False,,,,False
13243,100,77.0,,,,,211.0,1.9,3.6,,,72.7,-23.0,,,,,111.0,-98.1,-96.4,,,-27.3,,,,,False,False,False,,,False
13245,4392,2443.0,1132.8,,,,2851.0,4164.1,1239.1,816.9,,1633.5,-1949.0,-3259.2,,,,-1541.0,-227.9,-3152.9,-3575.1,,-2758.5,False,,,,True,True,False,False,,False
13247,959,959.0,466.0,,,,1149.0,1549.8,500.8,879.4,,1324.3,0.0,-493.0,,,,190.0,590.8,-458.2,-79.6,,365.3,False,,,,False,False,False,False,,False
13249,72,21.0,,,,,20.0,3.8,,,,215.7,-51.0,,,,,-52.0,-68.2,,,,143.7,,,,,False,False,,,,False
13251,175,77.0,,,,,35.0,28.9,69.3,,,149.3,-98.0,,,,,-140.0,-146.1,-105.7,,,-25.7,,,,,False,False,False,,,True
13253,231,28.0,,,,,520.0,7.0,,,,1.7,-203.0,,,,,289.0,-224.0,,,,-229.3,,,,,False,False,,,,False
13255,605,672.0,182.1,,,,918.0,606.5,284.1,1169.9,,886.8,67.0,-422.9,,,,313.0,1.5,-320.9,564.9,,281.8,False,,,,False,True,False,False,,False
13257,517,294.0,,,,,778.0,683.6,139.9,,,392.7,-223.0,,,,,261.0,166.6,-377.1,,,-124.3,,,,,False,True,False,,,True
13259,146,203.0,,,,,80.0,18.2,82.1,,,8.1,57.0,,,,,-66.0,-127.8,-63.9,,,-137.9,,,,,False,False,False,,,False
13261,260,252.0,,,,,612.0,141.6,32.2,,,402.5,-8.0,,,,,352.0,-118.4,-227.8,,,142.5,,,,,False,False,False,,,False
13263,62,84.0,,,,,34.0,61.1,,,,17.3,22.0,,,,,-28.0,-0.9,,,,-44.7,,,,,False,True,,,,False
13265,22,0.0,,,,,0.0,0.1,,,,0.0,-22.0,,,,,-22.0,-21.9,,,,-22.0,,,,,False,True,,,,False
13267,477,245.0,,,,,81.0,229.3,199.5,,,566.7,-232.0,,,,,-396.0,-247.7,-277.5,,,89.7,,,,,False,False,False,,,True
13269,118,28.0,,,,,21.0,4.9,,,,0.0,-90.0,,,,,-97.0,-113.1,,,,-118.0,,,,,False,False,,,,False
13271,177,350.0,,,,,85.0,512.6,106.2,,,511.0,173.0,,,,,-92.0,335.6,-70.8,,,334.0,,,,,True,False,True,,,False
13273,77,91.0,,,,,152.0,20.4,2.1,,,96.8,14.0,,,,,75.0,-56.6,-74.9,,,19.8,,,,,False,False,False,,,False
13275,802,658.0,,,,,1983.0,135.6,113.4,,,784.1,-144.0,,,,,1181.0,-666.4,-688.6,,,-17.9,,,,,False,False,False,,,True
13277,548,1078.0,,,,,1547.0,579.0,412.1,,,278.6,530.0,,,,,999.0,31.0,-135.9,,,-269.4,,,,,False,True,True,,,True
13279,733,350.0,,,,,293.0,127.4,266.2,,,331.8,-383.0,,,,,-440.0,-605.6,-466.8,,,-401.2,,,,,False,False,False,,,False
13281,136,112.0,,,,,75.0,45.0,,,,45.5,-24.0,,,,,-61.0,-91.0,,,,-90.5,,,,,False,False,,,,False
13283,157,133.0,,,,,17.0,27.1,,,,172.2,-24.0,,,,,-140.0,-129.9,,,,15.2,,,,,False,False,,,,True
13285,840,1134.0,2094.2,,,,2479.0,270.7,354.4,1985.1,,281.1,294.0,1254.2,,,,1639.0,-569.3,-485.6,1145.1,,-558.9,False,,,,False,False,False,False,,False
13287,98,77.0,,,,,78.0,5.9,2.4,,,80.9,-21.0,,,,,-20.0,-92.1,-95.6,,,-17.1,,,,,True,False,False,,,True
13289,129,91.0,,,,,21.0,16.0,,,,9.8,-38.0,,,,,-108.0,-113.0,,,,-119.2,,,,,False,False,,,,False
13291,364,147.0,,,,,129.0,159.2,,,,431.5,-217.0,,,,,-235.0,-204.8,,,,67.5,,,,,False,True,,,,True
13293,299,70.0,,,,,485.0,16.2,71.5,,,10.9,-229.0,,,,,186.0,-282.8,-227.5,,,-288.1,,,,,True,False,True,,,False
13295,649,203.0,770.6,,,,1228.0,57.6,203.6,149.7,,742.6,-446.0,121.6,,,,579.0,-591.4,-445.4,-499.3,,93.6,True,,,,False,False,True,False,,True
13297,910,553.0,412.5,,,,704.0,142.2,495.2,1106.8,,460.9,-357.0,-497.5,,,,-206.0,-767.8,-414.8,196.8,,-449.1,False,,,,True,False,False,True,,False
13299,711,798.0,,,,,724.0,713.4,278.7,,,549.1,87.0,,,,,13.0,2.4,-432.3,,,-161.9,,,,,True,True,False,,,False
13301,89,28.0,,,,,11.0,2.9,,,,1.3,-61.0,,,,,-78.0,-86.1,,,,-87.7,,,,,False,False,,,,False
13303,425,350.0,,,,,81.0,448.7,129.4,,,374.0,-75.0,,,,,-344.0,23.7,-295.6,,,-51.0,,,,,False,True,False,,,True
13305,793,413.0,,,,,185.0,899.9,234.7,,,524.2,-380.0,,,,,-608.0,106.9,-558.3,,,-268.8,,,,,False,True,False,,,True
13307,11,49.0,,,,,14.0,10.3,,,,72.0,38.0,,,,,3.0,-0.7,,,,61.0,,,,,True,True,,,,False
13309,90,21.0,,,,,14.0,29.5,,,,1.1,-69.0,,,,,-76.0,-60.5,,,,-88.9,,,,,False,True,,,,False
13311,341,133.0,,,,,213.0,21.7,110.0,,,911.2,-208.0,,,,,-128.0,-319.3,-231.0,,,570.2,,,,,True,False,False,,,False
13313,2197,3430.0,2788.2,,,,4248.0,4002.4,1326.1,4501.3,,1589.2,1233.0,591.2,,,,2051.0,1805.4,-870.9,2304.3,,-607.8,True,,,,False,False,True,False,,True
13315,91,21.0,,,,,39.0,1.0,9.4,,,12.3,-70.0,,,,,-52.0,-90.0,-81.6,,,-78.7,,,,,True,False,False,,,False
13317,122,168.0,,,,,73.0,225.4,,,,52.6,46.0,,,,,-49.0,103.4,,,,-69.4,,,,,False,False,,,,False
13319,181,217.0,,,,,32.0,46.9,16.0,,,156.4,36.0,,,,,-149.0,-134.1,-165.0,,,-24.6,,,,,False,False,False,,,True
13321,145,210.0,,,,,333.0,69.1,74.5,,,110.0,65.0,,,,,188.0,-75.9,-70.5,,,-35.0,,,,,False,False,False,,,True
15001,220,49.0,0.0,,,,,15.2,5.6,,,116.8,-171.0,-220.0,,,,,-204.8,-214.4,,,-103.2,False,,,,,False,False,,,True
15003,6505,1295.0,95.7,,,,,1557.8,1241.3,1995.4,,6554.3,-5210.0,-6409.3,,,,,-4947.2,-5263.7,-4509.6,,49.3,False,,,,,True,False,True,,True
15005,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
15007,14,21.0,3.1,,,,,0.5,,,,4.0,7.0,-10.9,,,,,-13.5,,,,-10.0,False,,,,,False,,,,False
15009,199,35.0,5.3,,,,,5.4,0.6,,,1104.9,-164.0,-193.7,,,,,-193.6,-198.4,,,905.9,False,,,,,False,False,,,False
16001,7105,9408.0,10323.2,,,,23831.0,20871.7,3690.4,11379.0,,6888.7,2303.0,3218.2,,,,16726.0,13766.7,-3414.6,4274.0,,-216.3,False,,,,False,False,False,False,,True
16003,13,7.0,,,,,14.0,64.5,,,,0.7,-6.0,,,,,1.0,51.5,,,,-12.3,,,,,True,False,,,,False
16005,474,196.0,551.2,,,,442.0,25.6,409.4,,,917.9,-278.0,77.2,,,,-32.0,-448.4,-64.6,,,443.9,True,,,,True,False,True,,,False
16007,28,0.0,,,,,52.0,,,,,0.0,-28.0,,,,,24.0,,,,,-28.0,,,,,True,,,,,True
16009,81,42.0,,,,,107.0,21.7,,,,388.4,-39.0,,,,,26.0,-59.3,,,,307.4,,,,,True,False,,,,False
16011,368,210.0,,,,,161.0,658.7,,,,1531.7,-158.0,,,,,-207.0,290.7,,,,1163.7,,,,,False,False,,,,False
16013,57,70.0,,,,,125.0,12.0,0.2,,,57.9,13.0,,,,,68.0,-45.0,-56.8,,,0.9,,,,,False,False,False,,,True
16015,53,28.0,,,,,27.0,,,,,87.4,-25.0,,,,,-26.0,,,,,34.4,,,,,False,,,,,False
16017,154,147.0,,,,,68.0,453.0,,,,1021.4,-7.0,,,,,-86.0,299.0,,,,867.4,,,,,False,False,,,,False
16019,1530,413.0,525.1,,,,1009.0,82.9,688.6,,,3056.6,-1117.0,-1004.9,,,,-521.0,-1447.1,-841.4,,,1526.6,True,,,,True,False,True,,,False
16021,41,28.0,,,,,28.0,,,,,598.3,-13.0,,,,,-13.0,,,,,557.3,,,,,False,,,,,False
16023,10,0.0,,,,,0.0,,,,,,-10.0,,,,,-10.0,,,,,,,,,,False,,,,,
16025,3,0.0,,,,,7.0,0.2,,,,0.0,-3.0,,,,,4.0,-2.8,,,,-3.0,,,,,False,True,,,,False
16027,5116,5299.0,4556.1,,,,15461.0,22004.3,2769.0,3216.6,,4621.5,183.0,-559.9,,,,10345.0,16888.3,-2347.0,-1899.4,,-494.5,False,,,,False,False,False,False,,False
16029,23,35.0,,,,,80.0,61.3,,,,236.3,12.0,,,,,57.0,38.3,,,,213.3,,,,,False,False,,,,False
16031,258,427.0,,,,,216.0,65.0,192.7,,,260.9,169.0,,,,,-42.0,-193.0,-65.3,,,2.9,,,,,True,False,True,,,True
16033,20,0.0,,,,,0.0,,,,,,-20.0,,,,,-20.0,,,,,,,,,,False,,,,,
16035,17,21.0,,,,,13.0,,,,,75.4,4.0,,,,,-4.0,,,,,58.4,,,,,False,,,,,False
16037,26,7.0,,,,,0.0,4.3,,,,6.6,-19.0,,,,,-26.0,-21.7,,,,-19.4,,,,,False,False,,,,False
16039,187,189.0,,,,,333.0,363.3,,,,488.2,2.0,,,,,146.0,176.3,,,,301.2,,,,,False,False,,,,False
16041,24,35.0,,,,,170.0,163.4,,,,41.4,11.0,,,,,146.0,139.4,,,,17.4,,,,,False,False,,,,False
16043,100,21.0,,,,,39.0,5.6,,,,137.6,-79.0,,,,,-61.0,-94.4,,,,37.6,,,,,True,False,,,,True
16045,153,126.0,,,,,1024.0,164.0,,,,642.4,-27.0,,,,,871.0,11.0,,,,489.4,,,,,False,True,,,,False
16047,140,126.0,,,,,326.0,94.6,,,,605.5,-14.0,,,,,186.0,-45.4,,,,465.5,,,,,False,False,,,,False
16049,29,42.0,,,,,9.0,5.8,,,,97.8,13.0,,,,,-20.0,-23.2,,,,68.8,,,,,False,False,,,,False
16051,317,35.0,,,,,42.0,44.1,,,,782.8,-282.0,,,,,-275.0,-272.9,,,,465.8,,,,,True,True,,,,False
16053,300,343.0,,,,,421.0,91.2,62.3,,,645.7,43.0,,,,,121.0,-208.8,-237.7,,,345.7,,,,,False,False,False,,,False
16055,1491,1939.0,1666.1,,,,1586.0,7550.6,1571.7,,,4191.9,448.0,175.1,,,,95.0,6059.6,80.7,,,2700.9,True,,,,True,False,True,,,False
16057,197,77.0,,,,,395.0,120.7,,,,87.1,-120.0,,,,,198.0,-76.3,,,,-109.9,,,,,False,True,,,,True
16059,67,7.0,,,,,0.0,2.5,,,,372.9,-60.0,,,,,-67.0,-64.5,,,,305.9,,,,,False,False,,,,False
16061,0,7.0,,,,,30.0,,,,,0.4,7.0,,,,,30.0,,,,,0.4,,,,,False,,,,,True
16063,26,49.0,,,,,38.0,23.2,,,,221.4,23.0,,,,,12.0,-2.8,,,,195.4,,,,,True,True,,,,False
16065,169,196.0,,,,,1708.0,44.1,,,,1879.5,27.0,,,,,1539.0,-124.9,,,,1710.5,,,,,False,False,,,,False
16067,289,434.0,,,,,232.0,94.1,150.8,,,290.6,145.0,,,,,-57.0,-194.9,-138.2,,,1.6,,,,,True,False,True,,,True
16069,176,70.0,,,,,1044.0,1.3,26.3,,,85.6,-106.0,,,,,868.0,-174.7,-149.7,,,-90.4,,,,,False,False,False,,,True
16071,15,14.0,,,,,14.0,,,,,26.7,-1.0,,,,,-1.0,,,,,11.7,,,,,False,,,,,False
16073,213,259.0,,,,,57.0,594.1,,,,347.0,46.0,,,,,-156.0,381.1,,,,134.0,,,,,False,False,,,,False
16075,480,287.0,,,,,2124.0,1016.4,196.6,,,208.5,-193.0,,,,,1644.0,536.4,-283.4,,,-271.5,,,,,False,False,False,,,False
16077,93,21.0,,,,,26.0,120.0,,,,36.5,-72.0,,,,,-67.0,27.0,,,,-56.5,,,,,True,True,,,,True
16079,188,42.0,,,,,77.0,,,,,301.0,-146.0,,,,,-111.0,,,,,113.0,,,,,True,,,,,True
16081,97,49.0,,,,,88.0,61.7,,,,203.5,-48.0,,,,,-9.0,-35.3,,,,106.5,,,,,True,True,,,,False
16083,849,1078.0,365.2,,,,887.0,782.4,390.1,1792.5,,1150.2,229.0,-483.8,,,,38.0,-66.6,-458.9,943.5,,301.2,False,,,,True,True,False,False,,False
16085,60,49.0,,,,,22.0,99.0,,,,10.2,-11.0,,,,,-38.0,39.0,,,,-49.8,,,,,False,False,,,,False
16087,137,119.0,,,,,526.0,48.8,91.0,,,71.3,-18.0,,,,,389.0,-88.2,-46.0,,,-65.7,,,,,False,False,False,,,False
17001,603,378.0,103.4,,,,397.0,398.9,322.8,,,1215.9,-225.0,-499.6,,,,-206.0,-204.1,-280.2,,,612.9,False,,,,True,True,False,,,False
17003,20,14.0,,,,,9.0,11.7,,,,259.4,-6.0,,,,,-11.0,-8.3,,,,239.4,,,,,False,False,,,,False
17005,113,28.0,,,,,37.0,3.5,,,,59.8,-85.0,,,,,-76.0,-109.5,,,,-53.2,,,,,True,False,,,,True
17007,228,189.0,668.2,,,,349.0,26.5,119.8,156.1,,216.5,-39.0,440.2,,,,121.0,-201.5,-108.2,-71.9,,-11.5,False,,,,False,False,False,False,,True
17009,12,0.0,,,,,33.0,1.1,,,,0.0,-12.0,,,,,21.0,-10.9,,,,-12.0,,,,,False,True,,,,False
17011,322,49.0,,,,,54.0,9.6,,,,345.1,-273.0,,,,,-268.0,-312.4,,,,23.1,,,,,True,False,,,,True
17013,27,0.0,,,,,5.0,0.0,,,,0.0,-27.0,,,,,-22.0,-27.0,,,,-27.0,,,,,True,True,,,,False
17015,115,0.0,,,,,54.0,8.4,,,,0.0,-115.0,,,,,-61.0,-106.6,,,,-115.0,,,,,True,True,,,,False
17017,162,14.0,,,,,83.0,4.5,69.1,,,5.8,-148.0,,,,,-79.0,-157.5,-92.9,,,-156.2,,,,,True,False,True,,,False
17019,1330,693.0,684.1,,,,820.0,282.6,550.4,609.4,,1103.6,-637.0,-645.9,,,,-510.0,-1047.4,-779.6,-720.6,,-226.4,False,,,,True,False,False,False,,True
17021,181,35.0,,,,,72.0,20.5,,,,367.0,-146.0,,,,,-109.0,-160.5,,,,186.0,,,,,True,False,,,,False
17023,78,175.0,,,,,53.0,12.2,,,,725.3,97.0,,,,,-25.0,-65.8,,,,647.3,,,,,True,True,,,,False
17025,69,21.0,,,,,7.0,0.3,,,,644.2,-48.0,,,,,-62.0,-68.7,,,,575.2,,,,,False,False,,,,False
17027,445,42.0,,,,,141.0,5.9,68.3,,,22.9,-403.0,,,,,-304.0,-439.1,-376.7,,,-422.1,,,,,True,False,True,,,False
17029,749,126.0,283.3,,,,415.0,11.5,109.8,,,221.8,-623.0,-465.7,,,,-334.0,-737.5,-639.2,,,-527.2,True,,,,True,False,False,,,True
17031,29986,20286.0,32733.0,,,,12147.0,12633.6,3667.4,24651.6,,53639.3,-9700.0,2747.0,,,,-17839.0,-17352.4,-26318.6,-5334.4,,23653.3,True,,,,False,False,False,True,,False
17033,59,14.0,,,,,60.0,6.2,,,,912.9,-45.0,,,,,1.0,-52.8,,,,853.9,,,,,True,False,,,,False
17035,106,91.0,,,,,34.0,7.9,,,,497.9,-15.0,,,,,-72.0,-98.1,,,,391.9,,,,,False,False,,,,False
17037,455,455.0,510.0,,,,413.0,102.3,196.8,280.7,,2990.4,0.0,55.0,,,,-42.0,-352.7,-258.2,-174.3,,2535.4,False,,,,False,False,False,False,,False
17039,29,49.0,,,,,22.0,3.5,,,,356.2,20.0,,,,,-7.0,-25.5,,,,327.2,,,,,True,False,,,,False
17041,151,49.0,,,,,55.0,71.0,,,,845.7,-102.0,,,,,-96.0,-80.0,,,,694.7,,,,,True,True,,,,False
17043,4757,2618.0,743.1,,,,3562.0,1413.0,641.2,5171.6,,4834.3,-2139.0,-4013.9,,,,-1195.0,-3344.0,-4115.8,414.6,,77.3,False,,,,True,False,False,True,,True
17045,75,63.0,,,,,36.0,8.2,,,,806.7,-12.0,,,,,-39.0,-66.8,,,,731.7,,,,,False,False,,,,False
17047,34,21.0,,,,,7.0,0.3,,,,314.1,-13.0,,,,,-27.0,-33.7,,,,280.1,,,,,False,False,,,,False
17049,478,91.0,,,,,101.0,18.4,,,,1469.9,-387.0,,,,,-377.0,-459.6,,,,991.9,,,,,True,False,,,,False
17051,139,7.0,,,,,32.0,4.4,,,,1008.1,-132.0,,,,,-107.0,-134.6,,,,869.1,,,,,True,False,,,,False
17053,43,35.0,,,,,39.0,18.2,,,,6.3,-8.0,,,,,-4.0,-24.8,,,,-36.7,,,,,True,False,,,,False
17055,291,119.0,,,,,34.0,35.7,,,,290.8,-172.0,,,,,-257.0,-255.3,,,,-0.2,,,,,False,False,,,,True
17057,67,7.0,,,,,24.0,2.7,,,,1437.0,-60.0,,,,,-43.0,-64.3,,,,1370.0,,,,,True,False,,,,False
17059,56,28.0,,,,,2.0,0.4,,,,60.5,-28.0,,,,,-54.0,-55.6,,,,4.5,,,,,False,False,,,,True
17061,96,0.0,,,,,44.0,2.8,,,,0.0,-96.0,,,,,-52.0,-93.2,,,,-96.0,,,,,True,True,,,,False
17063,279,154.0,219.4,,,,179.0,17.0,176.3,,,1072.3,-125.0,-59.6,,,,-100.0,-262.0,-102.7,,,793.3,True,,,,True,False,True,,,False
17065,40,14.0,,,,,10.0,1.2,,,,4.9,-26.0,,,,,-30.0,-38.8,,,,-35.1,,,,,False,False,,,,False
17067,112,7.0,,,,,19.0,2.4,,,,67.7,-105.0,,,,,-93.0,-109.6,,,,-44.3,,,,,True,False,,,,True
17069,17,7.0,,,,,0.0,0.0,,,,188.7,-10.0,,,,,-17.0,-17.0,,,,171.7,,,,,False,False,,,,False
17071,36,0.0,,,,,7.0,0.5,,,,0.0,-36.0,,,,,-29.0,-35.5,,,,-36.0,,,,,True,True,,,,False
17073,343,112.0,,,,,155.0,42.1,111.7,,,1006.7,-231.0,,,,,-188.0,-300.9,-231.3,,,663.7,,,,,True,False,False,,,False
17075,127,98.0,,,,,78.0,19.9,80.9,,,249.2,-29.0,,,,,-49.0,-107.1,-46.1,,,122.2,,,,,False,False,False,,,False
17077,558,105.0,190.4,,,,188.0,15.2,28.4,63.9,,1171.4,-453.0,-367.6,,,,-370.0,-542.8,-529.6,-494.1,,613.4,True,,,,True,False,False,False,,False
17079,81,0.0,,,,,32.0,9.1,,,,0.0,-81.0,,,,,-49.0,-71.9,,,,-81.0,,,,,True,True,,,,True
17081,334,56.0,,,,,96.0,2.8,3.0,,,1591.0,-278.0,,,,,-238.0,-331.2,-331.0,,,1257.0,,,,,True,False,False,,,False
17083,235,35.0,,,,,68.0,38.8,,,,976.1,-200.0,,,,,-167.0,-196.2,,,,741.1,,,,,True,True,,,,False
17085,120,63.0,,,,,90.0,24.2,,,,715.6,-57.0,,,,,-30.0,-95.8,,,,595.6,,,,,True,False,,,,False
17087,90,49.0,,,,,10.0,12.1,,,,592.0,-41.0,,,,,-80.0,-77.9,,,,502.0,,,,,False,False,,,,False
17089,3021,1813.0,5653.2,,,,2355.0,637.5,477.3,1155.4,,4975.2,-1208.0,2632.2,,,,-666.0,-2383.5,-2543.7,-1865.6,,1954.2,False,,,,True,False,False,False,,False
17091,754,770.0,668.1,,,,550.0,556.3,265.3,507.8,,3349.7,16.0,-85.9,,,,-204.0,-197.7,-488.7,-246.2,,2595.7,False,,,,False,False,False,False,,False
17093,593,413.0,299.3,,,,494.0,197.4,199.4,433.2,,1740.0,-180.0,-293.7,,,,-99.0,-395.6,-393.6,-159.8,,1147.0,False,,,,True,False,False,True,,False
17095,273,217.0,79.2,,,,222.0,124.0,118.9,,,1143.6,-56.0,-193.8,,,,-51.0,-149.0,-154.1,,,870.6,False,,,,True,False,False,,,False
17097,4137,2793.0,3234.8,,,,4262.0,1693.5,732.6,2849.4,,7532.7,-1344.0,-902.2,,,,125.0,-2443.5,-3404.4,-1287.6,,3395.7,True,,,,True,False,False,True,,False
17099,965,203.0,202.6,,,,201.0,60.3,242.3,228.6,,943.6,-762.0,-762.4,,,,-764.0,-904.7,-722.7,-736.4,,-21.4,False,,,,False,False,True,True,,True
17101,101,35.0,,,,,37.0,4.2,,,,766.1,-66.0,,,,,-64.0,-96.8,,,,665.1,,,,,True,False,,,,False
17103,133,28.0,,,,,142.0,1.2,41.4,,,1.1,-105.0,,,,,9.0,-131.8,-91.6,,,-131.9,,,,,True,False,True,,,False
17105,129,14.0,,,,,45.0,10.8,,,,0.8,-115.0,,,,,-84.0,-118.2,,,,-128.2,,,,,True,False,,,,False
17107,240,21.0,,,,,23.0,9.2,,,,32.7,-219.0,,,,,-217.0,-230.8,,,,-207.3,,,,,True,False,,,,True
17109,92,28.0,,,,,127.0,1.5,17.4,,,1275.5,-64.0,,,,,35.0,-90.5,-74.6,,,1183.5,,,,,True,False,False,,,False
17111,1545,1015.0,794.6,,,,1089.0,302.3,319.4,1108.6,,4754.6,-530.0,-750.4,,,,-456.0,-1242.7,-1225.6,-436.4,,3209.6,False,,,,True,False,False,True,,False
17113,1159,294.0,148.6,,,,342.0,174.3,319.7,242.9,,978.6,-865.0,-1010.4,,,,-817.0,-984.7,-839.3,-916.1,,-180.4,False,,,,True,False,True,False,,True
17115,675,112.0,85.6,,,,286.0,30.5,51.6,91.3,,2607.3,-563.0,-589.4,,,,-389.0,-644.5,-623.4,-583.7,,1932.3,False,,,,True,False,False,False,,False
17117,278,84.0,,,,,71.0,20.8,,,,648.5,-194.0,,,,,-207.0,-257.2,,,,370.5,,,,,False,False,,,,False
17119,2789,1120.0,1049.3,,,,1305.0,1333.4,690.8,1567.5,,4642.2,-1669.0,-1739.7,,,,-1484.0,-1455.6,-2098.2,-1221.5,,1853.2,False,,,,True,True,False,True,,False
17121,188,56.0,,,,,105.0,21.4,,,,637.9,-132.0,,,,,-83.0,-166.6,,,,449.9,,,,,True,False,,,,False
17123,35,14.0,,,,,11.0,2.6,,,,0.1,-21.0,,,,,-24.0,-32.4,,,,-34.9,,,,,False,False,,,,False
17125,58,14.0,,,,,18.0,5.6,,,,40.0,-44.0,,,,,-40.0,-52.4,,,,-18.0,,,,,True,False,,,,True
17127,50,7.0,,,,,20.0,4.6,,,,1.7,-43.0,,,,,-30.0,-45.4,,,,-48.3,,,,,True,False,,,,False
17129,40,49.0,,,,,20.0,3.8,,,,577.0,9.0,,,,,-20.0,-36.2,,,,537.0,,,,,False,False,,,,False
17131,71,42.0,,,,,33.0,4.8,,,,237.6,-29.0,,,,,-38.0,-66.2,,,,166.6,,,,,False,False,,,,False
17133,293,182.0,,,,,88.0,80.6,173.1,,,1186.8,-111.0,,,,,-205.0,-212.4,-119.9,,,893.8,,,,,False,False,False,,,False
17135,174,175.0,,,,,71.0,23.8,,,,681.7,1.0,,,,,-103.0,-150.2,,,,507.7,,,,,False,False,,,,False
17137,347,28.0,,,,,150.0,0.5,53.1,,,13.3,-319.0,,,,,-197.0,-346.5,-293.9,,,-333.7,,,,,True,False,True,,,False
17139,132,35.0,,,,,31.0,14.6,,,,657.4,-97.0,,,,,-101.0,-117.4,,,,525.4,,,,,False,False,,,,False
17141,175,189.0,58.4,,,,193.0,101.0,127.9,,,721.8,14.0,-116.6,,,,18.0,-74.0,-47.1,,,546.8,False,,,,False,False,False,,,False
17143,1681,651.0,1061.3,,,,921.0,206.8,752.4,651.7,,2842.0,-1030.0,-619.7,,,,-760.0,-1474.2,-928.6,-1029.3,,1161.0,True,,,,True,False,True,True,,False
17145,227,35.0,,,,,30.0,31.1,,,,13.9,-192.0,,,,,-197.0,-195.9,,,,-213.1,,,,,False,False,,,,False
17147,60,7.0,,,,,19.0,9.5,,,,661.1,-53.0,,,,,-41.0,-50.5,,,,601.1,,,,,True,True,,,,False
17149,62,21.0,,,,,14.0,1.3,,,,122.8,-41.0,,,,,-48.0,-60.7,,,,60.8,,,,,False,False,,,,False
17151,18,0.0,,,,,0.0,0.0,,,,0.0,-18.0,,,,,-18.0,-18.0,,,,-18.0,,,,,False,True,,,,False
17153,38,56.0,,,,,31.0,64.7,,,,67.0,18.0,,,,,-7.0,26.7,,,,29.0,,,,,True,False,,,,False
17155,18,0.0,,,,,0.0,0.0,,,,0.0,-18.0,,,,,-18.0,-18.0,,,,-18.0,,,,,False,True,,,,False
17157,416,154.0,,,,,138.0,25.9,9.4,,,1220.0,-262.0,,,,,-278.0,-390.1,-406.6,,,804.0,,,,,False,False,False,,,False
17159,55,35.0,,,,,41.0,1.1,,,,758.1,-20.0,,,,,-14.0,-53.9,,,,703.1,,,,,True,False,,,,False
17161,995,1057.0,613.0,,,,1274.0,1032.8,423.0,1611.7,,1215.6,62.0,-382.0,,,,279.0,37.8,-572.0,616.7,,220.6,False,,,,False,True,False,False,,False
17163,2962,1939.0,1994.7,,,,1528.0,1256.3,1023.1,1866.2,,6372.9,-1023.0,-967.3,,,,-1434.0,-1705.7,-1938.9,-1095.8,,3410.9,True,,,,False,False,False,False,,False
17165,147,49.0,,,,,36.0,2.0,,,,1157.0,-98.0,,,,,-111.0,-145.0,,,,1010.0,,,,,False,False,,,,False
17167,1225,511.0,228.7,,,,664.0,462.1,274.0,581.9,,5583.5,-714.0,-996.3,,,,-561.0,-762.9,-951.0,-643.1,,4358.5,False,,,,True,False,False,True,,False
17169,7,0.0,,,,,16.0,1.6,,,,0.0,-7.0,,,,,9.0,-5.4,,,,-7.0,,,,,False,True,,,,False
17171,45,0.0,,,,,6.0,,,,,0.0,-45.0,,,,,-39.0,,,,,-45.0,,,,,True,,,,,False
17173,172,7.0,,,,,21.0,2.5,,,,114.4,-165.0,,,,,-151.0,-169.5,,,,-57.6,,,,,True,False,,,,True
17175,18,14.0,,,,,8.0,0.4,,,,0.3,-4.0,,,,,-10.0,-17.6,,,,-17.7,,,,,False,False,,,,False
17177,94,49.0,,,,,267.0,6.4,89.8,,,9.9,-45.0,,,,,173.0,-87.6,-4.2,,,-84.1,,,,,False,False,True,,,False
17179,902,161.0,156.8,,,,240.0,80.4,388.5,,,298.8,-741.0,-745.2,,,,-662.0,-821.6,-513.5,,,-603.2,False,,,,True,False,True,,,True
17181,217,77.0,,,,,76.0,17.3,17.5,,,228.3,-140.0,,,,,-141.0,-199.7,-199.5,,,11.3,,,,,False,False,False,,,True
