,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
19131,19,36.0,,37.4,,48.0,22.0,,,,,55.6,,47.3,,,69.0,19.9,69.4,,,1.0,35.2,,,,44.0,90.0,125.6,,,,,,,,,,57.7,74.5,17.0,,18.4,,29.0,3.0,,,,,36.6,,28.3,,,50.0,0.9,50.4,,,-18.0,16.2,,,,25.0,71.0,106.6,,,,,,,,,,38.7,55.5,,False,,False,True,,,,,False,,False,,,False,True,False,,,False,True,,,,False,False,False,,,,,,,,,,False,False
19133,82,111.0,,107.5,,100.0,109.0,,,,,35.7,,68.3,,,37.0,35.1,72.6,,,175.0,106.7,,,,159.0,102.0,91.3,,,,,,,,,,119.7,106.9,29.0,,25.5,,18.0,27.0,,,,,-46.3,,-13.7,,,-45.0,-46.9,-9.4,,,93.0,24.7,,,,77.0,20.0,9.3,,,,,,,,,,37.7,24.9,,True,,True,True,,,,,False,,True,,,False,False,True,,,False,True,,,,False,True,True,,,,,,,,,,False,True
19135,47,51.0,,46.7,,49.0,6.0,,,,,49.2,,49.3,,,59.0,11.5,78.2,,,8.0,31.9,,,,57.0,73.0,95.9,,,,,,,,,,79.1,63.1,4.0,,-0.3,,2.0,-41.0,,,,,2.2,,2.3,,,12.0,-35.5,31.2,,,-39.0,-15.1,,,,10.0,26.0,48.9,,,,,,,,,,32.1,16.1,,True,,True,False,,,,,True,,True,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
19137,70,129.0,,124.4,,88.0,50.0,,,,,47.5,,78.6,,,58.0,39.6,66.5,,,107.0,80.5,,,,109.0,115.0,106.2,,,,,,,,,,124.7,128.0,59.0,,54.4,,18.0,-20.0,,,,,-22.5,,8.6,,,-12.0,-30.4,-3.5,,,37.0,10.5,,,,39.0,45.0,36.2,,,,,,,,,,54.7,58.0,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,True,,,,,,,,,,True,True
19139,135,291.0,,301.0,,235.0,268.0,,,,,169.2,,214.4,,,219.0,114.9,220.0,373.0,,192.0,202.1,,,,292.0,354.0,260.1,,,,,,393.3,,,,333.2,273.5,156.0,,166.0,,100.0,133.0,,,,,34.2,,79.4,,,84.0,-20.1,85.0,238.0,,57.0,67.1,,,,157.0,219.0,125.1,,,,,,258.3,,,,198.2,138.5,,False,,True,True,,,,,True,,True,,,True,True,True,False,,True,True,,,,False,False,True,,,,,,False,,,,False,True
19141,57,72.0,,79.1,,62.0,25.0,,,,,72.9,,51.6,,,63.0,14.5,84.5,,,40.0,47.6,,,,47.0,121.0,137.9,,,,,,,,,,61.8,77.2,15.0,,22.1,,5.0,-32.0,,,,,15.9,,-5.4,,,6.0,-42.5,27.5,,,-17.0,-9.4,,,,-10.0,64.0,80.9,,,,,,,,,,4.8,20.2,,False,,True,False,,,,,False,,True,,,True,False,False,,,False,True,,,,True,False,False,,,,,,,,,,True,False
19143,13,39.0,,43.0,,30.0,4.0,,,,,26.3,,27.6,,,32.0,7.8,21.7,,,15.0,18.9,,,,21.0,54.0,54.2,,,,,,,,,,50.8,45.0,26.0,,30.0,,17.0,-9.0,,,,,13.3,,14.6,,,19.0,-5.2,8.7,,,2.0,5.9,,,,8.0,41.0,41.2,,,,,,,,,,37.8,32.0,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,False,,,,,,,,,,False,False
19145,159,81.0,,82.7,,70.0,0.0,,,,,53.6,,71.6,,,94.0,11.8,74.2,,,69.0,55.9,,,,78.0,138.0,97.4,,,,,,,,,,71.6,156.6,-78.0,,-76.3,,-89.0,-159.0,,,,,-105.4,,-87.4,,,-65.0,-147.2,-84.8,,,-90.0,-103.1,,,,-81.0,-21.0,-61.6,,,,,,,,,,-87.4,-2.4,,True,,False,False,,,,,False,,False,,,True,False,False,,,False,False,,,,False,True,True,,,,,,,,,,False,True
19147,61,48.0,,61.4,,46.0,22.0,,,,,44.5,,41.7,,,47.0,10.4,50.7,,,31.0,43.0,,,,53.0,85.0,72.4,,,,,,,,,,70.2,77.5,-13.0,,0.4,,-15.0,-39.0,,,,,-16.5,,-19.3,,,-14.0,-50.6,-10.3,,,-30.0,-18.0,,,,-8.0,24.0,11.4,,,,,,,,,,9.2,16.5,,True,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,True,False,True,,,,,,,,,,True,False
19149,83,120.0,,127.7,,105.0,31.0,,,,,128.3,,81.1,,,94.0,19.7,142.5,,,79.0,74.5,,,,74.0,253.0,217.3,,,,,,152.2,,,,112.7,129.9,37.0,,44.7,,22.0,-52.0,,,,,45.3,,-1.9,,,11.0,-63.3,59.5,,,-4.0,-8.5,,,,-9.0,170.0,134.3,,,,,,69.2,,,,29.7,46.9,,False,,True,False,,,,,False,,True,,,True,False,False,,,True,True,,,,True,False,False,,,,,,False,,,,True,False
19151,23,27.0,,31.5,,21.0,12.0,,,,,32.2,,24.8,,,29.0,1.9,34.5,,,11.0,18.7,,,,21.0,51.0,54.6,,,,,,,,,,24.8,21.1,4.0,,8.5,,-2.0,-11.0,,,,,9.2,,1.8,,,6.0,-21.1,11.5,,,-12.0,-4.3,,,,-2.0,28.0,31.6,,,,,,,,,,1.8,-1.9,,False,,True,False,,,,,False,,True,,,False,False,False,,,False,False,,,,True,False,False,,,,,,,,,,True,True
19153,3185,4275.0,,4214.2,5887.3,3690.0,5593.0,,,,,2075.2,,2401.8,,3932.3,3137.0,1326.6,3366.2,3869.5,,3639.0,3045.2,,,,4396.0,4290.0,5417.1,,,,,,3566.2,2958.0,,,4256.6,3745.9,1090.0,,1029.2,2702.3,505.0,2408.0,,,,,-1109.8,,-783.2,,747.3,-48.0,-1858.4,181.2,684.5,,454.0,-139.8,,,,1211.0,1105.0,2232.1,,,,,,381.2,-227.0,,,1071.6,560.9,,True,False,True,False,,,,,False,,True,,True,True,False,True,True,,True,True,,,,False,False,False,,,,,,True,True,,,True,True
19155,450,636.0,,597.2,,517.0,580.0,,,,,402.9,,487.7,,,548.0,145.4,540.4,590.5,,448.0,444.9,,,,557.0,814.0,789.6,,,,,,326.1,,,,617.5,506.3,186.0,,147.2,,67.0,130.0,,,,,-47.1,,37.7,,,98.0,-304.6,90.4,140.5,,-2.0,-5.1,,,,107.0,364.0,339.6,,,,,,-123.9,,,,167.5,56.3,,True,,True,True,,,,,True,,True,,,True,False,True,True,,True,True,,,,True,False,False,,,,,,True,,,,True,True
19157,100,78.0,,79.4,,73.0,40.0,,,,,61.0,,87.3,,,108.0,30.3,89.9,,,49.0,61.9,,,,94.0,142.0,127.8,,,,,,,,,,82.4,105.7,-22.0,,-20.6,,-27.0,-60.0,,,,,-39.0,,-12.7,,,8.0,-69.7,-10.1,,,-51.0,-38.1,,,,-6.0,42.0,27.8,,,,,,,,,,-17.6,5.7,,True,,False,False,,,,,False,,True,,,True,False,True,,,False,False,,,,True,False,False,,,,,,,,,,True,True
19159,42,66.0,,67.9,,45.0,14.0,,,,,23.5,,33.9,,,41.0,16.1,36.9,,,49.0,44.1,,,,66.0,65.0,44.6,,,,,,,,,,52.5,64.5,24.0,,25.9,,3.0,-28.0,,,,,-18.5,,-8.1,,,-1.0,-25.9,-5.1,,,7.0,2.1,,,,24.0,23.0,2.6,,,,,,,,,,10.5,22.5,,False,,True,False,,,,,True,,True,,,True,False,True,,,True,True,,,,False,True,True,,,,,,,,,,True,True
19161,34,54.0,,55.7,,46.0,16.0,,,,,45.4,,41.8,,,51.0,11.9,48.7,,,22.0,34.3,,,,47.0,93.0,115.0,,,,,,,,,,58.4,63.0,20.0,,21.7,,12.0,-18.0,,,,,11.4,,7.8,,,17.0,-22.1,14.7,,,-12.0,0.3,,,,13.0,59.0,81.0,,,,,,,,,,24.4,29.0,,False,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,True,False,False,,,,,,,,,,False,False
19163,888,1446.0,,1589.4,,1201.0,2294.0,,,,,758.5,,944.6,,,826.0,313.2,1067.0,1236.0,,1095.0,989.7,,,,1399.0,1547.0,1662.9,,,,,,1956.4,1309.0,,,1463.1,1203.7,558.0,,701.4,,313.0,1406.0,,,,,-129.5,,56.6,,,-62.0,-574.8,179.0,348.0,,207.0,101.7,,,,511.0,659.0,774.9,,,,,,1068.4,421.0,,,575.1,315.7,,False,,True,False,,,,,True,,True,,,True,False,True,True,,True,True,,,,True,False,False,,,,,,False,True,,,False,True
19165,73,123.0,,119.8,,80.0,3.0,,,,,42.7,,82.5,,,67.0,22.6,72.0,,,107.0,69.4,,,,100.0,126.0,98.3,,,,,,,,,,176.8,96.5,50.0,,46.8,,7.0,-70.0,,,,,-30.3,,9.5,,,-6.0,-50.4,-1.0,,,34.0,-3.6,,,,27.0,53.0,25.3,,,,,,,,,,103.8,23.5,,True,,True,False,,,,,True,,True,,,True,False,True,,,True,True,,,,True,False,True,,,,,,,,,,False,True
19167,96,189.0,,190.6,,154.0,132.0,,,,,155.5,,135.2,,,156.0,29.2,220.4,153.5,,91.0,103.8,,,,144.0,314.0,351.7,,,,,,162.4,,,,196.0,202.7,93.0,,94.6,,58.0,36.0,,,,,59.5,,39.2,,,60.0,-66.8,124.4,57.5,,-5.0,7.8,,,,48.0,218.0,255.7,,,,,,66.4,,,,100.0,106.7,,False,,True,True,,,,,True,,True,,,True,True,False,True,,True,True,,,,True,False,False,,,,,,True,,,,False,False
19169,477,480.0,,580.1,,487.0,192.0,,,,,331.4,,405.8,,,506.0,159.4,628.6,554.0,,314.0,391.3,,,,540.0,649.0,651.5,,,,,,481.2,,,,621.0,567.2,3.0,,103.1,,10.0,-285.0,,,,,-145.6,,-71.2,,,29.0,-317.6,151.6,77.0,,-163.0,-85.7,,,,63.0,172.0,174.5,,,,,,4.2,,,,144.0,90.2,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,,,,False,False
19171,74,135.0,,116.7,,91.0,60.0,,,,,78.7,,74.1,,,88.0,32.8,110.1,,,94.0,85.9,,,,107.0,172.0,143.6,,,,,,,,,,133.9,139.8,61.0,,42.7,,17.0,-14.0,,,,,4.7,,0.1,,,14.0,-41.2,36.1,,,20.0,11.9,,,,33.0,98.0,69.6,,,,,,,,,,59.9,65.8,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,False,,,,,,,,,,True,False
19173,30,24.0,,22.7,,25.0,9.0,,,,,22.2,,27.2,,,41.0,2.4,28.9,,,19.0,13.9,,,,21.0,48.0,42.3,,,,,,,,,,36.0,32.9,-6.0,,-7.3,,-5.0,-21.0,,,,,-7.8,,-2.8,,,11.0,-27.6,-1.1,,,-11.0,-16.1,,,,-9.0,18.0,12.3,,,,,,,,,,6.0,2.9,,False,,True,False,,,,,False,,True,,,False,False,True,,,False,False,,,,False,False,False,,,,,,,,,,False,True
19175,58,87.0,,85.6,,76.0,20.0,,,,,45.2,,70.3,,,91.0,13.5,48.1,,,76.0,59.9,,,,69.0,106.0,100.0,,,,,,,,,,96.9,128.9,29.0,,27.6,,18.0,-38.0,,,,,-12.8,,12.3,,,33.0,-44.5,-9.9,,,18.0,1.9,,,,11.0,48.0,42.0,,,,,,,,,,38.9,70.9,,True,,True,False,,,,,True,,True,,,False,False,True,,,True,True,,,,True,False,False,,,,,,,,,,False,False
19177,30,24.0,,27.7,,25.0,7.0,,,,,21.5,,31.8,,,51.0,9.6,34.6,,,24.0,22.1,,,,26.0,49.0,69.3,,,,,,,,,,24.4,33.5,-6.0,,-2.3,,-5.0,-23.0,,,,,-8.5,,1.8,,,21.0,-20.4,4.6,,,-6.0,-7.9,,,,-4.0,19.0,39.3,,,,,,,,,,-5.6,3.5,,True,,True,False,,,,,False,,True,,,False,False,True,,,False,False,,,,True,False,False,,,,,,,,,,True,True
19179,298,270.0,,288.8,,256.0,142.0,,,,,141.8,,192.4,,,266.0,120.0,241.6,297.0,,256.0,192.7,,,,268.0,336.0,286.9,,,,,,243.2,,,,282.7,324.0,-28.0,,-9.2,,-42.0,-156.0,,,,,-156.2,,-105.6,,,-32.0,-178.0,-56.4,-1.0,,-42.0,-105.3,,,,-30.0,38.0,-11.1,,,,,,-54.8,,,,-15.3,26.0,,True,,False,False,,,,,False,,False,,,False,False,False,True,,False,False,,,,False,False,True,,,,,,False,,,,True,True
19181,363,615.0,,610.6,,492.0,453.0,,,,,221.6,,377.3,,,325.0,255.4,461.5,554.0,,590.0,442.2,,,,682.0,610.0,758.7,,,,,,367.9,,,,659.2,593.7,252.0,,247.6,,129.0,90.0,,,,,-141.4,,14.3,,,-38.0,-107.6,98.5,191.0,,227.0,79.2,,,,319.0,247.0,395.7,,,,,,4.9,,,,296.2,230.7,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,False,,,,,,True,,,,False,True
19183,109,261.0,,241.4,,192.0,195.0,,,,,104.3,,145.7,,,121.0,44.5,176.7,,,206.0,148.1,,,,229.0,276.0,252.4,,,,,,276.1,,,,302.1,218.6,152.0,,132.4,,83.0,86.0,,,,,-4.7,,36.7,,,12.0,-64.5,67.7,,,97.0,39.1,,,,120.0,167.0,143.4,,,,,,167.1,,,,193.1,109.6,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,True,,,,,,False,,,,False,True
19185,18,15.0,,17.2,,15.0,0.0,,,,,17.6,,25.5,,,46.0,0.6,25.6,,,1.0,13.0,,,,9.0,39.0,20.1,,,,,,,,,,25.4,42.8,-3.0,,-0.8,,-3.0,-18.0,,,,,-0.4,,7.5,,,28.0,-17.4,7.6,,,-17.0,-5.0,,,,-9.0,21.0,2.1,,,,,,,,,,7.4,24.8,,True,,False,False,,,,,True,,False,,,False,False,False,,,False,False,,,,False,False,True,,,,,,,,,,False,False
19187,125,138.0,,133.7,,118.0,64.0,,,,,175.6,,122.4,,,204.0,51.1,196.3,144.5,,93.0,108.1,,,,120.0,280.0,336.8,,,,,,,,,,55.0,87.2,13.0,,8.7,,-7.0,-61.0,,,,,50.6,,-2.6,,,79.0,-73.9,71.3,19.5,,-32.0,-16.9,,,,-5.0,155.0,211.8,,,,,,,,,,-70.0,-37.8,,True,,True,False,,,,,False,,True,,,False,False,False,False,,False,False,,,,True,False,False,,,,,,,,,,False,False
19189,54,105.0,,102.4,,74.0,14.0,,,,,54.3,,63.7,,,54.0,29.9,73.5,,,66.0,81.3,,,,110.0,113.0,114.5,,,,,,,,,,123.9,110.2,51.0,,48.4,,20.0,-40.0,,,,,0.3,,9.7,,,0.0,-24.1,19.5,,,12.0,27.3,,,,56.0,59.0,60.5,,,,,,,,,,69.9,56.2,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,False,,,,,,,,,,False,False
19191,149,180.0,,201.4,,145.0,203.0,,,,,79.7,,149.2,,,125.0,103.6,139.5,,,131.0,126.7,,,,238.0,221.0,223.8,,,,,,,,,,171.6,153.8,31.0,,52.4,,-4.0,54.0,,,,,-69.3,,0.2,,,-24.0,-45.4,-9.5,,,-18.0,-22.3,,,,89.0,72.0,74.8,,,,,,,,,,22.6,4.8,,False,,True,False,,,,,False,,True,,,True,False,True,,,True,True,,,,False,False,False,,,,,,,,,,True,True
19193,349,498.0,,538.0,,460.0,362.0,,,,,472.6,,366.5,,,486.0,105.9,526.3,549.0,,349.5,337.5,,,,407.0,771.0,826.7,,,,,,571.1,,,,521.3,486.2,149.0,,189.0,,111.0,13.0,,,,,123.6,,17.5,,,137.0,-243.1,177.3,200.0,,0.5,-11.5,,,,58.0,422.0,477.7,,,,,,222.1,,,,172.3,137.2,,False,,True,True,,,,,True,,True,,,True,False,False,False,,True,True,,,,True,False,False,,,,,,False,,,,False,True
19195,30,60.0,,57.9,,41.0,32.0,,,,,35.7,,47.4,,,37.0,25.6,56.4,,,30.0,35.9,,,,58.0,74.0,85.2,,,,,,,,,,78.1,66.3,30.0,,27.9,,11.0,2.0,,,,,5.7,,17.4,,,7.0,-4.4,26.4,,,0.0,5.9,,,,28.0,44.0,55.2,,,,,,,,,,48.1,36.3,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,False,,,,,,,,,,False,False
19197,37,117.0,,126.1,,86.0,26.0,,,,,67.3,,59.0,,,72.0,35.3,94.1,,,96.0,80.2,,,,110.0,109.0,154.5,,,,,,,,,,123.8,92.4,80.0,,89.1,,49.0,-11.0,,,,,30.3,,22.0,,,35.0,-1.7,57.1,,,59.0,43.2,,,,73.0,72.0,117.5,,,,,,,,,,86.8,55.4,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,False,,,,,,,,,,False,True
20001,163,165.0,,170.9,,157.0,95.0,,,,,73.9,,103.3,,,168.0,133.4,112.0,,,187.0,80.0,,,,228.0,160.0,175.2,,,,,,,,,,207.4,148.5,2.0,,7.9,,-6.0,-68.0,,,,,-89.1,,-59.7,,,5.0,-29.6,-51.0,,,24.0,-83.0,,,,65.0,-3.0,12.2,,,,,,,,,,44.4,-14.5,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
20003,55,108.0,,69.7,,78.0,52.0,,,,,48.6,,61.4,,,142.0,47.5,76.5,,,149.0,47.2,,,,112.0,103.0,137.9,,,,,,,,,,120.8,91.0,53.0,,14.7,,23.0,-3.0,,,,,-6.4,,6.4,,,87.0,-7.5,21.5,,,94.0,-7.8,,,,57.0,48.0,82.9,,,,,,,,,,65.8,36.0,,True,,True,True,,,,,True,,True,,,False,True,True,,,False,True,,,,False,True,False,,,,,,,,,,False,True
20005,90,138.0,,177.2,,127.0,78.0,,,,,80.0,,97.0,,,175.0,46.5,100.5,,,138.0,53.2,,,,124.0,182.0,159.6,,,,,,,,,,154.9,112.1,48.0,,87.2,,37.0,-12.0,,,,,-10.0,,7.0,,,85.0,-43.5,10.5,,,48.0,-36.8,,,,34.0,92.0,69.6,,,,,,,,,,64.9,22.1,,False,,True,True,,,,,True,,True,,,False,True,True,,,False,True,,,,True,False,False,,,,,,,,,,False,True
20007,15,51.0,,53.3,,41.0,20.0,,,,,19.9,,32.1,,,43.0,19.4,24.9,,,53.0,18.9,,,,51.0,49.0,48.6,,,,,,,,,,64.3,51.0,36.0,,38.3,,26.0,5.0,,,,,4.9,,17.1,,,28.0,4.4,9.9,,,38.0,3.9,,,,36.0,34.0,33.6,,,,,,,,,,49.3,36.0,,False,,True,True,,,,,True,,True,,,True,True,True,,,False,True,,,,False,True,True,,,,,,,,,,False,False
20009,76,183.0,,202.1,,195.0,123.0,,,,,140.6,,151.1,,,229.0,79.2,147.3,,,235.0,94.9,,,,159.0,252.0,205.5,,,,,,265.5,,,,213.9,195.3,107.0,,126.1,,119.0,47.0,,,,,64.6,,75.1,,,153.0,3.2,71.3,,,159.0,18.9,,,,83.0,176.0,129.5,,,,,,189.5,,,,137.9,119.3,,False,,False,True,,,,,True,,True,,,False,True,True,,,False,True,,,,True,False,False,,,,,,False,,,,False,False
20011,69,99.0,,93.9,,113.0,48.0,,,,,91.2,,87.4,,,226.0,96.9,106.0,,,213.0,57.4,,,,143.0,122.0,194.0,,,,,,,,,,135.3,113.0,30.0,,24.9,,44.0,-21.0,,,,,22.2,,18.4,,,157.0,27.9,37.0,,,144.0,-11.6,,,,74.0,53.0,125.0,,,,,,,,,,66.3,44.0,,True,,False,True,,,,,True,,True,,,False,True,False,,,False,True,,,,False,False,False,,,,,,,,,,False,False
20013,30,57.0,,49.8,,56.0,27.0,,,,,52.0,,44.7,,,111.0,20.7,64.0,,,110.0,28.1,,,,43.0,88.0,123.9,,,,,,,,,,49.5,77.1,27.0,,19.8,,26.0,-3.0,,,,,22.0,,14.7,,,81.0,-9.3,34.0,,,80.0,-1.9,,,,13.0,58.0,93.9,,,,,,,,,,19.5,47.1,,True,,True,True,,,,,True,,True,,,False,True,False,,,False,True,,,,True,False,False,,,,,,,,,,True,False
20015,454,732.0,,725.3,,693.0,303.0,,,,,504.0,,588.8,,,837.0,465.9,640.8,575.0,,1069.0,382.7,,,,822.0,653.0,1052.0,,,,,,822.9,,,,1016.7,776.4,278.0,,271.3,,239.0,-151.0,,,,,50.0,,134.8,,,383.0,11.9,186.8,121.0,,615.0,-71.3,,,,368.0,199.0,598.0,,,,,,368.9,,,,562.7,322.4,,True,,True,True,,,,,True,,True,,,False,True,True,True,,False,True,,,,False,True,False,,,,,,False,,,,False,False
20017,9,24.0,,16.3,,12.0,,,,,,15.5,,13.7,,,38.0,7.0,8.0,,,12.0,8.9,,,,,28.0,17.0,,,,,,,,,,29.2,0.0,15.0,,7.3,,3.0,,,,,,6.5,,4.7,,,29.0,-2.0,-1.0,,,3.0,-0.1,,,,,19.0,8.0,,,,,,,,,,20.2,-9.0,,True,,True,,,,,,True,,True,,,False,True,True,,,True,True,,,,,False,True,,,,,,,,,,False,True
20019,25,24.0,,37.0,,23.0,8.0,,,,,18.4,,22.3,,,55.0,4.5,17.2,,,49.0,7.9,,,,18.0,27.0,29.3,,,,,,,,,,23.4,30.1,-1.0,,12.0,,-2.0,-17.0,,,,,-6.6,,-2.7,,,30.0,-20.5,-7.8,,,24.0,-17.1,,,,-7.0,2.0,4.3,,,,,,,,,,-1.6,5.1,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
20021,200,213.0,,151.9,,216.0,94.0,,,,,160.7,,152.3,,,371.0,84.8,201.7,,,324.0,120.5,,,,218.0,241.0,318.9,,,,,,,,,,274.2,262.6,13.0,,-48.1,,16.0,-106.0,,,,,-39.3,,-47.7,,,171.0,-115.2,1.7,,,124.0,-79.5,,,,18.0,41.0,118.9,,,,,,,,,,74.2,62.6,,False,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,False,False,False,,,,,,,,,,False,False
20023,9,18.0,,5.1,,24.0,,,,,,18.7,,12.1,,,28.0,3.6,20.1,,,44.0,10.3,,,,22.0,29.0,50.2,,,,,,,,,,17.4,59.0,9.0,,-3.9,,15.0,,,,,,9.7,,3.1,,,19.0,-5.4,11.1,,,35.0,1.3,,,,13.0,20.0,41.2,,,,,,,,,,8.4,50.0,,True,,False,,,,,,False,,True,,,False,True,False,,,False,True,,,,False,False,False,,,,,,,,,,True,False
20025,9,27.0,,26.4,,19.0,,,,,,11.8,,12.8,,,20.0,21.4,12.1,,,23.0,10.1,,,,19.0,25.0,17.4,,,,,,,,,,33.0,15.1,18.0,,17.4,,10.0,,,,,,2.8,,3.8,,,11.0,12.4,3.1,,,14.0,1.1,,,,10.0,16.0,8.4,,,,,,,,,,24.0,6.1,,True,,True,,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,True,,,,,,,,,,False,True
20027,46,54.0,,67.4,,69.0,31.0,,,,,41.8,,46.9,,,97.0,55.0,49.5,,,103.0,30.9,,,,66.0,76.0,76.8,,,,,,,,,,84.0,75.3,8.0,,21.4,,23.0,-15.0,,,,,-4.2,,0.9,,,51.0,9.0,3.5,,,57.0,-15.1,,,,20.0,30.0,30.8,,,,,,,,,,38.0,29.3,,False,,False,False,,,,,True,,True,,,False,False,True,,,False,False,,,,False,False,False,,,,,,,,,,False,False
20029,20,66.0,,56.6,,72.0,15.0,,,,,41.1,,50.1,,,96.0,86.5,49.7,,,75.0,31.2,,,,73.0,88.0,88.4,,,,,,,,,,95.3,71.9,46.0,,36.6,,52.0,-5.0,,,,,21.1,,30.1,,,76.0,66.5,29.7,,,55.0,11.2,,,,53.0,68.0,68.4,,,,,,,,,,75.3,51.9,,True,,False,True,,,,,True,,True,,,False,False,True,,,False,True,,,,False,False,False,,,,,,,,,,False,False
20031,82,87.0,,91.6,,87.0,24.0,,,,,41.4,,58.4,,,116.0,38.8,46.1,,,85.0,33.2,,,,80.0,91.0,114.6,,,,,,,,,,111.4,94.3,5.0,,9.6,,5.0,-58.0,,,,,-40.6,,-23.6,,,34.0,-43.2,-35.9,,,3.0,-48.8,,,,-2.0,9.0,32.6,,,,,,,,,,29.4,12.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,True,False,,,,True,False,False,,,,,,,,,,False,False
20033,2,0.0,,7.1,,6.0,0.0,,,,,8.4,,6.1,,,16.0,5.3,2.3,,,6.0,1.6,,,,2.0,12.0,11.6,,,,,,,,,,5.0,1.8,-2.0,,5.1,,4.0,-2.0,,,,,6.4,,4.1,,,14.0,3.3,0.3,,,4.0,-0.4,,,,0.0,10.0,9.6,,,,,,,,,,3.0,-0.2,,False,,False,False,,,,,False,,False,,,False,False,True,,,False,True,,,,True,False,False,,,,,,,,,,False,True
