,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nebraska,10173,17832.0,8603.7,17322.6,13637.0,28553.0,,15407.2,2279.0,10512.6,,15369.6,,13359.3,12474.0,4775.1,17654.0,15469.6,14495.0,11208.3,14655.5,10866.0,21821.4,11597.1,15308.4,15811.0,23272.0,,13407.2,,3980.1,,23555.8,13707.5,13327.6,13169.0,19476.8,,7659.0,-1569.3,7149.6,3464.0,18380.0,,5234.2,-7894.0,339.6,,5196.6,,3186.3,2301.0,-5397.9,7481.0,5296.6,4322.0,1035.3,4482.5,693.0,11648.4,1424.1,5135.4,5638.0,13099.0,,3234.2,,-6192.9,,13382.8,3534.5,3154.6,2996.0,9303.8,,True,True,True,False,,True,False,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,False,,True,,True,,False,True,True,True,False,
Nevada,18123,28869.0,30432.1,28589.5,27235.0,36319.0,,30563.0,20455.0,29623.3,,24117.3,,22437.0,29651.0,14673.6,26529.0,25946.1,27238.5,28463.3,18112.0,20011.3,30084.5,30644.8,29980.0,28130.0,27195.0,,30506.7,,19374.9,,26843.7,48945.6,14303.1,21918.0,38300.0,,10746.0,12309.1,10466.5,9112.0,18196.0,,12440.0,2332.0,11500.3,,5994.3,,4314.0,11528.0,-3449.4,8406.0,7823.1,9115.5,10340.3,-11.0,1888.3,11961.5,12521.8,11857.0,10007.0,9072.0,,12383.7,,1251.9,,8720.7,30822.6,-3819.9,3795.0,20177.0,,False,True,True,False,,False,True,False,,True,,True,False,True,True,True,True,True,True,True,False,False,False,True,True,,False,,True,,True,False,True,True,False,
New Hampshire,8761,16893.0,13344.5,17139.4,15082.0,20101.0,,15725.1,7873.0,16307.8,,15959.2,,15081.1,16012.0,10968.5,16293.0,12227.7,16842.0,14768.8,14223.5,12981.4,11438.1,11945.2,15718.8,18031.0,15233.0,,11035.3,,16400.8,,14108.3,21325.5,16916.7,14533.0,19945.0,,8132.0,4583.5,8378.4,6321.0,11340.0,,6964.1,-888.0,7546.8,,7198.2,,6320.1,7251.0,2207.5,7532.0,3466.7,8081.0,6007.8,5462.5,4220.4,2677.1,3184.2,6957.8,9270.0,6472.0,,2274.3,,7639.8,,5347.3,12564.5,8155.7,5772.0,11184.0,,True,False,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
New Jersey,86283,106341.0,96563.7,107120.8,104853.0,111435.0,,114132.7,82422.0,85535.0,,112413.4,,120535.8,110020.0,81135.0,94192.0,79733.0,107558.5,108069.2,103102.5,102856.9,142374.9,91358.2,115188.5,116416.0,90587.0,,95210.7,,56250.0,,83113.0,156876.2,123212.9,95278.0,155367.5,,20058.0,10280.7,20837.8,18570.0,25152.0,,27849.7,-3861.0,-748.0,,26130.4,,34252.8,23737.0,-5148.0,7909.0,-6550.0,21275.5,21786.2,16819.5,16573.9,56091.9,5075.2,28905.5,30133.0,4304.0,,8927.7,,-30033.0,,-3170.0,70593.2,36929.9,8995.0,69084.5,,True,False,True,False,,False,True,True,,False,,False,False,True,True,True,False,False,True,True,False,True,False,False,True,,True,,False,,True,False,False,True,False,
New Mexico,11710,17058.0,17419.9,15847.8,15782.0,11761.0,,17541.4,13884.0,14821.7,,14183.7,,13044.4,18610.0,9150.1,18336.0,13741.6,16920.0,16888.9,11171.0,11749.2,16258.4,13734.0,18169.1,16483.0,16162.0,,17606.7,,15641.9,,15226.9,27659.8,21266.8,13445.0,16691.9,,5348.0,5709.9,4137.8,4072.0,51.0,,5831.4,2174.0,3111.7,,2473.7,,1334.4,6900.0,-2559.9,6626.0,2031.6,5210.0,5178.9,-539.0,39.2,4548.4,2024.0,6459.1,4773.0,4452.0,,5896.7,,3931.9,,3516.9,15949.8,9556.8,1735.0,4981.9,,False,True,True,True,,False,True,True,,True,,True,False,True,False,True,True,True,True,True,True,True,False,True,True,,False,,True,,True,False,False,True,True,
New York,208228,283335.0,261686.9,287405.7,271007.0,381861.0,,253563.8,373353.0,238122.6,,231704.0,,270041.8,271698.0,248896.7,,250397.9,309545.5,353508.2,228562.5,238936.7,317318.5,178070.6,327381.3,327088.0,265221.0,,261464.5,,264877.8,,260511.0,460033.0,327503.3,257569.0,471559.5,,75107.0,53458.9,79177.7,62779.0,173633.0,,45335.8,165125.0,29894.6,,23476.0,,61813.8,63470.0,40668.7,,42169.9,101317.5,145280.2,20334.5,30708.7,109090.5,-30157.4,119153.3,118860.0,56993.0,,53236.5,,56649.8,,52283.0,251805.0,119275.3,49341.0,263331.5,,True,False,True,False,,True,False,True,,True,,True,True,True,,True,False,False,True,True,False,True,False,False,True,,True,,True,,True,False,False,True,False,
North Carolina,106008,134670.0,127740.2,132691.5,133370.0,130599.0,,141710.6,107711.0,114840.9,,146836.5,,137847.5,147961.0,86465.0,129765.0,108275.8,146213.5,146761.6,138337.0,118582.6,66183.0,84412.6,167924.0,161608.0,116771.0,,124508.1,,130134.5,,124716.5,221054.8,155783.2,149786.0,198263.4,,28662.0,21732.2,26683.5,27362.0,24591.0,,35702.6,1703.0,8832.9,,40828.5,,31839.5,41953.0,-19543.0,23757.0,2267.8,40205.5,40753.6,32329.0,12574.6,-39825.0,-21595.4,61916.0,55600.0,10763.0,,18500.1,,24126.5,,18708.5,115046.8,49775.2,43778.0,92255.4,,True,True,True,True,,False,True,True,,False,,False,False,True,True,True,False,False,False,True,False,True,False,False,True,,True,,True,,True,False,False,False,False,
North Dakota,1840,3018.0,1541.2,2904.9,2366.0,1707.0,,3062.5,340.0,2225.2,,3001.4,,2221.5,3669.0,1397.1,3517.0,3325.8,2449.0,1654.7,1640.0,2225.8,1801.7,1456.3,2580.3,2402.0,7909.0,,1201.5,,841.9,,5771.7,793.2,6032.0,2418.0,3532.8,,1178.0,-298.8,1064.9,526.0,-133.0,,1222.5,-1500.0,385.2,,1161.4,,381.5,1829.0,-442.9,1677.0,1485.8,609.0,-185.3,-200.0,385.8,-38.3,-383.7,740.3,562.0,6069.0,,-638.5,,-998.1,,3931.7,-1046.8,4192.0,578.0,1692.8,,True,True,True,True,,False,False,True,,True,,True,False,True,False,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,True,False,True,False,
Ohio,77700,115002.0,113330.5,112748.6,107862.0,92827.0,,117916.0,54078.0,109175.5,,136817.0,,87583.6,121452.0,64960.4,109107.0,85558.5,116654.5,111153.8,77956.0,86592.6,80224.9,93975.5,117987.1,119459.0,116094.0,,106154.6,,54254.8,,109485.6,175112.9,134755.8,93556.0,157067.5,,37302.0,35630.5,35048.6,30162.0,15127.0,,40216.0,-23622.0,31475.5,,59117.0,,9883.6,43752.0,-12739.6,31407.0,7858.5,38954.5,33453.8,256.0,8892.6,2524.9,16275.5,40287.1,41759.0,38394.0,,28454.6,,-23445.2,,31785.6,97412.9,57055.8,15856.0,79367.5,,True,True,True,True,,False,True,True,,False,,True,False,True,True,True,False,True,True,True,True,True,False,False,False,,True,,True,,True,False,False,True,False,
Oklahoma,42127,55452.0,57964.6,55249.0,51069.0,45731.0,,59745.4,49276.0,58216.1,,50740.9,,52713.5,57050.0,29598.9,50404.0,38126.1,58166.5,40320.0,35906.0,44320.5,25418.4,76852.0,65147.4,61456.0,50045.0,,51455.4,,30483.2,,48115.3,103370.8,72018.0,45211.0,74440.8,,13325.0,15837.6,13122.0,8942.0,3604.0,,17618.4,7149.0,16089.1,,8613.9,,10586.5,14923.0,-12528.1,8277.0,-4000.9,16039.5,-1807.0,-6221.0,2193.5,-16708.6,34725.0,23020.4,19329.0,7918.0,,9328.4,,-11643.8,,5988.3,61243.8,29891.0,3084.0,32313.8,,False,True,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,False,False,False,False,True,,True,,True,,True,False,False,True,False,
Oregon,12434,15564.0,16503.9,14980.1,15170.0,10499.0,,17551.9,14971.0,17277.9,,24512.9,,12424.5,17882.0,14260.7,17244.0,17250.2,19835.0,14659.0,7897.5,12612.5,8737.4,12930.2,17847.2,17990.0,15183.0,,13839.2,,22302.4,,13846.3,25586.1,17711.5,11884.0,17661.5,,3130.0,4069.9,2546.1,2736.0,-1935.0,,5117.9,2537.0,4843.9,,12078.9,,-9.5,5448.0,1826.7,4810.0,4816.2,7401.0,2225.0,-4536.5,178.5,-3696.6,496.2,5413.2,5556.0,2749.0,,1405.2,,9868.4,,1412.3,13152.1,5277.5,-550.0,5227.5,,False,True,True,True,,False,True,False,,False,,True,False,True,False,False,False,True,False,True,False,True,False,False,True,,True,,False,,True,False,False,True,False,
Pennsylvania,91075,114288.0,123583.5,112557.5,107577.0,109096.0,,109306.0,54716.0,108059.3,,108984.4,,81914.9,118174.0,63963.5,107645.0,108330.8,116430.0,100631.1,73839.0,81261.3,118635.1,73851.6,112740.2,110447.0,104411.0,,90212.7,,148967.4,,107236.2,158477.4,149834.4,97852.0,174120.9,,23213.0,32508.5,21482.5,16502.0,18021.0,,18231.0,-36359.0,16984.3,,17909.4,,-9160.1,27099.0,-27111.5,16570.0,17255.8,25355.0,9556.1,-17236.0,-9813.7,27560.1,-17223.4,21665.2,19372.0,13336.0,,-862.3,,57892.4,,16161.2,67402.4,58759.4,6777.0,83045.9,,False,True,True,True,,True,False,True,,True,,True,False,False,True,True,False,True,True,True,False,True,True,True,True,,True,,False,,True,False,False,True,False,
Rhode Island,11086,15876.0,13553.3,12844.6,13726.0,22616.0,,15238.1,3491.0,314359.8,,9123.1,,13868.9,19919.0,3955.4,15646.0,11497.6,13225.5,14579.2,13880.0,11925.2,3334.6,13820.0,19777.3,17236.0,14078.0,,14188.7,,7231.4,,10609.1,29434.8,18461.0,5511.0,12521.7,,4790.0,2467.3,1758.6,2640.0,11530.0,,4152.1,-7595.0,303273.8,,-1962.9,,2782.9,8833.0,-7130.6,4560.0,411.6,2139.5,3493.2,2794.0,839.2,-7751.4,2734.0,8691.3,6150.0,2992.0,,3102.7,,-3854.6,,-476.9,18348.8,7375.0,-5575.0,1435.7,,True,True,True,False,,True,False,False,,True,,True,False,False,True,True,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,False,False,True,
South Carolina,69351,94101.0,77960.5,92405.3,94297.0,88199.0,,101042.5,175178.0,87944.8,,66841.8,,102695.6,97542.0,74206.8,92482.0,62186.7,99498.5,110409.6,73257.5,75324.0,92230.1,67133.8,100360.7,111550.0,81696.0,,83259.5,,104113.6,,93273.4,147218.1,113758.9,90096.0,119793.7,,24750.0,8609.5,23054.3,24946.0,18848.0,,31691.5,105827.0,18593.8,,-2509.2,,33344.6,28191.0,4855.8,23131.0,-7164.3,30147.5,41058.6,3906.5,5973.0,22879.1,-2217.2,31009.7,42199.0,12345.0,,13908.5,,34762.6,,23922.4,77867.1,44407.9,20745.0,50442.7,,True,True,False,True,,False,False,True,,True,,False,False,True,True,True,False,False,True,True,True,True,False,False,True,,True,,False,,True,False,False,True,False,
South Dakota,3242,5055.0,3155.3,5002.9,4260.0,2643.0,,5299.4,4380.0,4572.3,,7510.5,,3791.0,5410.0,2211.2,4794.0,5149.4,4703.5,3531.0,2431.5,3374.3,1844.3,2148.5,4875.4,4355.0,9066.0,,4058.8,,3265.9,,5317.9,5683.3,3169.5,4202.0,5934.1,,1813.0,-86.7,1760.9,1018.0,-599.0,,2057.4,1138.0,1330.3,,4268.5,,549.0,2168.0,-1030.8,1552.0,1907.4,1461.5,289.0,-810.5,132.3,-1397.7,-1093.5,1633.4,1113.0,5824.0,,816.8,,23.9,,2075.9,2441.3,-72.5,960.0,2692.1,,True,True,True,True,,False,True,True,,False,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,False,True,True,False,
Tennessee,50195,75087.0,80715.5,76411.5,69040.0,54830.0,,72059.9,61905.0,75872.4,,54212.8,,54101.9,73358.0,26040.6,70843.0,63434.7,68929.5,55699.9,39538.0,53234.4,65750.5,53792.9,79668.2,73130.0,65945.0,,64637.6,,82385.9,,71013.2,108815.6,102804.8,58217.0,98667.7,,24892.0,30520.5,26216.5,18845.0,4635.0,,21864.9,11710.0,25677.4,,4017.8,,3906.9,23163.0,-24154.4,20648.0,13239.7,18734.5,5504.9,-10657.0,3039.4,15555.5,3597.9,29473.2,22935.0,15750.0,,14442.6,,32190.9,,20818.2,58620.6,52609.8,8022.0,48472.7,,False,False,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,,False,,True,False,False,True,False,
Texas,321582,389433.0,369582.8,384846.0,380502.0,430969.0,,427867.2,407753.0,251695.7,,467890.8,,375645.4,438592.0,426524.3,,347460.2,438927.5,407709.0,270840.0,277215.5,372508.2,296920.3,422402.7,463387.0,363287.0,,369227.1,,255239.6,,309111.9,667547.5,378483.6,310399.0,466820.5,,67851.0,48000.8,63264.0,58920.0,109387.0,,106285.2,86171.0,-69886.3,,146308.8,,54063.4,117010.0,104942.3,,25878.2,117345.5,86127.0,-50742.0,-44366.5,50926.2,-24661.7,100820.7,141805.0,41705.0,,47645.1,,-66342.4,,-12470.1,345965.5,56901.6,-11183.0,145238.5,,True,True,True,False,,False,False,False,,False,,True,False,False,,True,False,False,True,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,
Utah,25695,37911.0,34338.7,36238.2,34970.0,27416.0,,43333.4,78709.0,36488.4,,52654.3,,32944.6,40632.0,13898.1,37675.0,27118.5,40743.0,41435.9,23759.5,29138.5,25235.7,47686.2,47403.1,36950.0,38139.0,,35782.0,,16267.5,,25081.4,71620.7,46686.8,27790.0,31378.1,,12216.0,8643.7,10543.2,9275.0,1721.0,,17638.4,53014.0,10793.4,,26959.3,,7249.6,14937.0,-11796.9,11980.0,1423.5,15048.0,15740.9,-1935.5,3443.5,-459.3,21991.2,21708.1,11255.0,12444.0,,10087.0,,-9427.5,,-613.6,45925.7,20991.8,2095.0,5683.1,,True,True,True,True,,False,False,True,,False,,True,False,True,True,True,False,False,True,True,True,False,False,True,False,,True,,True,,True,False,False,True,True,
Vermont,2653,2979.0,2110.5,3041.3,3045.0,2351.0,,3652.2,4957.0,2661.2,,2846.7,,3373.5,3282.0,2684.1,3418.0,3635.2,3042.0,3464.5,2684.0,2592.1,3074.7,2726.3,3539.2,4366.0,3606.0,,2804.2,,3020.7,,1381.1,4357.5,2980.9,2856.0,3064.5,,326.0,-542.5,388.3,392.0,-302.0,,999.2,2304.0,8.2,,193.7,,720.5,629.0,31.1,765.0,982.2,389.0,811.5,31.0,-60.9,421.7,73.3,886.2,1713.0,953.0,,151.2,,367.7,,-1271.9,1704.5,327.9,203.0,411.5,,False,False,False,True,,False,False,True,,True,,False,False,True,False,False,False,False,True,True,False,True,False,False,False,,True,,False,,False,False,False,True,False,
Virginia,78769,117792.0,94362.0,116298.2,116418.0,113664.0,,129615.5,126977.0,76782.9,,150027.5,,116090.9,85632.0,142698.3,124494.0,88045.9,127130.0,118884.2,71085.5,81769.8,119736.3,94201.7,117025.7,132062.0,105411.0,,100120.9,,97002.6,,79239.9,146623.9,141963.0,101330.0,141388.0,,39023.0,15593.0,37529.2,37649.0,34895.0,,50846.5,48208.0,-1986.1,,71258.5,,37321.9,6863.0,63929.3,45725.0,9276.9,48361.0,40115.2,-7683.5,3000.8,40967.3,15432.7,38256.7,53293.0,26642.0,,21351.9,,18233.6,,470.9,67854.9,63194.0,22561.0,62619.0,,True,True,True,True,,False,False,True,,False,,True,True,False,False,True,False,False,True,True,False,True,True,False,True,,True,,True,,True,False,False,True,False,
Washington,27849,42684.0,39459.0,50706.4,37383.0,57300.0,,36077.8,35823.0,16125.3,,44863.6,,34929.0,38159.0,17828.5,39679.0,40200.3,39236.0,41022.2,31989.5,27063.4,13206.3,58946.1,44311.6,44313.0,40326.0,,39534.3,,54828.9,,36402.3,58824.1,46659.2,27361.0,45916.6,,14835.0,11610.0,22857.4,9534.0,29451.0,,8228.8,7974.0,-11723.7,,17014.6,,7080.0,10310.0,-10020.5,11830.0,12351.3,11387.0,13173.2,4140.5,-785.6,-14642.7,31097.1,16462.6,16464.0,12477.0,,11685.3,,26979.9,,8553.3,30975.1,18810.2,-488.0,18067.6,,True,False,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,False,False,False,True,,True,,False,,True,False,False,True,False,
West Virginia,12530,19884.0,20708.1,19018.3,18958.0,15598.0,,20099.3,22613.0,20345.0,,15969.3,,15398.9,21128.0,12377.7,19912.0,15134.3,21370.5,15425.5,11865.5,13309.2,17657.6,11610.1,23627.8,22787.0,18292.0,,16692.5,,16101.7,,15969.8,35185.7,22868.3,16536.0,21991.7,,7354.0,8178.1,6488.3,6428.0,3068.0,,7569.3,10083.0,7815.0,,3439.3,,2868.9,8598.0,-152.3,7382.0,2604.3,8840.5,2895.5,-664.5,779.2,5127.6,-919.9,11097.8,10257.0,5762.0,,4162.5,,3571.7,,3439.8,22655.7,10338.3,4006.0,9461.7,,False,True,True,True,,False,False,False,,True,,True,False,True,False,True,False,True,True,True,True,True,False,False,True,,True,,True,,True,False,False,True,False,
Wisconsin,26648,41184.0,38218.0,47166.6,34915.0,34217.0,,43308.3,18766.0,30133.0,,45156.1,,33381.4,40122.0,19518.8,37714.0,40256.7,41132.0,29671.2,23617.0,29044.2,11814.9,30700.1,43258.3,39866.0,57138.0,,41869.5,,12828.2,,30977.7,68732.9,29580.7,31685.0,49826.7,,14536.0,11570.0,20518.6,8267.0,7569.0,,16660.3,-7882.0,3485.0,,18508.1,,6733.4,13474.0,-7129.2,11066.0,13608.7,14484.0,3023.2,-3031.0,2396.2,-14833.1,4052.1,16610.3,13218.0,30490.0,,15221.5,,-13819.8,,4329.7,42084.9,2932.7,5037.0,23178.7,,True,False,True,True,,False,True,True,,False,,True,True,True,True,True,True,True,True,True,False,True,False,True,False,,False,,True,,True,False,True,True,False,
Wyoming,2503,4545.0,4553.2,4492.0,4495.0,4058.0,,5376.9,7012.0,4610.8,,5960.1,,4980.6,5440.0,2515.5,4882.0,3217.0,4571.5,2968.1,3770.5,4253.3,5068.1,2811.2,5297.4,4915.0,5992.0,,3984.9,,2358.5,,3634.4,4845.0,3599.9,3019.0,5317.4,,2042.0,2050.2,1989.0,1992.0,1555.0,,2873.9,4509.0,2107.8,,3457.1,,2477.6,2937.0,12.5,2379.0,714.0,2068.5,465.1,1267.5,1750.3,2565.1,308.2,2794.4,2412.0,3489.0,,1481.9,,-144.5,,1131.4,2342.0,1096.9,516.0,2814.4,,False,True,True,True,,False,False,False,,False,,False,False,True,False,True,False,True,True,True,False,True,False,False,False,,True,,True,,True,False,True,True,False,
US,2571480,3706824.0,3574299.8,3790456.1,3568583.0,3602342.0,3690253.0,3444566.3,4825166.0,5623328.4,3278077.4,,3387606.0,2743313.5,3643429.0,2579924.8,,3180949.4,,3542371.8,2385818.0,3028757.0,3580146.3,3165238.3,4047791.0,4074037.0,3866509.0,3612689.0,3554674.1,4047712.0,3086135.2,3283941.0,3639254.6,,3791696.8,3105451.0,4927343.8,2690773.8,1135344.0,1002819.8,1218976.1,997103.0,1030862.0,1118773.0,873086.3,2253686.0,3051848.4,706597.4,,816126.0,171833.5,1071949.0,8444.8,,609469.4,,970891.8,-185662.0,457277.0,1008666.3,593758.3,1476311.0,1502557.0,1295029.0,1041209.0,983194.1,1476232.0,514655.2,712461.0,1067774.6,,1220216.8,533971.0,2355863.8,119293.8,True,False,True,True,True,True,False,False,True,,True,True,True,True,,True,,True,True,True,True,True,False,False,False,True,True,False,True,True,True,,False,True,False,True
