,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
New Jersey,121730,171356.0,129460.4,170894.7,168728.0,279398.0,,159155.4,85284.0,167217.5,184739.8,,236692.1,159360.0,140466.4,177022.0,130523.4,160797.5,171079.5,165427.9,271561.0,133223.5,168664.6,145400.0,,185338.6,,82162.6,,171545.1,177464.6,196114.4,168153.0,193534.4,,49626.0,7730.4,49164.7,46998.0,157668.0,,37425.4,-36446.0,45487.5,63009.8,,114962.1,37630.0,18736.4,55292.0,8793.4,39067.5,49349.5,43697.9,149831.0,11493.5,46934.6,23670.0,,63608.6,,-39567.4,,49815.1,55734.6,74384.4,46423.0,71804.4,,True,True,True,False,,True,True,True,False,,False,True,True,False,True,True,True,True,False,True,True,True,,False,,True,,False,False,False,True,False,
New Mexico,17396,31756.0,28277.4,30475.3,29074.0,26095.0,,32232.0,9515.0,27629.0,41479.9,,30417.6,33604.0,29079.4,34476.0,20376.8,23898.7,26653.0,26980.2,21436.3,19890.6,29629.7,29055.0,,25365.6,,11348.1,,27795.5,36247.0,37470.5,29115.0,29572.6,,14360.0,10881.4,13079.3,11678.0,8699.0,,14836.0,-7881.0,10233.0,24083.9,,13021.6,16208.0,11683.4,17080.0,2980.8,6502.7,9257.0,9584.2,4040.3,2494.6,12233.7,11659.0,,7969.6,,-6047.9,,10399.5,18851.0,20074.5,11719.0,12176.6,,True,True,True,True,,False,True,True,False,,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,False,True,True,
New York,302673,438332.0,370080.5,437476.4,444508.0,587283.0,,379289.4,506277.0,566912.4,517267.9,,525710.9,401612.0,511352.2,,415700.2,514300.8,483204.0,397815.4,523440.0,408122.1,479283.8,360158.0,,410981.0,,365435.8,,393315.7,616344.3,396995.5,441487.0,617100.9,,135659.0,67407.5,134803.4,141835.0,284610.0,,76616.4,203604.0,264239.4,214594.9,,223037.9,98939.0,208679.2,,113027.2,211627.8,180531.0,95142.4,220767.0,105449.1,176610.8,57485.0,,108308.0,,62762.8,,90642.7,313671.3,94322.5,138814.0,314427.9,,True,True,False,False,,True,False,False,False,,False,True,False,,True,False,False,True,False,True,False,True,,True,,True,,True,False,True,False,False,
North Carolina,150898,213884.0,251717.3,216658.8,220500.0,168303.0,,226722.2,132674.0,317839.7,238029.2,,288517.8,237752.0,230178.2,217698.0,173386.3,279516.4,214872.0,196265.8,145248.4,237111.2,234066.2,172086.0,,213564.9,,179847.4,,205173.8,295519.7,222444.3,235972.0,271704.4,,62986.0,100819.3,65760.8,69602.0,17405.0,,75824.2,-18224.0,166941.7,87131.2,,137619.8,86854.0,79280.2,66800.0,22488.3,128618.4,63974.0,45367.8,-5649.6,86213.2,83168.2,21188.0,,62666.9,,28949.4,,54275.8,144621.7,71546.3,85074.0,120806.4,,False,False,False,True,,False,True,False,False,,False,False,False,False,True,False,False,True,True,False,False,True,,True,,True,,True,False,False,False,False,
North Dakota,2846,4624.0,2926.8,4616.6,3596.0,2757.0,,4604.8,497.0,3475.6,7247.8,,3657.3,7978.0,1892.5,5651.0,4579.4,2350.7,4002.5,4251.6,3310.1,1867.7,4441.6,12040.0,,3336.0,,1424.7,,2055.0,240.0,953.1,3505.0,5544.8,,1778.0,80.8,1770.6,750.0,-89.0,,1758.8,-2349.0,629.6,4401.8,,811.3,5132.0,-953.5,2805.0,1733.4,-495.3,1156.5,1405.6,464.1,-978.3,1595.6,9194.0,,490.0,,-1421.3,,-791.0,-2606.0,-1892.9,659.0,2698.8,,True,True,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,True,False,
Ohio,116034,202120.0,207807.4,206553.7,189753.0,162117.0,,196292.7,49561.0,268667.0,264540.1,,198836.3,216594.0,158196.1,210802.0,135877.6,159998.1,215515.5,171868.1,124560.6,158288.3,193298.3,165458.0,,162176.7,,84817.6,,167432.6,220918.3,166518.1,204112.0,224480.7,,86086.0,91773.4,90519.7,73719.0,46083.0,,80258.7,-66473.0,152633.0,148506.1,,82802.3,100560.0,42162.1,94768.0,19843.6,43964.1,99481.5,55834.1,8526.6,42254.3,77264.3,49424.0,,46142.7,,-31216.4,,51398.6,104884.3,50484.1,88078.0,108446.7,,False,False,True,True,,True,True,False,False,,True,False,True,False,True,True,False,True,True,True,True,True,,True,,True,,True,False,True,False,False,
Oklahoma,60611,107160.0,110392.1,109785.1,104146.0,90842.0,,115978.0,52480.0,134125.2,93457.8,,110120.1,118585.0,116330.9,102066.0,59068.4,91367.8,77013.0,79953.1,102692.2,104232.1,108420.8,82542.0,,96408.2,,45398.0,,70928.6,132773.1,115371.6,106126.0,128364.2,,46549.0,49781.1,49174.1,43535.0,30231.0,,55367.0,-8131.0,73514.2,32846.8,,49509.1,57974.0,55719.9,41455.0,-1542.6,30756.8,16402.0,19342.1,42081.2,43621.1,47809.8,21931.0,,35797.2,,-15213.0,,10317.6,72162.1,54760.6,45515.0,67753.2,,False,False,True,True,,False,True,False,True,,False,False,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Oregon,17622,31744.0,30367.7,31207.9,29295.0,27899.0,,33121.2,16545.0,39899.0,49803.5,,34852.0,34027.0,25534.7,34700.0,30701.3,27667.4,25608.0,25983.7,7917.9,25217.1,29567.8,24660.0,,24299.5,,30808.4,,22767.8,32982.6,34257.3,34893.0,32275.5,,14122.0,12745.7,13585.9,11673.0,10277.0,,15499.2,-1077.0,22277.0,32181.5,,17230.0,16405.0,7912.7,17078.0,13079.3,10045.4,7986.0,8361.7,-9704.1,7595.1,11945.8,7038.0,,6677.5,,13186.4,,5145.8,15360.6,16635.3,17271.0,14653.5,,True,True,True,True,,False,True,False,False,,False,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,False,False,False,
Pennsylvania,129171,192848.0,198475.4,195549.2,178305.0,154082.0,,186963.9,67183.0,244543.8,282097.2,,182725.2,217558.0,169421.3,203731.0,169863.8,146999.0,160578.5,166689.8,251017.0,152250.7,178793.9,130093.0,,135020.4,,213386.4,,146127.7,235251.7,94505.9,196514.0,259188.4,,63677.0,69304.4,66378.2,49134.0,24911.0,,57792.9,-61988.0,115372.8,152926.2,,53554.2,88387.0,40250.3,74560.0,40692.8,17828.0,31407.5,37518.8,121846.0,23079.7,49622.9,922.0,,5849.4,,84215.4,,16956.7,106080.7,-34665.1,67343.0,130017.4,,False,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,False,True,True,True,,True,,False,,True,False,True,False,False,
Rhode Island,16378,27316.0,24511.2,23790.6,25425.0,49938.0,,26752.0,5992.0,117858.7,51675.6,,28175.0,28725.0,19830.0,27067.0,20880.0,20229.8,26491.0,25910.7,38486.4,26806.1,31198.7,18251.0,,18534.4,,11210.6,,20896.6,45038.0,23597.3,19672.0,25032.6,,10938.0,8133.2,7412.6,9047.0,33560.0,,10374.0,-10386.0,101480.7,35297.6,,11797.0,12347.0,3452.0,10689.0,4502.0,3851.8,10113.0,9532.7,22108.4,10428.1,14820.7,1873.0,,2156.4,,-5167.4,,4518.6,28660.0,7219.3,3294.0,8654.6,,True,True,True,False,,True,True,False,False,,False,False,True,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,True,True,True,
South Carolina,100718,129352.0,132168.7,130104.7,138592.0,120490.0,,131898.4,273585.0,257084.5,109412.1,,187755.0,129151.0,147855.3,115484.0,84343.3,174578.3,141097.5,138774.2,165742.5,101055.1,149168.3,100287.0,,152892.1,,137416.4,,123475.2,201960.8,172565.8,133706.0,166568.1,,28634.0,31450.7,29386.7,37874.0,19772.0,,31180.4,172867.0,156366.5,8694.1,,87037.0,28433.0,47137.3,14766.0,-16374.7,73860.3,40379.5,38056.2,65024.5,337.1,48450.3,-431.0,,52174.1,,36698.4,,22757.2,101242.8,71847.8,32988.0,65850.1,,False,False,False,True,,False,False,False,True,,False,True,False,True,True,False,False,False,False,True,False,True,,False,,False,,True,False,False,False,False,
South Dakota,4927,9508.0,5710.7,10240.3,7932.0,5854.0,,9059.5,5964.0,11075.9,15815.9,,7957.5,10434.0,5053.2,10166.0,7043.4,5880.2,6333.5,7501.8,3512.0,11274.2,8737.1,16398.0,,6096.5,,1696.1,,8385.8,8111.0,15369.4,6978.0,10550.8,,4581.0,783.7,5313.3,3005.0,927.0,,4132.5,1037.0,6148.9,10888.9,,3030.5,5507.0,126.2,5239.0,2116.4,953.2,1406.5,2574.8,-1415.0,6347.2,3810.1,11471.0,,1169.5,,-3230.9,,3458.8,3184.0,10442.4,2051.0,5623.8,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,False,True,False,,True,,True,,True,True,False,True,False,
Tennessee,75224,137588.0,170199.0,143771.0,124491.0,126503.0,,132136.2,107918.0,170370.8,132324.8,,113139.3,153371.0,97740.0,115119.0,99041.2,125981.5,90823.5,99037.1,80101.8,97557.6,141483.5,110497.0,,121854.5,,122298.4,,104468.3,180899.0,172784.6,133567.0,161687.8,,62364.0,94975.0,68547.0,49267.0,51279.0,,56912.2,32694.0,95146.8,57100.8,,37915.3,78147.0,22516.0,39895.0,23817.2,50757.5,15599.5,23813.1,4877.8,22333.6,66259.5,35273.0,,46630.5,,47074.4,,29244.3,105675.0,97560.6,58343.0,86463.8,,False,False,True,True,,True,True,False,True,,True,False,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Texas,451393,642988.0,573065.4,672904.0,641745.0,817971.0,,644977.4,425943.0,718374.9,690268.5,,729072.6,644208.0,667637.7,1038595.0,521334.2,641429.5,616851.5,586677.9,,428341.5,641741.5,575715.0,,548997.8,,362175.9,,462023.9,823584.9,753000.8,588499.0,759435.5,,191595.0,121672.4,221511.0,190352.0,366578.0,,193584.4,-25450.0,266981.9,238875.5,,277679.6,192815.0,216244.7,587202.0,69941.2,190036.5,165458.5,135284.9,,-23051.5,190348.5,124322.0,,97604.8,,-89217.1,,10630.9,372191.9,301607.8,137106.0,308042.5,,True,False,True,False,,False,True,False,False,,False,False,False,False,True,True,True,True,,True,True,True,,True,,True,,True,False,False,True,False,
Utah,38332,74116.0,71219.4,65706.1,67453.0,35762.0,,78907.5,96565.0,105518.5,125315.3,,75632.3,83616.0,58317.3,78087.0,41946.4,56640.4,44624.0,62710.3,112147.3,60944.2,78421.1,61728.0,,66473.4,,25148.8,,39048.8,98502.2,80451.0,64976.0,59749.0,,35784.0,32887.4,27374.1,29121.0,-2570.0,,40575.5,58233.0,67186.5,86983.3,,37300.3,45284.0,19985.3,39755.0,3614.4,18308.4,6292.0,24378.3,73815.3,22612.2,40089.1,23396.0,,28141.4,,-13183.2,,716.8,60170.2,42119.0,26644.0,21417.0,,True,True,True,True,,False,False,False,False,,False,False,True,False,True,True,True,True,False,True,False,True,,True,,True,,True,False,False,True,True,
Vermont,3646,4500.0,3517.6,4627.9,4750.0,5256.0,,4948.8,3172.0,4501.7,6013.2,,7476.9,5199.0,14292.6,6336.0,5167.0,8096.6,4550.0,4529.2,3932.1,5109.9,4990.7,4758.0,,4393.8,,2611.8,,1533.4,5018.1,3934.2,5813.0,5053.2,,854.0,-128.4,981.9,1104.0,1610.0,,1302.8,-474.0,855.7,2367.2,,3830.9,1553.0,10646.6,2690.0,1521.0,4450.6,904.0,883.2,286.1,1463.9,1344.7,1112.0,,747.8,,-1034.2,,-2112.6,1372.1,288.2,2167.0,1407.2,,True,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,True,,False,,False,False,True,False,False,
Virginia,118033,142704.0,152954.3,142742.9,151218.0,157066.0,,154416.1,97880.0,168402.5,215692.9,,278065.5,136220.0,132017.3,143693.0,118554.9,199344.9,161780.5,190789.3,143667.4,157968.2,180316.8,134696.0,,187769.6,,100603.7,,137857.5,189034.3,172944.0,101190.0,169492.4,,24671.0,34921.3,24709.9,33185.0,39033.0,,36383.1,-20153.0,50369.5,97659.9,,160032.5,18187.0,13984.3,25660.0,521.9,81311.9,43747.5,72756.3,25634.4,39935.2,62283.8,16663.0,,69736.6,,-17429.3,,19824.5,71001.3,54911.0,-16843.0,51459.4,,False,False,False,False,,False,True,False,False,,False,True,True,False,True,False,False,False,False,False,False,True,,False,,True,,True,False,False,True,False,
Washington,42077,57500.0,84355.4,49252.2,68653.0,31012.0,,97350.2,37284.0,68994.0,77678.2,,75228.3,73199.0,150339.5,80092.0,57532.7,64950.7,70855.0,68748.1,90129.2,104138.1,76770.0,29184.0,,54505.0,,74959.4,,69532.4,94416.0,63116.1,68661.0,70728.9,,15423.0,42278.4,7175.2,26576.0,-11065.0,,55273.2,-4793.0,26917.0,35601.2,,33151.3,31122.0,108262.5,38015.0,15455.7,22873.7,28778.0,26671.1,48052.2,62061.1,34693.0,-12893.0,,12428.0,,32882.4,,27455.4,52339.0,21039.1,26584.0,28651.9,,False,True,False,True,,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,True,,False,,False,False,False,False,False,
West Virginia,19158,33384.0,39193.9,34419.6,31834.0,28525.0,,33022.0,31591.0,38648.6,29504.9,,28291.1,35025.0,27222.2,35207.0,24623.1,35770.2,26759.0,25774.9,30581.7,29468.2,36788.9,25475.0,,24142.0,,23514.1,,22243.5,54379.2,41327.4,35495.0,40246.5,,14226.0,20035.9,15261.6,12676.0,9367.0,,13864.0,12433.0,19490.6,10346.9,,9133.1,15867.0,8064.2,16049.0,5465.1,16612.2,7601.0,6616.9,11423.7,10310.2,17630.9,6317.0,,4984.0,,4356.1,,3085.5,35221.2,22169.4,16337.0,21088.5,,False,False,True,True,,True,True,False,True,,True,False,True,False,True,False,True,True,True,True,False,True,,True,,True,,True,False,False,False,False,
Wisconsin,40376,72564.0,65661.3,72324.2,69025.0,88184.0,,80188.6,8783.0,64546.5,120204.2,,78141.6,71916.0,62064.8,79295.0,52941.1,47959.0,61326.5,65667.5,69937.1,55490.9,74863.0,84956.0,,60326.0,,20234.5,,58319.9,101547.9,51391.1,62658.0,91054.5,,32188.0,25285.3,31948.2,28649.0,47808.0,,39812.6,-31593.0,24170.5,79828.2,,37765.6,31540.0,21688.8,38919.0,12565.1,7583.0,20950.5,25291.5,29561.1,15114.9,34487.0,44580.0,,19950.0,,-20141.5,,17943.9,61171.9,11015.1,22282.0,50678.5,,True,True,True,False,,False,True,True,False,,False,True,True,False,True,True,True,True,True,True,False,False,,True,,True,,True,False,True,True,False,
Wyoming,4018,9396.0,7407.7,9906.5,9175.0,8931.0,,9266.4,619.0,7972.1,13011.7,,10257.2,10097.0,16137.7,12038.0,5210.1,4357.8,7987.0,9849.0,6856.1,4528.8,7774.6,10446.0,,7657.9,,3487.8,,9588.4,2122.8,10310.0,6838.0,9354.8,,5378.0,3389.7,5888.5,5157.0,4913.0,,5248.4,-3399.0,3954.1,8993.7,,6239.2,6079.0,12119.7,8020.0,1192.1,339.8,3969.0,5831.0,2838.1,510.8,3756.6,6428.0,,3639.9,,-530.2,,5570.4,-1895.2,6292.0,2820.0,5336.8,,True,False,True,True,,True,True,True,False,,False,False,False,False,True,True,True,False,True,True,True,False,,True,,True,,False,True,False,True,True,
US,3807655,6260312.0,6126714.1,6207242.7,6270229.0,6942592.0,6852941.0,6020946.2,7589575.0,18386953.9,,6114436.5,6302242.3,6503493.0,5870831.7,,4899549.7,6240906.2,5713255.5,5443070.0,8350881.5,5652527.2,6388447.4,6629188.0,6659420.0,5814974.9,6359455.0,4303056.3,5644190.0,5354256.8,,5377952.7,6099836.0,7819627.2,4405058.7,2452657.0,2319059.1,2399587.7,2462574.0,3134937.0,3045286.0,2213291.2,3781920.0,14579298.9,,2306781.5,2494587.3,2695838.0,2063176.7,,1091894.7,2433251.2,1905600.5,1635415.0,4543226.5,1844872.2,2580792.4,2821533.0,2851765.0,2007319.9,2551800.0,495401.3,1836535.0,1546601.8,,1570297.7,2292181.0,4011972.2,597403.7,True,True,False,False,False,True,False,False,,True,False,False,True,,True,True,True,True,False,True,False,False,False,True,False,True,True,True,,True,True,False,True
