,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
12057,5726,7992.0,,7897.3,8387.5,6779.0,7537.0,10388.0,,,,,5702.0,,8226.8,,6339.4,8074.0,5573.4,,9296.4,7731.0,,5160.0,6340.1,,,,8634.0,6451.0,8996.6,,,,,,4595.2,6466.8,5233.0,,,7986.8,10070.7,2266.0,,2171.3,2661.5,1053.0,1811.0,4662.0,,,,,-24.0,,2500.8,,613.4,2348.0,-152.6,,3570.4,2005.0,,-566.0,614.1,,,,2908.0,725.0,3270.6,,,,,,-1130.8,740.8,-493.0,,,2260.8,4344.7,,True,False,True,True,False,,,,,True,,False,,True,False,True,,False,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12059,72,116.0,,111.9,,106.0,123.0,84.0,,,,,113.3,,150.1,,,172.0,28.7,,107.9,,,61.0,92.4,,,,108.0,111.0,149.4,,,,,,,96.5,,,,105.9,192.7,44.0,,39.9,,34.0,51.0,12.0,,,,,41.3,,78.1,,,100.0,-43.3,,35.9,,,-11.0,20.4,,,,36.0,39.0,77.4,,,,,,,24.5,,,,33.9,120.7,,True,,True,False,True,,,,,True,,False,,,False,True,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,True,False
12061,702,932.0,,857.0,,801.0,941.0,793.0,,,,,616.3,,1009.6,,,759.0,747.0,,819.0,922.0,,683.0,743.1,,,,1060.0,829.0,838.9,,,,,,795.6,735.6,581.0,,,923.7,1379.8,230.0,,155.0,,99.0,239.0,91.0,,,,,-85.7,,307.6,,,57.0,45.0,,117.0,220.0,,-19.0,41.1,,,,358.0,127.0,136.9,,,,,,93.6,33.6,-121.0,,,221.7,677.8,,True,,True,False,True,,,,,True,,False,,,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12063,165,304.0,,327.0,,292.0,399.0,333.0,,,,,332.8,,301.4,,,422.0,213.0,,288.6,314.5,,234.0,230.0,,,,316.0,299.0,375.8,,,,,,208.8,172.5,,,,238.1,758.1,139.0,,162.0,,127.0,234.0,168.0,,,,,167.8,,136.4,,,257.0,48.0,,123.6,149.5,,69.0,65.0,,,,151.0,134.0,210.8,,,,,,43.8,7.5,,,,73.1,593.1,,False,,True,False,False,,,,,False,,True,,,False,True,,True,False,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
12065,84,88.0,,84.2,,85.0,122.0,,,,,,81.4,,90.2,,,73.0,74.3,,78.8,,,75.0,91.3,,,,110.0,83.0,134.2,,,,,,,43.6,,,,81.1,208.4,4.0,,0.2,,1.0,38.0,,,,,,-2.6,,6.2,,,-11.0,-9.7,,-5.2,,,-9.0,7.3,,,,26.0,-1.0,50.2,,,,,,,-40.4,,,,-2.9,124.4,,True,,True,False,,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,True,False,,,,,,,False,,,,True,False
12067,25,40.0,,36.3,,37.0,64.0,0.0,,,,,69.4,,62.5,,,46.0,25.2,,53.2,,,21.0,39.8,,,,51.0,41.0,39.8,,,,,,,24.8,,,,37.8,148.8,15.0,,11.3,,12.0,39.0,-25.0,,,,,44.4,,37.5,,,21.0,0.2,,28.2,,,-4.0,14.8,,,,26.0,16.0,14.8,,,,,,,-0.2,,,,12.8,123.8,,True,,True,False,False,,,,,False,,False,,,False,True,,False,,,True,True,,,,False,False,True,,,,,,,True,,,,True,False
12069,1649,2454.0,,2517.7,,2136.0,2170.0,2282.0,,,,,1372.4,,2199.5,,2026.6,2132.0,2609.9,,1992.9,2375.0,,1673.0,1932.6,,,,2564.0,2142.0,1847.8,,,,,,1551.7,1862.8,2210.0,,,2295.7,2910.8,805.0,,868.7,,487.0,521.0,633.0,,,,,-276.6,,550.5,,377.6,483.0,960.9,,343.9,726.0,,24.0,283.6,,,,915.0,493.0,198.8,,,,,,-97.3,213.8,561.0,,,646.7,1261.8,,False,,True,True,True,,,,,True,,True,,True,True,False,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12071,2926,4284.0,,4381.0,4974.3,3932.0,4009.0,4869.0,,,,,2897.7,,3794.2,,3388.3,3933.0,2223.7,,3697.4,3718.5,,2967.0,3154.7,,,,4496.0,3777.0,4871.0,,,,,,3383.2,3265.2,2851.0,,,4177.9,5039.6,1358.0,,1455.0,2048.3,1006.0,1083.0,1943.0,,,,,-28.3,,868.2,,462.3,1007.0,-702.3,,771.4,792.5,,41.0,228.7,,,,1570.0,851.0,1945.0,,,,,,457.2,339.2,-75.0,,,1251.9,2113.6,,False,False,True,True,False,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12073,1617,2808.0,,2665.7,,2315.0,2316.0,2714.0,,,,,1913.6,,2184.7,,,2401.0,2479.5,,1844.2,1764.5,,2002.0,1863.7,,,,3188.0,2119.0,2264.3,,,,,,1726.8,1523.5,2242.0,,,2681.0,3083.0,1191.0,,1048.7,,698.0,699.0,1097.0,,,,,296.6,,567.7,,,784.0,862.5,,227.2,147.5,,385.0,246.7,,,,1571.0,502.0,647.3,,,,,,109.8,-93.5,625.0,,,1064.0,1466.0,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12075,196,226.0,,242.6,,195.0,202.0,138.0,,,,,161.1,,215.2,,,230.0,122.5,,197.7,205.0,,122.0,144.6,,,,260.0,216.0,211.2,,,,,,205.2,174.9,,,,212.5,279.1,30.0,,46.6,,-1.0,6.0,-58.0,,,,,-34.9,,19.2,,,34.0,-73.5,,1.7,9.0,,-74.0,-51.4,,,,64.0,20.0,15.2,,,,,,9.2,-21.1,,,,16.5,83.1,,False,,True,True,False,,,,,False,,True,,,False,False,,True,True,,False,False,,,,False,True,True,,,,,,True,True,,,,True,False
12077,32,62.0,,62.4,,54.0,91.0,0.0,,,,,65.3,,31.0,,,46.0,21.6,,68.9,,,22.0,41.8,,,,78.0,50.0,117.4,,,,,,,50.5,,,,58.3,196.9,30.0,,30.4,,22.0,59.0,-32.0,,,,,33.3,,-1.0,,,14.0,-10.4,,36.9,,,-10.0,9.8,,,,46.0,18.0,85.4,,,,,,,18.5,,,,26.3,164.9,,False,,True,False,False,,,,,False,,True,,,True,True,,False,,,True,True,,,,False,True,False,,,,,,,True,,,,True,False
12079,83,118.0,,120.5,,121.0,124.0,126.0,,,,,96.1,,83.1,,,102.0,167.2,,87.4,,,94.0,89.0,,,,142.0,113.0,150.8,,,,,,,101.3,,,,118.9,162.7,35.0,,37.5,,38.0,41.0,43.0,,,,,13.1,,0.1,,,19.0,84.2,,4.4,,,11.0,6.0,,,,59.0,30.0,67.8,,,,,,,18.3,,,,35.9,79.7,,False,,False,False,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
12081,1788,2488.0,,2456.4,2288.2,2099.0,2244.0,3178.0,,,,,1703.5,,3094.6,,2179.9,1949.0,1697.9,,1929.3,1910.5,,1722.0,1835.1,,,,2737.0,2141.0,2506.2,,,,,,1764.6,1989.6,1907.0,,,2377.1,2934.1,700.0,,668.4,500.2,311.0,456.0,1390.0,,,,,-84.5,,1306.6,,391.9,161.0,-90.1,,141.3,122.5,,-66.0,47.1,,,,949.0,353.0,718.2,,,,,,-23.4,201.6,119.0,,,589.1,1146.1,,True,True,True,True,False,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12083,1857,2322.0,,2388.2,,2006.0,2271.0,2184.0,,,,,1523.8,,2061.4,,,2104.0,2082.1,,2072.2,2126.5,,1862.0,1752.2,,,,2476.0,2033.0,3327.8,,,,,,1493.2,1590.7,1709.0,,,2165.1,2743.7,465.0,,531.2,,149.0,414.0,327.0,,,,,-333.2,,204.4,,,247.0,225.1,,215.2,269.5,,5.0,-104.8,,,,619.0,176.0,1470.8,,,,,,-363.8,-266.3,-148.0,,,308.1,886.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12085,481,614.0,,669.8,,524.0,615.0,501.0,,,,,568.6,,435.8,,,782.0,344.5,,649.7,551.5,,494.0,502.0,,,,649.0,567.0,873.3,,,,,,392.7,710.9,440.0,,,638.1,757.0,133.0,,188.8,,43.0,134.0,20.0,,,,,87.6,,-45.2,,,301.0,-136.5,,168.7,70.5,,13.0,21.0,,,,168.0,86.0,392.3,,,,,,-88.3,229.9,-41.0,,,157.1,276.0,,False,,True,False,True,,,,,True,,True,,,False,False,,False,True,,True,True,,,,False,True,False,,,,,,True,False,True,,,False,False
12086,22200,27208.0,,27191.2,24079.4,22750.0,24065.0,26623.0,,,,,18549.5,,24966.1,,22969.4,90316.0,21421.8,,27468.2,18510.5,,17948.0,21381.3,,,,27150.0,21349.0,30169.6,,,,,,17931.7,20640.0,20032.0,,,,30491.4,5008.0,,4991.2,1879.4,550.0,1865.0,4423.0,,,,,-3650.5,,2766.1,,769.4,68116.0,-778.2,,5268.2,-3689.5,,-4252.0,-818.7,,,,4950.0,-851.0,7969.6,,,,,,-4268.3,-1560.0,-2168.0,,,,8291.4,,True,True,True,True,True,,,,,True,,True,,True,False,True,,False,True,,True,True,,,,True,True,False,,,,,,True,True,True,,,,False
12087,230,394.0,,387.0,,366.0,397.0,292.0,,,,,340.9,,459.1,,,369.0,278.7,,290.6,,,404.0,354.6,,,,447.0,360.0,631.4,,,,,,291.7,413.9,,,,370.4,366.5,164.0,,157.0,,136.0,167.0,62.0,,,,,110.9,,229.1,,,139.0,48.7,,60.6,,,174.0,124.6,,,,217.0,130.0,401.4,,,,,,61.7,183.9,,,,140.4,136.5,,True,,True,False,True,,,,,True,,False,,,True,True,,True,,,False,True,,,,False,True,False,,,,,,True,False,,,,True,True
12089,475,682.0,,636.8,,551.0,629.0,360.0,,,,,468.6,,739.0,,,561.0,453.9,,545.2,629.5,,393.0,475.4,,,,745.0,604.0,661.2,,,,,,422.4,385.6,,,,671.3,992.0,207.0,,161.8,,76.0,154.0,-115.0,,,,,-6.4,,264.0,,,86.0,-21.1,,70.2,154.5,,-82.0,0.4,,,,270.0,129.0,186.2,,,,,,-52.6,-89.4,,,,196.3,517.0,,True,,True,True,True,,,,,True,,False,,,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,False
12091,1240,1624.0,,1585.1,,1270.0,1294.0,1555.0,,,,,1059.0,,1403.0,,1274.3,2084.0,887.8,,987.5,1283.0,,1068.5,1110.7,,,,1559.0,1300.0,1477.1,,,,,,1053.7,1342.5,1249.0,,,1530.2,1548.2,384.0,,345.1,,30.0,54.0,315.0,,,,,-181.0,,163.0,,34.3,844.0,-352.2,,-252.5,43.0,,-171.5,-129.3,,,,319.0,60.0,237.1,,,,,,-186.3,102.5,9.0,,,290.2,308.2,,True,,True,True,True,,,,,True,,True,,True,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,True,True
12093,168,288.0,,279.8,,231.0,223.0,182.0,,,,,206.3,,404.3,,,168.0,157.6,,308.7,271.5,,212.0,205.9,,,,314.0,236.0,279.5,,,,,,161.7,177.3,,,,282.0,222.1,120.0,,111.8,,63.0,55.0,14.0,,,,,38.3,,236.3,,,0.0,-10.4,,140.7,103.5,,44.0,37.9,,,,146.0,68.0,111.5,,,,,,-6.3,9.3,,,,114.0,54.1,,True,,True,True,True,,,,,True,,False,,,True,True,,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,True
12095,6190,10110.0,,9948.5,10075.0,8823.0,9091.0,13405.0,,,,,5668.9,,12256.0,,7970.9,9473.0,6903.3,,7525.4,10033.5,,7361.5,7591.3,,,,11111.0,8383.0,8388.6,,,,,,7219.5,8438.0,6521.0,,,9620.4,11482.4,3920.0,,3758.5,3885.0,2633.0,2901.0,7215.0,,,,,-521.1,,6066.0,,1780.9,3283.0,713.3,,1335.4,3843.5,,1171.5,1401.3,,,,4921.0,2193.0,2198.6,,,,,,1029.5,2248.0,331.0,,,3430.4,5292.4,,True,True,True,True,False,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12097,1829,2828.0,,2715.2,2744.5,2337.0,2627.0,1794.0,,,,,1910.9,,2158.5,,2355.5,2864.0,2272.6,,2233.2,2941.5,,1818.0,2101.5,,,,2997.0,2337.0,3467.9,,,,,,1827.1,2736.7,2437.0,,,2574.6,3464.9,999.0,,886.2,915.5,508.0,798.0,-35.0,,,,,81.9,,329.5,,526.5,1035.0,443.6,,404.2,1112.5,,-11.0,272.5,,,,1168.0,508.0,1638.9,,,,,,-1.9,907.7,608.0,,,745.6,1635.9,,True,True,True,True,True,,,,,True,,True,,True,False,True,,True,False,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12099,7392,9720.0,,9679.6,9959.7,8788.0,9062.0,12794.0,,,,,6292.7,,12838.3,,9043.9,8517.0,7033.3,,8394.8,8800.5,,7240.5,8273.2,,,,10717.0,8874.0,9776.1,,,,,,7868.8,7944.6,7190.0,,,9696.8,10574.3,2328.0,,2287.6,2567.7,1396.0,1670.0,5402.0,,,,,-1099.3,,5446.3,,1651.9,1125.0,-358.7,,1002.8,1408.5,,-151.5,881.2,,,,3325.0,1482.0,2384.1,,,,,,476.8,552.6,-202.0,,,2304.8,3182.3,,True,False,True,True,False,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12101,2076,2712.0,,2766.3,3303.8,2512.0,2678.0,4382.0,,,,,1725.6,,3586.9,,2245.5,3108.0,2708.3,,2748.5,2604.5,,2185.0,2165.7,,,,2784.0,2442.0,2709.7,,,,,,1902.0,2112.6,2027.0,,,2666.6,3547.4,636.0,,690.3,1227.8,436.0,602.0,2306.0,,,,,-350.4,,1510.9,,169.5,1032.0,632.3,,672.5,528.5,,109.0,89.7,,,,708.0,366.0,633.7,,,,,,-174.0,36.6,-49.0,,,590.6,1471.4,,False,False,True,True,False,,,,,True,,False,,True,False,True,,False,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12103,3816,5286.0,,5293.0,5178.8,4458.0,4845.0,7071.0,,,,,3425.6,,7986.6,,4260.5,4800.0,2887.4,,5269.4,4185.0,,3634.5,4029.5,,,,5535.0,4274.0,4720.8,,,,,,4944.9,4448.0,3711.0,,,5037.9,6413.0,1470.0,,1477.0,1362.8,642.0,1029.0,3255.0,,,,,-390.4,,4170.6,,444.5,984.0,-928.6,,1453.4,369.0,,-181.5,213.5,,,,1719.0,458.0,904.8,,,,,,1128.9,632.0,-105.0,,,1221.9,2597.0,,False,True,True,True,False,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12105,4034,4812.0,,4896.3,5175.3,4095.0,4575.0,5609.0,,,,,3016.6,,5100.5,,3884.6,4716.0,3448.0,,3848.1,4463.5,,3614.0,3790.6,,,,5159.0,4025.0,4397.3,,,,,,3139.0,3781.4,3475.0,,,4606.2,6289.4,778.0,,862.3,1141.3,61.0,541.0,1575.0,,,,,-1017.4,,1066.5,,-149.4,682.0,-586.0,,-185.9,429.5,,-420.0,-243.4,,,,1125.0,-9.0,363.3,,,,,,-895.0,-252.6,-559.0,,,572.2,2255.4,,False,False,True,True,False,,,,,False,,False,,True,True,True,,True,True,,True,True,,,,False,True,True,,,,,,False,True,True,,,True,False
12107,277,408.0,,404.4,,356.0,397.0,322.0,,,,,358.6,,414.4,,,471.0,306.3,,455.1,401.5,,271.0,311.0,,,,422.0,428.0,368.5,,,,,,367.5,326.8,,,,317.5,549.1,131.0,,127.4,,79.0,120.0,45.0,,,,,81.6,,137.4,,,194.0,29.3,,178.1,124.5,,-6.0,34.0,,,,145.0,151.0,91.5,,,,,,90.5,49.8,,,,40.5,272.1,,True,,True,True,True,,,,,True,,False,,,False,True,,False,True,,True,True,,,,False,False,True,,,,,,True,True,,,,True,False
12109,1196,1764.0,,1853.9,,1423.0,1551.0,2107.0,,,,,1112.4,,1871.9,,1231.7,1451.0,935.9,,1336.6,1398.0,,1186.0,1239.0,,,,1856.0,1511.0,1725.9,,,,,,1207.9,1611.2,1096.0,,,1675.8,1941.9,568.0,,657.9,,227.0,355.0,911.0,,,,,-83.6,,675.9,,35.7,255.0,-260.1,,140.6,202.0,,-10.0,43.0,,,,660.0,315.0,529.9,,,,,,11.9,415.2,-100.0,,,479.8,745.9,,False,,True,True,False,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12111,1452,1808.0,,1775.8,,1554.0,1719.0,1571.0,,,,,1256.0,,1333.4,,,1768.0,1336.4,,1783.1,1838.5,,1283.0,1366.6,,,,1995.0,1533.0,2362.6,,,,,,1425.7,1580.0,1158.0,,,1692.1,2130.6,356.0,,323.8,,102.0,267.0,119.0,,,,,-196.0,,-118.6,,,316.0,-115.6,,331.1,386.5,,-169.0,-85.4,,,,543.0,81.0,910.6,,,,,,-26.3,128.0,-294.0,,,240.1,678.6,,True,,True,True,True,,,,,True,,True,,,True,True,,True,False,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12113,1051,1560.0,,1560.7,,1328.0,1541.0,1336.0,,,,,1075.0,,1479.2,,,1861.0,1361.1,,1195.9,1045.5,,1281.0,1163.0,,,,1673.0,1328.0,1868.1,,,,,,975.8,1023.1,1050.0,,,1482.9,2074.9,509.0,,509.7,,277.0,490.0,285.0,,,,,24.0,,428.2,,,810.0,310.1,,144.9,-5.5,,230.0,112.0,,,,622.0,277.0,817.1,,,,,,-75.2,-27.9,-1.0,,,431.9,1023.9,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12115,1303,1854.0,,1929.6,,1650.0,1799.0,1586.0,,,,,1381.4,,3036.8,,1662.3,1850.0,1388.9,,1866.4,1590.0,,1203.0,1441.9,,,,2222.0,1666.0,2670.2,,,,,,1347.8,1372.3,1568.0,,,1930.2,2302.1,551.0,,626.6,,347.0,496.0,283.0,,,,,78.4,,1733.8,,359.3,547.0,85.9,,563.4,287.0,,-100.0,138.9,,,,919.0,363.0,1367.2,,,,,,44.8,69.3,265.0,,,627.2,999.1,,False,,True,True,True,,,,,True,,False,,True,True,True,,False,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,False,False
12117,1659,2254.0,,2329.0,,1992.0,2145.0,2602.0,,,,,1418.8,,2379.9,,1741.8,2758.0,1591.5,,1945.2,2339.0,,1761.0,1608.3,,,,2392.0,2075.0,2190.0,,,,,,1738.2,2219.4,1515.0,,,2132.7,2697.2,595.0,,670.0,,333.0,486.0,943.0,,,,,-240.2,,720.9,,82.8,1099.0,-67.5,,286.2,680.0,,102.0,-50.7,,,,733.0,416.0,531.0,,,,,,79.2,560.4,-144.0,,,473.7,1038.2,,False,,True,True,False,,,,,True,,False,,True,False,True,,True,False,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,False
12119,506,728.0,,711.4,,580.0,695.0,639.0,,,,,436.2,,770.6,,583.3,676.0,318.8,,616.7,554.0,,517.0,532.2,,,,792.0,631.0,913.3,,,,,,503.5,474.3,427.0,,,696.1,965.7,222.0,,205.4,,74.0,189.0,133.0,,,,,-69.8,,264.6,,77.3,170.0,-187.2,,110.7,48.0,,11.0,26.2,,,,286.0,125.0,407.3,,,,,,-2.5,-31.7,-79.0,,,190.1,459.7,,True,,True,True,True,,,,,True,,False,,True,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
12121,156,234.0,,247.6,,234.0,285.0,317.0,,,,,289.9,,211.1,,,278.0,140.6,,264.0,227.5,,114.5,163.8,,,,227.0,228.0,424.7,,,,,,245.6,150.3,,,,202.7,483.2,78.0,,91.6,,78.0,129.0,161.0,,,,,133.9,,55.1,,,122.0,-15.4,,108.0,71.5,,-41.5,7.8,,,,71.0,72.0,268.7,,,,,,89.6,-5.7,,,,46.7,327.2,,False,,False,False,False,,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,False,True,,,,True,False
12123,90,232.0,,230.3,,188.0,231.0,184.0,,,,,157.7,,227.6,,,124.0,146.9,,172.1,,,161.0,153.7,,,,253.0,186.0,206.1,,,,,,,152.2,,,,219.1,375.7,142.0,,140.3,,98.0,141.0,94.0,,,,,67.7,,137.6,,,34.0,56.9,,82.1,,,71.0,63.7,,,,163.0,96.0,116.1,,,,,,,62.2,,,,129.1,285.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,False,True,True,,,,,,,True,,,,True,False
12125,47,58.0,,68.6,,57.0,80.0,44.0,,,,,84.0,,27.4,,,91.0,10.6,,72.3,,,27.0,45.0,,,,48.0,61.0,126.1,,,,,,,59.2,,,,55.6,129.3,11.0,,21.6,,10.0,33.0,-3.0,,,,,37.0,,-19.6,,,44.0,-36.4,,25.3,,,-20.0,-2.0,,,,1.0,14.0,79.1,,,,,,,12.2,,,,8.6,82.3,,False,,True,False,True,,,,,False,,False,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,,False,,,,True,False
12127,2446,3398.0,,3370.1,3312.6,2979.0,3114.0,3737.0,,,,,1939.3,,4141.1,,3436.5,2964.0,2861.4,,2647.1,2987.5,,2480.0,2732.3,,,,3979.0,2868.0,2900.2,,,,,,2230.3,2639.7,3467.0,,,3222.8,4090.4,952.0,,924.1,866.6,533.0,668.0,1291.0,,,,,-506.7,,1695.1,,990.5,518.0,415.4,,201.1,541.5,,34.0,286.3,,,,1533.0,422.0,454.2,,,,,,-215.7,193.7,1021.0,,,776.8,1644.4,,True,True,True,True,False,,,,,True,,False,,False,True,True,,True,True,,True,True,,,,False,True,True,,,,,,True,True,False,,,True,False
12129,149,280.0,,287.9,,208.0,255.0,168.0,,,,,218.8,,189.7,,,195.0,180.2,,207.5,221.5,,190.0,194.4,,,,296.0,221.0,351.5,,,,,,173.8,168.0,,,,261.1,347.2,131.0,,138.9,,59.0,106.0,19.0,,,,,69.8,,40.7,,,46.0,31.2,,58.5,72.5,,41.0,45.4,,,,147.0,72.0,202.5,,,,,,24.8,19.0,,,,112.1,198.2,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
12131,507,480.0,,486.1,,389.0,386.0,295.0,,,,,379.2,,460.0,,,549.0,199.7,,372.4,404.5,,254.0,311.5,,,,479.0,448.0,449.9,,,,,,379.0,310.4,,,,453.8,480.8,-27.0,,-20.9,,-118.0,-121.0,-212.0,,,,,-127.8,,-47.0,,,42.0,-307.3,,-134.6,-102.5,,-253.0,-195.5,,,,-28.0,-59.0,-57.1,,,,,,-128.0,-196.6,,,,-53.2,-26.2,,True,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,True
12133,127,202.0,,204.7,,172.0,221.0,145.0,,,,,148.2,,95.9,,,203.0,119.6,,151.2,,,198.0,155.9,,,,206.0,168.0,239.7,,,,,,153.5,107.3,,,,190.9,340.0,75.0,,77.7,,45.0,94.0,18.0,,,,,21.2,,-31.1,,,76.0,-7.4,,24.2,,,71.0,28.9,,,,79.0,41.0,112.7,,,,,,26.5,-19.7,,,,63.9,213.0,,False,,True,False,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
13001,134,132.0,,129.1,,123.0,122.0,116.0,,,,,134.1,,139.0,,,215.0,77.2,,118.3,,,81.0,110.5,,,,124.0,92.0,147.9,,,,,,,118.0,,,,139.1,172.6,-2.0,,-4.9,,-11.0,-12.0,-18.0,,,,,0.1,,5.0,,,81.0,-56.8,,-15.7,,,-53.0,-23.5,,,,-10.0,-42.0,13.9,,,,,,,-16.0,,,,5.1,38.6,,False,,False,False,False,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
