,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
17151,97,126.0,,,,135.0,,48.2,0.0,,,,,29.0,,,,38.0,,-48.8,-97.0,,,,,,,,False,,False,False,,,,
17153,118,154.0,,,,159.0,,50.3,0.0,,,,,36.0,,,,41.0,,-67.7,-118.0,,,,,,,,False,,False,False,,,,
17155,88,91.0,,,,133.0,,13.9,0.0,,,,,3.0,,,,45.0,,-74.1,-88.0,,,,,,,,False,,False,False,,,,
17157,750,1477.0,,,,1176.0,,465.0,437.2,,825.6,,,727.0,,,,426.0,,-285.0,-312.8,,75.6,,,,,,True,,True,True,,True,,
17159,376,574.0,,,,604.0,,228.8,0.0,,,,,198.0,,,,228.0,,-147.2,-376.0,,,,,,,,False,,True,False,,,,
17161,2052,2821.0,,,,3337.0,,860.3,0.1,,3782.5,757.0,,769.0,,,,1285.0,,-1191.7,-2051.9,,1730.5,-1295.0,,,,,False,,False,False,,False,False,
17163,6464,6104.0,,,,6164.0,,1884.9,0.4,,3364.1,2001.0,,-360.0,,,,-300.0,,-4579.1,-6463.6,,-3099.9,-4463.0,,,,,True,,False,False,,False,False,
17165,562,1092.0,,,,1032.0,,996.1,148.8,,,,,530.0,,,,470.0,,434.1,-413.2,,,,,,,,True,,True,True,,,,
17167,2862,2989.0,,,,5076.0,,878.6,0.4,,2951.0,626.0,,127.0,,,,2214.0,,-1983.4,-2861.6,,89.0,-2236.0,,,,,False,,False,False,,True,False,
17169,138,175.0,,,,253.0,,18.7,0.0,,,,,37.0,,,,115.0,,-119.3,-138.0,,,,,,,,False,,False,False,,,,
17171,135,119.0,,,,100.0,,13.9,0.0,,,,,-16.0,,,,-35.0,,-121.1,-135.0,,,,,,,,False,,False,False,,,,
17173,350,448.0,,,,831.0,,97.7,0.4,,,,,98.0,,,,481.0,,-252.3,-349.6,,,,,,,,False,,False,False,,,,
17175,103,91.0,,,,106.0,,17.3,0.0,,,,,-12.0,,,,3.0,,-85.7,-103.0,,,,,,,,True,,False,False,,,,
17177,820,833.0,,,,872.0,,326.9,0.3,,782.0,,,13.0,,,,52.0,,-493.1,-819.7,,-38.0,,,,,,False,,False,False,,False,,
17179,3216,4795.0,,,,3501.0,,1444.4,0.5,,2788.8,1864.0,,1579.0,,,,285.0,,-1771.6,-3215.5,,-427.2,-1352.0,,,,,True,,False,False,,True,True,
17181,579,581.0,,,,651.0,,227.3,0.0,,,,,2.0,,,,72.0,,-351.7,-579.0,,,,,,,,False,,False,False,,,,
17183,2264,3255.0,,,,3051.0,,2457.9,451.7,,2459.3,,,991.0,,,,787.0,,193.9,-1812.3,,195.3,,,,,,True,,True,False,,True,,
17185,302,343.0,,,,480.0,,180.9,0.0,,,,,41.0,,,,178.0,,-121.1,-302.0,,,,,,,,False,,False,False,,,,
17187,198,448.0,,,,489.0,,141.9,0.2,,,,,250.0,,,,291.0,,-56.1,-197.8,,,,,,,,False,,True,True,,,,
17189,408,581.0,,,,447.0,,203.1,0.3,,,,,173.0,,,,39.0,,-204.9,-407.7,,,,,,,,True,,False,False,,,,
17191,352,539.0,,,,708.0,,299.4,140.1,,,,,187.0,,,,356.0,,-52.6,-211.9,,,,,,,,False,,True,False,,,,
17193,499,651.0,,,,510.0,,727.3,56.0,,,,,152.0,,,,11.0,,228.3,-443.0,,,,,,,,True,,False,False,,,,
17195,1092,1533.0,,,,1299.0,,484.8,0.0,,1572.7,,,441.0,,,,207.0,,-607.2,-1092.0,,480.7,,,,,,True,,False,False,,False,,
17197,12558,14385.0,,,,17158.0,,4096.9,31.8,,10947.5,3896.0,,1827.0,,,,4600.0,,-8461.1,-12526.2,,-1610.5,-8662.0,,,,,False,,False,False,,True,False,
17199,1669,1953.0,,,,2674.0,,766.7,479.5,,1061.2,,,284.0,,,,1005.0,,-902.3,-1189.5,,-607.8,,,,,,False,,False,False,,False,,
17201,4413,5187.0,,,,5549.0,,1306.7,0.9,,4098.4,1174.0,,774.0,,,,1136.0,,-3106.3,-4412.1,,-314.6,-3239.0,,,,,False,,False,False,,True,False,
17203,921,1127.0,,,,948.0,,450.4,0.2,,574.6,,,206.0,,,,27.0,,-470.6,-920.8,,-346.4,,,,,,True,,False,False,,False,,
18001,627,847.0,,,,1351.0,,252.1,0.2,,,,,220.0,,,,724.0,,-374.9,-626.8,,,,,,,,False,,False,False,,,,
18003,7886,10619.0,,,,10363.0,,2686.1,3.5,,6740.6,2696.0,,2733.0,,,,2477.0,,-5199.9,-7882.5,,-1145.4,-5190.0,,,,,True,,False,False,,True,False,
18005,1905,2492.0,,,,3150.0,,640.1,0.2,,2637.1,,,587.0,,,,1245.0,,-1264.9,-1904.8,,732.1,,,,,,False,,False,False,,False,,
18007,174,385.0,,,,239.0,,108.4,1.8,,,,,211.0,,,,65.0,,-65.6,-172.2,,,,,,,,True,,True,True,,,,
18009,347,245.0,,,,464.0,,35.1,0.0,,,,,-102.0,,,,117.0,,-311.9,-347.0,,,,,,,,False,,False,False,,,,
18011,1695,2905.0,,,,1937.0,,1549.5,513.2,,2983.6,,,1210.0,,,,242.0,,-145.5,-1181.8,,1288.6,,,,,,True,,True,True,,False,,
18013,253,539.0,,,,576.0,,241.3,67.0,,,,,286.0,,,,323.0,,-11.7,-186.0,,,,,,,,False,,True,True,,,,
18015,469,903.0,,,,578.0,,417.6,70.0,,,,,434.0,,,,109.0,,-51.4,-399.0,,,,,,,,True,,True,True,,,,
18017,1132,1687.0,,,,1284.0,,699.9,1.5,,468.4,,,555.0,,,,152.0,,-432.1,-1130.5,,-663.6,,,,,,True,,True,False,,False,,
18019,3663,4312.0,,,,5127.0,,1774.4,1214.5,,4080.8,,,649.0,,,,1464.0,,-1888.6,-2448.5,,417.8,,,,,,False,,False,False,,True,,
18021,542,924.0,,,,1239.0,,231.4,0.1,,,,,382.0,,,,697.0,,-310.6,-541.9,,,,,,,,False,,True,False,,,,
18023,790,1918.0,,,,1138.0,,805.8,952.8,,621.2,,,1128.0,,,,348.0,,15.8,162.8,,-168.8,,,,,,True,,True,True,,True,,
18025,323,343.0,,,,470.0,,101.8,0.0,,,,,20.0,,,,147.0,,-221.2,-323.0,,,,,,,,False,,False,False,,,,
18027,619,770.0,,,,1479.0,,158.2,0.0,,1035.2,,,151.0,,,,860.0,,-460.8,-619.0,,416.2,,,,,,False,,False,False,,False,,
18029,1623,2212.0,,,,1787.0,,764.4,224.7,,1721.8,,,589.0,,,,164.0,,-858.6,-1398.3,,98.8,,,,,,True,,False,False,,True,,
18031,646,798.0,,,,1058.0,,299.6,10.0,,,,,152.0,,,,412.0,,-346.4,-636.0,,,,,,,,False,,False,False,,,,
18033,844,1330.0,,,,1291.0,,356.9,0.2,,514.1,,,486.0,,,,447.0,,-487.1,-843.8,,-329.9,,,,,,True,,False,False,,True,,
18035,2324,2933.0,,,,3844.0,,958.2,0.8,,2703.0,,,609.0,,,,1520.0,,-1365.8,-2323.2,,379.0,,,,,,False,,False,False,,True,,
18037,1483,3241.0,,,,1826.0,,2201.4,421.1,,2228.3,,,1758.0,,,,343.0,,718.4,-1061.9,,745.3,,,,,,True,,True,True,,True,,
18039,2750,5152.0,,,,6311.0,,1191.2,0.6,,2473.1,966.0,,2402.0,,,,3561.0,,-1558.8,-2749.4,,-276.9,-1784.0,,,,,False,,True,False,,True,True,
18041,563,910.0,,,,1014.0,,245.4,0.0,,,,,347.0,,,,451.0,,-317.6,-563.0,,,,,,,,False,,True,False,,,,
18043,2160,2275.0,,,,3520.0,,877.8,648.3,,2545.6,,,115.0,,,,1360.0,,-1282.2,-1511.7,,385.6,,,,,,False,,False,False,,False,,
18045,532,770.0,,,,641.0,,203.5,0.4,,,,,238.0,,,,109.0,,-328.5,-531.6,,,,,,,,True,,False,False,,,,
18047,424,567.0,,,,862.0,,257.8,6.1,,,,,143.0,,,,438.0,,-166.2,-417.9,,,,,,,,False,,False,False,,,,
18049,405,553.0,,,,554.0,,204.8,0.1,,,,,148.0,,,,149.0,,-200.2,-404.9,,,,,,,,False,,False,False,,,,
18051,1058,1302.0,,,,1233.0,,267.3,0.1,,,,,244.0,,,,175.0,,-790.7,-1057.9,,,,,,,,True,,False,False,,,,
18053,1589,2639.0,,,,2131.0,,846.0,0.7,,1821.1,,,1050.0,,,,542.0,,-743.0,-1588.3,,232.1,,,,,,True,,True,False,,True,,
18055,737,1155.0,,,,1382.0,,440.4,193.7,,,,,418.0,,,,645.0,,-296.6,-543.3,,,,,,,,False,,True,False,,,,
18057,8567,13433.0,,,,10197.0,,4854.0,3547.7,,12089.5,4647.0,,4866.0,,,,1630.0,,-3713.0,-5019.3,,3522.5,-3920.0,,,,,True,,True,False,,True,True,
18059,2435,2674.0,,,,2538.0,,985.9,0.1,,2216.8,,,239.0,,,,103.0,,-1449.1,-2434.9,,-218.2,,,,,,True,,False,False,,True,,
18061,1366,1813.0,,,,1880.0,,642.8,232.1,,2119.3,,,447.0,,,,514.0,,-723.2,-1133.9,,753.3,,,,,,False,,False,False,,False,,
18063,4619,7266.0,,,,5931.0,,2378.2,1107.3,,5908.9,3155.0,,2647.0,,,,1312.0,,-2240.8,-3511.7,,1289.9,-1464.0,,,,,True,,True,False,,True,True,
18065,1309,2639.0,,,,2046.0,,1097.9,482.0,,1727.8,,,1330.0,,,,737.0,,-211.1,-827.0,,418.8,,,,,,True,,True,True,,True,,
18067,2562,3542.0,,,,2816.0,,1266.6,0.2,,2313.7,,,980.0,,,,254.0,,-1295.4,-2561.8,,-248.3,,,,,,True,,False,False,,True,,
18069,971,1785.0,,,,1193.0,,603.9,299.0,,979.2,,,814.0,,,,222.0,,-367.1,-672.0,,8.2,,,,,,True,,True,True,,True,,
18071,915,1554.0,,,,2013.0,,362.1,0.4,,1515.7,,,639.0,,,,1098.0,,-552.9,-914.6,,600.7,,,,,,False,,True,False,,True,,
18073,713,1197.0,,,,1032.0,,304.0,2.9,,1003.2,,,484.0,,,,319.0,,-409.0,-710.1,,290.2,,,,,,True,,True,False,,True,,
18075,291,329.0,,,,847.0,,85.3,0.0,,,,,38.0,,,,556.0,,-205.7,-291.0,,,,,,,,False,,False,False,,,,
18077,808,1337.0,,,,1413.0,,572.1,0.0,,,,,529.0,,,,605.0,,-235.9,-808.0,,,,,,,,False,,True,False,,,,
18079,450,896.0,,,,1301.0,,361.2,0.2,,,,,446.0,,,,851.0,,-88.8,-449.8,,,,,,,,False,,True,False,,,,
18081,4532,7658.0,,,,6145.0,,2216.5,1579.1,,6987.0,3443.0,,3126.0,,,,1613.0,,-2315.5,-2952.9,,2455.0,-1089.0,,,,,True,,True,True,,True,True,
18083,741,791.0,,,,1633.0,,266.6,0.0,,602.9,,,50.0,,,,892.0,,-474.4,-741.0,,-138.1,,,,,,False,,False,False,,False,,
18085,1762,2443.0,,,,2234.0,,743.1,0.1,,925.8,,,681.0,,,,472.0,,-1018.9,-1761.9,,-836.2,,,,,,True,,False,False,,False,,
18087,399,588.0,,,,1086.0,,158.3,0.1,,,,,189.0,,,,687.0,,-240.7,-398.9,,,,,,,,False,,False,False,,,,
18089,8793,15078.0,,,,13025.0,,3536.6,0.8,,16188.6,4626.0,,6285.0,,,,4232.0,,-5256.4,-8792.2,,7395.6,-4167.0,,,,,True,,True,False,,False,True,
18091,2390,3962.0,,,,3000.0,,1474.9,1185.6,,3520.2,,,1572.0,,,,610.0,,-915.1,-1204.4,,1130.2,,,,,,True,,True,True,,True,,
18093,994,2177.0,,,,1862.0,,1120.2,498.7,,1298.2,,,1183.0,,,,868.0,,126.2,-495.3,,304.2,,,,,,True,,True,True,,True,,
18095,2997,5124.0,,,,4589.0,,2257.8,884.8,,2352.6,1269.0,,2127.0,,,,1592.0,,-739.2,-2112.2,,-644.4,-1728.0,,,,,True,,True,True,,True,True,
18097,21202,33824.0,,,,30022.0,,14284.6,12954.6,,38724.5,8965.0,,12622.0,,,,8820.0,,-6917.4,-8247.4,,17522.5,-12237.0,,,,,True,,True,True,,False,True,
18099,968,1295.0,,,,1299.0,,321.8,0.1,,515.8,,,327.0,,,,331.0,,-646.2,-967.9,,-452.2,,,,,,False,,False,False,,False,,
18101,237,371.0,,,,475.0,,77.5,88.9,,,,,134.0,,,,238.0,,-159.5,-148.1,,,,,,,,False,,False,False,,,,
18103,868,1337.0,,,,1160.0,,376.4,0.0,,1490.2,,,469.0,,,,292.0,,-491.6,-868.0,,622.2,,,,,,True,,False,False,,False,,
18105,2292,2583.0,,,,3929.0,,902.4,0.0,,1015.2,589.0,,291.0,,,,1637.0,,-1389.6,-2292.0,,-1276.8,-1703.0,,,,,False,,False,False,,False,False,
18107,1039,1701.0,,,,1305.0,,759.2,0.6,,711.2,,,662.0,,,,266.0,,-279.8,-1038.4,,-327.8,,,,,,True,,True,False,,True,,
18109,1821,2611.0,,,,2753.0,,1074.6,0.2,,2764.2,,,790.0,,,,932.0,,-746.4,-1820.8,,943.2,,,,,,False,,True,False,,False,,
18111,156,238.0,,,,387.0,,113.7,0.0,,,,,82.0,,,,231.0,,-42.3,-156.0,,,,,,,,False,,True,False,,,,
18113,1087,1659.0,,,,1232.0,,525.6,0.1,,1217.4,,,572.0,,,,145.0,,-561.4,-1086.9,,130.4,,,,,,True,,True,False,,True,,
18115,134,350.0,,,,204.0,,583.7,30.1,,,,,216.0,,,,70.0,,449.7,-103.9,,,,,,,,True,,False,True,,,,
18117,547,735.0,,,,991.0,,354.5,32.1,,,,,188.0,,,,444.0,,-192.5,-514.9,,,,,,,,False,,False,False,,,,
18119,566,875.0,,,,753.0,,368.2,0.1,,,,,309.0,,,,187.0,,-197.8,-565.9,,,,,,,,True,,True,False,,,,
18121,231,483.0,,,,605.0,,109.3,0.3,,,,,252.0,,,,374.0,,-121.7,-230.7,,,,,,,,False,,True,True,,,,
18123,554,511.0,,,,1022.0,,268.5,0.0,,,,,-43.0,,,,468.0,,-285.5,-554.0,,,,,,,,False,,False,False,,,,
18125,384,637.0,,,,534.0,,283.0,41.0,,,,,253.0,,,,150.0,,-101.0,-343.0,,,,,,,,True,,True,False,,,,
18127,3249,6272.0,,,,4393.0,,1928.7,0.9,,3825.2,2012.0,,3023.0,,,,1144.0,,-1320.3,-3248.1,,576.2,-1237.0,,,,,True,,True,False,,True,True,
18129,765,896.0,,,,905.0,,297.1,211.8,,,,,131.0,,,,140.0,,-467.9,-553.2,,,,,,,,False,,False,False,,,,
18131,223,560.0,,,,345.0,,280.8,49.7,,,,,337.0,,,,122.0,,57.8,-173.3,,,,,,,,True,,True,True,,,,
18133,852,1547.0,,,,1370.0,,944.8,306.7,,1356.1,,,695.0,,,,518.0,,92.8,-545.3,,504.1,,,,,,True,,True,True,,True,,
18135,443,518.0,,,,1026.0,,101.1,0.0,,,,,75.0,,,,583.0,,-341.9,-443.0,,,,,,,,False,,False,False,,,,
18137,832,1428.0,,,,1222.0,,285.3,0.7,,1537.7,,,596.0,,,,390.0,,-546.7,-831.3,,705.7,,,,,,True,,True,False,,False,,
18139,521,819.0,,,,696.0,,729.3,78.7,,,,,298.0,,,,175.0,,208.3,-442.3,,,,,,,,True,,True,False,,,,
18141,5104,7595.0,,,,7410.0,,1273.2,0.2,,6720.1,2666.0,,2491.0,,,,2306.0,,-3830.8,-5103.8,,1616.1,-2438.0,,,,,True,,False,False,,True,True,
18143,575,826.0,,,,1175.0,,241.9,0.0,,,,,251.0,,,,600.0,,-333.1,-575.0,,,,,,,,False,,False,False,,,,
18145,1297,1547.0,,,,1748.0,,616.5,0.5,,1500.8,,,250.0,,,,451.0,,-680.5,-1296.5,,203.8,,,,,,False,,False,False,,True,,
18147,733,973.0,,,,752.0,,564.4,80.1,,,,,240.0,,,,19.0,,-168.6,-652.9,,,,,,,,True,,True,False,,,,
18149,329,693.0,,,,637.0,,267.4,0.1,,,,,364.0,,,,308.0,,-61.6,-328.9,,,,,,,,True,,True,True,,,,
18151,779,1806.0,,,,1048.0,,833.0,133.1,,1871.1,,,1027.0,,,,269.0,,54.0,-645.9,,1092.1,,,,,,True,,True,True,,False,,
18153,398,840.0,,,,857.0,,195.1,0.1,,,,,442.0,,,,459.0,,-202.9,-397.9,,,,,,,,False,,True,True,,,,
18155,266,371.0,,,,455.0,,232.5,0.0,,,,,105.0,,,,189.0,,-33.5,-266.0,,,,,,,,False,,True,False,,,,
18157,4891,7238.0,,,,5575.0,,2345.3,8.0,,3561.6,2083.0,,2347.0,,,,684.0,,-2545.7,-4883.0,,-1329.4,-2808.0,,,,,True,,False,False,,True,False,
18159,407,665.0,,,,541.0,,416.9,86.9,,,,,258.0,,,,134.0,,9.9,-320.1,,,,,,,,True,,True,False,,,,
18161,190,392.0,,,,224.0,,406.8,22.1,,,,,202.0,,,,34.0,,216.8,-167.9,,,,,,,,True,,False,True,,,,
18163,6116,8316.0,,,,6233.0,,2798.8,2464.8,,5707.6,3545.0,,2200.0,,,,117.0,,-3317.2,-3651.2,,-408.4,-2571.0,,,,,True,,False,False,,True,False,
18165,394,847.0,,,,571.0,,400.4,54.8,,,,,453.0,,,,177.0,,6.4,-339.2,,,,,,,,True,,True,True,,,,
18167,2337,4438.0,,,,4057.0,,1485.8,0.1,,6691.2,,,2101.0,,,,1720.0,,-851.2,-2336.9,,4354.2,,,,,,True,,True,False,,False,,
18169,704,812.0,,,,909.0,,160.0,0.1,,1144.9,,,108.0,,,,205.0,,-544.0,-703.9,,440.9,,,,,,False,,False,False,,False,,
18171,245,308.0,,,,264.0,,361.1,35.4,,,,,63.0,,,,19.0,,116.1,-209.6,,,,,,,,True,,False,False,,,,
18173,2287,2898.0,,,,2333.0,,906.0,306.3,,1483.4,,,611.0,,,,46.0,,-1381.0,-1980.7,,-803.6,,,,,,True,,False,False,,False,,
18175,668,833.0,,,,1237.0,,415.4,83.0,,,,,165.0,,,,569.0,,-252.6,-585.0,,,,,,,,False,,False,False,,,,
18177,1468,2324.0,,,,2509.0,,825.2,0.0,,2845.7,,,856.0,,,,1041.0,,-642.8,-1468.0,,1377.7,,,,,,False,,True,False,,False,,
18179,625,539.0,,,,1014.0,,171.6,1.0,,,,,-86.0,,,,389.0,,-453.4,-624.0,,,,,,,,False,,False,False,,,,
18181,693,1442.0,,,,753.0,,431.9,348.7,,839.7,,,749.0,,,,60.0,,-261.1,-344.3,,146.7,,,,,,True,,True,True,,True,,
18183,1028,1085.0,,,,876.0,,372.1,0.0,,881.1,,,57.0,,,,-152.0,,-655.9,-1028.0,,-146.9,,,,,,False,,False,False,,False,,
19001,181,259.0,,,,184.0,,74.5,0.0,,,,,78.0,,,,3.0,,-106.5,-181.0,,,,,,,,True,,False,False,,,,
19003,65,154.0,,,,77.0,,63.5,11.8,,,,,89.0,,,,12.0,,-1.5,-53.2,,,,,,,,True,,True,True,,,,
19005,229,385.0,,,,305.0,,112.8,4.0,,,,,156.0,,,,76.0,,-116.2,-225.0,,,,,,,,True,,True,False,,,,
19007,247,196.0,,,,377.0,,57.2,0.0,,,,,-51.0,,,,130.0,,-189.8,-247.0,,,,,,,,False,,False,False,,,,
19009,92,140.0,,,,116.0,,86.9,0.0,,,,,48.0,,,,24.0,,-5.1,-92.0,,,,,,,,True,,True,False,,,,
19011,316,252.0,,,,546.0,,92.3,0.8,,,,,-64.0,,,,230.0,,-223.7,-315.2,,,,,,,,False,,False,False,,,,
19013,2173,2163.0,,,,2784.0,,619.8,0.2,,2777.7,507.0,,-10.0,,,,611.0,,-1553.2,-2172.8,,604.7,-1666.0,,,,,False,,False,False,,False,False,
19015,551,644.0,,,,595.0,,229.0,0.1,,,,,93.0,,,,44.0,,-322.0,-550.9,,,,,,,,True,,False,False,,,,
19017,386,315.0,,,,514.0,,63.5,2.5,,990.0,,,-71.0,,,,128.0,,-322.5,-383.5,,604.0,,,,,,False,,False,False,,False,,
19019,314,238.0,,,,436.0,,68.1,0.2,,,,,-76.0,,,,122.0,,-245.9,-313.8,,,,,,,,False,,False,False,,,,
19021,396,777.0,,,,481.0,,341.4,3.0,,320.8,,,381.0,,,,85.0,,-54.6,-393.0,,-75.2,,,,,,True,,True,False,,True,,
19023,317,406.0,,,,274.0,,60.2,0.0,,,,,89.0,,,,-43.0,,-256.8,-317.0,,,,,,,,True,,False,False,,,,
19025,102,49.0,,,,217.0,,12.1,0.0,,,,,-53.0,,,,115.0,,-89.9,-102.0,,,,,,,,False,,False,False,,,,
19027,308,448.0,,,,534.0,,254.8,5.9,,,,,140.0,,,,226.0,,-53.2,-302.1,,,,,,,,False,,True,False,,,,
19029,218,217.0,,,,346.0,,144.7,0.0,,,,,-1.0,,,,128.0,,-73.3,-218.0,,,,,,,,False,,False,False,,,,
19031,284,266.0,,,,337.0,,101.3,0.3,,,,,-18.0,,,,53.0,,-182.7,-283.7,,,,,,,,False,,False,False,,,,
19033,679,679.0,,,,1172.0,,170.4,0.1,,528.9,,,0.0,,,,493.0,,-508.6,-678.9,,-150.1,,,,,,False,,False,False,,False,,
19035,232,329.0,,,,288.0,,64.9,0.0,,,,,97.0,,,,56.0,,-167.1,-232.0,,,,,,,,True,,False,False,,,,
19037,160,154.0,,,,268.0,,22.1,0.1,,,,,-6.0,,,,108.0,,-137.9,-159.9,,,,,,,,False,,False,False,,,,
19039,255,420.0,,,,273.0,,245.7,56.6,,,,,165.0,,,,18.0,,-9.3,-198.4,,,,,,,,True,,True,False,,,,
19041,295,210.0,,,,436.0,,105.6,1.2,,,,,-85.0,,,,141.0,,-189.4,-293.8,,,,,,,,False,,False,False,,,,
19043,235,301.0,,,,334.0,,43.2,0.0,,,,,66.0,,,,99.0,,-191.8,-235.0,,,,,,,,False,,False,False,,,,
19045,821,721.0,,,,897.0,,264.1,0.3,,1017.6,,,-100.0,,,,76.0,,-556.9,-820.7,,196.6,,,,,,True,,False,False,,False,,
19047,393,406.0,,,,512.0,,174.6,0.2,,143.5,,,13.0,,,,119.0,,-218.4,-392.8,,-249.5,,,,,,False,,False,False,,False,,
19049,2058,1729.0,,,,1730.0,,695.2,5.7,,1020.0,,,-329.0,,,,-328.0,,-1362.8,-2052.3,,-1038.0,,,,,,True,,False,False,,False,,
19051,117,147.0,,,,223.0,,77.3,0.0,,,,,30.0,,,,106.0,,-39.7,-117.0,,,,,,,,False,,False,False,,,,
19053,121,147.0,,,,218.0,,35.3,0.0,,,,,26.0,,,,97.0,,-85.7,-121.0,,,,,,,,False,,False,False,,,,
19055,236,140.0,,,,352.0,,51.7,0.3,,,,,-96.0,,,,116.0,,-184.3,-235.7,,,,,,,,False,,False,False,,,,
19057,712,567.0,,,,1979.0,,125.3,5.2,,549.4,,,-145.0,,,,1267.0,,-586.7,-706.8,,-162.6,,,,,,False,,False,False,,False,,
19059,301,203.0,,,,434.0,,93.9,0.1,,,,,-98.0,,,,133.0,,-207.1,-300.9,,,,,,,,False,,False,False,,,,
19061,1679,1442.0,,,,1928.0,,313.4,0.5,,1928.2,,,-237.0,,,,249.0,,-1365.6,-1678.5,,249.2,,,,,,False,,False,False,,False,,
19063,151,322.0,,,,242.0,,188.7,0.0,,,,,171.0,,,,91.0,,37.7,-151.0,,,,,,,,True,,True,True,,,,
19065,416,616.0,,,,451.0,,181.6,0.6,,,,,200.0,,,,35.0,,-234.4,-415.4,,,,,,,,True,,False,False,,,,
19067,208,147.0,,,,369.0,,32.8,0.0,,,,,-61.0,,,,161.0,,-175.2,-208.0,,,,,,,,False,,False,False,,,,
19069,211,168.0,,,,234.0,,58.5,0.0,,,,,-43.0,,,,23.0,,-152.5,-211.0,,,,,,,,True,,False,False,,,,
19071,86,84.0,,,,197.0,,23.0,0.0,,,,,-2.0,,,,111.0,,-63.0,-86.0,,,,,,,,False,,False,False,,,,
19073,84,119.0,,,,180.0,,88.0,0.0,,,,,35.0,,,,96.0,,4.0,-84.0,,,,,,,,False,,True,False,,,,
19075,236,350.0,,,,264.0,,186.2,0.0,,,,,114.0,,,,28.0,,-49.8,-236.0,,,,,,,,True,,True,False,,,,
19077,140,350.0,,,,222.0,,105.5,0.0,,,,,210.0,,,,82.0,,-34.5,-140.0,,,,,,,,True,,True,True,,,,
19079,269,294.0,,,,348.0,,164.7,0.1,,,,,25.0,,,,79.0,,-104.3,-268.9,,,,,,,,False,,False,False,,,,
19081,214,329.0,,,,248.0,,209.9,0.8,,,,,115.0,,,,34.0,,-4.1,-213.2,,,,,,,,True,,True,False,,,,
19083,223,287.0,,,,387.0,,111.3,0.0,,,,,64.0,,,,164.0,,-111.7,-223.0,,,,,,,,False,,False,False,,,,
19085,248,497.0,,,,361.0,,290.6,0.1,,,,,249.0,,,,113.0,,42.6,-247.9,,,,,,,,True,,True,True,,,,
19087,324,308.0,,,,488.0,,156.7,0.0,,418.6,,,-16.0,,,,164.0,,-167.3,-324.0,,94.6,,,,,,False,,False,False,,False,,
19089,274,196.0,,,,216.0,,57.9,0.0,,,,,-78.0,,,,-58.0,,-216.1,-274.0,,,,,,,,True,,False,False,,,,
19091,172,231.0,,,,245.0,,64.4,0.0,,,,,59.0,,,,73.0,,-107.6,-172.0,,,,,,,,False,,False,False,,,,
19093,118,126.0,,,,203.0,,32.2,0.0,,,,,8.0,,,,85.0,,-85.8,-118.0,,,,,,,,False,,False,False,,,,
19095,231,147.0,,,,337.0,,53.4,0.1,,,,,-84.0,,,,106.0,,-177.6,-230.9,,,,,,,,False,,False,False,,,,
19097,306,259.0,,,,299.0,,91.5,0.1,,,,,-47.0,,,,-7.0,,-214.5,-305.9,,,,,,,,True,,False,False,,,,
19099,747,980.0,,,,832.0,,406.1,0.0,,762.8,,,233.0,,,,85.0,,-340.9,-747.0,,15.8,,,,,,True,,False,False,,True,,
19101,294,434.0,,,,391.0,,191.0,0.0,,,,,140.0,,,,97.0,,-103.0,-294.0,,,,,,,,True,,True,False,,,,
19103,1994,1561.0,,,,2492.0,,391.2,1.3,,1577.8,589.0,,-433.0,,,,498.0,,-1602.8,-1992.7,,-416.2,-1405.0,,,,,False,,False,False,,True,False,
19105,263,273.0,,,,411.0,,67.9,0.2,,1228.4,,,10.0,,,,148.0,,-195.1,-262.8,,965.4,,,,,,False,,False,False,,False,,
19107,132,112.0,,,,257.0,,16.7,0.0,,,,,-20.0,,,,125.0,,-115.3,-132.0,,,,,,,,False,,False,False,,,,
19109,450,245.0,,,,356.0,,77.1,0.0,,,,,-205.0,,,,-94.0,,-372.9,-450.0,,,,,,,,True,,False,False,,,,
19111,654,679.0,,,,893.0,,196.2,0.2,,406.5,,,25.0,,,,239.0,,-457.8,-653.8,,-247.5,,,,,,False,,False,False,,False,,
19113,2734,2688.0,,,,4386.0,,700.5,1.5,,4997.4,640.0,,-46.0,,,,1652.0,,-2033.5,-2732.5,,2263.4,-2094.0,,,,,False,,False,False,,False,False,
19115,153,280.0,,,,243.0,,62.7,1.1,,,,,127.0,,,,90.0,,-90.3,-151.9,,,,,,,,True,,True,False,,,,
