,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Montana,3535,4704.0,3688.9,4567.9,3654.0,4715.0,3401.0,,4466.6,2280.0,3493.6,,4883.1,,3488.6,4442.0,2482.7,4962.0,3216.3,3612.5,3330.2,2949.0,3227.8,5026.8,4251.0,3802.7,4607.0,5632.0,,3462.4,4704.0,1595.1,,3562.3,5358.6,4859.8,4264.0,4361.0,,1169.0,153.9,1032.9,119.0,1180.0,-134.0,,931.6,-1255.0,-41.4,,1348.1,,-46.4,907.0,-1052.3,1427.0,-318.7,77.5,-204.8,-586.0,-307.2,1491.8,716.0,267.7,1072.0,2097.0,,-72.6,1169.0,-1939.9,,27.3,1823.6,1324.8,729.0,826.0,,True,True,True,False,True,,True,False,True,,False,,True,True,True,False,True,True,True,True,True,False,True,True,True,False,,True,False,False,,True,False,False,True,True,
Nebraska,6457,7432.0,6033.4,7101.0,6234.0,9027.0,5712.0,,8276.6,2690.0,6197.6,,8291.1,,5658.4,8183.0,5290.5,6508.0,8055.5,7222.5,6101.4,4239.0,5447.9,7663.2,5552.2,7865.5,8023.0,10532.0,,5003.2,6931.0,2542.9,,10787.4,6984.2,13248.5,7222.0,5963.6,,975.0,-423.6,644.0,-223.0,2570.0,-745.0,,1819.6,-3767.0,-259.4,,1834.1,,-798.6,1726.0,-1166.5,51.0,1598.5,765.5,-355.6,-2218.0,-1009.1,1206.2,-904.8,1408.5,1566.0,4075.0,,-1453.8,474.0,-3914.1,,4330.4,527.2,6791.5,765.0,-493.4,,True,True,True,False,True,,False,False,True,,False,,True,False,False,True,False,True,True,False,False,False,True,False,False,False,,False,True,False,,False,True,False,True,True,
Nevada,10487,15272.0,14410.7,14182.3,13682.0,12051.0,15801.0,,15376.7,12046.0,15420.8,,15035.6,,11387.1,13131.0,9448.7,14173.0,13575.9,12939.0,10024.8,9559.5,10557.5,16044.4,18186.8,12730.7,13857.0,10546.0,,10886.0,14550.0,11425.8,,17820.4,13343.1,14372.7,14349.0,12861.0,,4785.0,3923.7,3695.3,3195.0,1564.0,5314.0,,4889.7,1559.0,4933.8,,4548.6,,900.1,2644.0,-1038.3,3686.0,3088.9,2452.0,-462.2,-927.5,70.5,5557.4,7699.8,2243.7,3370.0,59.0,,399.0,4063.0,938.8,,7333.4,2856.1,3885.7,3862.0,2374.0,,True,True,True,True,False,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,,False,True,True,True,True,
New Hampshire,5101,7572.0,8760.2,7150.6,7176.0,7563.0,5771.0,,8145.7,5271.0,8707.0,,8539.6,,5756.8,8100.0,11889.7,7409.0,6232.8,9141.0,6320.8,5599.0,5224.8,7543.5,7147.3,7164.7,8717.0,7452.0,,6774.9,7008.0,8148.5,,7651.1,5095.4,8226.4,6949.0,7343.0,,2471.0,3659.2,2049.6,2075.0,2462.0,670.0,,3044.7,170.0,3606.0,,3438.6,,655.8,2999.0,6788.7,2308.0,1131.8,4040.0,1219.8,498.0,123.8,2442.5,2046.3,2063.7,3616.0,2351.0,,1673.9,1907.0,3047.5,,2550.1,-5.6,3125.4,1848.0,2242.0,,False,True,True,True,True,,False,True,False,,False,,True,False,False,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,False,True,False,True,True,
New Jersey,51276,70014.0,60401.5,68026.6,62427.0,62189.0,69607.0,,67557.3,52840.0,55049.2,,67081.6,,65368.5,61936.0,49797.3,70401.0,45731.1,72539.0,62604.2,51682.5,58723.7,40324.1,49465.4,63597.9,67226.0,60445.0,,63515.2,74514.0,42992.3,,58326.5,58465.5,77021.2,62472.0,61397.8,,18738.0,9125.5,16750.6,11151.0,10913.0,18331.0,,16281.3,1564.0,3773.2,,15805.6,,14092.5,10660.0,-1478.7,19125.0,-5544.9,21263.0,11328.2,406.5,7447.7,-10951.9,-1810.6,12321.9,15950.0,9169.0,,12239.2,23238.0,-8283.7,,7050.5,7189.5,25745.2,11196.0,10121.8,,True,True,True,True,True,,True,True,True,,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,False,True,,True,True,False,True,True,
New Mexico,6750,9920.0,8506.3,8710.4,8493.0,8008.0,8774.0,,9661.0,8620.0,8911.5,,9603.7,,7247.0,10911.0,5777.4,9777.0,7995.2,8272.5,8475.5,6501.0,7200.3,10395.5,7136.9,8506.3,8745.0,7575.0,,6386.7,9429.0,5165.2,,10740.3,10895.7,12679.8,8368.0,8098.2,,3170.0,1756.3,1960.4,1743.0,1258.0,2024.0,,2911.0,1870.0,2161.5,,2853.7,,497.0,4161.0,-972.6,3027.0,1245.2,1522.5,1725.5,-249.0,450.3,3645.5,386.9,1756.3,1995.0,825.0,,-363.3,2679.0,-1584.8,,3990.3,4145.7,5929.8,1618.0,1348.2,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,,False,False,False,True,True,
New York,122842,170772.0,155218.9,164751.7,160425.0,160989.0,171988.0,,164987.3,197346.0,153769.0,,139242.8,,153780.4,152601.0,185260.7,203591.0,144399.6,155624.5,136638.0,127976.0,140182.1,177654.0,181464.7,166314.6,178940.0,148204.0,,146136.5,171309.0,168910.9,,156423.4,128164.9,189776.8,161310.0,141647.6,,47930.0,32376.9,41909.7,37583.0,38147.0,49146.0,,42145.3,74504.0,30927.0,,16400.8,,30938.4,29759.0,62418.7,80749.0,21557.6,32782.5,13796.0,5134.0,17340.1,54812.0,58622.7,43472.6,56098.0,25362.0,,23294.5,48467.0,46068.9,,33581.4,5322.9,66934.8,38468.0,18805.6,,True,True,True,True,False,,True,False,True,,True,,True,True,False,False,True,True,True,True,True,False,False,True,False,True,,True,False,True,,True,True,False,True,True,
North Carolina,66097,79822.0,77081.8,75733.8,72149.0,70377.0,50315.0,,82736.9,63822.0,104120.8,,74402.2,,70193.3,86369.0,71688.3,77537.0,58598.8,80916.0,64502.1,57619.5,58741.2,46485.4,78749.3,72208.7,87841.0,63954.0,,66386.2,79411.0,82877.6,,74130.7,49363.6,93796.3,71120.0,65468.9,,13725.0,10984.8,9636.8,6052.0,4280.0,-15782.0,,16639.9,-2275.0,38023.8,,8305.2,,4096.3,20272.0,5591.3,11440.0,-7498.2,14819.0,-1594.9,-8477.5,-7355.8,-19611.6,12652.3,6111.7,21744.0,-2143.0,,289.2,13314.0,16780.6,,8033.7,-16733.4,27699.3,5023.0,-628.1,,True,True,True,True,False,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,False,True,True,False,True,,True,True,False,,True,False,False,True,True,
North Dakota,999,1682.0,1142.8,1850.2,1319.0,2174.0,859.0,,1651.7,447.0,1299.9,,1378.7,,1264.5,2183.0,1242.4,1756.0,1978.3,1278.5,884.9,956.0,1341.9,1123.4,576.7,1419.9,1424.0,2867.0,,1159.2,1507.0,446.3,,1149.6,1737.3,2019.7,1455.0,1390.0,,683.0,143.8,851.2,320.0,1175.0,-140.0,,652.7,-552.0,300.9,,379.7,,265.5,1184.0,243.4,757.0,979.3,279.5,-114.1,-43.0,342.9,124.4,-422.3,420.9,425.0,1868.0,,160.2,508.0,-552.7,,150.6,738.3,1020.7,456.0,391.0,,True,False,True,False,True,,True,True,True,,True,,True,False,True,False,False,True,True,True,True,True,True,True,True,False,,True,True,True,,True,False,False,True,True,
Ohio,44760,65880.0,60908.1,64568.7,58713.0,58459.0,56843.0,,65659.6,35151.0,70284.2,,57136.7,,48415.7,65264.0,46215.5,60211.0,48362.5,55696.5,61518.3,39151.0,46151.2,43706.4,58718.1,54543.4,64424.0,59947.0,,49356.9,65880.0,33293.8,,66147.1,52455.6,66019.6,55572.0,53042.8,,21120.0,16148.1,19808.7,13953.0,13699.0,12083.0,,20899.6,-9609.0,25524.2,,12376.7,,3655.7,20504.0,1455.5,15451.0,3602.5,10936.5,16758.3,-5609.0,1391.2,-1053.6,13958.1,9783.4,19664.0,15187.0,,4596.9,21120.0,-11466.2,,21387.1,7695.6,21259.6,10812.0,8282.8,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,False,True,False,True,True,
Oklahoma,25686,32882.0,30151.7,33570.2,30453.0,28686.0,28813.0,,34228.8,30618.0,39148.3,,27514.8,,30060.4,34391.0,18964.8,36537.0,22758.8,28409.5,25644.5,21314.5,24137.0,39113.8,36709.7,29717.4,33209.0,26281.0,,25821.3,42600.0,22278.0,,30453.4,26389.8,41311.7,29771.0,32096.8,,7196.0,4465.7,7884.2,4767.0,3000.0,3127.0,,8542.8,4932.0,13462.3,,1828.8,,4374.4,8705.0,-6721.2,10851.0,-2927.2,2723.5,-41.5,-4371.5,-1549.0,13427.8,11023.7,4031.4,7523.0,595.0,,135.3,16914.0,-3408.0,,4767.4,703.8,15625.7,4085.0,6410.8,,True,False,True,True,True,,False,True,False,,True,,True,False,True,False,True,True,True,True,True,False,False,True,False,True,,True,False,True,,True,True,False,True,True,
Oregon,7618,9632.0,8775.3,10168.5,9075.0,10329.0,10468.0,,9050.7,9566.0,8570.7,,9706.6,,6137.0,9598.0,6309.9,9619.0,8872.5,9402.5,9420.5,5814.5,6636.8,3385.7,10221.4,8828.0,9596.0,11160.0,,9779.8,9897.0,14300.6,,8947.7,9542.1,9387.4,8849.0,7565.4,,2014.0,1157.3,2550.5,1457.0,2711.0,2850.0,,1432.7,1948.0,952.7,,2088.6,,-1481.0,1980.0,-1308.1,2001.0,1254.5,1784.5,1802.5,-1803.5,-981.2,-4232.3,2603.4,1210.0,1978.0,3542.0,,2161.8,2279.0,6682.6,,1329.7,1924.1,1769.4,1231.0,-52.6,,True,False,True,False,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,,False,False,False,,True,True,True,True,True,
Pennsylvania,52185,77780.0,59611.4,76889.6,61822.0,63899.0,63275.0,,72251.3,34333.0,62090.1,,86585.4,,58353.8,65681.0,47384.8,83626.0,62772.5,65913.5,61018.3,52375.5,62347.9,55066.1,50316.1,62888.5,66945.0,64736.0,,59385.4,71321.0,70579.5,,78512.8,56635.0,82717.7,65958.0,59504.1,,25595.0,7426.4,24704.6,9637.0,11714.0,11090.0,,20066.3,-17852.0,9905.1,,34400.4,,6168.8,13496.0,-4800.2,31441.0,10587.5,13728.5,8833.3,190.5,10162.9,2881.1,-1868.9,10703.5,14760.0,12551.0,,7200.4,19136.0,18394.5,,26327.8,4450.0,30532.7,13773.0,7319.1,,True,True,True,True,True,,True,True,True,,False,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,False,True,True,
Rhode Island,6383,9406.0,7587.2,9317.1,8698.0,8591.0,8829.0,,10082.3,1788.0,1042508.3,,7761.3,,7215.9,10951.0,4823.6,9216.0,7734.9,8371.0,8258.2,6956.5,6268.3,10321.9,10360.8,8297.9,9566.0,8452.0,,8336.8,10885.0,4427.3,,7758.0,7046.8,11712.5,7842.0,10830.2,,3023.0,1204.2,2934.1,2315.0,2208.0,2446.0,,3699.3,-4595.0,1036125.3,,1378.3,,832.9,4568.0,-1559.4,2833.0,1351.9,1988.0,1875.2,573.5,-114.7,3938.9,3977.8,1914.9,3183.0,2069.0,,1953.8,4502.0,-1955.7,,1375.0,663.8,5329.5,1459.0,4447.2,,True,True,True,True,True,,False,False,False,,True,,True,False,True,True,True,True,True,True,True,False,False,True,False,True,,True,False,True,,True,True,False,True,False,
South Carolina,43355,51992.0,54844.3,50281.8,49270.0,48502.0,44051.0,,55286.2,113521.0,69750.6,,47558.5,,47309.3,54504.0,50190.2,49299.0,36699.8,46895.5,45415.3,38393.5,36710.1,52806.0,33539.1,50744.2,56933.0,42734.0,,48929.6,51992.0,67886.4,,51902.0,42982.6,56770.2,46354.0,48586.6,,8637.0,11489.3,6926.8,5915.0,5147.0,696.0,,11931.2,70166.0,26395.6,,4203.5,,3954.3,11149.0,6835.2,5944.0,-6655.2,3540.5,2060.3,-4961.5,-6644.9,9451.0,-9815.9,7389.2,13578.0,-621.0,,5574.6,8637.0,24531.4,,8547.0,-372.4,13415.2,2999.0,5231.6,,False,True,True,True,True,,False,False,False,,True,,True,False,True,True,True,True,True,True,True,False,False,True,False,True,,True,False,False,,True,True,False,True,True,
South Dakota,2135,2214.0,1982.7,2165.7,1960.0,2845.0,1554.0,,2428.0,2808.0,2599.7,,3434.4,,1643.7,3011.0,936.8,2355.0,3048.0,2037.0,1951.3,1098.0,1821.3,1116.7,3691.1,2082.6,1862.0,3300.0,,1494.7,1336.0,870.9,,2587.1,2656.0,2415.1,1926.0,1731.7,,79.0,-152.3,30.7,-175.0,710.0,-581.0,,293.0,673.0,464.7,,1299.4,,-491.3,876.0,-1198.2,220.0,913.0,-98.0,-183.7,-1037.0,-313.7,-1018.3,1556.1,-52.4,-273.0,1165.0,,-640.3,-799.0,-1264.1,,452.1,521.0,280.1,-209.0,-403.3,,False,True,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,
Tennessee,31329,37732.0,37383.5,37780.4,32963.0,31835.0,29971.0,,36643.6,30513.0,47740.7,,29615.1,,28697.7,40917.0,22059.1,35156.0,32046.6,29271.5,26405.0,21405.0,29987.4,36386.4,43698.9,31568.0,35066.0,29493.0,,24509.2,34464.0,45625.6,,34211.9,31197.1,46277.0,34159.0,29046.6,,6403.0,6054.5,6451.4,1634.0,506.0,-1358.0,,5314.6,-816.0,16411.7,,-1713.9,,-2631.3,9588.0,-9269.9,3827.0,717.6,-2057.5,-4924.0,-9924.0,-1341.6,5057.4,12369.9,239.0,3737.0,-1836.0,,-6819.8,3135.0,14296.6,,2882.9,-131.9,14948.0,2830.0,-2282.4,,True,False,True,True,True,,True,True,False,,True,,True,False,False,True,True,True,True,False,True,True,False,True,True,True,,False,True,False,,True,True,False,True,True,
Texas,200789,241586.0,230787.1,253271.6,227584.0,219220.0,271128.0,,253627.5,265763.0,211516.5,,236451.5,,197761.9,255884.0,263623.1,256029.0,205438.7,241472.0,211255.3,193760.5,189567.2,279560.6,174035.0,229875.9,255962.0,196234.0,,201125.2,223091.0,188022.6,,213376.0,213033.2,270296.7,211518.0,224972.4,,40797.0,29998.1,52482.6,26795.0,18431.0,70339.0,,52838.5,64974.0,10727.5,,35662.5,,-3027.1,55095.0,62834.1,55240.0,4649.7,40683.0,10466.3,-7028.5,-11221.8,78771.6,-26754.0,29086.9,55173.0,-4555.0,,336.2,22302.0,-12766.4,,12587.0,12244.2,69507.7,10729.0,24183.4,,True,False,True,True,False,,False,False,True,,True,,True,False,False,False,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,True,False,True,True,
Utah,15154,21082.0,20245.8,20716.8,19985.0,21062.0,15071.0,,21572.7,53676.0,27061.7,,20706.1,,13769.3,21508.0,8196.4,20788.0,14563.2,17525.5,21659.1,13004.5,14691.4,8436.0,24308.8,19395.6,19825.0,20041.0,,20021.8,20650.0,10701.1,,16021.4,12319.6,27797.6,18799.0,14448.9,,5928.0,5091.8,5562.8,4831.0,5908.0,-83.0,,6418.7,38522.0,11907.7,,5552.1,,-1384.7,6354.0,-6957.6,5634.0,-590.8,2371.5,6505.1,-2149.5,-462.6,-6718.0,9154.8,4241.6,4671.0,4887.0,,4867.8,5496.0,-4452.9,,867.4,-2834.4,12643.6,3645.0,-705.1,,True,True,True,True,True,,False,False,False,,True,,True,False,False,True,True,True,False,True,True,False,False,True,True,True,,True,True,True,,True,True,False,True,True,
Vermont,1730,1846.0,1339.5,1827.4,1846.0,2406.0,1699.0,,1948.4,3455.0,1614.9,,1570.9,,1734.6,1765.0,2141.1,1785.0,1730.4,1961.5,2175.7,1561.0,1602.6,1729.4,2155.0,1902.0,2131.0,2768.0,,1819.0,1846.0,2179.9,,1476.0,1204.8,1920.2,1764.0,1876.8,,116.0,-390.5,97.4,116.0,676.0,-31.0,,218.4,1725.0,-115.1,,-159.1,,4.6,35.0,411.1,55.0,0.4,231.5,445.7,-169.0,-127.4,-0.6,425.0,172.0,401.0,1038.0,,89.0,116.0,449.9,,-254.0,-525.2,190.2,34.0,146.8,,False,True,False,False,True,,False,False,True,,False,,True,True,False,True,True,False,False,False,False,True,False,False,False,False,,True,False,False,,False,False,False,True,False,
Virginia,45203,67132.0,70130.2,67761.0,65496.0,61462.0,64714.0,,68324.1,79783.0,57083.6,,52964.1,,58467.2,60271.0,115288.5,71462.0,48884.1,68660.5,55983.5,51943.5,50502.3,66432.7,49230.6,61656.7,74603.0,55397.0,,53699.8,70190.0,63139.2,,74144.8,51815.4,78100.4,57934.0,63034.9,,21929.0,24927.2,22558.0,20293.0,16259.0,19511.0,,23121.1,34580.0,11880.6,,7761.1,,13264.2,15068.0,70085.5,26259.0,3681.1,23457.5,10780.5,6740.5,5299.3,21229.7,4027.6,16453.7,29400.0,10194.0,,8496.8,24987.0,17936.2,,28941.8,6612.4,32897.4,12731.0,17831.9,,False,False,True,True,True,,False,False,True,,True,,True,True,False,False,True,False,True,True,True,True,True,True,False,True,,True,False,True,,False,True,False,True,True,
Washington,16450,22798.0,20833.3,19261.0,20726.0,20920.0,24495.0,,21318.5,23033.0,14860.1,,18694.7,,19211.2,24750.0,12790.3,25675.0,23520.9,18658.5,22404.1,18078.0,14892.0,8844.0,24611.5,21490.4,25345.0,20285.0,,19227.1,34834.0,32893.6,,19640.4,20879.0,27259.7,20165.0,23227.3,,6348.0,4383.3,2811.0,4276.0,4470.0,8045.0,,4868.5,6583.0,-1589.9,,2244.7,,2761.2,8300.0,-3659.7,9225.0,7070.9,2208.5,5954.1,1628.0,-1558.0,-7606.0,8161.5,5040.4,8895.0,3835.0,,2777.1,18384.0,16443.6,,3190.4,4429.0,10809.7,3715.0,6777.3,,True,True,True,True,False,,True,False,True,,True,,True,False,True,False,False,True,True,True,True,False,False,True,False,True,,True,False,False,,True,True,False,True,False,
West Virginia,6942,11176.0,10430.0,10614.9,9616.0,10693.0,9282.0,,10921.1,12593.0,9980.5,,10815.9,,9116.5,11728.0,8460.0,11736.0,8482.6,9452.5,8565.8,7968.5,8520.0,9835.2,7396.0,10710.9,11550.0,10407.0,,8974.7,6739.0,9796.2,,9734.2,8097.3,12472.5,10470.0,9519.0,,4234.0,3488.0,3672.9,2674.0,3751.0,2340.0,,3979.1,5651.0,3038.5,,3873.9,,2174.5,4786.0,1518.0,4794.0,1540.6,2510.5,1623.8,1026.5,1578.0,2893.2,454.0,3768.9,4608.0,3465.0,,2032.7,-203.0,2854.2,,2792.2,1155.3,5530.5,3528.0,2577.0,,True,True,True,True,True,,True,False,True,,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,True,True,True,,True,True,False,True,True,
Wisconsin,15654,21988.0,19598.9,24824.8,19538.0,25746.0,18725.0,,22587.2,13353.0,21771.9,,22170.8,,15523.4,21420.0,12953.6,21743.0,23267.1,19419.5,17649.4,13300.0,15019.4,32285.9,20558.3,19249.4,20871.0,30537.0,,16245.0,18737.0,8835.2,,20576.7,17761.8,20704.2,18923.0,18351.1,,6334.0,3944.9,9170.8,3884.0,10092.0,3071.0,,6933.2,-2301.0,6117.9,,6516.8,,-130.6,5766.0,-2700.4,6089.0,7613.1,3765.5,1995.4,-2354.0,-634.6,16631.9,4904.3,3595.4,5217.0,14883.0,,591.0,3083.0,-6818.8,,4922.7,2107.8,5050.2,3269.0,2697.1,,True,False,True,False,True,,False,True,True,,False,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,False,,True,True,True,True,True,
Wyoming,1382,2242.0,2381.0,2299.8,2003.0,2534.0,1406.0,,2212.0,4297.0,2666.9,,2336.3,,1494.3,2417.0,1764.0,2062.0,1928.1,2023.0,1715.1,1662.0,1809.1,1452.8,1711.9,2159.0,2017.0,2719.0,,1858.7,2404.0,1809.3,,2804.4,2183.4,1777.6,1363.0,2044.6,,860.0,999.0,917.8,621.0,1152.0,24.0,,830.0,2915.0,1284.9,,954.3,,112.3,1035.0,382.0,680.0,546.1,641.0,333.1,280.0,427.1,70.8,329.9,777.0,635.0,1337.0,,476.7,1022.0,427.3,,1422.4,801.4,395.6,-19.0,662.6,,False,False,True,False,True,,True,False,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,True,True,True,
US,1509595,2116138.0,1982277.3,2126661.9,1934957.0,2057685.0,1999289.0,1842640.0,2147504.4,2029211.0,4728258.9,1940696.2,,1996040.0,1651549.9,1976942.0,1770382.6,2106596.0,1770355.9,,1667513.2,1431920.0,1557873.7,1920424.0,1884276.9,1903305.9,2123115.0,2058216.0,1945796.0,1671644.2,2157061.0,1913472.5,1873144.0,2358157.8,1716640.7,2223290.8,1875262.0,1841577.3,1838998.6,606543.0,472682.3,617066.9,425362.0,548090.0,489694.0,333045.0,637909.4,519616.0,3218663.9,431101.2,,486445.0,141954.9,467347.0,260787.6,597001.0,260760.9,,157918.2,-77675.0,48278.7,410829.0,374681.9,393710.9,613520.0,548621.0,436201.0,162049.2,647466.0,403877.5,363549.0,848562.8,207045.7,713695.8,365667.0,331982.3,329403.6,True,False,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True
