,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Montana,1580,1955.0,1665.5,1939.5,1700.0,1923.0,1487.0,,1994.6,1433.0,1038.6,,1813.1,2308.0,,1743.1,2214.0,3565.6,2140.0,1485.8,1862.5,1566.3,1257.0,1627.1,849.0,2132.1,1581.4,2061.0,2113.0,,1542.0,,664.2,,1621.7,2288.9,2132.3,2035.0,,375.0,85.5,359.5,120.0,343.0,-93.0,,414.6,-147.0,-541.4,,233.1,728.0,,163.1,634.0,1985.6,560.0,-94.2,282.5,-13.7,-323.0,47.1,-731.0,552.1,1.4,481.0,533.0,,-38.0,,-915.8,,41.7,708.9,552.3,455.0,,True,True,True,True,True,,False,True,False,,True,False,,True,False,False,False,True,True,True,True,True,False,False,True,False,False,,True,,False,,True,False,False,False,
Nebraska,3606,2851.0,1397.6,2702.4,2738.0,2544.0,2350.0,,3027.8,2024.0,2919.7,,1743.7,2827.0,,2351.0,2453.0,2135.8,2882.0,3717.4,2990.0,2769.5,1872.5,2489.1,3156.4,2676.2,2755.0,2888.0,2303.0,,3195.4,2843.0,1040.6,,2901.3,2852.5,3638.7,2975.0,,-755.0,-2208.4,-903.6,-868.0,-1062.0,-1256.0,,-578.2,-1582.0,-686.3,,-1862.3,-779.0,,-1255.0,-1153.0,-1470.2,-724.0,111.4,-616.0,-836.5,-1733.5,-1116.9,-449.6,-929.8,-851.0,-718.0,-1303.0,,-410.6,-763.0,-2565.4,,-704.7,-753.5,32.7,-631.0,,False,False,False,False,False,,True,False,True,,False,False,,False,False,False,True,True,True,False,False,False,True,False,False,True,False,,True,False,False,,True,True,True,True,
Nevada,4445,6042.0,5212.6,5836.7,5187.0,3955.0,5759.0,,5923.3,5244.0,5158.7,,4315.2,6198.2,,4964.9,3425.0,5193.8,5652.0,5513.5,5010.0,4470.0,3997.0,4787.2,5403.9,6497.1,4784.4,5614.0,3728.0,,4346.1,5075.0,5066.5,,6481.9,5032.2,3568.7,5518.0,,1597.0,767.6,1391.7,742.0,-490.0,1314.0,,1478.3,799.0,713.7,,-129.8,1753.2,,519.9,-1020.0,748.8,1207.0,1068.5,565.0,25.0,-448.0,342.2,958.9,2052.1,339.4,1169.0,-717.0,,-98.9,630.0,621.5,,2036.9,587.2,-876.3,1073.0,,True,True,True,True,True,,True,True,True,,True,False,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,True,True,True,
New Hampshire,2496,2699.0,2407.1,2786.0,2493.0,2339.0,2143.0,,2777.1,2281.0,2886.6,,1790.7,3294.2,,2145.2,2994.0,2454.6,2465.0,2517.1,3419.0,2395.5,2193.0,2250.4,2748.0,3367.1,2533.1,3084.0,2318.0,,2864.6,2168.0,3812.6,,3178.4,1981.2,3352.2,2988.0,,203.0,-88.9,290.0,-3.0,-157.0,-353.0,,281.1,-215.0,390.6,,-705.3,798.2,,-350.8,498.0,-41.4,-31.0,21.1,923.0,-100.5,-303.0,-245.6,252.0,871.1,37.1,588.0,-178.0,,368.6,-328.0,1316.6,,682.4,-514.8,856.2,492.0,,True,False,True,True,False,,False,False,False,,False,False,,False,False,True,True,True,False,True,False,False,False,False,True,False,True,,False,False,False,,False,False,False,False,
New Jersey,25984,25292.0,20968.0,25574.5,25107.0,21697.0,25502.0,,27429.0,26578.0,27592.9,,16838.1,26949.7,,23905.3,24112.0,25489.0,20455.0,20926.6,28288.5,23849.7,22649.0,23872.1,29462.8,25107.1,23874.7,26783.0,21577.0,,26257.7,21583.0,19586.0,,22670.6,19279.5,32761.1,25411.0,,-692.0,-5016.0,-409.5,-877.0,-4287.0,-482.0,,1445.0,594.0,1608.9,,-9145.9,965.7,,-2078.7,-1872.0,-495.0,-5529.0,-5057.4,2304.5,-2134.3,-3335.0,-2111.9,3478.8,-876.9,-2109.3,799.0,-4407.0,,273.7,-4401.0,-6398.0,,-3313.4,-6704.5,6777.1,-573.0,,False,True,False,False,True,,False,True,False,,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,False,True,
New Mexico,3075,3675.0,3172.2,3618.7,3300.0,2740.0,3511.0,,3903.8,4020.0,2826.9,,2845.5,3701.3,,3144.4,4485.0,2611.0,3562.0,3247.0,3523.0,3781.4,2263.5,2924.7,2894.1,2430.2,3175.2,3572.0,2619.0,,3162.7,,4900.7,,4173.4,3972.7,4376.4,3423.0,,600.0,97.2,543.7,225.0,-335.0,436.0,,828.8,945.0,-248.1,,-229.5,626.3,,69.4,1410.0,-464.0,487.0,172.0,448.0,706.4,-811.5,-150.3,-180.9,-644.8,100.2,497.0,-456.0,,87.7,,1825.7,,1098.4,897.7,1301.4,348.0,,True,True,True,True,True,,False,False,True,,True,False,,True,False,True,True,True,True,False,False,True,True,False,True,True,True,,True,,False,,False,False,False,True,
New York,61239,61603.0,52590.5,59692.5,58480.0,54653.0,62935.0,,64862.6,63593.0,76058.6,,44799.8,62894.5,,55127.1,58480.0,81408.5,46991.0,60218.3,56765.0,54673.8,47232.5,56104.1,69342.8,57841.2,57570.9,68167.0,49685.0,,67654.7,49498.0,79897.0,,65896.0,45051.3,50386.0,58865.0,,364.0,-8648.5,-1546.5,-2759.0,-6586.0,1696.0,,3623.6,2354.0,14819.6,,-16439.2,1655.5,,-6111.9,-2759.0,20169.5,-14248.0,-1020.7,-4474.0,-6565.2,-14006.5,-5134.9,8103.8,-3397.8,-3668.1,6928.0,-11554.0,,6415.7,-11741.0,18658.0,,4657.0,-16187.7,-10853.0,-2374.0,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
North Carolina,27203,38894.0,27462.4,39164.1,33724.0,29353.0,39473.0,,37782.2,28316.0,37468.4,,30324.6,32304.2,,36466.4,41460.0,33325.5,40854.0,27007.3,35974.5,33647.9,23020.0,32309.5,29325.4,28711.6,33806.2,40204.0,29186.0,,33252.4,,39236.2,,38395.2,32672.5,44057.1,33913.0,,11691.0,259.4,11961.1,6521.0,2150.0,12270.0,,10579.2,1113.0,10265.4,,3121.6,5101.2,,9263.4,14257.0,6122.5,13651.0,-195.7,8771.5,6444.9,-4183.0,5106.5,2122.4,1508.6,6603.2,13001.0,1983.0,,6049.4,,12033.2,,11192.2,5469.5,16854.1,6710.0,,True,False,True,True,False,,True,True,True,,True,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,True,,False,,True,True,False,True,
North Dakota,454,545.0,360.7,517.0,513.0,645.0,415.0,,632.2,214.0,527.8,,339.6,419.0,,465.9,776.0,306.4,661.0,957.2,570.5,384.5,332.0,513.1,506.8,165.4,584.4,536.0,732.0,,505.3,462.0,771.3,,703.9,627.9,831.1,557.0,,91.0,-93.3,63.0,59.0,191.0,-39.0,,178.2,-240.0,73.8,,-114.4,-35.0,,11.9,322.0,-147.6,207.0,503.2,116.5,-69.5,-122.0,59.1,52.8,-288.6,130.4,82.0,278.0,,51.3,8.0,317.3,,249.9,173.9,377.1,103.0,,False,True,True,False,True,,False,False,True,,False,True,,True,False,False,False,False,False,True,False,True,True,False,False,True,False,,True,True,False,,False,False,False,False,
Ohio,19462,25298.0,19826.8,24466.4,22510.0,21002.0,22510.0,,25423.0,20756.0,22930.9,,18915.1,22725.6,,20294.3,26118.0,22971.1,22611.0,21434.2,23508.0,22557.5,16850.5,20039.0,18071.2,40359.8,20893.3,25939.0,19418.0,,18244.2,19607.0,14077.6,,26168.9,21019.2,25456.3,23429.0,,5836.0,364.8,5004.4,3048.0,1540.0,3048.0,,5961.0,1294.0,3468.9,,-546.9,3263.6,,832.3,6656.0,3509.1,3149.0,1972.2,4046.0,3095.5,-2611.5,577.0,-1390.8,20897.8,1431.3,6477.0,-44.0,,-1217.8,145.0,-5384.4,,6706.9,1557.2,5994.3,3967.0,,True,True,True,True,True,,False,True,True,,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,,False,True,False,True,
Oklahoma,10496,15190.0,11380.1,15748.1,13765.0,11711.0,13430.0,,14252.3,13765.0,15267.4,,13381.0,13083.2,,13592.4,14748.0,12837.0,14857.0,11461.7,13376.0,12568.5,9615.5,12421.4,14702.7,17434.9,12830.9,14922.0,11431.0,,11937.8,15753.0,10083.0,,13926.1,12422.4,17644.7,14484.0,,4694.0,884.1,5252.1,3269.0,1215.0,2934.0,,3756.3,3269.0,4771.4,,2885.0,2587.2,,3096.4,4252.0,2341.0,4361.0,965.7,2880.0,2072.5,-880.5,1925.4,4206.7,6938.9,2334.9,4426.0,935.0,,1441.8,5257.0,-413.0,,3430.1,1926.4,7148.7,3988.0,,True,False,True,True,True,,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,False,True,,True,True,False,True,
Oregon,3293,4325.0,2909.8,4489.5,4133.0,3680.0,4076.0,,4246.8,4301.0,3332.3,,3644.0,4318.3,,3785.9,4304.0,3460.5,4238.0,3993.0,4869.0,4179.2,3547.5,3901.6,2422.2,4249.6,3977.5,4525.0,3791.0,,3756.9,4133.0,6856.5,,4138.4,4459.4,4252.8,4929.0,,1032.0,-383.2,1196.5,840.0,387.0,783.0,,953.8,1008.0,39.3,,351.0,1025.3,,492.9,1011.0,167.5,945.0,700.0,1576.0,886.2,254.5,608.6,-870.8,956.6,684.5,1232.0,498.0,,463.9,840.0,3563.5,,845.4,1166.4,959.8,1636.0,,True,False,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,False,True,False,
Pennsylvania,25438,26747.0,24841.2,25437.4,25259.0,23216.0,25189.0,,29839.6,15429.0,29770.4,,23331.1,27404.4,,27172.6,27988.0,32342.2,21413.0,25564.9,26684.5,27396.7,23833.0,24978.3,25132.0,24476.6,25014.9,27499.0,20985.0,,24776.4,,32517.4,,26700.0,20977.5,30466.2,25329.0,,1309.0,-596.8,-0.6,-179.0,-2222.0,-249.0,,4401.6,-10009.0,4332.4,,-2106.9,1966.4,,1734.6,2550.0,6904.2,-4025.0,126.9,1246.5,1958.7,-1605.0,-459.7,-306.0,-961.4,-423.1,2061.0,-4453.0,,-661.6,,7079.4,,1262.0,-4460.5,5028.2,-109.0,,True,True,True,False,True,,False,False,False,,False,False,,False,False,False,False,True,True,False,False,True,True,True,True,False,False,,True,,False,,True,False,False,True,
Rhode Island,2930,3453.0,2802.4,3851.8,3206.0,2707.0,4405.0,,3388.4,2887.0,1059360.0,,2094.7,2561.3,,2770.0,4402.0,3053.7,3032.0,2895.0,3441.0,3641.0,2185.0,2736.7,3305.0,4837.5,3318.5,3565.0,2686.0,,1858.0,2933.0,1902.3,,3299.9,2919.0,4783.5,2683.0,,523.0,-127.6,921.8,276.0,-223.0,1475.0,,458.4,-43.0,1056430.0,,-835.3,-368.7,,-160.0,1472.0,123.7,102.0,-35.0,511.0,711.0,-745.0,-193.3,375.0,1907.5,388.5,635.0,-244.0,,-1072.0,3.0,-1027.7,,369.9,-11.0,1853.5,-247.0,,True,False,True,True,False,,True,True,False,,False,True,,True,False,True,True,True,True,False,False,True,True,False,True,False,True,,False,True,False,,True,True,False,True,
South Carolina,20159,23196.0,17978.0,23517.2,21068.0,17451.0,20866.0,,22840.0,19217.0,23914.9,,19661.8,21958.2,,21068.4,22059.0,18625.3,22811.0,16781.1,18446.0,20805.8,15049.0,19862.6,21810.8,26735.7,19772.9,23484.0,16470.0,,20043.8,22120.0,32906.0,,22110.7,19036.9,24045.4,19488.0,,3037.0,-2181.0,3358.2,909.0,-2708.0,707.0,,2681.0,-942.0,3755.9,,-497.2,1799.2,,909.4,1900.0,-1533.7,2652.0,-3377.9,-1713.0,646.8,-5110.0,-296.4,1651.8,6576.7,-386.1,3325.0,-3689.0,,-115.2,1961.0,12747.0,,1951.7,-1122.1,3886.4,-671.0,,True,False,True,True,True,,True,True,False,,True,True,,True,True,True,True,False,True,True,False,True,True,False,True,False,False,,True,True,False,,True,True,False,True,
South Dakota,1073,1062.0,698.6,1096.9,876.0,1008.0,734.0,,943.8,1164.0,1117.6,,981.5,1262.8,,812.2,923.0,881.5,1012.0,1330.2,901.5,857.0,495.0,802.8,482.5,596.5,806.2,835.0,985.0,,616.8,814.0,1330.2,,1164.9,1203.2,800.3,921.0,,-11.0,-374.4,23.9,-197.0,-65.0,-339.0,,-129.2,91.0,44.6,,-91.5,189.8,,-260.8,-150.0,-191.5,-61.0,257.2,-171.5,-216.0,-578.0,-270.2,-590.5,-476.5,-266.8,-238.0,-88.0,,-456.2,-259.0,257.2,,91.9,130.2,-272.7,-152.0,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Tennessee,13858,17471.0,13913.1,17611.3,14980.0,12845.0,14956.0,,16101.6,9425.0,16989.0,,14176.3,17094.0,,15004.9,17578.0,12276.5,16211.0,13550.8,12343.0,13355.4,11380.5,15146.6,10822.6,24861.9,13348.9,15576.0,11886.0,,11279.9,,20147.6,,16787.8,15014.0,17548.7,16045.0,,3613.0,55.1,3753.3,1122.0,-1013.0,1098.0,,2243.6,-4433.0,3131.0,,318.3,3236.0,,1146.9,3720.0,-1581.5,2353.0,-307.2,-1515.0,-502.6,-2477.5,1288.6,-3035.4,11003.9,-509.1,1718.0,-1972.0,,-2578.1,,6289.6,,2929.8,1156.0,3690.7,2187.0,,True,False,True,True,True,,True,False,True,,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,,False,,True,True,False,True,
Texas,77550,123239.0,90116.4,119813.8,110859.0,94020.0,111222.0,,129157.6,126972.0,84493.6,,101668.0,99929.0,,104910.2,121871.0,112134.1,127497.0,95072.1,122079.0,104106.5,82066.5,85188.6,143438.2,82867.8,104731.8,113302.0,91561.0,,95202.1,,91591.2,,119570.1,101259.2,139293.0,103508.0,,45689.0,12566.4,42263.8,33309.0,16470.0,33672.0,,51607.6,49422.0,6943.6,,24118.0,22379.0,,27360.2,44321.0,34584.1,49947.0,17522.1,44529.0,26556.5,4516.5,7638.6,65888.2,5317.8,27181.8,35752.0,14011.0,,17652.1,,14041.2,,42020.1,23709.2,61743.0,25958.0,,True,True,True,True,True,,False,False,True,,True,True,,True,True,True,False,True,True,True,True,True,False,True,True,True,True,,True,,True,,True,True,False,True,
Utah,6884,8270.0,4871.7,8176.9,7316.0,6203.0,6034.0,,8153.4,7316.0,8751.5,,6525.4,7804.9,,6833.0,8490.0,4321.4,7069.0,6595.1,6460.5,6592.1,4792.5,6640.5,8897.4,9733.6,7148.6,8011.0,6486.0,,8423.5,6882.0,4572.5,,7346.2,4587.1,10572.0,8591.0,,1386.0,-2012.3,1292.9,432.0,-681.0,-850.0,,1269.4,432.0,1867.5,,-358.6,920.9,,-51.0,1606.0,-2562.6,185.0,-288.9,-423.5,-291.9,-2091.5,-243.5,2013.4,2849.6,264.6,1127.0,-398.0,,1539.5,-2.0,-2311.5,,462.2,-2296.9,3688.0,1707.0,,False,True,True,True,True,,True,True,False,,True,True,,True,False,False,True,True,True,True,False,True,False,False,True,True,True,,False,True,False,,True,False,False,False,
Vermont,795,935.0,386.3,938.6,926.0,863.0,896.0,,984.7,1512.0,551.6,,912.2,942.9,,936.1,1044.0,1016.0,950.0,788.4,977.5,1029.7,900.0,833.7,907.0,846.3,894.5,1146.0,935.0,,889.8,,1103.3,,857.6,695.0,1021.5,976.0,,140.0,-408.7,143.6,131.0,68.0,101.0,,189.7,717.0,-243.4,,117.2,147.9,,141.1,249.0,221.0,155.0,-6.6,182.5,234.7,105.0,38.7,112.0,51.3,99.5,351.0,140.0,,94.8,,308.3,,62.6,-100.0,226.5,181.0,,False,False,True,True,True,,False,False,False,,True,False,,False,False,False,False,True,False,False,True,True,True,True,True,False,False,,True,,False,,True,True,False,False,
Virginia,21248,23955.0,18304.4,24145.5,22846.0,18740.0,20767.0,,24756.2,23230.0,25633.5,,27309.2,28869.8,,20896.9,24208.0,27951.5,19619.0,19610.3,25736.0,21036.0,14746.0,23409.0,24346.5,17413.3,22653.5,27926.0,16928.0,,23840.1,,30568.4,,19058.0,18921.7,27821.0,22462.0,,2707.0,-2943.6,2897.5,1598.0,-2508.0,-481.0,,3508.2,1982.0,4385.5,,6061.2,7621.8,,-351.1,2960.0,6703.5,-1629.0,-1637.7,4488.0,-212.0,-6502.0,2161.0,3098.5,-3834.7,1405.5,6678.0,-4320.0,,2592.1,,9320.4,,-2190.0,-2326.3,6573.0,1214.0,,False,False,True,True,True,,False,True,False,,False,False,,True,False,False,True,True,False,True,False,True,False,False,True,False,False,,True,,False,,True,True,False,True,
Washington,7901,8549.0,7664.2,8257.7,8504.0,7743.0,8200.0,,9132.1,10420.0,3565.8,,6344.7,6919.8,,8503.9,10664.0,8822.3,8149.0,9713.6,9561.5,9918.6,7265.5,6920.9,5571.1,13652.7,8010.4,10072.0,6276.0,,8817.9,8067.0,14903.0,,8199.7,7466.1,11771.6,8823.0,,648.0,-236.8,356.7,603.0,-158.0,299.0,,1231.1,2519.0,-4335.2,,-1556.3,-981.2,,602.9,2763.0,921.3,248.0,1812.6,1660.5,2017.6,-635.5,-980.1,-2329.9,5751.7,109.4,2171.0,-1625.0,,916.9,166.0,7002.0,,298.7,-434.9,3870.6,922.0,,True,True,True,True,True,,False,False,False,,False,False,,True,False,False,True,False,False,False,True,False,False,False,True,False,False,,False,True,False,,True,True,False,False,
West Virginia,3092,3850.0,3551.5,3844.9,3629.0,3153.0,3689.0,,4114.1,4236.0,4678.9,,2797.3,3351.9,,3293.2,4227.0,5038.3,3557.0,3339.8,4214.0,3285.1,2641.0,3321.8,4245.6,3148.9,3577.6,4310.0,2712.0,,3567.9,3559.0,4391.7,,3709.9,3147.1,3541.6,3761.0,,758.0,459.5,752.9,537.0,61.0,597.0,,1022.1,1144.0,1586.9,,-294.7,259.9,,201.2,1135.0,1946.3,465.0,247.8,1122.0,193.1,-451.0,229.8,1153.6,56.9,485.6,1218.0,-380.0,,475.9,467.0,1299.7,,617.9,55.1,449.6,669.0,,True,True,True,True,True,,False,False,False,,True,True,,True,False,False,True,True,False,True,True,True,False,True,True,False,True,,True,True,False,,True,True,True,True,
Wisconsin,6635,9019.0,6792.7,9423.8,8124.0,8898.0,9077.0,,8927.3,7049.0,8289.4,,6909.9,8823.6,,7375.0,8725.0,6503.1,8710.0,10486.7,8110.0,8178.3,5676.5,7390.0,3134.5,8439.5,7553.2,8739.0,9055.0,,7115.6,7978.0,3864.6,,8453.2,7329.7,6894.3,8461.0,,2384.0,157.7,2788.8,1489.0,2263.0,2442.0,,2292.3,414.0,1654.4,,274.9,2188.6,,740.0,2090.0,-131.9,2075.0,3851.7,1475.0,1543.3,-958.5,755.0,-3500.5,1804.5,918.2,2104.0,2420.0,,480.6,1343.0,-2770.4,,1818.2,694.7,259.3,1826.0,,True,False,True,True,False,,True,True,True,,True,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,False,,True,True,True,True,
Wyoming,468,914.0,650.2,786.5,800.0,782.0,818.0,,845.5,2037.0,638.5,,741.9,774.0,,522.7,1271.0,430.8,929.0,794.1,901.0,800.8,340.0,511.5,353.2,1068.6,651.8,842.0,818.0,,810.6,971.0,853.8,,764.3,1321.1,823.3,799.0,,446.0,182.2,318.5,332.0,314.0,350.0,,377.5,1569.0,170.5,,273.9,306.0,,54.7,803.0,-37.2,461.0,326.1,433.0,332.8,-128.0,43.5,-114.8,600.6,183.8,374.0,350.0,,342.6,503.0,385.8,,296.3,853.1,355.3,331.0,,True,True,True,True,True,,True,False,True,,True,True,,True,False,True,False,True,True,True,True,True,True,False,True,True,True,,True,False,True,,True,False,True,True,
US,663186,842902.0,701632.1,824382.0,768028.0,769388.0,796934.0,733799.0,868009.0,740201.0,4839333.5,776365.3,626234.4,,794634.0,701263.7,855921.0,797485.2,763320.0,763397.5,,720008.6,576102.0,678623.7,831737.4,835742.3,735659.8,855554.0,748462.0,827415.0,735178.4,683077.0,922335.6,753579.0,809336.8,700641.2,838990.7,773934.0,821595.8,179716.0,38446.1,161196.0,104842.0,106202.0,133748.0,70613.0,204823.0,77015.0,4176147.5,113179.3,-36951.6,,131448.0,38077.7,192735.0,134299.2,100134.0,100211.5,,56822.6,-87084.0,15437.7,168551.4,172556.3,72473.8,192368.0,85276.0,164229.0,71992.4,19891.0,259149.6,90393.0,146150.8,37455.2,175804.7,110748.0,158409.8,True,True,True,True,True,True,False,True,False,True,True,,True,True,False,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
