,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
North Dakota,90,81.9,93.0,84.0,89.4,81.0,,86.5,106.9,89.0,80.9,,85.6,98.0,101.9,89.0,103.2,85.8,,109.9,87.4,95.0,,87.4,,108.0,82.7,85.0,,87.4,85.0,87.0,86.7,,-8.1,3.0,-6.0,-0.6,-9.0,,-3.5,16.9,-1.0,-9.1,,-4.4,8.0,11.9,-1.0,13.2,-4.2,,19.9,-2.6,5.0,,-2.6,,18.0,-7.3,-5.0,,-2.6,-5.0,-3.0,-3.3,,True,True,True,False,,True,False,True,False,,True,True,False,True,False,True,,False,True,True,,True,,False,True,True,,True,True,True,True,
Ohio,3132,3104.1,3162.0,3112.9,3246.7,3444.0,,3200.1,3151.7,4057.0,,,3250.0,3078.0,3491.4,3148.0,3727.8,3379.0,3238.5,3043.6,3212.4,3091.0,,3106.7,,3089.0,3157.6,3140.0,,3350.2,3296.4,3082.0,3106.1,3148.0,-27.9,30.0,-19.1,114.7,312.0,,68.1,19.7,925.0,,,118.0,-54.0,359.4,16.0,595.8,247.0,106.5,-88.4,80.4,-41.0,,-25.3,,-43.0,25.6,8.0,,218.2,164.4,-50.0,-25.9,16.0,False,True,False,False,,False,True,False,,,False,False,False,True,False,False,False,False,False,False,,True,,False,True,True,,False,False,False,True,True
Oklahoma,451,422.1,454.0,426.0,435.4,465.0,,469.4,781.1,506.0,432.3,,431.7,406.0,474.7,426.9,509.5,433.4,,432.7,432.0,408.0,,413.1,,424.0,420.7,436.0,,497.6,456.2,420.0,429.8,,-28.9,3.0,-25.0,-15.6,14.0,,18.4,330.1,55.0,-18.7,,-19.3,-45.0,23.7,-24.1,58.5,-17.6,,-18.3,-19.0,-43.0,,-37.9,,-27.0,-30.3,-15.0,,46.6,5.2,-31.0,-21.2,,True,True,True,True,,True,False,False,True,,True,False,True,True,False,True,,True,True,False,,False,,True,False,True,,False,True,False,True,
Oregon,257,239.1,251.0,235.0,248.3,261.0,,240.2,349.9,271.0,230.4,,241.5,256.0,296.2,250.4,237.5,246.0,,253.7,245.8,223.0,,230.3,,243.0,234.3,257.0,,276.9,257.0,248.0,239.1,,-17.9,-6.0,-22.0,-8.7,4.0,,-16.8,92.9,14.0,-26.6,,-15.5,-1.0,39.2,-6.6,-19.5,-11.0,,-3.3,-11.2,-34.0,,-26.7,,-14.0,-22.7,0.0,,19.9,-0.0,-9.0,-17.9,,True,False,True,True,,True,False,True,False,,True,True,False,True,False,True,,True,True,False,,False,,True,False,True,,False,True,True,False,
Pennsylvania,7015,7026.0,7092.0,7041.4,7052.4,7092.0,,7069.3,7010.8,7226.0,6637.8,,7050.2,7035.0,7158.5,7052.6,6940.8,7026.5,,6980.3,7002.6,7016.0,,7101.1,,6951.0,7019.8,7018.0,,7113.6,7196.3,7072.0,7033.9,7062.3,11.0,77.0,26.4,37.4,77.0,,54.3,-4.2,211.0,-377.2,,35.2,20.0,143.5,37.6,-74.2,11.5,,-34.7,-12.4,1.0,,86.1,,-64.0,4.8,3.0,,98.6,181.3,57.0,18.9,47.3,False,False,False,False,,False,True,False,False,,False,False,False,False,False,False,,False,False,True,,False,,False,True,True,,False,False,False,False,False
Rhode Island,991,1021.3,1017.0,1026.0,1007.7,1073.0,,1006.4,987.6,1006.0,952.1,,1032.9,1117.0,676.7,1002.3,979.3,1030.1,,999.4,1015.3,1001.5,,1007.6,,969.0,1010.1,987.0,,985.5,1002.7,1007.0,1008.7,,50.3,46.0,55.0,36.7,102.0,,35.4,16.6,35.0,-18.9,,61.9,146.0,-294.3,31.3,8.3,59.1,,28.4,44.3,30.5,,36.6,,-2.0,39.1,16.0,,14.5,31.7,36.0,37.7,,True,False,True,False,,True,True,True,True,,False,False,False,True,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
South Carolina,1135,1013.1,1025.0,1017.0,1035.7,1346.0,,1107.2,1701.6,1242.0,813.3,,1041.2,1018.0,1055.6,984.2,904.7,999.3,,997.3,1109.9,897.0,,925.3,,1137.0,991.7,1094.0,,1145.2,1150.0,1052.0,1007.0,1025.3,-121.9,-110.0,-118.0,-99.3,211.0,,-27.8,566.6,107.0,-321.7,,-93.8,-117.0,-79.4,-150.8,-230.3,-135.7,,-137.7,-25.1,-238.0,,-209.7,,2.0,-143.3,-41.0,,10.2,15.0,-83.0,-128.0,-109.7,True,True,True,False,,True,False,True,False,,True,True,True,False,False,False,,False,True,False,,False,,True,False,True,,True,True,True,False,True
South Dakota,116,108.1,121.0,109.0,111.8,97.0,,101.3,125.4,108.0,95.1,,120.1,108.0,126.4,108.2,149.6,106.9,,117.4,111.4,122.0,,108.6,,105.0,101.5,107.0,,105.4,110.6,114.0,112.9,,-7.9,5.0,-7.0,-4.2,-19.0,,-14.7,9.4,-8.0,-20.9,,4.1,-8.0,10.4,-7.8,33.6,-9.1,,1.4,-4.6,6.0,,-7.4,,-11.0,-14.5,-9.0,,-10.6,-5.4,-2.0,-3.1,,True,True,True,False,,False,False,False,False,,True,False,False,True,False,False,,True,True,True,,True,,False,False,False,,False,True,True,True,
Tennessee,838,758.3,829.0,743.0,786.6,1042.0,,778.6,1021.2,906.0,653.1,,805.7,814.0,879.6,755.6,787.7,758.1,,726.2,820.3,714.0,,701.1,,737.0,747.5,803.0,,816.6,868.8,784.0,777.0,775.7,-79.7,-9.0,-95.0,-51.4,204.0,,-59.4,183.2,68.0,-184.9,,-32.3,-24.0,41.6,-82.4,-50.3,-79.9,,-111.8,-17.7,-124.0,,-136.9,,-101.0,-90.5,-35.0,,-21.4,30.8,-54.0,-61.0,-62.3,True,False,True,False,,True,False,True,False,,True,True,True,False,True,False,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Texas,4830,3047.7,3337.0,3045.0,3201.3,4024.0,,3566.5,5203.4,3926.0,2842.2,,3341.3,3451.0,3682.4,2823.0,2996.6,3114.2,,3090.5,3204.1,2890.0,,2991.3,3456.0,2980.0,3042.6,3170.0,,3584.9,3709.7,3194.0,3130.8,3109.0,-1221.3,-932.0,-1224.0,-1067.7,-245.0,,-702.5,934.4,-343.0,-1426.8,,-927.7,-818.0,-586.6,-1446.0,-1272.4,-1154.8,,-1178.5,-1064.9,-1379.0,,-1277.7,-813.0,-1289.0,-1226.4,-1099.0,,-684.1,-559.3,-1075.0,-1138.2,-1160.0,True,False,True,True,,True,True,True,False,,True,True,True,False,False,True,,True,True,False,,False,True,False,False,True,,True,True,True,True,True
Utah,243,215.6,273.0,209.0,222.9,275.0,,296.3,339.0,258.0,,,216.3,233.0,283.0,211.3,230.6,207.2,,222.9,217.6,222.0,,234.7,,220.0,219.6,220.0,,234.2,221.5,223.0,218.7,,-27.4,30.0,-34.0,-20.1,32.0,,53.3,96.0,15.0,,,-26.7,-10.0,40.0,-31.7,-12.4,-35.8,,-20.1,-25.4,-21.0,,-8.3,,-23.0,-23.4,-23.0,,-8.8,-21.5,-20.0,-24.3,,False,False,True,False,,False,False,True,,,True,True,False,False,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
Vermont,56,56.0,60.0,57.0,56.8,56.0,,58.1,62.1,57.0,57.1,,57.8,56.0,59.5,57.5,58.8,56.0,,58.2,56.5,56.0,,59.6,,58.0,56.5,57.0,,56.1,56.7,57.0,56.9,,0.0,4.0,1.0,0.8,0.0,,2.1,6.1,1.0,1.1,,1.8,0.0,3.5,1.5,2.8,0.0,,2.2,0.5,0.0,,3.6,,2.0,0.5,1.0,,0.1,0.7,1.0,0.9,,False,False,False,True,,False,False,False,False,,False,True,False,False,False,False,,False,False,True,,False,,False,False,False,,False,False,False,False,
Virginia,2025,2077.7,2084.0,2099.0,2046.6,2000.0,,1925.2,2170.1,1956.0,1889.1,,2075.0,2094.0,2165.0,2053.3,2051.6,1990.6,,2028.1,2101.2,1989.0,,2019.4,,2064.0,1954.0,2046.0,,2008.4,2013.8,2139.0,1985.0,2164.3,52.7,59.0,74.0,21.6,-25.0,,-99.8,145.1,-69.0,-135.9,,50.0,69.0,140.0,28.3,26.6,-34.4,,3.1,76.2,-36.0,,-5.6,,39.0,-71.0,21.0,,-16.6,-11.2,114.0,-40.0,139.3,False,False,True,True,,False,False,False,False,,True,False,False,True,True,True,,True,False,True,,True,,True,False,True,,True,True,False,True,False
Washington,1448,1450.0,1482.0,1442.0,1459.0,1472.0,,1430.2,1498.7,1518.0,,,1447.4,1389.0,1529.9,1460.7,1474.4,1484.1,,1429.4,1466.0,1420.0,,1411.5,,1426.0,1428.8,1465.0,,1522.2,1509.1,1448.0,1441.8,,-15.0,17.0,-23.0,-6.0,7.0,,-34.8,33.7,53.0,,,-17.6,-76.0,64.9,-4.3,9.4,19.1,,-35.6,1.0,-45.0,,-53.5,,-39.0,-36.2,0.0,,57.2,44.1,-17.0,-23.2,,False,False,True,True,,False,False,False,,,False,False,False,True,True,False,,False,True,False,,False,,False,False,True,,False,False,False,False,
West Virginia,100,95.9,105.0,97.6,102.5,95.0,,101.1,137.6,111.0,95.3,,101.2,98.0,120.9,106.2,152.3,100.9,,98.9,107.9,94.0,,96.8,,98.0,100.3,101.0,,110.9,101.3,100.0,98.1,,-4.1,5.0,-2.4,2.5,-5.0,,1.1,37.6,11.0,-4.7,,1.2,-2.0,20.9,6.2,52.3,0.9,,-1.1,7.9,-6.0,,-3.2,,-2.0,0.3,1.0,,10.9,1.3,0.0,-1.9,,False,True,True,False,,True,False,False,False,,True,True,False,False,False,True,,True,False,False,,True,,True,True,True,,False,True,True,True,
Wisconsin,879,831.3,906.0,834.1,872.6,966.0,,876.9,893.8,903.0,796.1,,894.4,891.0,969.2,869.5,983.0,855.9,907.0,854.6,851.1,860.0,,873.8,,834.0,865.2,858.0,,924.4,874.4,829.0,858.6,,-14.7,60.0,-11.9,26.6,120.0,,30.9,47.8,57.0,-49.9,,48.4,45.0,123.2,23.5,137.0,9.9,61.0,8.6,5.1,14.0,,27.8,,-12.0,19.2,12.0,,78.4,28.4,-17.0,12.6,,False,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,True,True,True,,False,,True,False,True,,False,False,False,True,
Wyoming,24,20.0,25.0,20.0,22.9,20.0,,26.6,27.0,24.0,21.3,,18.3,20.0,28.3,23.3,27.6,23.4,,23.8,24.8,20.0,,20.0,,22.0,21.6,22.0,,24.6,21.8,22.0,21.8,,-4.0,1.0,-4.0,-1.1,-4.0,,2.6,3.0,0.0,-2.7,,-5.7,-4.0,4.3,-0.7,3.6,-0.6,,-0.2,0.8,-4.0,,-4.0,,-2.0,-2.4,-2.0,,0.6,-2.2,-2.0,-2.2,,True,False,True,False,,True,True,True,True,,False,False,False,True,True,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
US,141070,136608.6,140242.0,136787.9,137846.3,144403.0,140166.0,137430.5,139879.0,145162.0,130859.5,,137292.6,143232.0,141486.9,136202.3,134401.2,138079.3,,135372.3,138308.9,136373.0,143105.3,125136.7,134158.0,135790.0,136258.2,139203.0,134962.7,140760.9,144541.8,138003.5,136778.8,134699.0,-3826.4,-193.0,-3647.1,-2588.7,3968.0,-269.0,-3004.5,-556.0,4727.0,-9575.5,,-3142.4,2797.0,1051.9,-4232.7,-6033.8,-2355.7,,-5062.7,-2126.1,-4062.0,2670.3,-15298.3,-6277.0,-4645.0,-4176.8,-1232.0,-5472.3,325.9,4106.8,-2431.5,-3656.2,-5736.0,True,True,True,False,True,True,True,False,False,,True,True,True,False,False,True,,False,True,False,True,False,False,False,False,True,False,True,False,True,True,False
