,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Rhode Island,990,1021.3,1021.0,1026.0,1008.9,964.0,998.8,984.0,987.4,,1045.7,1100.0,650.4,966.0,984.3,1047.4,,993.7,981.9,1024.5,,1023.0,940.0,1014.4,967.0,820.7,975.6,1042.0,1027.9,,31.3,31.0,36.0,18.9,-26.0,8.8,-6.0,-2.6,,55.7,110.0,-339.6,-24.0,-5.7,57.4,,3.7,-8.1,34.5,,33.0,-50.0,24.4,-23.0,-169.3,-14.4,52.0,37.9,,True,False,True,True,True,True,True,,False,False,False,True,True,False,,True,True,False,,False,False,True,True,False,True,False,False,
South Carolina,1135,896.0,893.0,912.0,1027.2,2785.0,1166.2,1118.0,958.7,,893.3,762.0,1077.9,946.1,907.8,827.9,,877.5,1015.0,861.0,,812.0,1030.0,793.6,1055.0,828.5,1079.8,925.0,945.5,,-239.0,-242.0,-223.0,-107.8,1650.0,31.2,-17.0,-176.3,,-241.7,-373.0,-57.1,-188.9,-227.2,-307.1,,-257.5,-120.0,-274.0,,-323.0,-105.0,-341.4,-80.0,-306.5,-55.2,-210.0,-189.5,,False,True,True,False,True,True,True,,False,False,True,True,True,False,,False,True,False,,False,True,False,True,False,True,True,True,
South Dakota,116,119.6,120.0,121.0,117.1,105.0,99.7,107.0,122.9,,120.8,100.0,146.6,108.8,149.8,107.1,,122.8,114.8,131.0,,115.0,120.0,98.9,111.0,102.4,109.2,152.0,118.0,,3.6,4.0,5.0,1.1,-11.0,-16.3,-9.0,6.9,,4.8,-16.0,30.6,-7.2,33.8,-8.9,,6.8,-1.2,15.0,,-1.0,4.0,-17.1,-5.0,-13.6,-6.8,36.0,2.0,,False,False,True,False,False,False,False,,False,False,False,False,False,False,,False,True,False,,True,False,False,False,False,False,False,True,
Tennessee,838,749.7,762.0,764.0,789.1,1083.0,737.8,794.0,817.3,,815.5,865.0,943.4,677.2,783.3,761.7,,722.2,889.7,718.5,,690.0,659.0,672.1,716.0,668.4,818.7,767.0,783.0,,-88.3,-76.0,-74.0,-48.9,245.0,-100.2,-44.0,-20.7,,-22.5,27.0,105.4,-160.8,-54.7,-76.3,,-115.8,51.7,-119.5,,-148.0,-179.0,-165.9,-122.0,-169.6,-19.3,-71.0,-55.0,,True,True,True,False,False,True,True,,True,True,False,False,True,True,,False,True,False,,False,False,False,False,False,True,True,True,
Texas,4576,3004.9,3200.0,3002.5,3409.7,7176.0,3477.6,3797.0,3060.9,,3505.0,2708.0,3927.7,2901.6,3013.7,2821.4,,2893.5,3291.3,2820.0,2756.0,2911.0,3014.0,3085.5,3632.0,2859.0,3938.0,3315.5,3209.3,3146.0,-1345.1,-1150.0,-1347.5,-940.3,2826.0,-872.4,-553.0,-1289.1,,-845.0,-1642.0,-422.3,-1448.4,-1336.3,-1528.6,,-1456.5,-1058.7,-1530.0,-1594.0,-1439.0,-1336.0,-1264.5,-718.0,-1491.0,-412.0,-1034.5,-1140.7,-1204.0,True,False,True,False,True,True,True,,True,False,True,False,True,False,,False,True,False,False,False,True,True,True,False,True,True,True,True
Utah,243,192.7,262.0,203.0,240.2,411.0,309.1,272.0,,,224.1,197.0,319.9,215.1,231.0,206.5,,236.5,204.0,242.0,,198.0,196.0,192.2,227.0,204.3,224.1,215.0,220.1,,-50.3,19.0,-40.0,-2.8,168.0,66.1,29.0,,,-18.9,-46.0,76.9,-27.9,-12.0,-36.5,,-6.5,-39.0,-1.0,,-45.0,-47.0,-50.8,-16.0,-38.7,-18.9,-28.0,-22.9,,True,True,True,False,False,True,,,True,True,False,True,True,True,,True,True,True,,True,True,False,True,True,True,True,True,
Vermont,56,56.0,61.0,58.0,57.8,56.0,58.5,58.0,58.7,,59.3,56.0,64.7,60.8,59.1,56.6,,59.5,57.1,56.0,,,58.0,59.0,57.0,51.2,57.0,57.0,57.4,,0.0,5.0,2.0,1.8,0.0,2.5,2.0,2.7,,3.3,0.0,8.7,4.8,3.1,0.6,,3.5,1.1,0.0,,,2.0,3.0,1.0,-4.8,1.0,1.0,1.4,,False,False,False,True,False,False,False,,False,True,False,False,False,False,,False,False,True,,,False,False,False,False,False,False,False,
Virginia,2025,2077.7,1997.0,2075.1,1963.7,2042.0,1896.5,1888.0,1914.2,,1893.1,2029.0,2194.9,1917.5,2063.5,1928.9,,1928.8,2145.6,1869.0,,1957.0,2091.0,1828.7,2024.0,1791.8,1843.0,2023.0,1920.9,1994.0,52.7,-28.0,50.1,-61.3,17.0,-128.5,-137.0,-110.8,,-131.9,4.0,169.9,-107.5,38.5,-96.1,,-96.2,120.6,-156.0,,-68.0,66.0,-196.3,-1.0,-233.2,-182.0,-2.0,-104.1,-31.0,True,True,False,True,False,False,False,,False,True,False,False,True,False,,False,False,False,,False,False,False,True,False,False,True,False,True
Washington,1444,1424.3,1446.0,1445.1,1452.7,1744.0,1409.2,1499.0,,,1442.0,1352.0,1564.3,1435.4,1469.3,1382.5,,1429.4,1567.8,1375.5,,1368.0,1476.0,1360.3,1455.0,1439.4,1517.8,1431.0,1441.8,,-19.7,2.0,1.1,8.7,300.0,-34.8,55.0,,,-2.0,-92.0,120.3,-8.6,25.3,-61.5,,-14.6,123.8,-68.5,,-76.0,32.0,-83.7,11.0,-4.6,73.8,-13.0,-2.2,,True,True,True,False,False,False,,,True,False,False,True,False,False,,True,False,False,,False,False,False,True,True,False,True,True,
West Virginia,100,104.4,105.0,108.1,111.1,158.0,99.4,111.0,104.7,,107.3,95.0,143.9,109.5,151.4,98.6,,116.2,113.5,93.0,,101.0,108.0,104.4,106.0,111.9,114.3,125.0,103.8,,4.4,5.0,8.1,11.1,58.0,-0.6,11.0,4.7,,7.3,-5.0,43.9,9.5,51.4,-1.4,,16.2,13.5,-7.0,,1.0,8.0,4.4,6.0,11.9,14.3,25.0,3.8,,False,False,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,,True,False,False,False,False,False,False,True,
Wisconsin,843,871.3,897.0,876.1,915.1,947.0,866.8,905.0,987.1,,911.6,865.0,1110.9,927.8,1011.5,883.5,939.0,869.0,961.7,893.0,,877.0,874.0,836.3,940.0,812.8,940.7,869.0,907.7,,28.3,54.0,33.1,72.1,104.0,23.8,62.0,144.1,,68.6,22.0,267.9,84.8,168.5,40.5,96.0,26.0,118.7,50.0,,34.0,31.0,-6.7,97.0,-30.2,97.7,26.0,64.7,,False,False,False,False,True,False,False,,False,True,False,False,False,False,False,True,False,False,,False,False,True,False,False,False,True,False,
Wyoming,24,20.0,26.0,21.5,25.5,20.0,26.6,27.0,25.7,,19.9,20.0,34.5,28.2,27.6,22.9,,29.1,31.0,20.0,,30.0,22.0,20.8,25.0,26.1,23.0,29.0,23.9,,-4.0,2.0,-2.5,1.5,-4.0,2.6,3.0,1.7,,-4.1,-4.0,10.5,4.2,3.6,-1.1,,5.1,7.0,-4.0,,6.0,-2.0,-3.2,1.0,2.1,-1.0,5.0,-0.1,,True,True,True,False,True,True,True,,False,False,False,False,True,True,,False,False,False,,False,True,True,True,True,True,False,True,
US,140775,142443.0,137773.0,142980.4,141982.1,160349.0,136504.2,140603.0,141437.0,,137800.3,131278.0,145894.2,140216.6,139574.3,135923.5,,139079.4,140890.8,136843.5,127392.0,134418.0,141484.0,135753.6,142376.0,133435.0,143625.1,138699.0,137642.6,137153.0,2586.0,-2084.0,3123.4,2125.1,20492.0,-3352.8,746.0,1580.0,,-2056.7,-8579.0,6037.2,359.6,-282.7,-3933.5,,-777.6,1033.8,-3013.5,-12465.0,-5439.0,1627.0,-4103.4,2519.0,-6422.0,3768.1,-1158.0,-2214.4,-2704.0,True,False,True,False,False,True,True,,True,False,False,True,True,False,,True,True,False,False,False,True,False,True,False,False,True,True,False
