,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New Jersey,10132,12052.0,11484.4,11353.0,17089.0,,,330.0,18506.6,7771.0,15775.5,12196.0,6513.4,10090.4,,9092.2,14036.8,15286.7,,12195.5,11468.0,1920.0,1352.4,1221.0,6957.0,,,-9802.0,8374.6,-2361.0,5643.5,2064.0,-3618.6,-41.6,,-1039.8,3904.8,5154.7,,2063.5,1336.0,True,True,False,,,False,False,False,False,False,False,True,,True,False,False,,False,True
New Mexico,3359,4748.0,5158.4,4012.0,4154.0,,,3898.0,4508.7,5985.0,7046.7,3235.4,2805.8,3349.1,,2768.2,9141.1,4375.6,7792.8,3104.6,2921.0,1389.0,1799.4,653.0,795.0,,,539.0,1149.7,2626.0,3687.7,-123.6,-553.2,-9.9,,-590.8,5782.1,1016.6,4433.8,-254.4,-438.0,False,True,True,,,True,True,False,False,True,True,True,,True,False,True,False,True,True
New York,18726,18224.0,18171.9,18304.0,20525.0,,,191.0,41359.6,9290.0,44431.8,19994.8,12475.4,18908.1,,13580.1,18460.8,16143.2,,22861.5,19436.0,-502.0,-554.1,-422.0,1799.0,,,-18535.0,22633.6,-9436.0,25705.8,1268.8,-6250.6,182.1,,-5145.9,-265.2,-2582.8,,4135.5,710.0,False,True,False,,,False,False,False,False,False,False,True,,False,True,False,,False,False
North Carolina,40925,35024.0,35970.1,32453.0,34708.0,,,46019.0,32219.5,36196.0,49264.5,33413.4,25154.1,26271.4,,25185.5,36735.0,30474.6,10480.0,25355.6,25538.0,-5901.0,-4954.9,-8472.0,-6217.0,,,5094.0,-8705.5,-4729.0,8339.5,-7511.6,-15770.9,-14653.6,,-15739.5,-4190.0,-10450.4,-30445.0,-15569.4,-15387.0,True,False,False,,,True,False,True,False,False,False,False,,False,True,False,False,False,False
North Dakota,6707,3744.0,3712.1,3799.0,3912.0,,,287.0,5668.9,3168.0,3696.2,3779.0,2967.9,3569.4,,4613.4,5624.9,4338.5,4381.6,4084.3,3426.0,-2963.0,-2994.9,-2908.0,-2795.0,,,-6420.0,-1038.1,-3539.0,-3010.8,-2928.0,-3739.1,-3137.6,,-2093.6,-1082.1,-2368.5,-2325.4,-2622.7,-3281.0,False,True,True,,,False,True,False,False,True,False,False,,True,True,True,True,True,False
Ohio,28894,30820.0,30714.7,26293.0,35177.0,,,19514.0,30746.2,27439.0,52955.6,27531.7,18225.7,23779.8,,16284.9,26621.5,28227.0,36785.3,20405.2,25820.0,1926.0,1820.7,-2601.0,6283.0,,,-9380.0,1852.2,-1455.0,24061.6,-1362.3,-10668.3,-5114.2,,-12609.1,-2272.5,-667.0,7891.3,-8488.8,-3074.0,True,False,False,,,False,True,True,False,True,False,False,,False,False,True,False,False,False
Oklahoma,20861,18872.0,17991.0,17552.0,17385.0,,,23487.0,19621.3,22474.0,30161.5,15941.7,12580.0,15576.4,,8465.9,28854.4,16316.3,11394.3,17063.1,15508.0,-1989.0,-2870.0,-3309.0,-3476.0,,,2626.0,-1239.7,1613.0,9300.5,-4919.3,-8281.0,-5284.6,,-12395.1,7993.4,-4544.7,-9466.7,-3797.9,-5353.0,False,False,False,,,False,True,True,False,False,False,False,,False,False,False,False,False,False
Oregon,6138,8032.0,8051.2,7374.0,7680.0,,,8967.0,7405.3,6452.0,17118.0,9170.7,6117.9,7209.7,,6466.0,9701.2,6340.5,8645.7,7692.6,7527.0,1894.0,1913.2,1236.0,1542.0,,,2829.0,1267.3,314.0,10980.0,3032.7,-20.1,1071.7,,328.0,3563.2,202.5,2507.7,1554.6,1389.0,False,True,True,,,False,True,True,False,False,True,True,,True,False,True,False,True,True
Pennsylvania,20104,23464.0,23179.8,21009.0,36466.0,,,5198.0,28817.0,13881.0,46167.4,20480.9,14219.2,20386.5,,15514.0,18763.3,26992.2,19257.6,22390.4,19929.0,3360.0,3075.8,905.0,16362.0,,,-14906.0,8713.0,-6223.0,26063.4,376.9,-5884.8,282.5,,-4590.0,-1340.7,6888.2,-846.4,2286.4,-175.0,True,True,False,,,False,False,False,False,True,False,True,,False,True,False,True,True,True
Rhode Island,2570,2388.0,2254.0,1882.0,3672.0,,,11.0,4145.8,2064.0,1181.2,3969.0,911.0,1755.1,,707.2,1257.2,2413.4,,2398.0,1340.0,-182.0,-316.0,-688.0,1102.0,,,-2559.0,1575.8,-506.0,-1388.8,1399.0,-1659.0,-814.9,,-1862.8,-1312.8,-156.6,,-172.0,-1230.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,True,,True,False
South Carolina,24096,25688.0,25071.8,20052.0,19176.0,,,23766.0,21810.3,24361.0,30607.3,23018.9,13720.7,17449.7,,14834.9,21265.3,20045.9,5382.4,13856.6,12882.0,1592.0,975.8,-4044.0,-4920.0,,,-330.0,-2285.7,265.0,6511.3,-1077.1,-10375.3,-6646.3,,-9261.1,-2830.7,-4050.1,-18713.6,-10239.4,-11214.0,True,False,False,,,True,False,True,False,True,False,False,,False,False,False,False,False,False
South Dakota,6319,2564.0,2575.8,2689.0,2633.0,,,434.0,2915.2,1898.0,1669.8,3271.3,2373.9,3080.4,,2667.9,3361.1,3554.9,1930.6,4305.7,2602.0,-3755.0,-3743.2,-3630.0,-3686.0,,,-5885.0,-3403.8,-4421.0,-4649.2,-3047.7,-3945.1,-3238.6,,-3651.1,-2957.9,-2764.1,-4388.4,-2013.3,-3717.0,True,True,True,,,False,True,False,False,True,False,True,,True,True,True,False,True,True
Tennessee,39144,44648.0,45470.3,39765.0,45423.0,,,40652.0,52210.5,38282.0,45639.8,38155.0,38631.5,31394.3,,28899.3,41842.4,33130.9,83797.1,34279.0,28412.0,5504.0,6326.3,621.0,6279.0,,,1508.0,13066.5,-862.0,6495.8,-989.0,-512.5,-7749.7,,-10244.7,2698.4,-6013.1,44653.1,-4865.0,-10732.0,False,True,False,,,True,False,True,False,True,True,False,,False,True,False,False,True,False
