,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
12037,50,54.0,56.8,,33.0,0.0,,,,,32.5,,19.0,,49.0,26.7,,15.0,36.1,,156.0,,21.1,,49.0,,,37.0,35.7,4.0,6.8,,-17.0,-50.0,,,,,-17.5,,-31.0,,-1.0,-23.3,,-35.0,-13.9,,106.0,,-28.9,,-1.0,,,-13.0,-14.3,False,,False,False,,,,,False,,False,,True,False,,False,False,,False,,False,,True,,,False,False
12039,136,186.0,237.1,,149.0,164.0,,,,,147.9,,86.0,,145.8,117.4,,104.7,169.7,198.0,99.0,,125.6,,242.6,,,0.0,137.4,50.0,101.1,,13.0,28.0,,,,,11.9,,-50.0,,9.8,-18.6,,-31.3,33.7,62.0,-37.0,,-10.4,,106.6,,,-136.0,1.4,False,,True,True,,,,,True,,False,,True,True,,True,True,False,True,,True,,False,,,False,True
12041,25,10.0,10.0,,11.0,2.0,,,,,51.5,,20.0,,15.4,13.5,,8.8,19.5,14.0,43.0,,7.2,,9.9,,,10.0,11.8,-15.0,-15.0,,-14.0,-23.0,,,,,26.5,,-5.0,,-9.6,-11.5,,-16.2,-5.5,-11.0,18.0,,-17.8,,-15.1,,,-15.0,-13.2,False,,True,False,,,,,False,,True,,True,True,,False,True,True,False,,False,,False,,,False,True
12043,38,22.0,24.5,,18.0,10.0,,,,,41.4,,21.0,,29.5,11.8,,3.9,23.2,,13.0,,13.3,,17.1,,,39.0,19.7,-16.0,-13.5,,-20.0,-28.0,,,,,3.4,,-17.0,,-8.5,-26.2,,-34.1,-14.8,,-25.0,,-24.7,,-20.9,,,1.0,-18.3,True,,False,False,,,,,True,,False,,True,False,,False,True,,False,,False,,False,,,True,False
12045,37,18.0,16.5,,16.0,,,,,,45.8,,23.0,,14.9,16.2,,6.5,16.5,25.0,18.0,,15.3,,17.9,,,0.0,7.1,-19.0,-20.5,,-21.0,,,,,,8.8,,-14.0,,-22.1,-20.8,,-30.5,-20.5,-12.0,-19.0,,-21.7,,-19.1,,,-37.0,-29.9,False,,False,,,,,,True,,True,,False,False,,False,False,True,False,,False,,False,,,False,False
12047,26,32.0,26.4,,25.0,45.0,,,,,59.8,,25.0,,33.1,32.2,,8.1,26.9,30.0,14.0,,11.3,,21.4,,,8.0,66.2,6.0,0.4,,-1.0,19.0,,,,,33.8,,-1.0,,7.1,6.2,,-17.9,0.9,4.0,-12.0,,-14.7,,-4.6,,,-18.0,40.2,True,,True,False,,,,,False,,True,,False,False,,False,True,True,False,,False,,True,,,False,False
12049,139,62.0,52.5,,55.0,92.0,,,,,100.6,,53.0,,71.7,51.5,,41.5,88.0,69.0,76.0,,53.5,,42.6,,,77.0,108.0,-77.0,-86.5,,-84.0,-47.0,,,,,-38.4,,-86.0,,-67.3,-87.5,,-97.5,-51.0,-70.0,-63.0,,-85.5,,-96.4,,,-62.0,-31.0,False,,False,True,,,,,True,,False,,True,False,,False,True,True,True,,False,,False,,,True,True
12051,62,32.0,31.2,,33.0,9.0,,,,,163.2,,48.0,,36.6,34.8,,13.8,39.2,54.0,52.0,,38.8,,33.2,,,39.0,31.4,-30.0,-30.8,,-29.0,-53.0,,,,,101.2,,-14.0,,-25.4,-27.2,,-48.2,-22.8,-8.0,-10.0,,-23.2,,-28.8,,,-23.0,-30.6,False,,True,False,,,,,False,,True,,True,True,,False,True,True,True,,True,,True,,,True,False
12053,230,226.0,215.2,,186.0,208.0,,,,,166.2,,186.0,,216.6,184.2,,158.2,185.4,232.0,340.0,,80.5,,172.7,196.0,,208.0,176.1,-4.0,-14.8,,-44.0,-22.0,,,,,-63.8,,-44.0,,-13.4,-45.8,,-71.8,-44.6,2.0,110.0,,-149.5,,-57.3,-34.0,,-22.0,-53.9,False,,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,False,,False,False
12055,218,130.0,135.0,,131.0,113.0,,,,,83.9,,157.0,,137.0,207.0,,105.4,166.2,132.0,427.0,,217.4,,90.2,,,128.0,114.1,-88.0,-83.0,,-87.0,-105.0,,,,,-134.1,,-61.0,,-81.0,-11.0,,-112.6,-51.8,-86.0,209.0,,-0.6,,-127.8,,,-90.0,-103.9,True,,True,False,,,,,False,,True,,True,True,,False,True,True,False,,True,,False,,,False,False
12057,2510,2086.0,2132.8,2041.2,1846.0,1886.0,,,,,1469.6,,1522.0,,1835.4,1814.9,,1904.4,1953.2,2147.0,5129.0,,1619.8,,1546.6,2141.0,,1998.0,1357.3,-424.0,-377.2,-468.8,-664.0,-624.0,,,,,-1040.4,,-988.0,,-674.6,-695.1,,-605.6,-556.8,-363.0,2619.0,,-890.2,,-963.4,-369.0,,-512.0,-1152.7,True,False,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,True,,False,False
12059,70,28.0,25.3,,22.0,14.0,,,,,59.3,,42.0,,20.8,24.9,,8.3,29.6,27.0,32.0,,13.5,,30.2,,,34.0,19.0,-42.0,-44.7,,-48.0,-56.0,,,,,-10.7,,-28.0,,-49.2,-45.1,,-61.7,-40.4,-43.0,-38.0,,-56.5,,-39.8,,,-36.0,-51.0,False,,False,False,,,,,True,,True,,False,False,,False,True,False,True,,False,,True,,,True,False
12061,211,224.0,220.8,,213.0,217.0,,,,,112.0,,233.0,,217.3,133.7,,163.5,211.9,303.0,161.0,,242.7,,156.5,211.0,,260.0,115.4,13.0,9.8,,2.0,6.0,,,,,-99.0,,22.0,,6.3,-77.3,,-47.5,0.9,92.0,-50.0,,31.7,,-54.5,0.0,,49.0,-95.6,True,,True,True,,,,,False,,False,,True,False,,False,True,False,False,,False,,False,True,,False,False
12063,168,132.0,133.6,,109.0,105.0,,,,,131.6,,87.0,,110.7,90.6,,53.7,125.4,106.0,39.0,,86.4,,111.1,,,83.0,113.2,-36.0,-34.4,,-59.0,-63.0,,,,,-36.4,,-81.0,,-57.3,-77.4,,-114.3,-42.6,-62.0,-129.0,,-81.6,,-56.9,,,-85.0,-54.8,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
12065,53,24.0,23.7,,20.0,0.0,,,,,40.3,,14.0,,21.2,14.3,,3.5,18.2,14.0,53.0,,28.4,,26.1,,,19.0,24.7,-29.0,-29.3,,-33.0,-53.0,,,,,-12.7,,-39.0,,-31.8,-38.7,,-49.5,-34.8,-39.0,0.0,,-24.6,,-26.9,,,-34.0,-28.3,False,,False,False,,,,,True,,False,,False,False,,False,False,False,True,,True,,True,,,False,True
12067,27,0.0,0.1,,0.0,0.0,,,,,64.7,,14.0,,0.4,6.3,,0.0,1.2,25.0,1.0,,0.6,,70.4,,,0.0,10.6,-27.0,-26.9,,-27.0,-27.0,,,,,37.7,,-13.0,,-26.6,-20.7,,-27.0,-25.8,-2.0,-26.0,,-26.4,,43.4,,,-27.0,-16.4,True,,False,False,,,,,False,,True,,True,True,,True,True,True,True,,True,,False,,,False,True
12069,480,412.0,404.4,417.8,398.0,474.0,,,,,420.0,,499.0,,350.0,453.1,,402.6,477.5,377.0,544.0,,280.1,,341.2,313.0,,336.0,331.6,-68.0,-75.6,-62.2,-82.0,-6.0,,,,,-60.0,,19.0,,-130.0,-26.9,,-77.4,-2.5,-103.0,64.0,,-199.9,,-138.8,-167.0,,-144.0,-148.4,False,True,False,True,,,,,True,,True,,False,True,,False,True,False,True,,False,,False,False,,False,False
12071,1140,834.0,867.5,767.8,698.0,837.0,,,,,717.3,,598.0,,677.2,609.3,,699.3,786.3,964.0,919.0,,465.0,,683.3,768.0,,810.0,486.6,-306.0,-272.5,-372.2,-442.0,-303.0,,,,,-422.7,,-542.0,,-462.8,-530.7,,-440.7,-353.7,-176.0,-221.0,,-675.0,,-456.7,-372.0,,-330.0,-653.4,True,False,False,True,,,,,False,,False,,False,False,,False,False,True,True,,False,,False,False,,False,False
12073,801,756.0,785.1,713.4,664.0,619.0,,,,,917.8,,391.0,,776.5,710.6,,501.8,576.9,470.0,591.0,,398.8,,750.8,393.0,,473.0,1727.8,-45.0,-15.9,-87.6,-137.0,-182.0,,,,,116.8,,-410.0,,-24.5,-90.4,,-299.2,-224.1,-331.0,-210.0,,-402.2,,-50.2,-408.0,,-328.0,926.8,True,False,False,False,,,,,False,,False,,True,False,,False,False,False,False,,False,,False,False,,False,False
12075,50,36.0,28.6,,35.0,37.0,,,,,69.6,,50.0,,36.8,39.0,,13.5,41.8,35.0,30.0,,18.6,,28.3,,,42.0,37.7,-14.0,-21.4,,-15.0,-13.0,,,,,19.6,,0.0,,-13.2,-11.0,,-36.5,-8.2,-15.0,-20.0,,-31.4,,-21.7,,,-8.0,-12.3,False,,False,True,,,,,False,,True,,True,True,,False,True,False,False,,False,,False,,,True,True
12077,6,4.0,12.0,,10.0,0.0,,,,,99.4,,18.0,,7.6,13.0,,1.4,11.0,,0.0,,10.8,,15.5,,,0.0,33.3,-2.0,6.0,,4.0,-6.0,,,,,93.4,,12.0,,1.6,7.0,,-4.6,5.0,,-6.0,,4.8,,9.5,,,-6.0,27.3,False,,False,False,,,,,False,,False,,True,False,,False,False,,False,,False,,False,,,False,False
12079,31,18.0,11.4,,15.0,14.0,,,,,62.5,,22.0,,11.2,15.9,,2.7,16.4,,0.0,,23.7,,39.7,,,7.0,15.1,-13.0,-19.6,,-16.0,-17.0,,,,,31.5,,-9.0,,-19.8,-15.1,,-28.3,-14.6,,-31.0,,-7.3,,8.7,,,-24.0,-15.9,False,,False,False,,,,,False,,True,,False,False,,False,False,,False,,True,,True,,,False,False
12081,756,592.0,583.3,621.3,509.0,537.0,,,,,382.4,,391.0,,524.6,466.3,,472.2,548.9,689.0,950.0,,290.9,,504.4,545.0,,562.0,358.8,-164.0,-172.7,-134.7,-247.0,-219.0,,,,,-373.6,,-365.0,,-231.4,-289.7,,-283.8,-207.1,-67.0,194.0,,-465.1,,-251.6,-211.0,,-194.0,-397.2,False,True,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,False,,False,False
12083,499,498.0,506.8,537.7,426.0,390.0,,,,,361.4,,492.0,,429.8,532.0,,353.6,413.8,480.0,1013.0,,217.1,,644.9,389.0,,449.0,350.5,-1.0,7.8,38.7,-73.0,-109.0,,,,,-137.6,,-7.0,,-69.2,33.0,,-145.4,-85.2,-19.0,514.0,,-281.9,,145.9,-110.0,,-50.0,-148.5,False,False,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,False,,False,False
12085,192,194.0,214.1,,180.0,278.0,,,,,161.7,,194.0,,175.5,132.2,,121.4,189.1,280.0,269.0,,110.6,,145.3,132.0,,178.0,199.8,2.0,22.1,,-12.0,86.0,,,,,-30.3,,2.0,,-16.5,-59.8,,-70.6,-2.9,88.0,77.0,,-81.4,,-46.7,-60.0,,-14.0,7.8,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,False,,False,False
12086,6017,5464.0,5403.6,4757.2,4661.0,4653.0,,,,,2048.0,,3918.0,,4565.0,4096.5,,4486.4,5642.4,6211.0,10043.0,,4164.2,,5134.6,4737.0,,0.0,,-553.0,-613.4,-1259.8,-1356.0,-1364.0,,,,,-3969.0,,-2099.0,,-1452.0,-1920.5,,-1530.6,-374.6,194.0,4026.0,,-1852.8,,-882.4,-1280.0,,-6017.0,,False,False,False,False,,,,,False,,False,,False,False,,False,True,True,False,,False,,False,False,,False,
12087,177,54.0,54.0,,54.0,58.0,,,,,79.1,,17.0,,59.8,48.4,,33.3,63.6,86.0,37.0,,75.4,,43.1,,,66.0,51.7,-123.0,-123.0,,-123.0,-119.0,,,,,-97.9,,-160.0,,-117.2,-128.6,,-143.7,-113.4,-91.0,-140.0,,-101.6,,-133.9,,,-111.0,-125.3,False,,False,True,,,,,True,,False,,True,False,,False,True,True,False,,True,,False,,,True,False
12089,176,158.0,160.9,,148.0,163.0,,,,,96.0,,91.0,,139.6,111.2,,125.9,178.3,120.0,72.0,,383.9,,153.6,,,110.0,94.3,-18.0,-15.1,,-28.0,-13.0,,,,,-80.0,,-85.0,,-36.4,-64.8,,-50.1,2.3,-56.0,-104.0,,207.9,,-22.4,,,-66.0,-81.7,True,,False,True,,,,,False,,False,,False,False,,False,True,False,False,,False,,False,,,False,False
12091,612,452.0,452.3,,424.0,776.0,,,,,359.0,,423.0,,440.6,278.8,,386.3,428.1,642.0,418.0,,190.2,,408.1,462.0,,532.0,349.4,-160.0,-159.7,,-188.0,164.0,,,,,-253.0,,-189.0,,-171.4,-333.2,,-225.7,-183.9,30.0,-194.0,,-421.8,,-203.9,-150.0,,-80.0,-262.6,True,,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,True,,True,False
12093,76,100.0,104.9,,88.0,98.0,,,,,72.0,,123.0,,96.2,43.7,,22.4,79.3,93.0,10.0,,86.7,,76.3,,,85.0,109.2,24.0,28.9,,12.0,22.0,,,,,-4.0,,47.0,,20.2,-32.3,,-53.6,3.3,17.0,-66.0,,10.7,,0.3,,,9.0,33.2,False,,True,True,,,,,True,,False,,True,False,,False,True,True,False,,True,,True,,,True,False
12095,2461,1932.0,1939.4,1935.9,1724.0,1936.0,,,,,1389.1,,1706.0,,1704.5,2517.2,,1591.6,1801.2,2206.0,3030.0,,1645.1,,1354.4,1970.0,,1913.0,,-529.0,-521.6,-525.1,-737.0,-525.0,,,,,-1071.9,,-755.0,,-756.5,56.2,,-869.4,-659.8,-255.0,569.0,,-815.9,,-1106.6,-491.0,,-548.0,,True,True,False,True,,,,,False,,False,,False,True,,False,False,True,False,,False,,False,True,,False,
12097,709,664.0,650.2,746.5,602.0,606.0,,,,,600.0,,534.0,,624.5,603.9,,544.5,582.1,757.0,1268.0,,568.8,,648.7,692.0,,642.0,311.1,-45.0,-58.8,37.5,-107.0,-103.0,,,,,-109.0,,-175.0,,-84.5,-105.1,,-164.5,-126.9,48.0,559.0,,-140.2,,-60.3,-17.0,,-67.0,-397.9,False,True,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,True,,False,False
12099,1908,1558.0,1636.3,1576.6,1359.0,1196.0,,,,,1180.0,,1320.0,,1410.9,1706.3,,1344.8,1649.5,1405.0,2236.0,,836.4,,1286.6,1145.0,,1366.0,,-350.0,-271.7,-331.4,-549.0,-712.0,,,,,-728.0,,-588.0,,-497.1,-201.7,,-563.2,-258.5,-503.0,328.0,,-1071.6,,-621.4,-763.0,,-542.0,,True,True,False,False,,,,,False,,False,,False,True,,False,True,False,True,,False,,False,False,,False,
12101,725,564.0,585.6,625.1,482.0,406.0,,,,,691.4,,576.0,,561.3,946.3,,453.4,500.5,622.0,591.0,,5.6,,417.1,443.0,,593.0,277.4,-161.0,-139.4,-99.9,-243.0,-319.0,,,,,-33.6,,-149.0,,-163.7,221.3,,-271.6,-224.5,-103.0,-134.0,,-719.4,,-307.9,-282.0,,-132.0,-447.6,True,True,False,False,,,,,True,,True,,False,False,,False,False,True,True,,False,,False,False,,True,False
12103,1541,954.0,954.7,984.1,898.0,937.0,,,,,932.6,,847.0,,875.7,801.7,,920.2,1049.7,1057.0,1338.0,,256.0,,687.1,907.0,,993.0,635.8,-587.0,-586.3,-556.9,-643.0,-604.0,,,,,-608.4,,-694.0,,-665.3,-739.3,,-620.8,-491.3,-484.0,-203.0,,-1285.0,,-853.9,-634.0,,-548.0,-905.2,True,True,False,False,,,,,False,,False,,False,False,,False,True,True,True,,False,,False,False,,True,False
12105,1359,1178.0,1197.1,1043.3,1036.0,897.0,,,,,938.0,,1113.0,,997.4,864.8,,1091.1,1205.9,1246.0,2612.0,,898.8,,860.4,937.0,,1088.0,1023.5,-181.0,-161.9,-315.7,-323.0,-462.0,,,,,-421.0,,-246.0,,-361.6,-494.2,,-267.9,-153.1,-113.0,1253.0,,-460.2,,-498.6,-422.0,,-271.0,-335.5,True,False,False,False,,,,,False,,False,,False,False,,False,True,True,False,,False,,False,False,,False,False
12107,107,80.0,71.2,,72.0,52.0,,,,,132.8,,112.0,,74.5,100.5,,25.3,70.4,61.0,224.0,,32.6,,84.1,,,63.0,169.5,-27.0,-35.8,,-35.0,-55.0,,,,,25.8,,5.0,,-32.5,-6.5,,-81.7,-36.6,-46.0,117.0,,-74.4,,-22.9,,,-44.0,62.5,False,,False,False,,,,,True,,True,,False,True,,False,False,False,False,,False,,True,,,False,False
12109,447,436.0,435.4,,358.0,477.0,,,,,464.1,,263.0,,366.5,388.2,,340.1,397.2,479.0,,,340.7,,338.7,388.0,,430.0,306.9,-11.0,-11.6,,-89.0,30.0,,,,,17.1,,-184.0,,-80.5,-58.8,,-106.9,-49.8,32.0,,,-106.3,,-108.3,-59.0,,-17.0,-140.1,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,False,,False,False,,False,False
12111,373,392.0,404.0,463.2,372.0,374.0,,,,,318.5,,357.0,,375.9,357.8,,267.1,383.1,397.0,,,164.2,,329.1,329.0,,389.0,347.6,19.0,31.0,90.2,-1.0,1.0,,,,,-54.5,,-16.0,,2.9,-15.2,,-105.9,10.1,24.0,,,-208.8,,-43.9,-44.0,,16.0,-25.4,False,False,True,True,,,,,False,,True,,True,True,,False,True,False,,,False,,False,False,,True,False
12113,285,248.0,236.9,,216.0,401.0,,,,,328.5,,375.0,,214.8,188.2,,190.4,228.5,328.0,304.0,,108.9,,216.0,149.0,,265.0,113.3,-37.0,-48.1,,-69.0,116.0,,,,,43.5,,90.0,,-70.2,-96.8,,-94.6,-56.5,43.0,19.0,,-176.1,,-69.0,-136.0,,-20.0,-171.7,False,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,False,,False,False,,True,False
12115,640,444.0,447.6,424.0,355.0,352.0,,,,,272.7,,316.0,,368.7,609.0,,324.3,413.4,548.0,439.0,,361.1,,303.0,377.0,,434.0,334.8,-196.0,-192.4,-216.0,-285.0,-288.0,,,,,-367.3,,-324.0,,-271.3,-31.0,,-315.7,-226.6,-92.0,-201.0,,-278.9,,-337.0,-263.0,,-206.0,-305.2,True,False,False,False,,,,,False,,False,,False,True,,False,False,True,False,,False,,False,False,,False,False
12117,474,456.0,515.1,476.0,390.0,512.0,,,,,576.1,,475.0,,385.2,473.5,,326.3,381.1,445.0,582.0,,342.4,,347.4,445.0,,409.0,195.6,-18.0,41.1,2.0,-84.0,38.0,,,,,102.1,,1.0,,-88.8,-0.5,,-147.7,-92.9,-29.0,108.0,,-131.6,,-126.6,-29.0,,-65.0,-278.4,False,True,False,False,,,,,False,,True,,False,True,,False,False,False,False,,False,,False,False,,False,False
12119,304,442.0,443.1,,373.0,1567.0,,,,,46.6,,177.0,,420.7,237.2,,388.3,258.0,580.0,1064.0,,189.9,,403.7,588.0,,760.0,121.7,138.0,139.1,,69.0,1263.0,,,,,-257.4,,-127.0,,116.7,-66.8,,84.3,-46.0,276.0,760.0,,-114.1,,99.7,284.0,,456.0,-182.3,False,,True,False,,,,,False,,True,,True,True,,True,True,False,False,,True,,True,False,,False,False
12121,148,166.0,167.4,,100.0,28.0,,,,,133.9,,67.0,,128.1,73.5,,51.2,99.9,185.0,215.0,,76.1,,128.4,,,0.0,116.5,18.0,19.4,,-48.0,-120.0,,,,,-14.1,,-81.0,,-19.9,-74.5,,-96.8,-48.1,37.0,67.0,,-71.9,,-19.6,,,-148.0,-31.5,False,,False,False,,,,,True,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
12123,74,46.0,44.2,,45.0,7.0,,,,,52.2,,40.0,,49.4,32.3,,16.5,39.2,45.0,53.0,,45.3,,81.6,,,0.0,46.0,-28.0,-29.8,,-29.0,-67.0,,,,,-21.8,,-34.0,,-24.6,-41.7,,-57.5,-34.8,-29.0,-21.0,,-28.7,,7.6,,,-74.0,-28.0,False,,False,False,,,,,True,,False,,True,False,,False,False,False,True,,False,,True,,,False,True
12125,88,108.0,102.6,,75.0,37.0,,,,,57.2,,41.0,,102.3,50.0,,19.7,68.5,69.0,28.0,,75.1,,118.6,,,0.0,149.1,20.0,14.6,,-13.0,-51.0,,,,,-30.8,,-47.0,,14.3,-38.0,,-68.3,-19.5,-19.0,-60.0,,-12.9,,30.6,,,-88.0,61.1,True,,True,False,,,,,False,,False,,True,False,,False,True,True,False,,True,,False,,,False,False
12127,826,576.0,517.0,620.0,528.0,619.0,,,,,695.5,,625.0,,539.2,737.0,,476.5,572.7,523.0,834.0,,459.0,,493.8,473.0,,419.0,423.7,-250.0,-309.0,-206.0,-298.0,-207.0,,,,,-130.5,,-201.0,,-286.8,-89.0,,-349.5,-253.3,-303.0,8.0,,-367.0,,-332.2,-353.0,,-407.0,-402.3,False,True,False,True,,,,,True,,True,,False,True,,False,False,False,True,,False,,False,False,,False,False
12129,87,68.0,81.0,,60.0,54.0,,,,,87.2,,28.0,,61.1,60.1,,15.7,57.5,48.0,13.0,,22.0,,77.2,,,45.0,100.2,-19.0,-6.0,,-27.0,-33.0,,,,,0.2,,-59.0,,-25.9,-26.9,,-71.3,-29.5,-39.0,-74.0,,-65.0,,-9.8,,,-42.0,13.2,True,,False,False,,,,,True,,False,,False,False,,False,False,False,False,,False,,True,,,False,True
12131,203,102.0,93.8,,99.0,91.0,,,,,145.7,,109.0,,101.8,71.7,,43.2,100.8,112.0,49.0,,31.7,,114.1,,,100.0,127.7,-101.0,-109.2,,-104.0,-112.0,,,,,-57.3,,-94.0,,-101.2,-131.3,,-159.8,-102.2,-91.0,-154.0,,-171.3,,-88.9,,,-103.0,-75.3,False,,False,False,,,,,True,,True,,False,False,,False,False,True,False,,False,,True,,,False,True
12133,73,34.0,28.8,,27.0,0.0,,,,,70.7,,51.0,,32.5,25.2,,6.3,21.6,33.0,109.0,,26.3,,27.2,,,37.0,31.6,-39.0,-44.2,,-46.0,-73.0,,,,,-2.3,,-22.0,,-40.5,-47.8,,-66.7,-51.4,-40.0,36.0,,-46.7,,-45.8,,,-36.0,-41.4,False,,False,False,,,,,True,,True,,False,False,,False,False,False,True,,False,,False,,,True,False
13001,72,70.0,73.6,,52.0,14.0,,,,,59.8,,48.0,,61.8,33.2,,22.6,46.8,56.0,173.0,,51.7,,74.7,,,24.0,49.2,-2.0,1.6,,-20.0,-58.0,,,,,-12.2,,-24.0,,-10.2,-38.8,,-49.4,-25.2,-16.0,101.0,,-20.3,,2.7,,,-48.0,-22.8,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
13003,26,12.0,9.9,,10.0,0.0,,,,,40.5,,10.0,,11.1,7.0,,2.9,10.6,0.0,28.0,,8.8,,12.4,,,6.0,5.0,-14.0,-16.1,,-16.0,-26.0,,,,,14.5,,-16.0,,-14.9,-19.0,,-23.1,-15.4,-26.0,2.0,,-17.2,,-13.6,,,-20.0,-21.0,False,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,False,,True,,,False,False
13005,20,14.0,13.2,,13.0,12.0,,,,,44.2,,30.0,,11.5,11.9,,2.4,12.3,0.0,58.0,,15.5,,9.5,,,7.0,20.0,-6.0,-6.8,,-7.0,-8.0,,,,,24.2,,10.0,,-8.5,-8.1,,-17.6,-7.7,-20.0,38.0,,-4.5,,-10.5,,,-13.0,0.0,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,True,,False,,,False,True
13007,2,0.0,0.3,,0.0,0.0,,,,,16.1,,6.0,,0.4,0.9,,0.2,0.5,0.0,0.0,,0.7,,0.7,,,4.0,21.9,-2.0,-1.7,,-2.0,-2.0,,,,,14.1,,4.0,,-1.6,-1.1,,-1.8,-1.5,-2.0,-2.0,,-1.3,,-1.3,,,2.0,19.9,True,,False,False,,,,,False,,False,,True,True,,True,True,False,False,,True,,True,,,False,False
13009,99,76.0,85.2,,66.0,73.0,,,,,108.7,,99.0,,55.2,106.4,,9.2,68.2,40.0,175.0,,23.2,,158.3,,,48.0,47.5,-23.0,-13.8,,-33.0,-26.0,,,,,9.7,,0.0,,-43.8,7.4,,-89.8,-30.8,-59.0,76.0,,-75.8,,59.3,,,-51.0,-51.5,True,,False,False,,,,,True,,True,,False,True,,False,False,False,False,,False,,False,,,False,False
13011,34,44.0,42.8,,31.0,28.0,,,,,41.8,,56.0,,47.9,30.9,,12.2,31.1,,14.0,,22.0,,46.4,,,34.0,14.9,10.0,8.8,,-3.0,-6.0,,,,,7.8,,22.0,,13.9,-3.1,,-21.8,-2.9,,-20.0,,-12.0,,12.4,,,0.0,-19.1,True,,True,True,,,,,True,,False,,False,True,,False,True,,False,,False,,False,,,True,False
13013,203,200.0,208.8,,182.0,197.0,,,,,151.5,,172.0,,202.2,148.8,,128.4,177.9,196.0,266.0,,71.8,,179.8,,,175.0,154.7,-3.0,5.8,,-21.0,-6.0,,,,,-51.5,,-31.0,,-0.8,-54.2,,-74.6,-25.1,-7.0,63.0,,-131.2,,-23.2,,,-28.0,-48.3,False,,False,False,,,,,False,,False,,True,False,,False,False,False,False,,False,,False,,,False,False
13015,325,190.0,194.1,,166.0,166.0,,,,,194.4,,250.0,,180.6,127.2,,133.9,189.6,206.0,170.0,,119.1,,136.4,,,194.0,116.4,-135.0,-130.9,,-159.0,-159.0,,,,,-130.6,,-75.0,,-144.4,-197.8,,-191.1,-135.4,-119.0,-155.0,,-205.9,,-188.6,,,-131.0,-208.6,True,,False,False,,,,,True,,True,,False,False,,False,False,True,False,,False,,False,,,True,False
