,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
13049,92,189.0,,,,128.0,29.3,0.1,37.0,250.5,,60.0,97.0,,,,36.0,-62.7,-91.9,-55.0,158.5,,-32.0,,,,True,True,True,True,False,,True
13051,2089,2485.0,,,,2214.0,1710.1,1004.5,1219.2,1187.7,,1208.0,396.0,,,,125.0,-378.9,-1084.5,-869.8,-901.3,,-881.0,,,,True,True,False,False,False,,False
13053,608,1281.0,,,,268.0,572.4,411.2,212.7,558.8,,1935.0,673.0,,,,-340.0,-35.6,-196.8,-395.3,-49.2,,1327.0,,,,True,True,True,True,True,,False
13055,322,938.0,,,,187.0,826.9,300.3,852.1,1558.2,,341.0,616.0,,,,-135.0,504.9,-21.7,530.1,1236.2,,19.0,,,,True,True,True,True,False,,True
13057,1924,3304.0,,,,1708.0,3095.5,894.5,2172.8,3021.2,,1958.0,1380.0,,,,-216.0,1171.5,-1029.5,248.8,1097.2,,34.0,,,,True,True,True,True,True,,True
13059,2744,2212.0,,,,1799.0,2282.5,589.2,4589.4,2903.3,,1399.0,-532.0,,,,-945.0,-461.5,-2154.8,1845.4,159.3,,-1345.0,,,,False,True,False,False,True,,False
13061,13,28.0,,,,25.0,0.7,0.0,2.3,45.8,,4.0,15.0,,,,12.0,-12.3,-13.0,-10.7,32.8,,-9.0,,,,True,True,True,True,False,,True
13063,1458,3150.0,,,,2067.0,1755.7,1024.7,1273.5,1844.7,,1345.0,1692.0,,,,609.0,297.7,-433.3,-184.5,386.7,,-113.0,,,,True,True,True,True,True,,True
13065,137,126.0,,,,49.0,14.0,85.2,87.8,205.7,,44.0,-11.0,,,,-88.0,-123.0,-51.8,-49.2,68.7,,-93.0,,,,False,False,False,False,False,,False
13067,4278,7168.0,,,,4790.0,5640.2,1198.6,2349.1,6169.7,,4074.0,2890.0,,,,512.0,1362.2,-3079.4,-1928.9,1891.7,,-204.0,,,,True,True,False,True,True,,True
13069,409,595.0,,,,496.0,236.2,9.2,311.2,388.6,,183.0,186.0,,,,87.0,-172.8,-399.8,-97.8,-20.4,,-226.0,,,,True,True,False,True,True,,False
13071,367,483.0,,,,615.0,120.3,11.4,51.6,236.9,,220.0,116.0,,,,248.0,-246.7,-355.6,-315.4,-130.1,,-147.0,,,,False,False,False,False,False,,False
13073,1035,1148.0,,,,1267.0,747.6,962.8,147.3,620.5,,260.0,113.0,,,,232.0,-287.4,-72.2,-887.7,-414.5,,-775.0,,,,False,False,True,False,False,,False
13075,63,98.0,,,,170.0,11.0,0.4,33.1,71.2,,31.0,35.0,,,,107.0,-52.0,-62.6,-29.9,8.2,,-32.0,,,,False,False,False,True,True,,True
13077,607,1806.0,,,,943.0,620.3,638.9,1128.2,1762.2,,1207.0,1199.0,,,,336.0,13.3,31.9,521.2,1155.2,,600.0,,,,True,True,True,True,True,,True
13079,43,119.0,,,,107.0,8.8,59.7,26.7,198.5,,81.0,76.0,,,,64.0,-34.2,16.7,-16.3,155.5,,38.0,,,,True,True,True,True,False,,True
13081,164,273.0,,,,269.0,55.6,47.2,273.7,217.7,,263.0,109.0,,,,105.0,-108.4,-116.8,109.7,53.7,,99.0,,,,True,True,False,False,True,,True
13083,134,84.0,,,,129.0,26.4,109.4,30.4,69.8,,28.0,-50.0,,,,-5.0,-107.6,-24.6,-103.6,-64.2,,-106.0,,,,True,False,True,False,False,,False
13085,220,539.0,,,,142.0,479.5,349.9,417.9,650.6,,268.0,319.0,,,,-78.0,259.5,129.9,197.9,430.6,,48.0,,,,True,True,True,True,False,,True
13087,276,455.0,,,,455.0,142.5,1.2,215.3,591.7,,174.0,179.0,,,,179.0,-133.5,-274.8,-60.7,315.7,,-102.0,,,,False,True,False,True,False,,True
13089,3739,4081.0,,,,5665.0,2487.4,1192.6,1753.1,2018.0,,1740.0,342.0,,,,1926.0,-1251.6,-2546.4,-1985.9,-1721.0,,-1999.0,,,,False,False,False,False,False,,False
13091,207,245.0,,,,300.0,172.1,74.6,107.2,148.0,,175.0,38.0,,,,93.0,-34.9,-132.4,-99.8,-59.0,,-32.0,,,,False,True,False,False,False,,True
13093,76,49.0,,,,156.0,1.7,0.4,72.6,65.7,,23.0,-27.0,,,,80.0,-74.3,-75.6,-3.4,-10.3,,-53.0,,,,False,False,False,True,True,,False
13095,297,567.0,,,,1308.0,83.2,26.5,231.9,975.2,,345.0,270.0,,,,1011.0,-213.8,-270.5,-65.1,678.2,,48.0,,,,False,True,False,True,False,,True
13097,784,938.0,,,,1036.0,519.5,316.6,259.8,826.6,,468.0,154.0,,,,252.0,-264.5,-467.4,-524.2,42.6,,-316.0,,,,False,False,False,False,True,,False
13099,116,77.0,,,,165.0,4.9,3.0,45.3,86.1,,29.0,-39.0,,,,49.0,-111.1,-113.0,-70.7,-29.9,,-87.0,,,,False,False,False,False,True,,False
13101,12,21.0,,,,30.0,1.6,0.8,7.0,88.3,,0.0,9.0,,,,18.0,-10.4,-11.2,-5.0,76.3,,-12.0,,,,False,False,False,True,False,,False
13103,629,742.0,,,,444.0,548.1,486.1,0.0,624.6,,426.0,113.0,,,,-185.0,-80.9,-142.9,-629.0,-4.4,,-203.0,,,,False,True,False,False,True,,False
13105,296,224.0,,,,165.0,137.9,54.8,34.4,99.1,,134.0,-72.0,,,,-131.0,-158.1,-241.2,-261.6,-196.9,,-162.0,,,,False,False,False,False,False,,False
13107,441,455.0,,,,318.0,564.6,213.6,54.3,196.4,,135.0,14.0,,,,-123.0,123.6,-227.4,-386.6,-244.6,,-306.0,,,,False,False,False,False,False,,False
13109,101,196.0,,,,112.0,108.2,0.0,34.0,218.7,,63.0,95.0,,,,11.0,7.2,-101.0,-67.0,117.7,,-38.0,,,,True,True,False,True,False,,True
13111,346,147.0,,,,137.0,34.2,160.8,44.9,306.0,,62.0,-199.0,,,,-209.0,-311.8,-185.2,-301.1,-40.0,,-284.0,,,,False,False,True,False,True,,False
13113,456,1120.0,,,,616.0,857.2,502.5,493.5,926.5,,606.0,664.0,,,,160.0,401.2,46.5,37.5,470.5,,150.0,,,,True,True,True,True,True,,True
13115,1339,1764.0,,,,1109.0,565.4,686.5,1181.6,2022.2,,850.0,425.0,,,,-230.0,-773.6,-652.5,-157.4,683.2,,-489.0,,,,True,False,False,True,False,,False
13117,1470,1820.0,,,,1441.0,1226.1,687.6,1288.4,1407.4,,1321.0,350.0,,,,-29.0,-243.9,-782.4,-181.6,-62.6,,-149.0,,,,True,True,False,True,True,,True
13119,298,280.0,,,,256.0,51.5,124.1,150.0,199.5,,139.0,-18.0,,,,-42.0,-246.5,-173.9,-148.0,-98.5,,-159.0,,,,False,False,False,False,False,,False
13121,4931,7875.0,,,,8401.0,6357.7,1512.3,4306.6,10217.8,,4038.0,2944.0,,,,3470.0,1426.7,-3418.7,-624.4,5286.8,,-893.0,,,,False,True,False,True,False,,True
13123,228,224.0,,,,218.0,110.8,125.4,20.9,401.7,,112.0,-4.0,,,,-10.0,-117.2,-102.6,-207.1,173.7,,-116.0,,,,False,False,False,False,False,,False
13125,9,7.0,,,,16.0,0.1,,5.7,30.5,,4.0,-2.0,,,,7.0,-8.9,,-3.3,21.5,,-5.0,,,,False,False,,False,False,,False
13127,608,1120.0,,,,541.0,696.4,22.5,37.6,832.8,,476.0,512.0,,,,-67.0,88.4,-585.5,-570.4,224.8,,-132.0,,,,True,True,False,False,True,,True
13129,623,518.0,,,,519.0,173.7,183.0,168.9,685.5,,205.0,-105.0,,,,-104.0,-449.3,-440.0,-454.1,62.5,,-418.0,,,,True,False,False,False,True,,False
13131,202,203.0,,,,337.0,118.6,3.4,43.0,625.8,,70.0,1.0,,,,135.0,-83.4,-198.6,-159.0,423.8,,-132.0,,,,False,False,False,False,False,,False
13133,119,259.0,,,,164.0,26.4,66.3,53.3,239.3,,94.0,140.0,,,,45.0,-92.6,-52.7,-65.7,120.3,,-25.0,,,,True,True,True,True,True,,True
13135,5421,8022.0,,,,6222.0,3546.1,1184.3,3177.6,7368.9,,3955.0,2601.0,,,,801.0,-1874.9,-4236.7,-2243.4,1947.9,,-1466.0,,,,True,True,False,True,True,,True
13137,502,413.0,,,,419.0,85.6,77.4,181.8,680.6,,230.0,-89.0,,,,-83.0,-416.4,-424.6,-320.2,178.6,,-272.0,,,,True,False,False,False,False,,False
13139,2720,4256.0,,,,2193.0,3438.6,1454.2,10822.4,2319.9,,1069.0,1536.0,,,,-527.0,718.6,-1265.8,8102.4,-400.1,,-1651.0,,,,True,True,True,False,True,,False
13141,60,63.0,,,,50.0,4.4,0.6,7.6,112.0,,30.0,3.0,,,,-10.0,-55.6,-59.4,-52.4,52.0,,-30.0,,,,False,False,False,False,False,,False
13143,266,301.0,,,,241.0,131.4,224.2,258.8,393.7,,335.0,35.0,,,,-25.0,-134.6,-41.8,-7.2,127.7,,69.0,,,,True,False,False,True,False,,False
13145,112,91.0,,,,368.0,12.5,84.9,16.8,75.8,,49.0,-21.0,,,,256.0,-99.5,-27.1,-95.2,-36.2,,-63.0,,,,False,False,False,False,False,,False
13147,150,203.0,,,,210.0,41.1,134.4,133.6,196.4,,95.0,53.0,,,,60.0,-108.9,-15.6,-16.4,46.4,,-55.0,,,,False,False,True,True,True,,False
13149,41,70.0,,,,82.0,11.2,60.7,40.4,66.5,,83.0,29.0,,,,41.0,-29.8,19.7,-0.6,25.5,,42.0,,,,False,False,True,True,True,,False
13151,1462,2128.0,,,,1447.0,1156.5,907.2,1956.3,1490.6,,1130.0,666.0,,,,-15.0,-305.5,-554.8,494.3,28.6,,-332.0,,,,True,True,True,True,True,,True
13153,796,1442.0,,,,1419.0,494.6,832.2,715.8,818.8,,900.0,646.0,,,,623.0,-301.4,36.2,-80.2,22.8,,104.0,,,,True,True,True,True,True,,True
13155,130,168.0,,,,93.0,46.2,53.9,105.7,119.9,,130.0,38.0,,,,-37.0,-83.8,-76.1,-24.3,-10.1,,0.0,,,,True,False,False,True,True,,True
13157,777,1099.0,,,,574.0,487.5,504.0,824.8,833.3,,931.0,322.0,,,,-203.0,-289.5,-273.0,47.8,56.3,,154.0,,,,True,True,True,True,True,,True
13159,55,56.0,,,,108.0,5.4,80.5,5.3,221.6,,15.0,1.0,,,,53.0,-49.6,25.5,-49.7,166.6,,-40.0,,,,False,False,False,False,False,,False
13161,149,231.0,,,,131.0,64.9,1.0,92.5,414.4,,56.0,82.0,,,,-18.0,-84.1,-148.0,-56.5,265.4,,-93.0,,,,True,False,False,True,False,,False
13163,182,301.0,,,,175.0,70.2,0.5,104.8,273.7,,43.0,119.0,,,,-7.0,-111.8,-181.5,-77.2,91.7,,-139.0,,,,True,True,False,True,True,,False
13165,155,168.0,,,,146.0,25.8,1.8,65.2,66.7,,50.0,13.0,,,,-9.0,-129.2,-153.2,-89.8,-88.3,,-105.0,,,,True,False,False,False,False,,False
13167,132,189.0,,,,176.0,27.1,0.1,22.6,114.8,,52.0,57.0,,,,44.0,-104.9,-131.9,-109.4,-17.2,,-80.0,,,,True,False,False,False,True,,False
13169,180,539.0,,,,204.0,24.1,190.2,63.1,312.9,,566.0,359.0,,,,24.0,-155.9,10.2,-116.9,132.9,,386.0,,,,True,True,True,True,True,,False
13171,77,77.0,,,,162.0,14.6,80.3,16.8,127.1,,41.0,0.0,,,,85.0,-62.4,3.3,-60.2,50.1,,-36.0,,,,False,False,False,False,False,,False
13173,65,28.0,,,,81.0,0.9,12.5,28.0,52.2,,3.0,-37.0,,,,16.0,-64.1,-52.5,-37.0,-12.8,,-62.0,,,,True,False,False,False,True,,False
13175,584,721.0,,,,630.0,404.4,98.3,201.1,767.7,,286.0,137.0,,,,46.0,-179.6,-485.7,-382.9,183.7,,-298.0,,,,True,False,False,False,False,,False
13177,117,175.0,,,,302.0,39.2,130.5,16.9,192.4,,53.0,58.0,,,,185.0,-77.8,13.5,-100.1,75.4,,-64.0,,,,False,False,True,False,False,,False
13179,263,434.0,,,,384.0,169.6,330.2,24.8,440.2,,325.0,171.0,,,,121.0,-93.4,67.2,-238.2,177.2,,62.0,,,,True,True,True,False,False,,True
13181,29,56.0,,,,38.0,3.8,0.0,6.2,32.5,,14.0,27.0,,,,9.0,-25.2,-29.0,-22.8,3.5,,-15.0,,,,True,True,False,True,True,,True
13183,89,84.0,,,,77.0,38.9,132.9,43.2,56.0,,32.0,-5.0,,,,-12.0,-50.1,43.9,-45.8,-33.0,,-57.0,,,,False,False,False,False,False,,False
13185,822,819.0,,,,1201.0,185.4,170.3,288.6,626.7,,728.0,-3.0,,,,379.0,-636.6,-651.7,-533.4,-195.3,,-94.0,,,,False,False,False,False,False,,False
13187,311,1001.0,,,,227.0,972.7,147.9,791.1,825.3,,357.0,690.0,,,,-84.0,661.7,-163.1,480.1,514.3,,46.0,,,,True,True,True,True,True,,True
13189,150,266.0,,,,217.0,31.5,0.1,66.0,589.7,,58.0,116.0,,,,67.0,-118.5,-149.9,-84.0,439.7,,-92.0,,,,True,False,False,True,False,,True
13191,58,91.0,,,,30.0,37.8,32.1,37.4,232.6,,44.0,33.0,,,,-28.0,-20.2,-25.9,-20.6,174.6,,-14.0,,,,True,True,True,True,False,,True
13193,41,70.0,,,,189.0,6.3,0.5,5.7,50.0,,64.0,29.0,,,,148.0,-34.7,-40.5,-35.3,9.0,,23.0,,,,False,False,False,False,True,,True
13195,221,280.0,,,,219.0,52.3,195.2,93.6,150.9,,139.0,59.0,,,,-2.0,-168.7,-25.8,-127.4,-70.1,,-82.0,,,,True,False,True,False,False,,False
13197,27,35.0,,,,70.0,5.1,19.8,5.6,52.8,,36.0,8.0,,,,43.0,-21.9,-7.2,-21.4,25.8,,9.0,,,,False,False,True,False,False,,False
13199,92,196.0,,,,179.0,20.5,90.7,54.7,166.8,,101.0,104.0,,,,87.0,-71.5,-1.3,-37.3,74.8,,9.0,,,,True,True,True,True,True,,True
13201,87,112.0,,,,98.0,10.5,0.0,38.2,51.5,,25.0,25.0,,,,11.0,-76.5,-87.0,-48.8,-35.5,,-62.0,,,,True,False,False,False,False,,False
13205,142,147.0,,,,304.0,22.4,8.5,87.1,241.5,,132.0,5.0,,,,162.0,-119.6,-133.5,-54.9,99.5,,-10.0,,,,False,False,False,False,False,,False
13207,156,399.0,,,,265.0,17.5,102.1,74.1,336.9,,334.0,243.0,,,,109.0,-138.5,-53.9,-81.9,180.9,,178.0,,,,True,True,True,True,True,,True
13209,145,98.0,,,,81.0,37.3,0.0,107.1,161.0,,19.0,-47.0,,,,-64.0,-107.7,-145.0,-37.9,16.0,,-126.0,,,,False,False,False,True,True,,False
13211,102,224.0,,,,235.0,28.4,122.0,24.1,314.6,,60.0,122.0,,,,133.0,-73.6,20.0,-77.9,212.6,,-42.0,,,,False,True,True,True,False,,True
13213,241,182.0,,,,309.0,80.3,109.9,85.1,77.8,,84.0,-59.0,,,,68.0,-160.7,-131.1,-155.9,-163.2,,-157.0,,,,False,False,False,False,False,,False
13215,827,1099.0,,,,2340.0,271.9,344.5,362.1,852.0,,456.0,272.0,,,,1513.0,-555.1,-482.5,-464.9,25.0,,-371.0,,,,False,False,False,False,True,,False
13217,495,903.0,,,,807.0,648.5,325.0,472.1,532.1,,432.0,408.0,,,,312.0,153.5,-170.0,-22.9,37.1,,-63.0,,,,True,True,True,True,True,,True
13219,273,280.0,,,,295.0,84.2,363.5,160.3,152.0,,396.0,7.0,,,,22.0,-188.8,90.5,-112.7,-121.0,,123.0,,,,False,False,False,False,False,,False
13221,110,119.0,,,,95.0,16.4,86.2,45.0,231.1,,120.0,9.0,,,,-15.0,-93.6,-23.8,-65.0,121.1,,10.0,,,,False,False,False,False,False,,False
13223,763,1561.0,,,,906.0,1303.5,749.0,2469.2,1319.1,,1314.0,798.0,,,,143.0,540.5,-14.0,1706.2,556.1,,551.0,,,,True,True,True,False,True,,True
13225,171,511.0,,,,276.0,31.0,195.8,66.8,294.1,,262.0,340.0,,,,105.0,-140.0,24.8,-104.2,123.1,,91.0,,,,True,True,True,True,True,,True
13227,178,266.0,,,,212.0,96.8,194.6,72.7,169.8,,255.0,88.0,,,,34.0,-81.2,16.6,-105.3,-8.2,,77.0,,,,True,True,True,False,True,,True
13229,132,161.0,,,,136.0,25.3,64.7,20.8,62.8,,63.0,29.0,,,,4.0,-106.7,-67.3,-111.2,-69.2,,-69.0,,,,True,False,False,False,False,,False
13231,98,91.0,,,,126.0,10.3,103.9,28.2,308.9,,23.0,-7.0,,,,28.0,-87.7,5.9,-69.8,210.9,,-75.0,,,,False,False,True,False,False,,False
13233,405,1015.0,,,,416.0,175.0,275.6,583.5,1000.8,,341.0,610.0,,,,11.0,-230.0,-129.4,178.5,595.8,,-64.0,,,,True,True,True,True,True,,True
13235,120,322.0,,,,69.0,97.2,53.0,146.1,407.7,,147.0,202.0,,,,-51.0,-22.8,-67.0,26.1,287.7,,27.0,,,,True,True,True,True,False,,True
13237,156,392.0,,,,227.0,29.3,171.3,179.1,220.6,,115.0,236.0,,,,71.0,-126.7,15.3,23.1,64.6,,-41.0,,,,True,True,True,True,True,,True
13239,7,7.0,,,,8.0,0.0,,3.4,8.4,,7.0,0.0,,,,1.0,-7.0,,-3.6,1.4,,0.0,,,,False,False,,False,False,,True
13241,132,196.0,,,,104.0,98.0,121.9,34.5,188.0,,263.0,64.0,,,,-28.0,-34.0,-10.1,-97.5,56.0,,131.0,,,,True,True,True,False,True,,False
13243,28,56.0,,,,135.0,1.6,1.3,28.7,138.3,,11.0,28.0,,,,107.0,-26.4,-26.7,0.7,110.3,,-17.0,,,,False,True,True,True,False,,True
13245,1712,2555.0,,,,2593.0,1714.6,317.9,458.1,3414.1,,573.0,843.0,,,,881.0,2.6,-1394.1,-1253.9,1702.1,,-1139.0,,,,False,True,False,False,False,,False
13247,378,357.0,,,,612.0,98.3,271.0,60.2,270.5,,99.0,-21.0,,,,234.0,-279.7,-107.0,-317.8,-107.5,,-279.0,,,,False,False,False,False,False,,False
13249,15,28.0,,,,46.0,0.2,,12.2,299.2,,6.0,13.0,,,,31.0,-14.8,,-2.8,284.2,,-9.0,,,,False,False,,True,False,,True
13251,162,224.0,,,,119.0,11.0,44.8,60.6,288.6,,116.0,62.0,,,,-43.0,-151.0,-117.2,-101.4,126.6,,-46.0,,,,True,False,False,False,False,,True
13253,110,161.0,,,,169.0,15.3,0.0,8.0,187.8,,33.0,51.0,,,,59.0,-94.7,-110.0,-102.0,77.8,,-77.0,,,,False,False,False,False,False,,False
13255,308,497.0,,,,547.0,145.9,127.9,288.1,495.5,,288.0,189.0,,,,239.0,-162.1,-180.1,-19.9,187.5,,-20.0,,,,False,True,True,True,True,,True
13257,422,497.0,,,,243.0,444.6,101.5,189.3,476.4,,196.0,75.0,,,,-179.0,22.6,-320.5,-232.7,54.4,,-226.0,,,,False,True,False,False,True,,False
13259,176,266.0,,,,154.0,100.7,0.6,83.8,66.7,,0.0,90.0,,,,-22.0,-75.3,-175.4,-92.2,-109.3,,-176.0,,,,True,True,False,False,False,,False
13261,103,238.0,,,,415.0,90.9,11.6,144.9,185.2,,218.0,135.0,,,,312.0,-12.1,-91.4,41.9,82.2,,115.0,,,,False,True,True,True,True,,True
13263,13,14.0,,,,49.0,1.1,0.0,5.7,20.8,,3.0,1.0,,,,36.0,-11.9,-13.0,-7.3,7.8,,-10.0,,,,False,False,False,False,False,,False
13265,6,7.0,,,,7.0,0.0,,12.3,,,2.0,1.0,,,,1.0,-6.0,,6.3,,,-4.0,,,,False,False,,False,,,False
13267,230,203.0,,,,368.0,74.4,0.1,75.3,370.5,,62.0,-27.0,,,,138.0,-155.6,-229.9,-154.7,140.5,,-168.0,,,,False,False,False,False,False,,False
13269,73,273.0,,,,100.0,127.6,56.2,76.5,153.9,,138.0,200.0,,,,27.0,54.6,-16.8,3.5,80.9,,65.0,,,,True,True,True,True,True,,True
13271,85,147.0,,,,237.0,48.2,0.2,132.2,82.1,,55.0,62.0,,,,152.0,-36.8,-84.8,47.2,-2.9,,-30.0,,,,False,True,False,True,True,,True
13273,21,56.0,,,,118.0,4.0,1.4,3.8,60.4,,48.0,35.0,,,,97.0,-17.0,-19.6,-17.2,39.4,,27.0,,,,False,True,True,True,False,,True
13275,231,455.0,,,,555.0,92.6,29.3,206.4,498.0,,177.0,224.0,,,,324.0,-138.4,-201.7,-24.6,267.0,,-54.0,,,,False,True,True,True,False,,True
13277,413,406.0,,,,588.0,179.7,3.9,128.5,241.3,,231.0,-7.0,,,,175.0,-233.3,-409.1,-284.5,-171.7,,-182.0,,,,False,False,False,False,False,,False
13279,387,644.0,,,,368.0,168.1,318.6,227.7,429.5,,106.0,257.0,,,,-19.0,-218.9,-68.4,-159.3,42.5,,-281.0,,,,True,True,True,True,True,,False
13281,204,147.0,,,,39.0,77.7,55.0,20.8,225.6,,77.0,-57.0,,,,-165.0,-126.3,-149.0,-183.2,21.6,,-127.0,,,,False,False,False,False,True,,False
13283,92,217.0,,,,74.0,86.3,18.6,134.3,191.6,,92.0,125.0,,,,-18.0,-5.7,-73.4,42.3,99.6,,0.0,,,,True,True,True,True,True,,True
13285,373,616.0,,,,797.0,177.2,67.3,349.8,280.0,,301.0,243.0,,,,424.0,-195.8,-305.7,-23.2,-93.0,,-72.0,,,,False,True,False,True,True,,True
13287,53,28.0,,,,68.0,1.5,0.1,5.7,107.4,,7.0,-25.0,,,,15.0,-51.5,-52.9,-47.3,54.4,,-46.0,,,,True,False,False,False,False,,False
13289,47,63.0,,,,68.0,103.9,34.1,2.3,225.4,,22.0,16.0,,,,21.0,56.9,-12.9,-44.7,178.4,,-25.0,,,,False,False,True,False,False,,False
13291,396,462.0,,,,126.0,268.7,224.1,113.9,405.6,,261.0,66.0,,,,-270.0,-127.3,-171.9,-282.1,9.6,,-135.0,,,,False,False,False,False,True,,False
13293,174,0.0,,,,233.0,98.6,36.4,50.1,607.2,,8.0,-174.0,,,,59.0,-75.4,-137.6,-123.9,433.2,,-166.0,,,,True,True,True,True,False,,True
13295,725,826.0,,,,534.0,399.3,312.7,370.0,738.1,,687.0,101.0,,,,-191.0,-325.7,-412.3,-355.0,13.1,,-38.0,,,,False,False,False,False,True,,True
13297,585,651.0,,,,644.0,135.2,327.6,80.4,786.0,,285.0,66.0,,,,59.0,-449.8,-257.4,-504.6,201.0,,-300.0,,,,True,False,False,False,False,,False
13299,371,287.0,,,,407.0,87.7,5.1,88.6,144.7,,63.0,-84.0,,,,36.0,-283.3,-365.9,-282.4,-226.3,,-308.0,,,,True,False,False,False,False,,False
13301,46,49.0,,,,24.0,1.7,0.0,21.9,15.8,,19.0,3.0,,,,-22.0,-44.3,-46.0,-24.1,-30.2,,-27.0,,,,False,False,False,False,False,,False
13303,119,168.0,,,,288.0,53.5,0.2,36.9,351.8,,35.0,49.0,,,,169.0,-65.5,-118.8,-82.1,232.8,,-84.0,,,,False,False,False,False,False,,False
13305,245,259.0,,,,295.0,92.0,0.9,73.1,206.5,,58.0,14.0,,,,50.0,-153.0,-244.1,-171.9,-38.5,,-187.0,,,,False,False,False,False,False,,False
13307,7,0.0,,,,33.0,0.1,,0.7,9.4,,0.0,-7.0,,,,26.0,-6.9,,-6.3,2.4,,-7.0,,,,False,True,,True,True,,False
13309,215,98.0,,,,82.0,13.7,8.9,40.7,63.9,,22.0,-117.0,,,,-133.0,-201.3,-206.1,-174.3,-151.1,,-193.0,,,,False,False,False,False,False,,False
13311,474,490.0,,,,190.0,85.8,200.6,324.4,397.2,,518.0,16.0,,,,-284.0,-388.2,-273.4,-149.6,-76.8,,44.0,,,,False,False,False,False,False,,False
13313,1103,1001.0,,,,1343.0,604.0,51.6,132.5,866.6,,379.0,-102.0,,,,240.0,-499.0,-1051.4,-970.5,-236.4,,-724.0,,,,False,False,False,False,False,,False
13315,33,84.0,,,,121.0,17.7,0.7,70.9,51.1,,66.0,51.0,,,,88.0,-15.3,-32.3,37.9,18.1,,33.0,,,,False,True,True,True,True,,True
13317,58,70.0,,,,75.0,12.7,0.0,8.9,30.0,,26.0,12.0,,,,17.0,-45.3,-58.0,-49.1,-28.0,,-32.0,,,,False,False,False,False,False,,False
13319,74,224.0,,,,65.0,6.5,90.9,60.0,192.5,,107.0,150.0,,,,-9.0,-67.5,16.9,-14.0,118.5,,33.0,,,,True,True,True,True,True,,True
13321,94,112.0,,,,201.0,32.4,32.0,76.5,118.4,,56.0,18.0,,,,107.0,-61.6,-62.0,-17.5,24.4,,-38.0,,,,False,False,False,True,False,,False
15001,731,882.0,,,,,5859.7,1.1,1791.0,382.5,,6030.0,151.0,,,,,5128.7,-729.9,1060.0,-348.5,,5299.0,,,,,False,False,False,False,,False
15003,5063,11228.0,,,,,18967.4,1040.6,12133.7,62866.4,,9498.0,6165.0,,,,,13904.4,-4022.4,7070.7,57803.4,,4435.0,,,,,False,True,False,False,,True
15005,0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,True,,,
15007,4,7.0,,,,,0.0,,1.1,13.8,,3.0,3.0,,,,,-4.0,,-2.9,9.8,,-1.0,,,,,False,,True,False,,True
15009,191,357.0,,,,,155.8,8.5,199.1,511.2,,366.0,166.0,,,,,-35.2,-182.5,8.1,320.2,,175.0,,,,,True,False,True,False,,False
16001,3933,3626.0,,,,3528.0,2927.9,1293.3,788.6,1778.3,,1505.0,-307.0,,,,-405.0,-1005.1,-2639.7,-3144.4,-2154.7,,-2428.0,,,,False,False,False,False,False,,False
16003,9,7.0,,,,14.0,3.6,,4.2,3.9,,6.0,-2.0,,,,5.0,-5.4,,-4.8,-5.1,,-3.0,,,,False,False,,False,False,,False
16005,1247,392.0,,,,411.0,72.0,552.3,101.7,161.6,,161.0,-855.0,,,,-836.0,-1175.0,-694.7,-1145.3,-1085.4,,-1086.0,,,,True,False,True,False,False,,False
16007,31,35.0,,,,7.0,,,6.1,,,14.0,4.0,,,,-24.0,,,-24.9,,,-17.0,,,,False,,,False,,,False
16009,55,105.0,,,,33.0,4.3,21.7,19.6,179.6,,70.0,50.0,,,,-22.0,-50.7,-33.3,-35.4,124.6,,15.0,,,,True,False,True,True,False,,True
16011,905,350.0,,,,247.0,266.7,351.2,94.0,600.8,,159.0,-555.0,,,,-658.0,-638.3,-553.8,-811.0,-304.2,,-746.0,,,,False,False,True,False,True,,False
16013,206,70.0,,,,86.0,18.7,12.3,99.1,63.2,,56.0,-136.0,,,,-120.0,-187.3,-193.7,-106.9,-142.8,,-150.0,,,,True,False,False,True,False,,False
16015,16,28.0,,,,19.0,,,9.3,21.4,,10.0,12.0,,,,3.0,,,-6.7,5.4,,-6.0,,,,True,,,True,True,,True
16017,216,119.0,,,,129.0,35.0,218.4,7.4,95.4,,73.0,-97.0,,,,-87.0,-181.0,2.4,-208.7,-120.6,,-143.0,,,,True,False,True,False,False,,False
