,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
South Carolina,12323,11236.0,10266.2,10322.0,11932.0,,12691.8,7327.0,11256.5,5589.1,12842.0,10986.0,12705.8,9413.2,,5650.2,15674.9,9314.6,10688.0,14458.0,,8780.8,8395.2,7670.5,13216.5,11000.0,-1087.0,-2056.8,-2001.0,-391.0,,368.8,-4996.0,-1066.5,-6733.9,519.0,-1337.0,382.8,-2909.8,,-6672.8,3351.9,-3008.4,-1635.0,2135.0,,-3542.2,-3927.8,-4652.5,893.5,-1323.0,False,False,True,,True,False,True,False,True,False,True,False,,False,False,False,False,False,,False,False,False,True,False
South Dakota,8625,5706.0,5751.4,5736.0,5584.0,,5763.2,4504.0,4456.3,2734.8,6718.0,6884.0,6364.4,6970.6,7438.4,1051.6,5297.4,5886.1,5752.6,7820.0,,4496.3,6293.7,5124.9,6751.4,6019.0,-2919.0,-2873.6,-2889.0,-3041.0,,-2861.8,-4121.0,-4168.7,-5890.2,-1907.0,-1741.0,-2260.6,-1654.4,-1186.6,-7573.4,-3327.6,-2738.9,-2872.4,-805.0,,-4128.7,-2331.3,-3500.1,-1873.6,-2606.0,True,True,False,,True,False,False,False,True,True,True,True,True,False,False,True,True,True,,False,True,False,True,True
Tennessee,26544,17408.0,17958.0,16121.0,16473.0,,19070.0,12382.0,20638.6,8587.6,17323.0,15377.0,17222.0,17228.7,18368.7,12040.0,13974.5,16203.1,15965.8,17079.0,,13853.5,9953.8,12460.2,17048.9,15713.0,-9136.0,-8586.0,-10423.0,-10071.0,,-7474.0,-14162.0,-5905.4,-17956.4,-9221.0,-11167.0,-9322.0,-9315.3,-8175.3,-14504.0,-12569.5,-10340.9,-10578.2,-9465.0,,-12690.5,-16590.2,-14083.8,-9495.1,-10831.0,True,False,False,,True,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
Texas,61017,66228.0,58378.1,57371.0,93255.0,,74134.3,31883.0,61927.3,34594.6,65584.0,67766.0,72983.4,61261.6,80502.6,45066.3,52464.8,41264.5,53800.6,77735.0,,53622.4,37566.1,50037.2,74914.3,59784.0,5211.0,-2638.9,-3646.0,32238.0,,13117.3,-29134.0,910.3,-26422.4,4567.0,6749.0,11966.4,244.6,19485.6,-15950.7,-8552.2,-19752.5,-7216.4,16718.0,,-7394.6,-23450.9,-10979.8,13897.3,-1233.0,True,True,False,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,True
Utah,17072,13356.0,12684.1,12468.0,9512.0,,12862.2,6290.0,12999.6,7127.3,13689.0,12435.0,17070.3,9589.6,15398.7,7460.0,16265.2,15601.2,15240.8,18906.0,,11448.7,4775.7,8511.4,12433.2,12425.0,-3716.0,-4387.9,-4604.0,-7560.0,,-4209.8,-10782.0,-4072.4,-9944.7,-3383.0,-4637.0,-1.7,-7482.4,-1673.3,-9612.0,-806.8,-1470.8,-1831.2,1834.0,,-5623.3,-12296.3,-8560.6,-4638.8,-4647.0,False,False,False,,False,False,False,False,True,False,True,False,True,False,True,True,True,True,,False,False,False,False,False
Vermont,148,78.0,77.8,77.0,62.0,,107.3,39.0,69.6,44.6,84.0,30.0,59.5,233.3,144.8,245.3,63.6,78.4,91.6,20.0,,27.5,76.6,88.3,83.4,117.0,-70.0,-70.2,-71.0,-86.0,,-40.7,-109.0,-78.4,-103.4,-64.0,-118.0,-88.5,85.3,-3.2,97.3,-84.4,-69.6,-56.4,-128.0,,-120.5,-71.4,-59.7,-64.6,-31.0,False,False,False,,True,False,False,False,True,False,False,False,True,False,False,True,True,False,,False,False,True,True,True
Virginia,14212,10632.0,10959.5,10766.0,10221.0,,10390.8,5044.0,11792.2,5731.4,11366.0,8312.0,11909.8,11369.0,15249.5,12712.6,11960.7,10816.4,12454.1,11000.0,,10960.7,13357.5,9301.6,10869.3,10889.0,-3580.0,-3252.5,-3446.0,-3991.0,,-3821.2,-9168.0,-2419.8,-8480.6,-2846.0,-5900.0,-2302.2,-2843.0,1037.5,-1499.4,-2251.3,-3395.6,-1757.9,-3212.0,,-3251.3,-854.5,-4910.4,-3342.7,-3323.0,True,True,False,,False,False,True,False,True,False,True,True,True,True,True,True,True,True,,True,True,False,True,True
Washington,8252,7178.0,7067.8,7258.0,7927.0,,8498.4,9711.0,7255.1,3536.1,7531.0,5827.0,8120.8,7258.1,10182.5,8680.6,5733.8,6443.4,7915.5,10843.0,,11036.4,2100.3,6677.8,7863.6,9012.0,-1074.0,-1184.2,-994.0,-325.0,,246.4,1459.0,-996.9,-4715.9,-721.0,-2425.0,-131.2,-993.9,1930.5,428.6,-2518.2,-1808.6,-336.5,2591.0,,2784.4,-6151.7,-1574.2,-388.4,760.0,False,True,True,,True,False,True,False,True,False,True,True,False,True,False,False,True,False,,False,False,False,True,True
West Virginia,3324,2628.0,2593.3,2611.0,2972.0,,2476.5,2799.0,2870.0,1334.8,2828.0,1729.0,2571.2,3439.8,3160.3,3266.9,2878.1,2192.4,2536.5,2811.0,,1863.6,3934.1,1985.7,2846.8,2368.0,-696.0,-730.7,-713.0,-352.0,,-847.5,-525.0,-454.0,-1989.2,-496.0,-1595.0,-752.8,115.8,-163.7,-57.1,-445.9,-1131.6,-787.5,-513.0,,-1460.4,610.1,-1338.3,-477.2,-956.0,False,False,True,,False,True,True,False,True,False,False,True,True,True,True,False,False,True,,False,True,False,True,False
Wisconsin,35388,34306.0,33667.6,32998.0,37157.0,,37151.0,18464.0,30747.8,19734.5,37278.0,29359.0,45680.4,34481.8,48673.8,16074.3,35639.0,26075.8,32998.5,47675.0,,29849.7,13658.6,32611.6,37440.1,37891.0,-1082.0,-1720.4,-2390.0,1769.0,,1763.0,-16924.0,-4640.2,-15653.5,1890.0,-6029.0,10292.4,-906.2,13285.8,-19313.7,251.0,-9312.2,-2389.5,12287.0,,-5538.3,-21729.4,-2776.4,2052.1,2503.0,False,False,False,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,False,False,False
Wyoming,2451,1800.0,1820.8,1808.0,1648.0,,1996.4,1045.0,1792.7,971.1,1609.0,1771.0,2576.3,2116.8,2540.4,732.1,1653.5,1814.6,1916.5,2446.0,,1643.0,308.0,1539.6,2222.6,2081.0,-651.0,-630.2,-643.0,-803.0,,-454.6,-1406.0,-658.3,-1479.9,-842.0,-680.0,125.3,-334.2,89.4,-1718.9,-797.5,-636.4,-534.5,-5.0,,-808.0,-2143.0,-911.4,-228.4,-370.0,True,True,False,,True,False,False,False,False,False,True,True,True,False,False,True,True,True,,False,False,False,True,True
US,724043,605076.0,619494.7,586936.0,656274.0,737219.0,618127.9,332891.0,620787.9,302897.7,601021.0,530093.0,669398.0,575004.0,,547672.6,545056.4,476054.5,615255.0,701552.0,617675.1,506494.1,331809.6,513367.6,655654.5,610615.0,-118967.0,-104548.3,-137107.0,-67769.0,13176.0,-105915.1,-391152.0,-103255.1,-421145.3,-123022.0,-193950.0,-54645.0,-149039.0,,-176370.4,-178986.6,-247988.5,-108788.0,-22491.0,-106367.9,-217548.9,-392233.4,-210675.4,-68388.5,-113428.0,True,False,True,True,True,False,True,False,False,False,True,False,,False,False,False,True,True,True,False,False,False,True,True
