,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Pennsylvania,9871,9559.0,9526.1,9100.0,11638.0,,7190.5,3214.0,8377.7,9482.4,6212.8,,8351.0,7011.0,9075.2,8257.5,9752.8,11128.6,7555.7,9181.2,10034.0,,9378.3,6649.8,9969.7,7650.7,9595.3,8666.0,-312.0,-344.9,-771.0,1767.0,,-2680.5,-6657.0,-1493.3,-388.6,-3658.2,,-1520.0,-2860.0,-795.8,-1613.5,-118.2,1257.6,-2315.3,-689.8,163.0,,-492.7,-3221.2,98.7,-2220.3,-275.7,-1205.0,False,False,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,,False,False,True,False,True,False
Rhode Island,1397,1218.0,1232.1,900.0,1057.0,,862.2,397.0,1651.6,1380.3,443.1,,1010.0,1386.0,1049.7,1275.4,984.0,893.2,679.9,1099.2,1138.0,,118.6,892.1,1127.5,909.1,691.1,1332.0,-179.0,-164.9,-497.0,-340.0,,-534.8,-1000.0,254.6,-16.7,-953.9,,-387.0,-11.0,-347.3,-121.6,-413.0,-503.8,-717.1,-297.8,-259.0,,-1278.4,-504.9,-269.5,-487.9,-705.9,-65.0,True,False,False,,False,False,False,True,False,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,True
South Carolina,6593,5730.0,6031.3,5646.0,5690.0,,6256.7,3459.0,6690.5,5671.4,4085.2,,6221.0,6082.0,7492.2,5782.7,2494.9,7293.1,5371.4,5601.5,6243.0,,4717.4,5678.7,4979.3,5716.0,5573.0,5514.0,-863.0,-561.7,-947.0,-903.0,,-336.3,-3134.0,97.5,-921.6,-2507.8,,-372.0,-511.0,899.2,-810.3,-4098.1,700.1,-1221.6,-991.5,-350.0,,-1875.6,-914.3,-1613.7,-877.0,-1020.0,-1079.0,True,False,False,,True,False,True,False,False,,True,True,False,True,False,True,False,False,True,,False,False,False,False,False,False
South Dakota,4664,3961.0,3949.5,3621.0,3429.0,,3280.5,2991.0,3875.8,3851.9,3561.3,,4244.0,3269.0,4891.0,4332.5,1385.1,3920.5,4565.8,4072.9,4753.0,,3412.4,3387.7,3403.6,4524.3,5411.5,3822.0,-703.0,-714.5,-1043.0,-1235.0,,-1383.5,-1673.0,-788.2,-812.1,-1102.7,,-420.0,-1395.0,227.0,-331.5,-3278.9,-743.5,-98.2,-591.1,89.0,,-1251.6,-1276.3,-1260.4,-139.7,747.5,-842.0,False,False,False,,False,False,False,False,False,,True,False,True,True,False,False,True,True,True,,False,False,False,True,False,False
Tennessee,13490,13054.0,13501.8,11354.0,14096.0,,10230.6,6868.0,11163.1,12521.7,6954.3,,12801.0,9109.0,10244.5,12745.3,5069.2,6902.5,12298.9,13448.5,13563.0,,10356.7,4314.9,11911.1,11466.4,13468.1,12719.0,-436.0,11.8,-2136.0,606.0,,-3259.4,-6622.0,-2326.9,-968.3,-6535.7,,-689.0,-4381.0,-3245.5,-744.7,-8420.8,-6587.5,-1191.1,-41.5,73.0,,-3133.3,-9175.1,-1578.9,-2023.6,-21.9,-771.0,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,True,True,,False,False,False,False,True,False
Texas,32565,28490.0,25470.4,26133.0,28021.0,,36006.2,15742.0,29644.4,27591.8,21818.3,,29009.0,35848.0,34176.1,29188.7,18699.7,34087.7,19621.4,25010.5,32922.0,,26795.6,22688.7,25105.0,31263.4,25228.9,28459.0,-4075.0,-7094.6,-6432.0,-4544.0,,3441.2,-16823.0,-2920.6,-4973.2,-10746.7,,-3556.0,3283.0,1611.1,-3376.3,-13865.3,1522.7,-12943.6,-7554.5,357.0,,-5769.4,-9876.3,-7460.0,-1301.6,-7336.1,-4106.0,False,False,False,,True,False,True,False,False,,True,True,True,True,False,True,False,False,True,,False,False,False,True,False,False
Utah,8653,8419.0,8171.9,7690.0,7520.0,,9492.3,2850.0,9143.2,8574.7,5421.5,,8335.0,6412.0,9442.6,6343.8,4345.9,9109.1,8308.3,8250.2,9949.0,,6288.9,3650.5,7290.4,8236.3,7859.8,8149.0,-234.0,-481.1,-963.0,-1133.0,,839.3,-5803.0,490.2,-78.3,-3231.5,,-318.0,-2241.0,789.6,-2309.2,-4307.1,456.1,-344.7,-402.8,1296.0,,-2364.1,-5002.5,-1362.6,-416.7,-793.2,-504.0,False,False,False,,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Vermont,69,79.0,81.0,60.0,58.0,,63.5,19.0,57.4,56.0,45.2,,47.0,46.0,54.7,108.4,110.7,31.2,58.9,76.7,101.0,,16.8,38.2,75.9,43.2,78.5,96.0,10.0,12.0,-9.0,-11.0,,-5.5,-50.0,-11.6,-13.0,-23.8,,-22.0,-23.0,-14.3,39.4,41.7,-37.8,-10.1,7.7,32.0,,-52.2,-30.8,6.9,-25.8,9.5,27.0,False,True,False,,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,True,False,True,False
Virginia,7333,7026.0,6896.4,6583.0,7895.0,,5531.5,3739.0,5966.9,6074.4,5324.1,,7498.0,5585.0,5830.4,6846.1,5575.5,5852.1,6319.2,6846.3,7764.0,,7238.4,6326.7,6933.1,6700.0,8677.4,7778.0,-307.0,-436.6,-750.0,562.0,,-1801.5,-3594.0,-1366.1,-1258.6,-2008.9,,165.0,-1748.0,-1502.6,-486.9,-1757.5,-1480.9,-1013.8,-486.7,431.0,,-94.6,-1006.3,-399.9,-633.0,1344.4,445.0,False,False,False,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False
Washington,4566,3616.0,3641.9,3360.0,3547.0,,3535.5,4799.0,2729.9,3517.8,2701.9,,3715.0,3184.0,4542.4,3665.5,3840.8,3235.3,2188.6,3066.8,4437.0,,5946.5,2039.2,3183.3,3784.7,2437.6,3747.0,-950.0,-924.1,-1206.0,-1019.0,,-1030.5,233.0,-1836.1,-1048.2,-1864.1,,-851.0,-1382.0,-23.6,-900.5,-725.2,-1330.7,-2377.4,-1499.2,-129.0,,1380.5,-2526.8,-1382.7,-781.3,-2128.4,-819.0,True,False,False,,False,True,False,False,False,,True,False,True,True,True,False,False,False,True,,False,False,False,True,False,True
West Virginia,1878,1446.0,1451.5,1452.0,1452.0,,1297.1,1424.0,1704.9,1493.9,1867.6,,1550.0,1042.0,1346.1,1663.4,1354.0,1480.8,1530.8,1542.0,1682.0,,1135.5,1801.6,1244.5,1503.4,1811.3,1464.0,-432.0,-426.5,-426.0,-426.0,,-580.9,-454.0,-173.1,-384.1,-10.4,,-328.0,-836.0,-531.9,-214.6,-524.0,-397.2,-347.2,-336.0,-196.0,,-742.5,-76.4,-633.5,-374.6,-66.7,-414.0,True,True,True,,False,False,True,True,True,,True,False,False,True,False,True,True,True,True,,False,True,False,True,True,True
Wisconsin,18626,16762.0,16905.3,17145.0,17096.0,,18755.5,8646.0,18656.3,16897.6,16179.5,,18017.0,15362.0,21526.7,17193.9,8205.6,19084.3,18281.7,18734.0,20733.0,,19505.7,12458.5,14514.9,15934.0,19566.4,16987.0,-1864.0,-1720.7,-1481.0,-1530.0,,129.5,-9980.0,30.3,-1728.4,-2446.5,,-609.0,-3264.0,2900.7,-1432.1,-10420.4,458.3,-344.3,108.0,2107.0,,879.7,-6167.5,-4111.1,-2692.0,940.4,-1639.0,True,True,True,,True,False,True,True,False,,True,False,False,True,False,True,True,True,False,,True,False,False,False,True,True
Wyoming,1361,1090.0,1085.6,1088.0,881.0,,953.8,611.0,1170.4,1314.0,945.7,,973.0,959.0,1082.0,1292.4,402.9,987.3,1097.3,1103.7,1372.0,,1143.7,700.3,952.1,1339.7,1273.7,1189.0,-271.0,-275.4,-273.0,-480.0,,-407.2,-750.0,-190.6,-47.0,-415.3,,-388.0,-402.0,-279.0,-68.6,-958.1,-373.7,-263.7,-257.3,11.0,,-217.3,-660.7,-408.9,-21.3,-87.3,-172.0,False,False,False,,False,False,True,True,False,,False,False,False,True,False,False,True,True,True,,True,False,False,True,True,True
US,390527,335591.0,335349.2,328053.0,336441.0,330084.0,327408.7,195952.0,334529.6,334241.7,,300671.0,335681.0,295806.0,366110.8,326327.2,236547.0,338300.4,299696.7,371371.7,379372.0,364813.3,324568.2,185170.3,312337.6,347921.0,364695.8,346621.0,-54936.0,-55177.8,-62474.0,-54086.0,-60443.0,-63118.3,-194575.0,-55997.4,-56285.3,,-89856.0,-54846.0,-94721.0,-24416.2,-64199.8,-153980.0,-52226.6,-90830.3,-19155.3,-11155.0,-25713.7,-65958.8,-205356.7,-78189.4,-42606.0,-25831.2,-43906.0,False,False,True,False,False,False,False,False,,False,True,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True
