,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
South Dakota,2007,1548.0,1695.9,1559.0,1668.0,,1928.5,56.0,1506.9,1389.2,,1552.0,1766.0,1825.2,1700.3,400.3,2453.3,1569.7,1413.0,1814.0,,1305.5,2566.2,1427.5,1232.2,1681.3,1272.0,-459.0,-311.1,-448.0,-339.0,,-78.5,-1951.0,-500.1,-617.8,,-455.0,-241.0,-181.8,-306.7,-1606.7,446.3,-437.3,-594.0,-193.0,,-701.5,559.2,-579.5,-774.8,-325.7,-735.0,True,True,True,,True,False,False,False,,True,True,True,True,False,True,True,False,True,,False,False,False,False,True,False
Tennessee,10548,8529.0,8549.8,7335.0,10068.0,,8136.3,6584.0,7578.7,8355.8,,8697.0,7544.0,8581.9,10513.7,6954.1,6889.0,6910.7,7289.1,9854.0,,5209.6,24420.3,7185.4,8991.0,8385.4,8117.0,-2019.0,-1998.2,-3213.0,-480.0,,-2411.7,-3964.0,-2969.3,-2192.2,,-1851.0,-3004.0,-1966.1,-34.3,-3593.9,-3659.0,-3637.3,-3258.9,-694.0,,-5338.4,13872.3,-3362.6,-1557.0,-2162.6,-2431.0,True,False,True,,False,False,False,False,,True,False,True,True,False,False,False,False,True,,False,False,False,True,False,False
Texas,30243,21901.0,21895.8,22400.0,20788.0,,22269.8,22673.0,22746.1,12133.4,,23885.0,32804.0,18781.2,25290.3,18193.3,26641.3,25263.6,22716.4,24618.0,,12321.6,55114.4,20002.9,27213.9,24090.5,18424.0,-8342.0,-8347.2,-7843.0,-9455.0,,-7973.2,-7570.0,-7496.9,-18109.6,,-6358.0,2561.0,-11461.8,-4952.7,-12049.7,-3601.7,-4979.4,-7526.6,-5625.0,,-17921.4,24871.4,-10240.1,-3029.1,-6152.5,-11819.0,False,True,False,,True,True,True,False,,True,True,False,True,False,True,True,True,True,,False,False,False,True,True,False
Utah,5605,2975.0,2921.9,2819.0,2546.0,,4135.1,1706.0,2510.3,3824.4,,3127.0,2590.0,3415.5,2696.0,1755.5,3423.3,3552.5,3527.8,3781.0,,3153.8,8415.2,2715.4,2871.4,3823.9,3071.0,-2630.0,-2683.1,-2786.0,-3059.0,,-1469.9,-3899.0,-3094.7,-1780.6,,-2478.0,-3015.0,-2189.5,-2909.0,-3849.5,-2181.7,-2052.5,-2077.2,-1824.0,,-2451.2,2810.2,-2889.6,-2733.6,-1781.1,-2534.0,False,False,False,,True,False,False,True,,True,False,True,False,False,True,True,True,True,,True,False,False,False,True,True
Vermont,33,30.0,29.7,37.0,36.0,,51.0,15.0,44.1,31.6,,32.0,59.0,22.7,85.5,127.0,39.2,36.6,37.7,26.0,,23.9,42.2,37.3,45.9,40.0,26.0,-3.0,-3.3,4.0,3.0,,18.0,-18.0,11.1,-1.4,,-1.0,26.0,-10.3,52.5,94.0,6.2,3.6,4.7,-7.0,,-9.1,9.2,4.3,12.9,7.0,-7.0,False,False,False,,False,False,False,True,,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Virginia,6787,7187.0,7198.5,6976.0,7985.0,,7201.9,2457.0,6101.6,7253.9,,7503.0,5397.0,7851.9,8370.2,5974.1,6409.9,6469.6,6953.0,7306.0,,5299.3,7073.7,6999.1,6332.9,7802.5,0.0,400.0,411.5,189.0,1198.0,,414.9,-4330.0,-685.4,466.9,,716.0,-1390.0,1064.9,1583.2,-812.9,-377.1,-317.4,166.0,519.0,,-1487.7,286.7,212.1,-454.1,1015.5,-6787.0,False,True,False,,False,False,False,False,,False,False,False,False,False,True,True,True,False,,False,True,True,False,False,False
Washington,2884,2640.0,2685.2,2647.0,2346.0,,2760.5,5196.0,2506.1,2641.4,,2818.0,2432.0,2734.0,2716.7,3317.6,2339.5,2784.7,2654.7,2621.0,,2068.6,1864.1,2536.7,2971.7,2794.7,2643.0,-244.0,-198.8,-237.0,-538.0,,-123.5,2312.0,-377.9,-242.6,,-66.0,-452.0,-150.0,-167.3,433.6,-544.5,-99.3,-229.3,-263.0,,-815.4,-1019.9,-347.3,87.7,-89.3,-241.0,True,True,False,,True,False,False,True,,True,False,True,True,False,False,True,True,False,,False,False,False,True,True,True
West Virginia,1361,1235.0,1276.9,1215.0,999.0,,1486.9,930.0,1037.5,1310.3,,1395.0,1092.0,1701.1,1579.6,1346.6,1027.5,1398.4,1345.9,1599.0,,1357.5,1823.7,1197.5,1066.7,1669.9,1324.0,-126.0,-84.1,-146.0,-362.0,,125.9,-431.0,-323.5,-50.7,,34.0,-269.0,340.1,218.6,-14.4,-333.5,37.4,-15.1,238.0,,-3.5,462.7,-163.5,-294.3,308.9,-37.0,True,False,False,,True,False,False,True,,True,False,False,False,True,False,True,True,False,,True,False,False,False,False,True
Wisconsin,11959,7303.0,7490.0,7397.0,9477.0,,8700.6,5010.0,6054.2,9429.3,,8068.0,5810.0,9149.1,8794.6,5335.2,4905.1,10035.0,8720.8,9675.0,,8104.9,4282.4,6942.0,6356.3,12864.2,7803.0,-4656.0,-4469.0,-4562.0,-2482.0,,-3258.4,-6949.0,-5904.8,-2529.7,,-3891.0,-6149.0,-2809.9,-3164.4,-6623.8,-7053.9,-1924.0,-3238.2,-2284.0,,-3854.1,-7676.6,-5017.0,-5602.7,905.2,-4156.0,True,True,True,,True,False,False,True,,True,False,True,True,False,False,True,True,True,,True,False,False,False,True,True
Wyoming,484,307.0,316.9,290.0,201.0,,251.7,160.0,246.2,312.6,,296.0,277.0,296.6,843.2,320.3,233.2,313.4,286.3,265.0,,294.6,184.1,297.3,217.8,401.9,286.0,-177.0,-167.1,-194.0,-283.0,,-232.3,-324.0,-237.8,-171.4,,-188.0,-207.0,-187.4,359.2,-163.7,-250.8,-170.6,-197.7,-219.0,,-189.4,-299.9,-186.7,-266.2,-82.1,-198.0,True,False,False,,False,False,False,True,,False,False,False,False,True,False,True,False,False,,False,False,False,False,True,False
US,283363,240244.0,238612.5,240244.0,245367.0,248822.0,231850.1,188151.0,241423.6,204616.0,212935.0,248334.0,288858.0,253215.1,262043.5,213602.2,247055.2,229573.1,245593.8,253297.0,228486.6,168405.8,376246.0,215591.5,238645.3,253108.8,234281.0,-43119.0,-44750.5,-43119.0,-37996.0,-34541.0,-51512.9,-95212.0,-41939.4,-78747.0,-70428.0,-35029.0,5495.0,-30147.9,-21319.5,-69760.8,-36307.8,-53789.9,-37769.2,-30066.0,-54876.4,-114957.2,92883.0,-67771.5,-44717.7,-30254.2,-49082.0,False,False,True,True,False,False,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False
