,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
13239,4,0.0,,0.0,,,,2.4,17.2,,5.0,-4.0,,-4.0,,,,-1.6,13.2,,1.0,,False,,,,True,False,,True
13241,102,150.0,,100.0,,,,76.4,143.5,,138.0,48.0,,-2.0,,,,-25.6,41.5,,36.0,,True,,,,True,True,,True
13243,61,66.0,,0.0,,,,5.0,37.9,,8.0,5.0,,-61.0,,,,-56.0,-23.1,,-53.0,,False,,,,False,False,,False
13245,2616,3780.0,4933.6,1932.0,,,,5181.5,2235.9,,2103.0,1164.0,2317.6,-684.0,,,,2565.5,-380.1,,-513.0,False,True,,,,False,True,,True
13247,508,900.0,993.2,756.0,,,,853.1,452.7,,675.0,392.0,485.2,248.0,,,,345.1,-55.3,,167.0,False,True,,,,True,True,,True
13249,39,96.0,,103.0,,,,7.4,128.3,,67.0,57.0,,64.0,,,,-31.6,89.3,,28.0,,False,,,,True,False,,True
13251,177,138.0,,164.0,,,,87.4,127.6,,86.0,-39.0,,-13.0,,,,-89.6,-49.4,,-91.0,,True,,,,False,False,,False
13253,150,312.0,,440.0,,,,77.3,306.4,,130.0,162.0,,290.0,,,,-72.7,156.4,,-20.0,,False,,,,True,True,,True
13255,347,510.0,726.6,298.0,,,,330.2,314.8,,366.0,163.0,379.6,-49.0,,,,-16.8,-32.2,,19.0,False,True,,,,True,True,,True
13257,381,384.0,,267.0,,,,396.9,268.0,,166.0,3.0,,-114.0,,,,15.9,-113.0,,-215.0,,False,,,,False,False,,False
13259,211,48.0,,0.0,,,,6.4,26.1,,8.0,-163.0,,-211.0,,,,-204.6,-184.9,,-203.0,,False,,,,False,False,,False
13261,177,198.0,,185.0,,,,77.3,126.9,,46.0,21.0,,8.0,,,,-99.7,-50.1,,-131.0,,True,,,,False,False,,False
13263,22,60.0,,42.0,,,,21.1,48.2,,23.0,38.0,,20.0,,,,-0.9,26.2,,1.0,,True,,,,True,True,,True
13265,8,6.0,,0.0,,,,0.9,,,19.0,-2.0,,-8.0,,,,-7.1,,,11.0,,False,,,,False,,,False
13267,285,522.0,,487.0,,,,580.8,700.6,,269.0,237.0,,202.0,,,,295.8,415.6,,-16.0,,True,,,,False,False,,True
13269,123,78.0,,83.0,,,,15.5,68.8,,63.0,-45.0,,-40.0,,,,-107.5,-54.2,,-60.0,,True,,,,False,False,,False
13271,104,162.0,,104.0,,,,74.1,110.0,,76.0,58.0,,0.0,,,,-29.9,6.0,,-28.0,,True,,,,True,True,,True
13273,29,60.0,,32.0,,,,11.7,50.3,,9.0,31.0,,3.0,,,,-17.3,21.3,,-20.0,,True,,,,True,True,,True
13275,404,762.0,,625.0,,,,234.5,400.9,,317.0,358.0,,221.0,,,,-169.5,-3.1,,-87.0,,True,,,,True,True,,True
13277,372,480.0,,469.0,,,,297.2,253.3,,110.0,108.0,,97.0,,,,-74.8,-118.7,,-262.0,,True,,,,True,False,,False
13279,536,714.0,,871.0,,,,405.4,688.5,,220.0,178.0,,335.0,,,,-130.6,152.5,,-316.0,,False,,,,True,True,,False
13281,155,186.0,,200.0,,,,131.6,102.8,,114.0,31.0,,45.0,,,,-23.4,-52.2,,-41.0,,False,,,,True,False,,False
13283,128,132.0,,144.0,,,,184.1,212.3,,89.0,4.0,,16.0,,,,56.1,84.3,,-39.0,,False,,,,False,False,,False
13285,472,726.0,698.9,568.0,,,,264.7,509.3,,134.0,254.0,226.9,96.0,,,,-207.3,37.3,,-338.0,True,True,,,,True,True,,False
13287,47,126.0,,44.0,,,,16.8,58.9,,20.0,79.0,,-3.0,,,,-30.2,11.9,,-27.0,,True,,,,True,True,,True
13289,72,138.0,,179.0,,,,123.7,171.3,,112.0,66.0,,107.0,,,,51.7,99.3,,40.0,,False,,,,True,False,,True
13291,400,330.0,,483.0,,,,117.7,269.1,,289.0,-70.0,,83.0,,,,-282.3,-130.9,,-111.0,,False,,,,False,False,,False
13293,258,252.0,,408.0,,,,267.4,172.6,,82.0,-6.0,,150.0,,,,9.4,-85.4,,-176.0,,False,,,,False,False,,False
13295,742,816.0,341.5,1795.0,,,,759.0,643.8,,705.0,74.0,-400.5,1053.0,,,,17.0,-98.2,,-37.0,False,False,,,,True,False,,True
13297,630,1014.0,1152.7,892.0,,,,492.1,1278.7,,980.0,384.0,522.7,262.0,,,,-137.9,648.7,,350.0,False,True,,,,True,False,,True
13299,326,372.0,,81.0,,,,226.9,359.4,,110.0,46.0,,-245.0,,,,-99.1,33.4,,-216.0,,False,,,,False,True,,False
13301,57,120.0,,165.0,,,,8.8,66.9,,75.0,63.0,,108.0,,,,-48.2,9.9,,18.0,,False,,,,True,True,,True
13303,195,288.0,,137.0,,,,222.7,314.4,,176.0,93.0,,-58.0,,,,27.7,119.4,,-19.0,,True,,,,True,False,,True
13305,351,726.0,,467.0,,,,658.2,1239.6,,275.0,375.0,,116.0,,,,307.2,888.6,,-76.0,,True,,,,True,False,,True
13307,8,18.0,,0.0,,,,6.8,24.5,,6.0,10.0,,-8.0,,,,-1.2,16.5,,-2.0,,True,,,,True,False,,True
13309,231,42.0,,8.0,,,,27.7,40.5,,20.0,-189.0,,-223.0,,,,-203.3,-190.5,,-211.0,,False,,,,False,False,,False
13311,368,324.0,,368.0,,,,72.6,555.2,,245.0,-44.0,,0.0,,,,-295.4,187.2,,-123.0,,True,,,,False,False,,False
13313,940,2166.0,4457.7,1167.0,,,,1679.3,2163.3,,504.0,1226.0,3517.7,227.0,,,,739.3,1223.3,,-436.0,False,True,,,,True,True,,True
13315,65,102.0,,42.0,,,,31.4,59.8,,30.0,37.0,,-23.0,,,,-33.6,-5.2,,-35.0,,True,,,,True,True,,True
13317,70,78.0,,36.0,,,,42.4,45.6,,41.0,8.0,,-34.0,,,,-27.6,-24.4,,-29.0,,False,,,,False,False,,False
13319,128,198.0,,100.0,,,,62.3,362.3,,67.0,70.0,,-28.0,,,,-65.7,234.3,,-61.0,,True,,,,True,False,,True
13321,84,138.0,,153.0,,,,60.6,108.3,,49.0,54.0,,69.0,,,,-23.4,24.3,,-35.0,,False,,,,True,True,,True
15001,519,78.0,4.6,286.0,,,,19.4,73.7,,191.0,-441.0,-514.5,-233.0,,,,-499.6,-445.3,,-328.0,False,True,,,,False,False,,True
15003,7312,6732.0,4727.0,9152.0,,,,22507.9,9101.6,,20701.0,-580.0,-2585.0,1840.0,,,,15195.9,1789.6,,13389.0,False,False,,,,False,False,,False
15005,0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,True,,,,,,,
15007,11,0.0,0.0,0.0,,,,1.0,2.8,,1.0,-11.0,-11.0,-11.0,,,,-10.0,-8.2,,-10.0,False,False,,,,True,True,,True
15009,293,84.0,7.9,313.0,,,,9.2,49.1,,75.0,-209.0,-285.1,20.0,,,,-283.8,-243.9,,-218.0,False,True,,,,False,False,,False
16001,3389,5568.0,13725.1,9336.0,,,,5549.5,2508.7,,3287.0,2179.0,10336.1,5947.0,,,,2160.5,-880.3,,-102.0,False,False,,,,True,True,,True
16003,9,6.0,,0.0,,,,7.9,3.7,,1.0,-3.0,,-9.0,,,,-1.1,-5.3,,-8.0,,False,,,,True,False,,False
16005,481,534.0,463.0,728.0,,,,159.4,728.8,,546.0,53.0,-18.0,247.0,,,,-321.6,247.8,,65.0,True,False,,,,False,False,,False
16007,17,54.0,,0.0,,,,,30.1,,190.0,37.0,,-17.0,,,,,13.1,,173.0,,True,,,,,True,,False
16009,72,78.0,,72.0,,,,11.3,92.5,,82.0,6.0,,0.0,,,,-60.7,20.5,,10.0,,True,,,,False,False,,False
16011,475,384.0,,594.0,,,,287.0,677.4,,497.0,-91.0,,119.0,,,,-188.0,202.4,,22.0,,False,,,,False,False,,True
16013,57,36.0,,0.0,,,,7.0,53.9,,31.0,-21.0,,-57.0,,,,-50.0,-3.1,,-26.0,,False,,,,False,True,,False
16015,19,60.0,,0.0,,,,,,,40.0,41.0,,-19.0,,,,,,,21.0,,True,,,,,,,True
16017,100,186.0,,172.0,,,,146.4,214.6,,213.0,86.0,,72.0,,,,46.4,114.6,,113.0,,True,,,,True,False,,False
16019,1414,1764.0,1499.0,2590.0,,,,998.7,1888.5,,1584.0,350.0,85.0,1176.0,,,,-415.3,474.5,,170.0,True,False,,,,False,False,,True
16021,21,12.0,,1.0,,,,,,,2.0,-9.0,,-20.0,,,,,,,-19.0,,False,,,,,,,False
16023,26,0.0,,0.0,,,,,,,,-26.0,,-26.0,,,,,,,,,False,,,,,,,
16025,19,0.0,,0.0,,,,0.0,,,0.0,-19.0,,-19.0,,,,-19.0,,,-19.0,,False,,,,True,,,False
16027,2147,5688.0,8033.9,10946.0,,,,6346.6,4520.1,,2441.0,3541.0,5886.9,8799.0,,,,4199.6,2373.1,,294.0,False,False,,,,False,True,,True
16029,63,48.0,,2.0,,,,12.3,51.6,,192.0,-15.0,,-61.0,,,,-50.7,-11.4,,129.0,,False,,,,False,True,,False
16031,116,264.0,,288.0,,,,39.6,194.2,,160.0,148.0,,172.0,,,,-76.4,78.2,,44.0,,False,,,,True,True,,True
16033,23,42.0,,,,,,,,,30.0,19.0,,,,,,,,,7.0,,,,,,,,,True
16035,16,6.0,,0.0,,,,,,,1.0,-10.0,,-16.0,,,,,,,-15.0,,False,,,,,,,False
16037,47,18.0,,0.0,,,,1.2,11.0,,154.0,-29.0,,-47.0,,,,-45.8,-36.0,,107.0,,False,,,,False,False,,False
16039,106,72.0,,152.0,,,,23.8,142.2,,26.0,-34.0,,46.0,,,,-82.2,36.2,,-80.0,,False,,,,False,False,,False
16041,28,24.0,,8.0,,,,25.8,47.3,,8.0,-4.0,,-20.0,,,,-2.2,19.3,,-20.0,,False,,,,True,False,,False
16043,77,174.0,,120.0,,,,24.0,,,273.0,97.0,,43.0,,,,-53.0,,,196.0,,True,,,,True,,,False
16045,92,168.0,,138.0,,,,58.3,161.8,,99.0,76.0,,46.0,,,,-33.7,69.8,,7.0,,True,,,,True,True,,True
16047,102,162.0,,197.0,,,,30.1,141.3,,153.0,60.0,,95.0,,,,-71.9,39.3,,51.0,,False,,,,False,True,,True
16049,57,12.0,,0.0,,,,4.4,,,3.0,-45.0,,-57.0,,,,-52.6,,,-54.0,,False,,,,False,,,False
16051,281,330.0,,504.0,,,,211.6,366.8,,268.0,49.0,,223.0,,,,-69.4,85.8,,-13.0,,False,,,,False,False,,True
16053,250,306.0,,429.0,,,,67.2,315.0,,243.0,56.0,,179.0,,,,-182.8,65.0,,-7.0,,False,,,,False,False,,True
16055,684,1296.0,3297.2,913.0,,,,929.1,596.9,,749.0,612.0,2613.2,229.0,,,,245.1,-87.1,,65.0,False,True,,,,True,True,,True
16057,211,120.0,,181.0,,,,52.2,197.8,,104.0,-91.0,,-30.0,,,,-158.8,-13.2,,-107.0,,True,,,,False,True,,False
16059,50,66.0,,0.0,,,,8.7,,,210.0,16.0,,-50.0,,,,-41.3,,,160.0,,False,,,,False,,,False
16061,12,0.0,,0.0,,,,,,,0.0,-12.0,,-12.0,,,,,,,-12.0,,False,,,,,,,False
16063,31,36.0,,,,,,6.8,28.4,,48.0,5.0,,,,,,-24.2,-2.6,,17.0,,,,,,False,True,,False
16065,300,180.0,,259.0,,,,34.2,97.7,,247.0,-120.0,,-41.0,,,,-265.8,-202.3,,-53.0,,True,,,,False,False,,True
16067,143,282.0,,269.0,,,,40.8,226.1,,125.0,139.0,,126.0,,,,-102.2,83.1,,-18.0,,True,,,,True,True,,True
16069,232,168.0,,292.0,,,,33.6,175.2,,766.0,-64.0,,60.0,,,,-198.4,-56.8,,534.0,,True,,,,False,True,,False
16071,10,30.0,,0.0,,,,,23.2,,117.0,20.0,,-10.0,,,,,13.2,,107.0,,True,,,,,True,,False
16073,61,180.0,,102.0,,,,96.7,293.7,,69.0,119.0,,41.0,,,,35.7,232.7,,8.0,,True,,,,True,False,,True
16075,421,348.0,,463.0,,,,249.2,204.2,,241.0,-73.0,,42.0,,,,-171.8,-216.8,,-180.0,,True,,,,False,False,,False
16077,139,78.0,,41.0,,,,34.9,83.7,,57.0,-61.0,,-98.0,,,,-104.1,-55.3,,-82.0,,False,,,,False,True,,False
16079,116,138.0,,58.0,,,,,,,121.0,22.0,,-58.0,,,,,,,5.0,,False,,,,,,,True
16081,62,144.0,,335.0,,,,28.2,111.2,,323.0,82.0,,273.0,,,,-33.8,49.2,,261.0,,False,,,,True,True,,False
16083,636,1068.0,970.6,1916.0,,,,952.3,723.9,,719.0,432.0,334.6,1280.0,,,,316.3,87.9,,83.0,True,False,,,,True,True,,True
16085,27,78.0,,0.0,,,,31.0,129.3,,160.0,51.0,,-27.0,,,,4.0,102.3,,133.0,,True,,,,True,False,,False
16087,125,84.0,,96.0,,,,35.6,113.2,,57.0,-41.0,,-29.0,,,,-89.4,-11.8,,-68.0,,True,,,,False,True,,False
17001,455,642.0,817.9,1093.0,,,,412.5,461.5,,737.0,187.0,362.9,638.0,,,,-42.5,6.5,,282.0,False,False,,,,True,True,,False
17003,32,6.0,,0.0,,,,15.8,24.4,,2.0,-26.0,,-32.0,,,,-16.2,-7.6,,-30.0,,False,,,,True,True,,False
17005,226,66.0,,161.0,,,,14.3,92.5,,60.0,-160.0,,-65.0,,,,-211.7,-133.5,,-166.0,,True,,,,False,True,,False
17007,258,204.0,78.0,313.0,,,,43.8,188.3,,187.0,-54.0,-180.0,55.0,,,,-214.2,-69.7,,-71.0,False,False,,,,False,False,,False
17009,26,0.0,,0.0,,,,2.6,0.0,,0.0,-26.0,,-26.0,,,,-23.4,-26.0,,-26.0,,False,,,,True,True,,False
17011,379,348.0,,837.0,,,,317.0,312.0,,555.0,-31.0,,458.0,,,,-62.0,-67.0,,176.0,,False,,,,False,False,,False
17013,28,12.0,,0.0,,,,0.7,6.1,,13.0,-16.0,,-28.0,,,,-27.3,-21.9,,-15.0,,False,,,,False,False,,True
17015,152,60.0,,172.0,,,,30.0,33.8,,58.0,-92.0,,20.0,,,,-122.0,-118.2,,-94.0,,True,,,,False,False,,False
17017,154,192.0,,224.0,,,,141.3,69.2,,165.0,38.0,,70.0,,,,-12.7,-84.8,,11.0,,False,,,,True,False,,True
17019,2657,900.0,492.1,999.0,,,,377.6,851.0,,729.0,-1757.0,-2164.9,-1658.0,,,,-2279.4,-1806.0,,-1928.0,False,True,,,,False,False,,False
17021,290,156.0,,309.0,,,,100.1,331.2,,268.0,-134.0,,19.0,,,,-189.9,41.2,,-22.0,,True,,,,False,True,,True
17023,67,90.0,,54.0,,,,29.9,108.4,,88.0,23.0,,-13.0,,,,-37.1,41.4,,21.0,,True,,,,False,False,,True
17025,115,60.0,,0.0,,,,2.7,,,334.0,-55.0,,-115.0,,,,-112.3,,,219.0,,False,,,,False,,,False
17027,655,378.0,,774.0,,,,321.9,327.7,,509.0,-277.0,,119.0,,,,-333.1,-327.3,,-146.0,,True,,,,False,False,,True
17029,870,534.0,482.5,638.0,,,,178.0,296.5,,512.0,-336.0,-387.5,-232.0,,,,-692.0,-573.5,,-358.0,False,True,,,,False,False,,False
17031,27711,28404.0,10267.3,41858.0,,,,18835.1,40880.6,,29244.0,693.0,-17443.7,14147.0,,,,-8875.9,13169.6,,1533.0,False,False,,,,False,False,,False
17033,320,0.0,,16.0,,,,9.2,5.0,,0.0,-320.0,,-304.0,,,,-310.8,-315.0,,-320.0,,True,,,,True,True,,False
17035,139,48.0,,39.0,,,,18.1,40.9,,77.0,-91.0,,-100.0,,,,-120.9,-98.1,,-62.0,,False,,,,False,False,,True
17037,497,600.0,322.4,1199.0,,,,139.8,831.7,,811.0,103.0,-174.6,702.0,,,,-357.2,334.7,,314.0,False,False,,,,False,False,,False
17039,71,30.0,,49.0,,,,8.4,,,27.0,-41.0,,-22.0,,,,-62.6,,,-44.0,,True,,,,False,,,False
17041,160,78.0,,65.0,,,,57.5,161.0,,26.0,-82.0,,-95.0,,,,-102.5,1.0,,-134.0,,False,,,,False,True,,False
17043,4467,4650.0,3552.1,8159.0,,,,2555.8,7827.6,,5103.0,183.0,-914.9,3692.0,,,,-1911.2,3360.6,,636.0,False,False,,,,False,False,,False
17045,84,24.0,,0.0,,,,11.3,,,19.0,-60.0,,-84.0,,,,-72.7,,,-65.0,,False,,,,False,,,False
17047,44,24.0,,0.0,,,,2.6,,,43.0,-20.0,,-44.0,,,,-41.4,,,-1.0,,False,,,,False,,,True
17049,659,330.0,,780.0,,,,338.0,288.1,,664.0,-329.0,,121.0,,,,-321.0,-370.9,,5.0,,True,,,,True,False,,True
17051,241,66.0,,169.0,,,,18.7,49.2,,72.0,-175.0,,-72.0,,,,-222.3,-191.8,,-169.0,,True,,,,False,False,,True
17053,53,60.0,,112.0,,,,18.5,47.8,,202.0,7.0,,59.0,,,,-34.5,-5.2,,149.0,,False,,,,False,True,,False
17055,309,300.0,,654.0,,,,550.8,254.8,,444.0,-9.0,,345.0,,,,241.8,-54.2,,135.0,,False,,,,False,False,,False
17057,113,48.0,,126.0,,,,6.8,31.0,,128.0,-65.0,,13.0,,,,-106.2,-82.0,,15.0,,True,,,,False,False,,True
17059,17,48.0,,34.0,,,,8.1,,,16.0,31.0,,17.0,,,,-8.9,,,-1.0,,True,,,,True,,,True
17061,169,120.0,,264.0,,,,26.7,,,469.0,-49.0,,95.0,,,,-142.3,,,300.0,,False,,,,False,,,False
17063,309,252.0,201.0,367.0,,,,102.2,337.1,,344.0,-57.0,-108.0,58.0,,,,-206.8,28.1,,35.0,False,False,,,,False,True,,True
17065,38,54.0,,0.0,,,,8.6,,,114.0,16.0,,-38.0,,,,-29.4,,,76.0,,False,,,,False,,,False
17067,131,138.0,,279.0,,,,8.8,57.5,,597.0,7.0,,148.0,,,,-122.2,-73.5,,466.0,,False,,,,False,False,,False
17069,16,12.0,,12.0,,,,1.4,,,3.0,-4.0,,-4.0,,,,-14.6,,,-13.0,,False,,,,False,,,False
17071,50,18.0,,0.0,,,,0.9,6.7,,192.0,-32.0,,-50.0,,,,-49.1,-43.3,,142.0,,False,,,,False,False,,False
17073,380,234.0,,380.0,,,,70.1,126.4,,276.0,-146.0,,0.0,,,,-309.9,-253.6,,-104.0,,True,,,,False,False,,True
17075,89,96.0,,179.0,,,,24.6,93.2,,56.0,7.0,,90.0,,,,-64.4,4.2,,-33.0,,False,,,,False,True,,False
17077,517,462.0,360.4,226.0,,,,148.2,492.6,,330.0,-55.0,-156.6,-291.0,,,,-368.8,-24.4,,-187.0,False,False,,,,False,True,,False
17079,135,42.0,,0.0,,,,12.5,16.0,,225.0,-93.0,,-135.0,,,,-122.5,-119.0,,90.0,,False,,,,False,False,,True
17081,273,588.0,,1771.0,,,,708.4,368.7,,1145.0,315.0,,1498.0,,,,435.4,95.7,,872.0,,False,,,,False,True,,False
17083,274,234.0,,720.0,,,,499.7,129.0,,760.0,-40.0,,446.0,,,,225.7,-145.0,,486.0,,False,,,,False,False,,False
17085,111,72.0,,48.0,,,,18.5,56.2,,35.0,-39.0,,-63.0,,,,-92.5,-54.8,,-76.0,,False,,,,False,False,,False
17087,79,66.0,,102.0,,,,38.5,96.5,,66.0,-13.0,,23.0,,,,-40.5,17.5,,-13.0,,False,,,,False,False,,False
17089,2844,3432.0,3675.5,4441.0,,,,1552.2,3429.0,,4542.0,588.0,831.5,1597.0,,,,-1291.8,585.0,,1698.0,False,False,,,,False,True,,False
17091,863,576.0,103.9,704.0,,,,435.5,486.6,,499.0,-287.0,-759.1,-159.0,,,,-427.5,-376.4,,-364.0,False,True,,,,False,False,,False
17093,515,522.0,206.8,553.0,,,,314.6,516.6,,578.0,7.0,-308.2,38.0,,,,-200.4,1.6,,63.0,False,False,,,,False,True,,False
17095,284,276.0,167.1,485.0,,,,213.2,157.8,,477.0,-8.0,-116.9,201.0,,,,-70.8,-126.2,,193.0,False,False,,,,False,False,,False
17097,3668,3990.0,3038.9,5022.0,,,,2218.3,4305.0,,3854.0,322.0,-629.1,1354.0,,,,-1449.7,637.0,,186.0,False,False,,,,False,False,,True
17099,851,1452.0,752.2,4506.0,,,,1286.5,1339.2,,2511.0,601.0,-98.8,3655.0,,,,435.5,488.2,,1660.0,True,False,,,,True,True,,False
17101,196,48.0,,45.0,,,,24.1,,,17.0,-148.0,,-151.0,,,,-171.9,,,-179.0,,False,,,,False,,,False
17103,156,144.0,,387.0,,,,37.4,92.4,,470.0,-12.0,,231.0,,,,-118.6,-63.6,,314.0,,False,,,,False,False,,False
17105,203,108.0,,258.0,,,,45.4,191.4,,247.0,-95.0,,55.0,,,,-157.6,-11.6,,44.0,,True,,,,False,True,,True
17107,317,156.0,,173.0,,,,155.3,84.4,,229.0,-161.0,,-144.0,,,,-161.7,-232.6,,-88.0,,True,,,,False,False,,True
17109,306,96.0,,205.0,,,,15.7,139.7,,323.0,-210.0,,-101.0,,,,-290.3,-166.3,,17.0,,True,,,,False,True,,True
17111,1226,1524.0,921.4,1729.0,,,,624.9,1689.4,,1678.0,298.0,-304.6,503.0,,,,-601.1,463.4,,452.0,False,False,,,,False,False,,False
17113,2482,516.0,475.2,401.0,,,,417.9,352.9,,627.0,-1966.0,-2006.8,-2081.0,,,,-2064.1,-2129.1,,-1855.0,False,False,,,,False,False,,True
17115,747,966.0,276.1,1530.0,,,,1051.7,966.3,,1470.0,219.0,-470.9,783.0,,,,304.7,219.3,,723.0,False,False,,,,False,False,,False
17117,316,234.0,,492.0,,,,154.1,179.0,,399.0,-82.0,,176.0,,,,-161.9,-137.0,,83.0,,False,,,,False,False,,False
17119,2761,2358.0,2035.0,3238.0,,,,3179.9,6676.5,,2000.0,-403.0,-726.0,477.0,,,,418.9,3915.5,,-761.0,False,False,,,,False,False,,False
17121,336,144.0,,260.0,,,,27.0,86.6,,157.0,-192.0,,-76.0,,,,-309.0,-249.4,,-179.0,,True,,,,False,False,,True
17123,66,30.0,,65.0,,,,6.9,,,169.0,-36.0,,-1.0,,,,-59.1,,,103.0,,True,,,,False,,,False
17125,76,30.0,,0.0,,,,12.7,22.1,,17.0,-46.0,,-76.0,,,,-63.3,-53.9,,-59.0,,False,,,,False,False,,False
17127,54,30.0,,100.0,,,,14.5,24.9,,18.0,-24.0,,46.0,,,,-39.5,-29.1,,-36.0,,False,,,,False,False,,False
17129,62,54.0,,148.0,,,,10.5,23.0,,103.0,-8.0,,86.0,,,,-51.5,-39.0,,41.0,,False,,,,False,False,,False
17131,57,36.0,,89.0,,,,18.4,163.1,,61.0,-21.0,,32.0,,,,-38.6,106.1,,4.0,,False,,,,False,False,,True
17133,317,252.0,,345.0,,,,148.8,313.1,,320.0,-65.0,,28.0,,,,-168.2,-3.9,,3.0,,True,,,,False,True,,True
17135,158,144.0,,147.0,,,,47.8,110.2,,138.0,-14.0,,-11.0,,,,-110.2,-47.8,,-20.0,,True,,,,False,False,,False
17137,370,318.0,,940.0,,,,98.5,172.8,,670.0,-52.0,,570.0,,,,-271.5,-197.2,,300.0,,False,,,,False,False,,False
17139,134,126.0,,247.0,,,,54.7,141.0,,128.0,-8.0,,113.0,,,,-79.3,7.0,,-6.0,,False,,,,False,True,,True
17141,212,228.0,155.5,308.0,,,,58.4,183.9,,351.0,16.0,-56.5,96.0,,,,-153.6,-28.1,,139.0,False,False,,,,False,False,,False
17143,1600,1764.0,2149.7,1773.0,,,,626.8,2229.7,,1996.0,164.0,549.7,173.0,,,,-973.2,629.7,,396.0,False,False,,,,False,False,,False
17145,177,330.0,,681.0,,,,428.5,421.6,,448.0,153.0,,504.0,,,,251.5,244.6,,271.0,,False,,,,False,False,,False
17147,72,126.0,,176.0,,,,34.3,110.7,,377.0,54.0,,104.0,,,,-37.7,38.7,,305.0,,False,,,,True,True,,False
17149,87,48.0,,,,,,5.4,,,270.0,-39.0,,,,,,-81.6,,,183.0,,,,,,False,,,False
17151,17,12.0,,0.0,,,,0.5,10.9,,4.0,-5.0,,-17.0,,,,-16.5,-6.1,,-13.0,,False,,,,False,False,,False
17153,63,18.0,,0.0,,,,57.6,10.0,,10.0,-45.0,,-63.0,,,,-5.4,-53.0,,-53.0,,False,,,,True,False,,False
17155,32,24.0,,0.0,,,,3.0,10.7,,17.0,-8.0,,-32.0,,,,-29.0,-21.3,,-15.0,,False,,,,False,False,,False
17157,454,210.0,,265.0,,,,36.4,210.0,,113.0,-244.0,,-189.0,,,,-417.6,-244.0,,-341.0,,True,,,,False,False,,False
17159,125,42.0,,80.0,,,,3.2,,,318.0,-83.0,,-45.0,,,,-121.8,,,193.0,,True,,,,False,,,False
17161,1040,1002.0,873.0,1863.0,,,,786.7,776.8,,1056.0,-38.0,-167.0,823.0,,,,-253.3,-263.2,,16.0,False,False,,,,False,False,,True
17163,2286,2304.0,2627.2,2170.0,,,,1483.1,3886.0,,1614.0,18.0,341.2,-116.0,,,,-802.9,1600.0,,-672.0,False,False,,,,False,False,,False
17165,115,156.0,,158.0,,,,26.7,,,118.0,41.0,,43.0,,,,-88.3,,,3.0,,False,,,,False,,,True
17167,993,1458.0,933.5,2147.0,,,,1512.6,1403.0,,2118.0,465.0,-59.5,1154.0,,,,519.6,410.0,,1125.0,True,False,,,,False,True,,False
17169,28,18.0,,0.0,,,,2.3,7.9,,93.0,-10.0,,-28.0,,,,-25.7,-20.1,,65.0,,False,,,,False,False,,False
17171,48,54.0,,,,,,,24.3,,124.0,6.0,,,,,,,-23.7,,76.0,,,,,,,False,,False
17173,266,138.0,,292.0,,,,18.2,64.5,,247.0,-128.0,,26.0,,,,-247.8,-201.5,,-19.0,,True,,,,False,False,,True
17175,45,0.0,,0.0,,,,0.5,2.2,,0.0,-45.0,,-45.0,,,,-44.5,-42.8,,-45.0,,False,,,,True,True,,False
17177,135,84.0,,101.0,,,,10.7,59.3,,58.0,-51.0,,-34.0,,,,-124.3,-75.7,,-77.0,,True,,,,False,False,,False
17179,1070,816.0,681.2,1556.0,,,,960.0,1297.6,,2000.0,-254.0,-388.8,486.0,,,,-110.0,227.6,,930.0,False,False,,,,True,True,,False
17181,174,150.0,,344.0,,,,15.0,317.0,,144.0,-24.0,,170.0,,,,-159.0,143.0,,-30.0,,False,,,,False,False,,False
17183,356,204.0,241.1,170.0,,,,67.7,532.7,,148.0,-152.0,-114.9,-186.0,,,,-288.3,176.7,,-208.0,True,False,,,,False,False,,False
17185,109,24.0,,2.0,,,,20.8,23.3,,76.0,-85.0,,-107.0,,,,-88.2,-85.7,,-33.0,,False,,,,False,False,,True
17187,110,60.0,,0.0,,,,4.1,18.3,,46.0,-50.0,,-110.0,,,,-105.9,-91.7,,-64.0,,False,,,,False,False,,False
17189,123,60.0,,84.0,,,,10.3,15.6,,40.0,-63.0,,-39.0,,,,-112.7,-107.4,,-83.0,,True,,,,False,False,,False
17191,180,108.0,,187.0,,,,23.4,91.3,,261.0,-72.0,,7.0,,,,-156.6,-88.7,,81.0,,True,,,,False,False,,False
17193,91,60.0,,41.0,,,,52.1,,,32.0,-31.0,,-50.0,,,,-38.9,,,-59.0,,False,,,,False,,,False
