,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,3796,3800.4,3810.2,3757.0,3809.4,3777.0,3798.0,3764.0,3762.0,3744.0,3749.1,3737.0,3732.3,3804.0,3784.3,,3756.8,,3774.3,,3766.1,3725.0,3821.0,3756.0,3777.0,3748.4,3741.8,3789.0,3765.5,3739.0,3750.4,3755.0,3774.9,,3757.3,3798.0,,,3735.5,3753.0,3760.0,3716.7,3764.0,3735.4,,3757.8,3758.5,3768.0,3790.2,3764.0,,3800.9,3741.0,4.4,14.2,-39.0,13.4,-19.0,2.0,-32.0,-34.0,-52.0,-46.9,-59.0,-63.7,8.0,-11.7,,-39.2,,-21.7,,-29.9,-71.0,25.0,-40.0,-19.0,-47.6,-54.2,-7.0,-30.5,-57.0,-45.6,-41.0,-21.1,,-38.7,2.0,,,-60.5,-43.0,-36.0,-79.3,-32.0,-60.6,,-38.2,-37.5,-28.0,-5.8,-32.0,,4.9,-55.0,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
New York,48247,48535.4,48519.3,48212.4,48586.8,48445.0,48607.7,48263.0,48194.0,48267.0,48292.9,48097.0,47699.2,48268.0,48390.1,,48186.8,,48302.5,,48610.4,47610.1,48134.0,48717.0,48399.0,48362.3,48160.1,48082.0,48367.8,48424.0,48247.1,48484.2,48246.3,,48515.4,47268.0,,47848.8,48290.4,49479.0,48219.0,46507.8,47888.0,48647.0,,48471.5,48305.1,48194.0,48157.3,48214.0,,47164.4,48190.0,288.4,272.3,-34.6,339.8,198.0,360.7,16.0,-53.0,20.0,45.9,-150.0,-547.8,21.0,143.1,,-60.2,,55.5,,363.4,-636.9,-113.0,470.0,152.0,115.3,-86.9,-165.0,120.8,177.0,0.1,237.2,-0.7,,268.4,-979.0,,-398.2,43.4,1232.0,-28.0,-1739.2,-359.0,400.0,,224.5,58.1,-53.0,-89.7,-33.0,,-1082.6,-57.0,True,True,False,True,False,True,True,True,True,True,False,True,True,,True,,True,,False,False,True,False,True,True,True,True,True,True,True,True,True,,True,False,,False,True,False,True,False,False,False,,True,True,True,True,True,,False,True
North Carolina,11502,11733.9,12099.8,11698.4,11845.2,11747.0,11782.0,11640.0,11632.0,11640.0,11683.4,11442.0,11462.6,11555.0,11944.3,,11550.4,,11508.7,,11597.6,11400.0,11595.0,11465.4,11714.0,11835.7,11653.7,11502.0,11530.2,11778.0,11742.7,11826.1,11707.1,,11559.0,11746.0,,11696.3,11658.8,11720.0,11703.0,12129.0,11506.0,11662.0,,11815.4,11538.3,11662.0,11745.6,11607.0,,11538.9,11534.0,231.9,597.8,196.4,343.2,245.0,280.0,138.0,130.0,138.0,181.4,-60.0,-39.4,53.0,442.3,,48.4,,6.7,,95.6,-102.0,93.0,-36.6,212.0,333.7,151.7,0.0,28.2,276.0,240.7,324.1,205.1,,57.0,244.0,,194.3,156.8,218.0,201.0,627.0,4.0,160.0,,313.4,36.3,160.0,243.6,105.0,,36.9,32.0,False,True,False,False,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,False,True,True,True,False,False,False,True,,True,False,,True,True,True,True,False,True,True,,False,True,True,False,True,,True,True
North Dakota,1479,1481.0,1479.2,1471.2,1485.0,1477.0,1479.2,1479.0,1480.0,1469.0,1478.6,1469.0,1482.8,1482.0,1488.7,,1486.4,,1486.3,,1471.5,1491.2,1475.0,1479.3,1481.0,1468.3,1479.4,1477.0,1474.3,1496.0,,1475.5,1480.5,,1483.2,1475.0,,,1480.8,1490.0,1478.0,1505.0,1509.0,1470.0,,1480.6,1486.8,1483.0,1514.5,1476.0,,1475.5,1478.0,2.0,0.2,-7.8,6.0,-2.0,0.2,0.0,1.0,-10.0,-0.4,-10.0,3.8,3.0,9.7,,7.4,,7.3,,-7.5,12.2,-4.0,0.3,2.0,-10.7,0.4,-2.0,-4.7,17.0,,-3.5,1.5,,4.2,-4.0,,,1.8,11.0,-1.0,26.0,30.0,-9.0,,1.6,7.8,4.0,35.5,-3.0,,-3.5,-1.0,True,False,False,False,True,True,True,False,True,False,False,False,False,,False,,False,,False,False,False,True,False,False,True,False,False,False,,False,True,,False,False,,,True,False,True,False,False,False,,True,False,False,False,False,,False,True
Ohio,18295,16988.7,16952.4,16908.8,16830.7,17305.0,16825.3,16970.0,16938.0,16949.0,17924.1,16865.0,16974.3,17050.0,17158.4,,17159.1,,17244.6,,17331.8,17118.5,17299.0,17088.4,16984.0,,16988.9,16913.0,17148.3,17109.0,17085.4,17063.2,17008.4,17459.0,16867.5,16859.0,,16954.9,16921.3,,16803.0,15517.0,17376.0,18473.8,,17043.3,17024.4,16939.0,16936.5,16910.0,,17346.6,17045.0,-83.3,-119.6,-163.2,-241.3,233.0,-246.7,-102.0,-134.0,-123.0,852.1,-207.0,-97.7,-22.0,86.4,,87.1,,172.6,,259.8,46.5,227.0,16.4,-88.0,,-83.1,-159.0,76.3,37.0,13.4,-8.8,-63.6,387.0,-204.5,-213.0,,-117.1,-150.7,,-269.0,-1555.0,304.0,1401.8,,-28.7,-47.6,-133.0,-135.5,-162.0,,274.6,-27.0,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,,False,,False,True,False,True,False,,True,False,True,True,True,True,True,False,False,False,,False,False,,False,False,False,False,,True,True,False,False,False,,False,True
Oklahoma,4534,4472.6,4393.5,4453.2,4480.7,4458.0,4477.0,4438.0,4428.0,4422.0,4456.0,4431.0,4449.9,4559.0,4536.7,,4457.5,,4372.2,,4434.6,4352.6,4402.0,4726.9,4482.0,4528.9,4421.4,4364.0,4398.7,4496.0,4542.6,4505.2,4440.2,,4391.0,4663.0,,,4401.7,4411.0,4385.0,3743.9,4498.0,4461.5,,4501.9,4415.1,4392.0,4482.4,4424.0,,4433.5,4398.0,-61.4,-140.5,-80.8,-53.3,-76.0,-57.0,-96.0,-106.0,-112.0,-78.0,-103.0,-84.1,25.0,2.7,,-76.5,,-161.8,,-99.4,-181.4,-132.0,192.9,-52.0,-5.1,-112.6,-170.0,-135.3,-38.0,8.6,-28.8,-93.8,,-143.0,129.0,,,-132.3,-123.0,-149.0,-790.1,-36.0,-72.5,,-32.1,-118.9,-142.0,-51.6,-110.0,,-100.5,-136.0,False,False,True,False,True,False,False,False,False,False,False,True,True,,False,,False,,False,False,False,False,True,True,False,False,False,True,True,True,False,,False,False,,,False,False,False,False,True,False,,True,False,False,True,False,,False,False
Oregon,2296,2188.4,2275.8,2211.2,2192.0,2263.0,2188.0,2251.0,2235.0,2237.0,2258.8,2250.0,2259.7,2251.0,2268.7,,2244.2,,2278.1,,2362.5,2203.1,2329.0,2416.6,2308.0,2346.4,2253.6,2193.0,2207.0,2267.0,2215.3,2185.6,2244.4,,2193.0,2297.0,,,2238.9,2263.0,2235.0,2395.5,2315.0,2373.9,,2182.8,2229.8,2232.0,2234.3,2200.0,,2261.4,2237.0,-107.6,-20.2,-84.8,-104.0,-33.0,-108.0,-45.0,-61.0,-59.0,-37.2,-46.0,-36.3,-45.0,-27.3,,-51.8,,-17.9,,66.5,-92.9,33.0,120.6,12.0,50.4,-42.4,-103.0,-89.0,-29.0,-80.7,-110.4,-51.6,,-103.0,1.0,,,-57.1,-33.0,-61.0,99.5,19.0,77.9,,-113.2,-66.2,-64.0,-61.7,-96.0,,-34.6,-59.0,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,True,,,True,True,True,True,True,True,,False,True,True,True,True,,True,True
Pennsylvania,24306,24493.6,24442.2,24213.1,24501.9,24510.0,24534.5,24413.0,24409.0,24546.0,24476.4,24112.0,23980.3,24435.0,24588.8,,24311.6,,24310.7,,24266.0,24086.0,24351.0,24694.9,24419.0,24785.6,24476.2,24156.5,24264.4,24316.0,24280.4,24558.0,24437.3,,24260.7,24653.0,,24625.6,24190.4,24844.0,24326.0,26349.0,24320.0,24509.3,,24545.4,24185.5,24433.0,24528.8,24476.0,,24740.2,24413.0,187.6,136.2,-92.9,195.9,204.0,228.5,107.0,103.0,240.0,170.4,-194.0,-325.7,129.0,282.8,,5.6,,4.7,,-40.0,-220.0,45.0,388.9,113.0,479.6,170.2,-149.5,-41.6,10.0,-25.6,252.0,131.3,,-45.3,347.0,,319.6,-115.6,538.0,20.0,2043.0,14.0,203.3,,239.4,-120.5,127.0,222.8,170.0,,434.2,107.0,True,True,False,False,False,True,True,False,True,False,False,True,False,,True,,True,,True,False,True,False,True,False,True,True,True,True,True,False,True,,True,False,,False,True,False,True,False,True,False,,False,True,True,False,True,,False,True
Rhode Island,2541,2535.7,2481.1,2478.5,2549.0,2520.0,2548.1,2477.0,2471.0,2463.0,2481.2,2470.0,2440.9,2467.0,2679.0,,2497.6,,2532.8,,2512.8,2476.4,2486.0,2416.6,2530.0,2423.3,2444.9,2477.0,2468.0,2470.0,2478.9,2531.5,2502.1,,2499.0,2450.0,,,2497.1,2489.0,2452.0,2342.2,2430.0,2443.5,,2538.7,2495.1,2470.0,,2461.0,,2401.1,2462.0,106.7,52.1,49.5,120.0,91.0,119.1,48.0,42.0,34.0,52.2,41.0,11.9,38.0,250.0,,68.6,,103.8,,83.8,47.4,57.0,-12.4,101.0,-5.7,15.9,48.0,39.0,41.0,49.9,102.5,73.1,,70.0,21.0,,,68.1,60.0,23.0,-86.8,1.0,14.5,,109.7,66.1,41.0,,32.0,,-27.9,33.0,True,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,,False,True,True,,True,,True,True
South Carolina,8719,8929.4,8726.8,8793.6,8903.9,8880.0,8946.3,8862.0,8909.0,8888.0,8817.4,8865.0,8640.6,8879.0,9162.4,,8752.6,,8804.0,,8816.5,8668.5,8913.0,10018.0,8980.0,8866.9,8870.9,8804.0,8804.1,8834.0,8972.3,8945.9,8861.9,,8819.9,9239.0,,8822.3,8719.4,8936.0,8837.0,9400.5,8978.0,8955.2,,8942.8,8817.1,8939.0,8974.2,8805.0,,8751.3,8954.0,210.4,7.8,74.6,184.9,161.0,227.3,143.0,190.0,169.0,98.4,146.0,-78.4,160.0,443.4,,33.6,,85.0,,97.5,-50.5,194.0,1299.0,261.0,147.9,151.9,85.0,85.1,115.0,253.3,226.9,142.9,,100.9,520.0,,103.3,0.4,217.0,118.0,681.5,259.0,236.2,,223.8,98.1,220.0,255.2,86.0,,32.3,235.0,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,False,False,True,True,True,True,True,False,False,True,,True,False,,True,True,False,True,False,False,False,,False,True,False,False,True,,True,False
South Dakota,1898,1898.3,1906.8,1883.3,1903.3,1899.0,1901.0,1903.0,1902.0,1891.0,1882.6,1909.0,1912.8,1907.0,1922.4,,1906.0,,1900.8,,1910.9,1901.6,1896.0,1958.1,1899.0,1909.1,1901.7,1900.0,1890.7,1890.0,1905.5,1896.4,1897.2,,1899.8,1893.0,,,1890.0,1895.0,1895.0,1929.3,1968.0,1889.6,,1901.3,1896.4,1908.0,,1907.0,,1929.4,1907.0,0.3,8.8,-14.7,5.3,1.0,3.0,5.0,4.0,-7.0,-15.4,11.0,14.8,9.0,24.4,,8.0,,2.8,,12.9,3.6,-2.0,60.1,1.0,11.1,3.7,2.0,-7.3,-8.0,7.5,-1.6,-0.8,,1.8,-5.0,,,-8.0,-3.0,-3.0,31.3,70.0,-8.4,,3.3,-1.6,10.0,,9.0,,31.4,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,,False,,False,False
Tennessee,11543,11504.4,,11627.2,11667.2,11471.0,11541.4,11672.0,11534.0,11884.0,11746.6,11833.0,11803.9,11803.0,11879.1,,11383.3,,11582.0,,11810.9,11346.8,11589.0,12069.1,11609.0,11387.6,11545.9,11304.0,11406.9,11732.0,11518.7,11534.7,11614.2,,11433.6,11768.0,,11894.4,11537.0,11593.0,11798.0,10280.1,11460.0,11570.7,,11510.4,11529.7,11550.0,11989.0,11528.0,,11543.2,11677.0,-38.6,,84.2,124.2,-72.0,-1.6,129.0,-9.0,341.0,203.6,290.0,260.9,260.0,336.1,,-159.7,,39.0,,267.9,-196.2,46.0,526.1,66.0,-155.4,2.9,-239.0,-136.1,189.0,-24.3,-8.3,71.2,,-109.4,225.0,,351.4,-6.0,50.0,255.0,-1262.9,-83.0,27.7,,-32.6,-13.3,7.0,446.0,-15.0,,0.2,134.0,,False,False,False,True,False,True,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,True,False,False,False,False,True,,True,True,True,False,True,,True,False
Texas,45249,43813.0,45137.0,44181.9,43555.1,43805.0,43825.0,44234.0,44355.0,43882.0,44179.6,43332.0,43998.4,45694.0,46116.0,,43750.7,,44384.6,,44923.8,43310.2,43746.0,44950.9,45099.0,44489.7,45113.5,43516.0,43637.0,44476.0,43489.6,44710.0,44234.8,,44233.6,45211.0,,45648.1,43934.0,,44024.0,44287.6,43411.0,43530.9,,44671.5,43607.3,43820.0,44481.3,43740.0,,44282.2,43458.0,-1436.0,-112.0,-1067.1,-1693.9,-1444.0,-1424.0,-1015.0,-894.0,-1367.0,-1069.4,-1917.0,-1250.6,445.0,867.0,,-1498.3,,-864.4,,-325.2,-1938.8,-1503.0,-298.1,-150.0,-759.3,-135.5,-1733.0,-1612.0,-773.0,-1759.4,-539.0,-1014.2,,-1015.4,-38.0,,399.1,-1315.0,,-1225.0,-961.4,-1838.0,-1718.1,,-577.5,-1641.7,-1429.0,-767.7,-1509.0,,-966.8,-1791.0,True,True,False,False,True,True,True,True,True,False,True,True,True,,False,,True,,True,False,False,True,True,True,True,False,False,True,False,True,True,,True,True,,True,True,,True,True,False,False,,True,False,True,True,False,,True,False
Utah,1975,1959.7,1955.7,1904.1,1943.9,1963.0,1946.0,1924.0,1908.0,1897.0,1934.5,1905.0,1890.5,1948.0,1953.2,,1900.9,,1926.0,,1901.7,1919.3,1906.0,1938.8,1945.0,1412.7,1915.3,1973.0,1939.1,1984.0,,1950.4,1925.0,,1931.1,1920.0,,,1920.0,1922.0,1907.0,1648.7,1950.0,1957.9,,1953.3,1915.4,1929.0,1934.8,1910.0,,1338.2,1922.0,-15.3,-19.3,-70.9,-31.1,-12.0,-29.0,-51.0,-67.0,-78.0,-40.5,-70.0,-84.5,-27.0,-21.8,,-74.1,,-49.0,,-73.3,-55.7,-69.0,-36.2,-30.0,-562.3,-59.7,-2.0,-35.9,9.0,,-24.6,-50.0,,-43.9,-55.0,,,-55.0,-53.0,-68.0,-326.3,-25.0,-17.1,,-21.7,-59.6,-46.0,-40.2,-65.0,,-636.8,-53.0,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,True,,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Vermont,208,211.9,205.9,206.3,210.9,207.0,210.0,210.0,208.0,211.0,219.9,207.0,222.1,226.0,202.6,,211.1,,210.6,,210.2,206.4,208.0,285.9,211.0,,209.1,208.0,205.2,211.0,204.3,209.7,209.6,,208.0,198.0,,,210.8,217.0,211.0,244.9,247.0,206.7,,215.5,209.2,210.0,215.0,206.0,,208.1,209.0,3.9,-2.1,-1.7,2.9,-1.0,2.0,2.0,0.0,3.0,11.9,-1.0,14.1,18.0,-5.4,,3.1,,2.6,,2.2,-1.6,0.0,77.9,3.0,,1.1,0.0,-2.8,3.0,-3.7,1.7,1.6,,-0.0,-10.0,,,2.8,9.0,3.0,36.9,39.0,-1.3,,7.5,1.2,2.0,7.0,-2.0,,0.1,1.0,True,True,True,True,True,True,True,True,False,True,False,False,False,,True,,True,,True,True,True,False,True,,True,True,True,True,True,True,True,,True,False,,,True,False,True,False,False,True,,False,True,True,False,True,,True,True
Virginia,9519,7923.4,8317.5,7556.5,7623.4,7476.0,7599.0,7601.0,7627.0,7578.0,7591.4,7482.0,7390.4,7625.0,7958.3,,7648.1,,7665.9,,7350.6,7721.5,7622.0,7752.4,7588.0,,7553.7,7507.0,7741.1,7592.0,7575.8,7632.1,7681.9,,7624.9,7551.0,,7552.9,7570.5,7653.0,7568.0,8774.8,7748.0,7811.1,,7636.9,7599.8,7728.0,7634.2,7422.0,,7670.4,7470.0,-1595.6,-1201.5,-1962.5,-1895.6,-2043.0,-1920.0,-1918.0,-1892.0,-1941.0,-1927.6,-2037.0,-2128.6,-1894.0,-1560.7,,-1870.9,,-1853.1,,-2168.4,-1797.5,-1897.0,-1766.6,-1931.0,,-1965.3,-2012.0,-1777.9,-1927.0,-1943.2,-1886.9,-1837.1,,-1894.1,-1968.0,,-1966.1,-1948.5,-1866.0,-1951.0,-744.2,-1771.0,-1707.9,,-1882.1,-1919.2,-1791.0,-1884.8,-2097.0,,-1848.6,-2049.0,True,False,False,False,False,False,False,False,False,False,False,False,True,,False,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False,,False,False,False,False,False,,False,False
Washington,5041,5095.0,5080.7,5045.8,5095.2,5078.0,5116.0,5079.0,5074.0,5047.0,5074.2,5011.0,5009.9,5073.0,5140.5,,5139.0,,5156.9,,5114.1,4972.6,5107.0,5049.6,5109.0,5139.0,5027.7,4987.0,5027.6,5083.0,,5128.2,5106.5,,5054.2,5157.0,,5029.0,5063.8,5043.0,5057.0,5090.3,5137.0,5089.3,,5119.8,5037.8,5106.0,5118.3,5035.0,,5040.4,5031.0,54.0,39.7,4.8,54.2,37.0,75.0,38.0,33.0,6.0,33.2,-30.0,-31.1,32.0,99.5,,98.0,,115.9,,73.1,-68.4,66.0,8.6,68.0,98.0,-13.3,-54.0,-13.4,42.0,,87.2,65.5,,13.2,116.0,,-12.0,22.8,2.0,16.0,49.3,96.0,48.3,,78.8,-3.2,65.0,77.3,-6.0,,-0.6,-10.0,True,True,False,True,False,True,True,True,True,True,True,True,False,,False,,False,,False,False,False,True,False,False,True,False,True,True,,False,False,,True,False,,True,True,True,True,True,False,True,,False,True,False,False,True,,True,True
West Virginia,2323,2355.7,2372.4,2343.6,2348.6,2346.0,2360.0,2343.0,2338.0,2365.0,2356.4,2326.0,2336.6,2330.0,2395.3,,2319.9,,2351.1,,2348.1,2320.9,2361.0,2334.7,2358.0,,2345.0,2325.0,2324.7,2325.0,2355.3,2351.4,2355.4,,2325.3,2351.0,,,2334.8,2378.0,2357.0,2948.2,2336.0,2400.4,,2353.6,2344.1,2340.0,2351.0,2329.0,,2387.4,2336.0,32.7,49.4,20.6,25.6,23.0,37.0,20.0,15.0,42.0,33.4,3.0,13.6,7.0,72.3,,-3.1,,28.1,,25.1,-2.1,38.0,11.7,35.0,,22.0,2.0,1.7,2.0,32.3,28.4,32.4,,2.3,28.0,,,11.8,55.0,34.0,625.2,13.0,77.4,,30.6,21.1,17.0,28.0,6.0,,64.4,13.0,False,True,True,True,False,True,True,False,False,True,True,True,False,,True,,True,,True,True,False,True,False,,True,True,True,True,True,True,True,,True,True,,,True,False,False,False,True,False,,True,True,True,True,True,,False,True
Wisconsin,7103,7105.0,7178.1,7020.7,7125.3,7093.0,7125.0,7067.0,7061.0,7067.0,7072.9,7027.0,7026.2,7132.0,7119.5,,7204.8,,7062.3,,7011.9,7021.6,7105.0,7558.8,7115.0,7187.5,7040.0,6987.0,7030.5,7036.0,7073.4,7116.4,7045.8,7014.0,7067.0,7153.0,,7086.3,7036.0,7080.0,7032.0,7204.3,7073.0,7120.7,,7118.5,7051.3,7022.0,7077.3,7049.0,,7159.2,7040.0,2.0,75.1,-82.3,22.3,-10.0,22.0,-36.0,-42.0,-36.0,-30.1,-76.0,-76.8,29.0,16.5,,101.8,,-40.7,,-91.1,-81.4,2.0,455.8,12.0,84.5,-63.0,-116.0,-72.5,-67.0,-29.6,13.4,-57.2,-89.0,-36.0,50.0,,-16.7,-67.0,-23.0,-71.0,101.3,-30.0,17.7,,15.5,-51.7,-81.0,-25.7,-54.0,,56.2,-63.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Wyoming,682,689.9,699.1,668.2,695.2,691.0,692.0,688.0,689.0,682.0,685.3,679.0,683.4,708.0,692.7,,690.1,,678.4,,692.6,677.6,689.0,681.3,691.0,690.7,690.5,702.0,671.9,699.0,,690.7,689.8,,692.5,688.0,,,685.0,681.0,685.0,728.7,714.0,670.0,,694.7,686.2,687.0,,673.0,,696.1,675.0,7.9,17.1,-13.8,13.2,9.0,10.0,6.0,7.0,0.0,3.3,-3.0,1.4,26.0,10.7,,8.1,,-3.6,,10.6,-4.4,7.0,-0.7,9.0,8.7,8.5,20.0,-10.1,17.0,,8.7,7.8,,10.5,6.0,,,3.0,-1.0,3.0,46.7,32.0,-12.0,,12.7,4.2,5.0,,-9.0,,14.1,-7.0,False,False,False,False,False,True,True,True,True,True,True,False,False,,False,,True,,False,True,True,True,False,False,False,False,False,False,,False,True,,False,True,,,True,True,True,False,False,False,,False,True,True,,False,,False,True
US,525162,523236.7,513899.3,520256.9,523101.2,,523555.3,519773.0,520567.0,518468.0,519764.7,519702.0,512146.4,523630.0,532295.6,520508.9,515475.0,,,527084.0,517863.9,517196.7,521646.0,519772.7,523085.0,518238.3,519171.7,517655.5,519551.7,521484.0,524329.6,522966.2,520685.2,,520941.2,521898.0,521646.1,523894.1,519167.3,522553.0,518198.0,519568.5,519454.0,514263.0,525660.0,522874.9,517223.1,518580.0,521138.4,518912.0,520751.8,522082.8,517799.0,-590.3,-9927.7,-3570.1,-725.8,,-271.7,-4054.0,-3260.0,-5359.0,-4062.3,-4125.0,-11680.6,-197.0,8468.6,-3318.1,-8352.0,,,3257.0,-5963.1,-6630.3,-2181.0,-4054.3,-742.0,-5588.7,-4655.3,-6171.5,-4275.3,-2343.0,502.6,-860.8,-3141.8,,-2885.8,-1929.0,-2180.9,67.1,-4659.7,-1274.0,-5629.0,-4258.5,-4373.0,-9564.0,1833.0,-952.1,-6603.9,-5247.0,-2688.6,-4915.0,-3075.2,-1744.2,-6028.0,False,False,False,,True,False,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
