,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Massachusetts,16374,16869.7,16682.5,16445.7,16877.1,16599.0,16932.2,16457.0,17215.0,16190.0,16374.0,15965.9,16315.0,,16654.8,,16259.7,,16027.2,16621.0,16416.6,16622.0,16201.4,16090.1,16445.0,16476.1,16456.0,17022.2,16490.2,16677.3,16739.0,16070.0,,16457.3,16503.5,16702.0,18887.0,16420.0,,16530.2,16396.0,16482.8,16253.0,,16037.3,16839.0,495.7,308.5,71.7,503.1,225.0,558.2,83.0,841.0,-184.0,0.0,-408.1,-59.0,,280.8,,-114.3,,-346.8,247.0,42.6,248.0,-172.6,-283.9,71.0,102.1,82.0,648.2,116.2,303.3,365.0,-304.0,,83.3,129.5,328.0,2513.0,46.0,,156.2,22.0,108.8,-121.0,,-336.7,465.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,False,True,,True,True,True,True,,True,True
Michigan,16658,16876.1,16874.8,16646.8,16964.0,16774.0,16914.1,16752.0,17617.0,16722.0,16585.0,16625.3,16843.0,,16869.3,,16820.3,,16717.0,17109.5,17302.4,16811.0,16953.3,16726.6,16618.0,16645.3,17072.0,16495.6,16760.0,16796.8,16752.2,16834.0,,16719.9,16722.3,17069.0,16738.4,16539.0,,16778.5,16658.0,16807.2,16688.0,,16900.4,16679.0,218.1,216.8,-11.2,306.0,116.0,256.1,94.0,959.0,64.0,-73.0,-32.7,185.0,,211.3,,162.3,,59.0,451.5,644.4,153.0,295.3,68.6,-40.0,-12.7,414.0,-162.4,102.0,138.8,94.2,176.0,,61.9,64.3,411.0,80.4,-119.0,,120.5,0.0,149.2,30.0,,242.4,21.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,True,False,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,,True,True,True,True,,False,True
Minnesota,6614,6664.0,6626.2,6575.9,6675.3,6663.0,6676.4,6661.0,6989.0,6674.0,6610.0,6595.0,6639.0,,6728.3,,6685.6,,6652.8,6694.0,7663.7,6672.0,6841.9,6637.2,6584.0,6641.9,6769.0,6511.2,6657.4,6713.4,6601.5,6635.0,,6693.8,6599.4,6765.0,5909.1,6737.0,,6693.9,6630.0,6699.5,6626.0,,6724.3,6648.0,50.0,12.2,-38.1,61.3,49.0,62.4,47.0,375.0,60.0,-4.0,-19.0,25.0,,114.3,,71.6,,38.8,80.0,1049.7,58.0,227.9,23.2,-30.0,27.9,155.0,-102.8,43.4,99.4,-12.5,21.0,,79.8,-14.6,151.0,-704.9,123.0,,79.9,16.0,85.5,12.0,,110.3,34.0,True,True,False,True,False,True,False,False,True,True,True,,False,,False,,True,False,False,False,False,True,True,True,False,False,True,False,True,True,,False,True,False,False,False,,False,True,False,True,,False,True
Mississippi,6805,7013.4,6923.2,6890.4,7038.7,6928.0,7045.9,6900.0,7356.0,6844.0,6876.0,6826.2,6915.0,,6788.7,,6872.1,,6801.9,7024.0,6672.4,7010.0,6834.3,6856.9,6807.0,6813.4,7145.0,7026.9,7052.2,7017.7,6913.4,6757.0,,7068.0,6871.6,6969.0,6692.0,6923.0,,7079.5,6898.0,6948.1,6894.0,,6900.1,6904.0,208.4,118.2,85.4,233.7,123.0,240.9,95.0,551.0,39.0,71.0,21.2,110.0,,-16.3,,67.1,,-3.1,219.0,-132.6,205.0,29.3,51.9,2.0,8.4,340.0,221.9,247.2,212.7,108.4,-48.0,,263.0,66.6,164.0,-113.0,118.0,,274.5,93.0,143.1,89.0,,95.1,99.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,True,True,True,True,True,True,False,False,False,False,True,True,,False,True,True,True,True,,False,True,True,True,,True,True
Missouri,8512,8691.0,8681.4,8529.1,8787.0,8463.0,8731.6,8428.0,9409.0,8276.0,8493.0,8259.6,8290.0,,8293.7,,8493.4,,7985.8,8797.0,7282.1,8445.0,7928.0,8237.3,8129.0,8275.0,8614.0,8574.3,8478.8,8553.9,8486.0,8380.0,,8553.3,8430.1,8207.0,7838.4,8317.0,,8567.9,8259.0,8400.1,8035.0,,7844.0,8803.0,190.0,180.4,28.1,286.0,-38.0,230.6,-73.0,908.0,-225.0,-8.0,-241.4,-211.0,,-207.3,,-7.6,,-515.2,296.0,-1218.9,-56.0,-573.0,-263.7,-372.0,-226.0,113.0,73.3,-22.2,52.9,-15.0,-121.0,,52.3,-70.9,-294.0,-662.6,-184.0,,66.9,-242.0,-100.9,-466.0,,-657.0,302.0,True,True,False,True,False,True,False,False,True,False,False,,False,,True,,False,False,False,True,False,False,False,False,True,True,True,True,True,True,,True,True,False,False,True,,True,False,True,False,,False,False
Montana,1379,1364.1,1483.1,1443.8,1376.0,1380.0,1372.3,1431.0,1667.0,1427.0,1411.0,1530.8,1403.0,,1459.7,,1434.2,,1369.2,1446.0,1637.2,1451.0,1438.5,1427.1,1356.0,1374.8,1478.0,1373.5,1449.0,1485.7,1365.9,1462.0,,,1370.8,1412.0,1168.6,1472.0,,1486.8,1398.0,1449.5,1384.0,,1425.8,1436.0,-14.9,104.1,64.8,-3.0,1.0,-6.7,52.0,288.0,48.0,32.0,151.8,24.0,,80.7,,55.2,,-9.8,67.0,258.2,72.0,59.5,48.1,-23.0,-4.2,99.0,-5.5,70.0,106.7,-13.1,83.0,,,-8.2,33.0,-210.4,93.0,,107.8,19.0,70.5,5.0,,46.8,57.0,False,False,True,True,True,False,False,False,False,False,False,,False,,False,,True,False,False,False,False,False,False,True,False,True,False,False,True,False,,,True,False,False,False,,False,False,False,True,,False,False
Nebraska,2113,2099.1,2082.5,2080.0,2095.1,2112.0,2104.3,2095.0,2417.0,2091.0,2085.0,2073.0,2077.0,,2071.4,,2156.3,,2106.0,2196.0,2066.1,2125.0,2204.5,2071.3,2071.0,2095.2,2247.0,2025.7,2090.0,2124.2,2109.2,2064.0,,,2078.7,2113.0,1873.3,2191.0,,2128.6,2092.0,2122.2,2068.0,,2119.3,2088.0,-13.9,-30.5,-33.0,-17.9,-1.0,-8.7,-18.0,304.0,-22.0,-28.0,-40.0,-36.0,,-41.6,,43.3,,-7.0,83.0,-46.9,12.0,91.5,-41.7,-42.0,-17.8,134.0,-87.3,-23.0,11.2,-3.8,-49.0,,,-34.3,0.0,-239.7,78.0,,15.6,-21.0,9.2,-45.0,,6.3,-25.0,False,False,False,True,True,False,False,False,False,False,False,,False,,False,,True,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,True,False,False,,False,False,True,False,,True,False
Nevada,5036,5249.0,5281.3,5155.8,5292.5,5205.0,5288.0,5142.0,5512.0,5027.0,5105.0,5123.9,5223.0,,5128.9,,5083.8,,5141.9,5258.0,4743.7,5239.0,4983.2,5000.7,5040.0,5107.1,5343.0,5189.4,5185.6,5216.7,5185.1,4940.0,,5271.1,5106.5,5006.0,4813.2,5142.0,,5216.3,5076.0,5094.6,5143.0,,5113.6,5211.0,213.0,245.3,119.8,256.5,169.0,252.0,106.0,476.0,-9.0,69.0,87.9,187.0,,92.9,,47.8,,105.9,222.0,-292.3,203.0,-52.8,-35.3,4.0,71.1,307.0,153.4,149.6,180.7,149.1,-96.0,,235.1,70.5,-30.0,-222.8,106.0,,180.3,40.0,58.6,107.0,,77.6,175.0,False,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,,True,True,True,True,,True,True
New Hampshire,1181,1215.9,1237.4,1216.8,1230.2,1230.0,1226.0,1230.0,1412.0,1220.0,1217.0,1236.0,1243.0,,1196.1,,1219.5,,1207.4,1281.0,1251.2,1249.0,1339.3,1206.9,1202.0,1199.1,1278.0,,1284.6,1272.0,1214.7,1260.0,,,1191.6,1250.0,1316.4,1276.0,,1323.3,1226.0,1239.7,1212.0,,1206.7,1217.0,34.9,56.4,35.8,49.2,49.0,45.0,49.0,231.0,39.0,36.0,55.0,62.0,,15.1,,38.5,,26.4,100.0,70.2,68.0,158.3,25.9,21.0,18.1,97.0,,103.6,91.0,33.7,79.0,,,10.6,69.0,135.4,95.0,,142.3,45.0,58.7,31.0,,25.7,36.0,False,False,False,False,False,False,False,False,False,False,False,,True,,False,,True,False,False,False,False,True,True,True,False,,False,False,True,False,,,True,False,False,False,,False,False,False,True,,True,False
New Jersey,23557,23782.6,23799.3,23520.9,23860.5,23698.0,23867.8,23659.0,24421.0,23724.0,23352.0,23301.9,23917.0,,24571.7,,23719.7,,23460.7,23919.0,23487.4,23891.0,23625.5,23494.0,23534.0,23555.0,23818.0,23511.4,23645.8,23805.2,23658.7,22902.0,,23463.1,23684.2,24463.0,22459.7,23564.0,,23665.4,23344.0,23744.9,23706.0,,23241.9,23587.0,225.6,242.3,-36.1,303.5,141.0,310.8,102.0,864.0,167.0,-205.0,-255.1,360.0,,1014.7,,162.7,,-96.3,362.0,-69.6,334.0,68.5,-63.0,-23.0,-2.0,261.0,-45.6,88.8,248.2,101.7,-655.0,,-93.9,127.2,906.0,-1097.3,7.0,,108.4,-213.0,187.9,149.0,,-315.1,30.0,False,True,False,True,False,True,False,True,True,False,False,,False,,True,,True,False,True,False,True,True,True,True,False,True,True,False,True,False,,True,True,False,False,True,,True,True,True,True,,False,True
New Mexico,3796,3900.4,3835.6,3749.5,3890.1,3843.0,3906.0,3804.0,4211.0,3736.0,3740.0,3740.5,3828.0,,3886.0,,3784.6,,3717.2,3889.0,4042.2,3881.0,3745.5,3748.4,3728.0,3766.4,3853.0,3734.7,3765.1,3825.0,4003.9,3830.0,,,3773.9,3755.0,3727.4,3827.0,,3802.7,3770.0,3814.0,3745.0,,3800.2,3808.0,104.4,39.6,-46.5,94.1,47.0,110.0,8.0,415.0,-60.0,-56.0,-55.5,32.0,,90.0,,-11.4,,-78.8,93.0,246.2,85.0,-50.5,-47.6,-68.0,-29.6,57.0,-61.3,-30.9,29.0,207.9,34.0,,,-22.1,-41.0,-68.6,31.0,,6.7,-26.0,18.0,-51.0,,4.2,12.0,True,True,True,True,False,True,False,True,True,True,True,,True,,True,,True,True,False,True,True,True,True,True,True,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,True
New York,48247,48869.7,48839.5,48142.4,48983.5,48654.0,49013.8,48446.0,49595.0,48111.0,47635.0,47587.8,48464.0,,48743.9,,48445.8,,49597.7,48639.0,47338.4,49021.0,48899.2,48096.8,48037.0,48461.1,49087.0,48522.3,48546.8,48770.5,48754.9,47647.0,,47943.8,48659.7,50391.0,46507.8,47783.0,,48572.8,48139.0,48374.0,48363.0,,46491.2,48312.0,622.7,592.5,-104.6,736.5,407.0,766.8,199.0,1348.0,-136.0,-612.0,-659.2,217.0,,496.9,,198.8,,1350.7,392.0,-908.6,774.0,652.2,-150.2,-210.0,214.1,840.0,275.3,299.8,523.5,507.9,-600.0,,-303.2,412.7,2144.0,-1739.2,-464.0,,325.8,-108.0,127.0,116.0,,-1755.8,65.0,True,True,False,True,False,True,False,True,True,False,True,,True,,True,,False,True,False,False,False,True,True,True,False,True,True,True,True,True,,True,True,False,False,True,,True,True,True,True,,False,True
North Carolina,11502,11942.4,12360.4,11954.4,12028.4,11863.0,12034.0,11786.0,12685.0,11647.0,11874.0,11745.5,11537.0,,11762.2,,11595.9,,11617.6,12125.0,12061.4,12115.0,12102.9,11673.3,11441.0,11694.1,12299.0,11921.4,12004.7,12242.2,11782.8,12698.5,,12097.1,11790.2,11771.0,12228.7,11560.0,,12012.3,11786.0,12023.5,11644.0,,11382.3,11912.0,440.4,858.4,452.4,526.4,361.0,532.0,284.0,1183.0,145.0,372.0,243.5,35.0,,260.2,,93.9,,115.6,623.0,559.4,613.0,600.9,171.3,-61.0,192.1,797.0,419.4,502.7,740.2,280.8,1196.5,,595.1,288.2,269.0,726.7,58.0,,510.3,284.0,521.5,142.0,,-119.7,410.0,False,False,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,False,True,,False,True,False,True,,True,True
North Dakota,1479,1483.9,1487.1,1469.5,1480.8,1485.0,1486.8,1481.0,1659.0,1475.0,1466.0,1489.0,1488.0,,1481.8,,1493.7,,1481.5,1507.0,1592.2,1495.0,1480.4,1483.2,1473.0,1481.5,1535.0,1471.2,1477.5,1489.3,1478.3,1471.0,,,1473.3,1500.0,1481.6,1508.0,,1516.4,1481.0,,1480.0,,1490.8,1483.0,4.9,8.1,-9.5,1.8,6.0,7.8,2.0,180.0,-4.0,-13.0,10.0,9.0,,2.8,,14.7,,2.5,28.0,113.2,16.0,1.4,4.2,-6.0,2.5,56.0,-7.8,-1.5,10.3,-0.7,-8.0,,,-5.7,21.0,2.6,29.0,,37.4,2.0,,1.0,,11.8,4.0,False,False,True,False,False,True,False,True,False,False,False,,True,,False,,True,False,False,False,True,True,False,True,False,False,True,False,True,False,,,False,False,True,False,,False,True,,True,,False,True
Ohio,18295,16511.1,17916.2,24995.1,31287.5,18319.0,30404.9,18261.0,57409.0,17095.0,21806.0,13985.8,17707.0,,,,18432.4,,12774.8,17706.0,13101.6,17536.0,17846.9,17054.1,19359.5,21460.5,19824.0,20544.6,17499.4,20112.1,17257.4,18908.0,,17484.4,17419.5,17616.0,15517.0,17164.0,,17657.8,17507.0,21871.9,21131.0,,18260.9,1608336.0,-393.9,1011.2,8090.1,14382.5,1414.0,13499.9,1356.0,40504.0,190.0,4901.0,-2919.2,802.0,,,,1527.4,,-4130.2,801.0,-3803.4,631.0,941.9,149.1,2454.5,4555.5,2919.0,3639.6,594.4,3207.1,352.4,2003.0,,579.4,514.5,711.0,-1388.0,259.0,,752.8,602.0,4966.9,4226.0,,1355.9,1591431.0,False,False,False,False,False,False,False,True,False,False,False,,,,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,True,,False,False,False,False,,False,False
Oklahoma,4534,4626.9,4711.6,4600.1,4708.4,4662.0,4693.1,4585.0,5072.0,4445.0,4383.0,4587.7,4582.0,,4397.8,,4438.6,,4513.5,4729.0,5013.6,4678.0,4656.6,4467.2,4444.0,4475.2,4800.0,4965.8,4603.0,4619.1,4560.3,4779.0,,,4560.0,4408.0,3743.3,4502.0,,4632.5,4424.0,4631.0,4580.0,,4403.6,4598.0,92.9,177.6,66.1,174.4,128.0,159.1,51.0,538.0,-89.0,-151.0,53.7,48.0,,-136.2,,-95.4,,-20.5,195.0,479.6,144.0,122.6,-66.8,-90.0,-58.8,266.0,431.8,69.0,85.1,26.3,245.0,,,26.0,-126.0,-790.7,-32.0,,98.5,-110.0,97.0,46.0,,-130.4,64.0,False,True,False,False,False,True,False,True,False,True,True,,False,,False,,True,False,False,False,False,True,True,True,False,False,True,True,True,False,,,True,False,False,True,,False,False,False,True,,False,True
Oregon,2296,2462.7,2229.9,2275.9,2512.1,2446.0,2488.0,2318.0,2763.0,2289.0,2246.0,2202.9,2299.0,,2299.9,,2317.3,,2214.6,2443.5,2474.2,2304.0,2463.2,2324.8,2263.0,2339.9,2466.0,2282.4,2359.5,2329.7,2575.4,2378.5,,,2322.8,2316.0,2395.5,2414.0,,2397.9,2314.0,2300.0,2307.0,,2311.3,2664.0,166.7,-66.1,-20.1,216.1,150.0,192.0,22.0,467.0,-7.0,-50.0,-93.1,3.0,,3.9,,21.3,,-81.4,147.5,178.2,8.0,167.2,28.8,-33.0,43.9,170.0,-13.6,63.5,33.7,279.4,82.5,,,26.8,20.0,99.5,118.0,,101.9,18.0,4.0,11.0,,15.3,368.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,True,False,True,False,True,True,True,False,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,False
Pennsylvania,24306,24919.3,24771.0,24358.7,25221.3,24791.0,25112.9,24887.0,26205.0,24839.0,24448.0,24250.1,25070.0,,25411.9,,24494.2,,24793.6,25222.0,25812.7,24969.0,25185.8,24944.3,24040.0,24401.9,25357.0,24422.1,25152.3,25023.3,24482.7,24461.5,,24894.3,24511.5,25284.0,26349.0,24608.0,,25149.2,24654.0,24917.4,24893.0,,24904.3,24664.0,613.3,465.0,52.7,915.3,485.0,806.9,581.0,1899.0,533.0,142.0,-55.9,764.0,,1105.9,,188.2,,487.6,916.0,1506.7,663.0,879.8,638.3,-266.0,95.9,1051.0,116.1,846.3,717.3,176.7,155.5,,588.3,205.5,978.0,2043.0,302.0,,843.2,348.0,611.4,587.0,,598.3,358.0,True,True,False,True,False,True,False,True,True,True,False,,False,,True,,True,False,False,False,False,False,True,True,False,True,False,False,True,True,,True,True,False,False,True,,False,True,True,True,,True,True
Rhode Island,2541,2512.9,2406.3,2430.4,2518.0,2492.0,2524.1,2445.0,2676.0,2419.0,2464.0,2366.4,2440.0,,2464.6,,2519.3,,2392.6,2507.0,2343.5,2431.0,2418.2,2422.0,2411.0,2420.8,2463.0,2408.6,2489.4,2480.0,2461.6,2380.0,,,2433.9,2471.0,2342.2,2382.0,,2526.4,2435.0,2457.1,2424.0,,2337.9,2515.0,143.9,37.3,61.4,149.0,123.0,155.1,76.0,307.0,50.0,95.0,-2.6,71.0,,95.6,,150.3,,23.6,138.0,-25.5,62.0,49.2,53.0,42.0,51.8,94.0,39.6,120.4,111.0,92.6,11.0,,,64.9,102.0,-26.8,13.0,,157.4,66.0,88.1,55.0,,-31.1,146.0,True,True,False,True,False,True,False,True,True,True,True,,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,False,True,True,True,,True,False
South Carolina,8719,8989.4,10537.3,9058.2,8874.6,8763.0,8810.9,8945.0,10125.0,8870.0,8779.0,9079.2,8767.0,,8826.1,,9209.8,,8734.7,9338.0,9865.4,9115.0,8919.0,8722.8,9262.0,8931.9,9241.0,9452.5,8887.1,9306.0,8889.4,8957.5,,9473.8,8899.7,9003.0,9400.5,9284.0,,8899.8,9030.0,9057.3,8704.0,,8608.2,9149.0,270.4,1818.3,339.2,155.6,44.0,91.9,226.0,1406.0,151.0,60.0,360.2,48.0,,107.1,,490.8,,15.7,619.0,1146.4,396.0,200.0,3.8,543.0,212.9,522.0,733.5,168.1,587.0,170.4,238.5,,754.8,180.7,284.0,681.5,565.0,,180.8,311.0,338.3,-15.0,,-110.8,430.0,False,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,False,False,True,True,False,True,False,False,True,False,True,True,,False,True,False,False,False,,True,False,False,True,,True,False
South Dakota,1898,1944.0,1920.8,1900.6,1939.8,1914.0,1940.0,1925.0,2140.0,1891.0,1935.0,1940.0,1922.0,,1898.7,,1924.5,,1902.0,1956.0,1998.9,1944.0,1923.2,1909.6,1899.0,1903.3,1960.0,1860.3,1909.8,1926.5,1929.8,1894.0,,,1903.5,1893.0,1602.7,1970.0,,1948.6,1928.0,,1902.0,,1950.7,1911.0,46.0,22.8,2.6,41.8,16.0,42.0,27.0,242.0,-7.0,37.0,42.0,24.0,,0.7,,26.5,,4.0,58.0,100.9,46.0,25.2,11.6,1.0,5.3,62.0,-37.7,11.8,28.5,31.8,-4.0,,,5.5,-5.0,-295.3,72.0,,50.6,30.0,,4.0,,52.7,13.0,True,True,True,True,True,True,False,True,True,True,True,,True,,True,,True,False,False,False,True,True,True,True,False,True,True,True,True,True,,,True,True,False,False,,False,True,,True,,False,True
Tennessee,11543,12258.7,13734.9,12679.6,11953.4,12076.0,12219.2,12215.0,13222.0,11928.0,12524.0,12537.7,11939.0,,11664.1,,12190.1,,12330.3,13481.0,11253.8,12843.0,11509.5,11802.2,12215.0,12097.4,12361.0,13399.7,12318.4,12705.3,11944.0,12400.0,,13097.9,12196.3,11666.0,10280.1,11899.0,,12315.0,11957.0,12770.6,11827.0,,11706.5,12033.0,715.7,2191.9,1136.6,410.4,533.0,676.2,672.0,1679.0,385.0,981.0,994.7,396.0,,121.1,,647.1,,787.3,1938.0,-289.2,1300.0,-33.5,259.2,672.0,554.4,818.0,1856.7,775.4,1162.3,401.0,857.0,,1554.9,653.3,123.0,-1262.9,356.0,,772.0,414.0,1227.6,284.0,,163.5,490.0,False,False,True,True,True,True,False,True,False,False,True,,True,,True,,False,False,True,False,True,True,True,True,False,False,False,False,True,False,,False,True,True,False,True,,False,True,False,True,,True,True
Texas,45249,46847.3,46533.5,45979.0,47160.3,46182.0,47051.3,45964.0,48714.0,45063.0,45978.0,45288.2,46999.0,,45065.1,,45329.3,,45169.7,47346.0,56995.6,46578.0,45706.9,46216.1,44977.0,45912.7,47524.0,49387.4,46150.6,47230.1,45286.0,46823.5,,48128.5,46160.3,46237.0,43873.5,45685.0,,46162.3,44994.0,46000.7,45959.0,,44527.7,45763.0,1598.3,1284.5,730.0,1911.3,933.0,1802.3,715.0,3465.0,-186.0,729.0,39.2,1750.0,,-183.9,,80.3,,-79.3,2097.0,11746.6,1329.0,457.9,967.1,-272.0,663.7,2275.0,4138.4,901.6,1981.1,37.0,1574.5,,2879.5,911.3,988.0,-1375.5,436.0,,913.3,-255.0,751.7,710.0,,-721.3,514.0,True,True,False,True,False,True,False,True,True,True,False,,True,,True,,True,False,False,True,True,True,True,True,False,False,True,False,True,True,,False,True,True,True,True,,True,True,True,True,,True,True
Utah,1975,1959.7,1986.2,1893.7,1960.0,2037.0,1961.0,1925.0,2164.0,1869.0,1929.0,1920.0,1955.0,,1877.9,,1922.8,,1902.4,2009.5,2161.9,2005.0,1467.8,1911.1,1893.0,1927.7,2055.0,1964.0,1943.7,1984.6,1928.1,2002.0,,,1925.3,1922.0,1648.7,1996.0,,1980.6,1914.0,,1925.0,,1331.0,1925.0,-15.3,11.2,-81.3,-15.0,62.0,-14.0,-50.0,189.0,-106.0,-46.0,-55.0,-20.0,,-97.1,,-52.2,,-72.6,34.5,186.9,30.0,-507.2,-63.9,-82.0,-47.3,80.0,-11.0,-31.3,9.6,-46.9,27.0,,,-49.7,-53.0,-326.3,21.0,,5.6,-61.0,,-50.0,,-644.0,-50.0,True,False,True,False,True,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,False,False,False,False,,True,False,,False,,False,False
Vermont,208,206.1,205.5,208.3,210.2,213.0,210.0,214.0,330.0,211.0,207.0,217.4,225.0,,213.6,,218.2,,220.7,222.0,256.3,216.0,269.5,208.6,209.0,200.5,240.0,196.5,213.1,223.6,205.8,191.0,,,201.5,222.0,244.9,262.0,,252.4,206.0,218.8,207.0,,205.0,206.0,-1.9,-2.5,0.3,2.2,5.0,2.0,6.0,122.0,3.0,-1.0,9.4,17.0,,5.6,,10.2,,12.7,14.0,48.3,8.0,61.5,0.6,1.0,-7.5,32.0,-11.5,5.1,15.6,-2.2,-17.0,,,-6.5,14.0,36.9,54.0,,44.4,-2.0,10.8,-1.0,,-3.0,-2.0,False,True,False,False,False,False,False,False,True,False,False,,False,,False,,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,,False,False,False,False,,False,False,False,True,,False,False
