,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-epiforecasts-ensemble1
New York,48247,48303.3,48335.8,48163.2,48293.3,48274.0,48293.0,48259.0,48198.0,48318.0,48185.3,48207.0,47806.1,48202.0,48479.9,,48261.0,,48224.4,48293.3,,48604.3,48266.0,48315.2,48276.0,47869.0,48208.9,48225.0,48296.7,48334.0,48256.3,48372.1,48260.6,48272.1,47819.0,,47981.3,48139.4,48860.0,48191.0,46756.8,48203.0,48303.0,,48364.7,48261.6,48224.0,48230.5,48276.0,,48190.0,56.3,88.8,-83.8,46.3,27.0,46.0,12.0,-49.0,71.0,-61.7,-40.0,-440.9,-45.0,232.9,,14.0,,-22.6,46.3,,357.3,19.0,68.2,29.0,-378.0,-38.1,-22.0,49.7,87.0,9.3,125.1,13.6,25.1,-428.0,,-265.7,-107.6,613.0,-56.0,-1490.2,-44.0,56.0,,117.7,14.6,-23.0,-16.5,29.0,,-57.0,False,False,True,True,True,True,True,False,False,True,False,True,False,,True,,True,True,,False,True,False,True,False,True,True,True,False,True,False,True,True,False,,False,False,False,True,False,True,True,,False,True,True,True,True,,False
North Carolina,11502,11457.1,11793.5,11510.8,11532.3,11542.0,11528.0,11507.0,11494.0,11563.0,11559.2,11505.0,11304.7,11478.0,11491.2,,11503.7,,11448.8,11493.4,,11533.7,11714.0,11518.8,11562.0,11471.5,11505.7,11463.0,11455.2,11597.0,11572.3,11576.2,11536.6,11469.1,11639.0,,11523.4,11461.4,11555.0,11546.0,12091.3,11396.0,11499.1,,11563.0,11571.9,11479.0,11536.3,11529.0,,11486.0,-44.9,291.5,8.8,30.3,40.0,26.0,5.0,-8.0,61.0,57.2,3.0,-197.3,-24.0,-10.8,,1.7,,-53.2,-8.6,,31.7,212.0,16.8,60.0,-30.5,3.7,-39.0,-46.8,95.0,70.3,74.2,34.6,-32.9,137.0,,21.4,-40.6,53.0,44.0,589.3,-106.0,-2.9,,61.0,69.9,-23.0,34.3,27.0,,-16.0,False,True,True,True,True,True,True,False,False,True,False,True,True,,True,,False,True,,True,False,True,False,True,True,True,False,False,False,False,True,True,False,,True,True,False,True,False,False,True,,False,False,True,True,True,,True
North Dakota,1479,1481.0,1481.0,1478.0,1482.4,1483.0,1483.0,1482.0,1482.0,1475.0,1481.0,1476.0,1481.2,1481.0,1483.0,,1482.7,,1483.6,1481.3,,1480.7,1485.0,1501.9,1483.0,1452.1,1480.6,1481.0,1480.4,1502.0,1476.9,1481.9,1481.6,1482.0,1477.0,,,1474.2,1486.0,1481.0,1481.1,1485.0,1482.5,,1483.5,1486.2,1480.0,,1482.0,,1480.0,2.0,2.0,-1.0,3.4,4.0,4.0,3.0,3.0,-4.0,2.0,-3.0,2.2,2.0,4.0,,3.7,,4.6,2.3,,1.7,6.0,22.9,4.0,-26.9,1.6,2.0,1.4,23.0,-2.1,2.9,2.6,3.0,-2.0,,,-4.8,7.0,2.0,2.1,6.0,3.5,,4.5,7.2,1.0,,3.0,,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,,False,,False,False,,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,True,,False,,True
Ohio,18295,17709.3,17328.7,17428.7,17758.7,17696.0,17725.0,17481.0,17413.0,17475.0,17722.0,17370.0,17086.0,17388.0,17605.8,,17450.1,,17842.4,17447.3,,17505.0,17502.0,17189.7,17515.0,17536.7,17339.2,17716.0,17653.9,17433.0,,17375.6,17544.8,17487.0,17290.0,,17332.1,17269.7,17597.0,17618.0,18954.4,17622.0,17871.9,,17383.8,17626.3,17360.0,,17473.0,,17417.0,313.3,-67.3,32.7,362.7,300.0,329.0,85.0,17.0,79.0,326.0,-26.0,-310.0,-8.0,209.8,,54.1,,446.4,51.3,,109.0,106.0,-206.3,119.0,140.7,-56.8,320.0,257.9,37.0,,-20.4,148.8,91.0,-106.0,,-63.9,-126.3,201.0,222.0,1558.4,226.0,475.9,,-12.2,230.3,-36.0,,77.0,,21.0,True,True,False,True,False,True,True,True,False,True,True,True,True,,True,,False,True,,True,True,True,True,True,True,False,True,True,,True,True,True,True,,True,True,True,True,False,True,False,,True,True,True,,True,,True
Oklahoma,4534,4639.7,4550.2,4512.0,4604.0,4570.0,4603.0,4525.0,4575.0,4506.0,4513.0,4487.0,4384.1,4590.0,4612.2,,4613.3,,4673.0,4459.6,,4398.1,4490.0,4411.8,4538.0,4530.7,4511.2,4557.0,4572.6,4522.0,4564.0,4579.2,4550.6,4640.3,4620.0,,,4489.7,4488.0,4522.0,3894.9,4588.0,4625.4,,4583.9,4591.6,4547.0,,4501.0,,4525.0,105.7,16.2,-22.0,70.0,36.0,69.0,-9.0,41.0,-28.0,-21.0,-47.0,-149.9,56.0,78.2,,79.3,,139.0,-74.4,,-135.9,-44.0,-122.2,4.0,-3.3,-22.8,23.0,38.6,-12.0,30.0,45.2,16.6,106.3,86.0,,,-44.3,-46.0,-12.0,-639.1,54.0,91.4,,49.9,57.6,13.0,,-33.0,,-9.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,,False,True,,False,True,False,True,True,True,True,True,True,True,True,True,False,True,,,True,True,True,False,True,True,,True,True,True,,True,,True
Oregon,2296,2253.4,2250.9,2229.7,2268.2,2267.0,2262.0,2248.0,2249.0,2236.0,2259.6,2246.0,2214.9,2247.0,2248.9,,2258.0,,2273.0,2240.4,,2185.1,2319.5,2279.0,2246.0,2266.6,2254.0,2235.0,2239.3,2261.0,2248.9,2265.6,2251.3,2245.8,2262.0,,,2250.4,2256.0,2245.0,2355.7,2249.0,2316.1,,2266.7,2274.1,2244.0,2242.3,2238.0,,2247.0,-42.6,-45.1,-66.3,-27.8,-29.0,-34.0,-48.0,-47.0,-60.0,-36.4,-50.0,-81.1,-49.0,-47.1,,-38.0,,-23.0,-55.6,,-110.9,23.5,-17.0,-50.0,-29.4,-42.0,-61.0,-56.7,-35.0,-47.1,-30.4,-44.7,-50.2,-34.0,,,-45.6,-40.0,-51.0,59.7,-47.0,20.1,,-29.3,-21.9,-52.0,-53.7,-58.0,,-49.0,False,False,True,True,True,False,False,False,True,False,False,False,False,,True,,True,False,,False,True,True,False,True,True,False,False,True,False,True,False,False,True,,,False,True,False,False,False,True,,True,True,False,False,False,,False
Pennsylvania,24306,24311.6,24287.6,24159.7,24237.0,24297.0,24250.0,24261.0,24289.0,24325.0,24293.3,24184.0,23954.3,24299.0,24384.8,,24297.7,,24214.6,24247.8,,24376.2,24400.0,24625.6,24279.0,24306.9,24219.6,24306.0,24288.4,24247.0,24205.1,24260.0,24323.9,24241.2,24369.0,,24249.1,24205.7,24527.0,24230.0,26264.9,24346.0,24257.4,,24239.3,24229.8,24321.0,24304.0,24262.0,,24254.0,5.6,-18.4,-146.3,-69.0,-9.0,-56.0,-45.0,-17.0,19.0,-12.7,-122.0,-351.7,-7.0,78.8,,-8.3,,-91.4,-58.2,,70.2,94.0,319.6,-27.0,0.9,-86.4,0.0,-17.6,-59.0,-100.9,-46.0,17.9,-64.8,63.0,,-56.9,-100.3,221.0,-76.0,1958.9,40.0,-48.6,,-66.7,-76.2,15.0,-2.0,-44.0,,-52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,True,False,,False
Rhode Island,2541,2514.0,2525.1,2566.0,2520.5,2526.0,2519.0,2533.0,2522.0,2561.0,2554.8,2543.0,2552.5,2534.0,2519.3,,2586.5,,2654.9,2602.3,,2612.9,2596.0,2546.4,2521.0,2480.2,2518.0,2509.0,2516.9,2557.0,2522.3,2583.6,2528.2,2515.2,2528.0,,,2513.1,2558.0,2533.0,2388.7,2525.0,2521.0,,2582.2,2601.6,2520.0,2610.5,2519.0,,2528.0,-27.0,-15.9,25.0,-20.5,-15.0,-22.0,-8.0,-19.0,20.0,13.8,2.0,11.5,-7.0,-21.7,,45.5,,113.9,61.3,,71.9,55.0,5.4,-20.0,-60.8,-23.0,-32.0,-24.1,16.0,-18.7,42.6,-12.8,-25.8,-13.0,,,-27.9,17.0,-8.0,-152.3,-16.0,-20.0,,41.2,60.6,-21.0,69.5,-22.0,,-13.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,,False,False,,False,False,True,True,False,True,False,True,True,True,False,True,True,True,,,False,True,True,False,True,True,,False,False,True,False,True,,True
South Carolina,8719,8736.3,8724.7,8718.3,8736.9,8723.0,8740.0,8751.0,8748.0,8751.0,8757.5,8737.0,8517.3,8786.0,8827.5,,8714.8,,8609.0,8762.9,,8763.3,8760.0,8858.3,8747.0,8692.7,8738.4,8685.0,8718.2,8766.0,8711.1,8763.5,8736.4,8726.4,8758.0,,8727.6,8702.4,8811.0,8765.0,9335.7,8720.0,8711.5,,8753.8,8793.0,8772.0,8783.4,8742.0,,8759.0,17.3,5.7,-0.7,17.9,4.0,21.0,32.0,29.0,32.0,38.5,18.0,-201.7,67.0,108.5,,-4.2,,-110.0,43.9,,44.3,41.0,139.3,28.0,-26.3,19.4,-34.0,-0.8,47.0,-7.9,44.5,17.4,7.4,39.0,,8.6,-16.6,92.0,46.0,616.7,1.0,-7.5,,34.8,74.0,53.0,64.4,23.0,,40.0,True,True,False,True,False,False,False,False,False,False,False,False,False,,True,,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,True,False,,True,True,False,False,False,True,True,,False,False,False,False,False,,False
South Dakota,1898,1909.4,1906.7,1897.5,1909.6,1911.0,1913.0,1907.0,1909.0,1910.0,1900.2,1910.0,1901.2,1906.0,1913.0,,1910.4,,1911.7,1906.2,,1885.8,1900.0,1945.5,1904.0,1899.4,1905.7,1905.0,1904.1,1909.0,1890.8,1913.1,1907.1,1911.2,1900.0,,,1898.2,1905.0,1906.0,1899.4,1923.0,1910.8,,1914.9,1915.4,1907.0,,1915.0,,1906.0,11.4,8.7,-0.5,11.6,13.0,15.0,9.0,11.0,12.0,2.2,12.0,3.2,8.0,15.0,,12.4,,13.7,8.2,,-12.2,2.0,47.5,6.0,1.4,7.7,7.0,6.1,11.0,-7.2,15.1,9.1,13.2,2.0,,,0.2,7.0,8.0,1.4,25.0,12.8,,16.9,17.4,9.0,,17.0,,8.0,True,True,False,False,False,True,True,False,True,False,True,True,False,,False,,False,True,,False,True,False,True,True,True,True,True,True,True,False,True,False,True,,,True,True,True,True,False,False,,False,False,True,,False,,True
Tennessee,11543,11649.3,11576.1,11514.5,11693.1,11663.0,11671.0,11627.0,11602.0,11747.0,11644.5,11618.0,11363.7,11700.0,11682.3,,11673.5,,11706.7,11561.9,,11405.1,11558.0,11599.4,11624.0,11327.6,11567.8,11525.0,11585.2,11657.0,11702.6,11690.8,11608.8,11636.4,11514.0,,11557.0,11562.7,11608.0,11713.0,10379.1,11636.0,11733.1,,11682.6,11670.8,11600.0,11767.0,11570.0,,11637.0,106.3,33.1,-28.5,150.1,120.0,128.0,84.0,59.0,204.0,101.5,75.0,-179.3,157.0,139.3,,130.5,,163.7,18.9,,-137.9,15.0,56.4,81.0,-215.4,24.8,-18.0,42.2,114.0,159.6,147.8,65.8,93.4,-29.0,,14.0,19.7,65.0,170.0,-1163.9,93.0,190.1,,139.6,127.8,57.0,224.0,27.0,,94.0,True,True,False,False,False,True,True,False,True,True,False,False,False,,False,,False,True,,False,True,True,True,False,True,True,True,False,False,False,True,True,True,,True,True,True,False,False,True,False,,False,False,True,False,True,,True
Texas,45249,45012.7,44957.6,44527.3,45097.5,45030.0,44997.0,44639.0,44759.0,44380.0,44594.0,44082.0,43217.6,44954.0,45365.8,,44735.4,,44636.9,44348.2,,44637.0,44644.0,43578.1,44945.0,44403.8,44855.8,44605.0,44766.7,44571.0,,44803.6,44678.2,45093.0,44447.5,,44509.8,44442.7,44755.0,44413.0,44303.9,44949.0,45129.4,,44800.4,45016.3,44594.0,44745.1,44434.0,,44537.0,-236.3,-291.4,-721.7,-151.5,-219.0,-252.0,-610.0,-490.0,-869.0,-655.0,-1167.0,-2031.4,-295.0,116.8,,-513.6,,-612.1,-900.8,,-612.0,-605.0,-1670.9,-304.0,-845.2,-393.2,-644.0,-482.3,-678.0,,-445.4,-570.8,-156.0,-801.5,,-739.2,-806.3,-494.0,-836.0,-945.1,-300.0,-119.6,,-448.6,-232.7,-655.0,-503.9,-815.0,,-712.0,False,False,True,True,False,False,False,False,False,False,False,False,True,,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,,False,True,False,False,False,,False
Utah,1975,2006.1,1989.2,1967.8,2014.3,2012.0,2016.0,1978.0,1985.0,1962.0,1981.5,1957.0,1902.2,1978.0,2005.2,,1981.6,,2056.6,1970.6,,1927.9,1969.0,1951.1,2000.0,1371.0,1960.2,1997.0,1992.4,2007.0,1983.0,1988.3,1979.9,2016.1,1969.0,,,1954.5,1967.0,1990.0,1763.3,2012.0,2027.9,,1991.2,1984.3,1975.0,1978.1,2006.0,,1970.0,31.1,14.2,-7.2,39.3,37.0,41.0,3.0,10.0,-13.0,6.5,-18.0,-72.8,3.0,30.2,,6.6,,81.6,-4.4,,-47.1,-6.0,-23.9,25.0,-604.0,-14.8,22.0,17.4,32.0,8.0,13.3,4.9,41.1,-6.0,,,-20.5,-8.0,15.0,-211.7,37.0,52.9,,16.2,9.3,0.0,3.1,31.0,,-5.0,True,True,False,False,False,True,True,True,True,True,False,True,True,,True,,False,True,,False,True,True,True,False,True,True,True,False,True,True,True,False,True,,,True,True,True,False,False,False,,True,True,True,True,True,,True
Vermont,208,210.0,209.7,209.4,212.3,214.0,212.0,211.0,210.0,212.0,216.5,209.0,211.7,212.0,208.6,,211.0,,213.2,211.3,,213.0,212.0,228.5,213.0,217.8,209.8,210.0,207.6,213.0,210.5,210.8,211.0,209.1,208.0,,,211.9,213.0,212.0,231.3,225.0,211.0,,212.4,213.1,209.0,213.3,211.0,,211.0,2.0,1.7,1.4,4.3,6.0,4.0,3.0,2.0,4.0,8.5,1.0,3.7,4.0,0.6,,3.0,,5.2,3.3,,5.0,4.0,20.5,5.0,9.8,1.8,2.0,-0.4,5.0,2.5,2.8,3.0,1.1,0.0,,,3.9,5.0,4.0,23.3,17.0,3.0,,4.4,5.1,1.0,5.3,3.0,,3.0,True,True,False,False,False,False,False,False,False,True,False,False,True,,False,,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,True,True,,,False,False,False,False,False,False,,False,False,True,False,False,,False
Virginia,9519,9598.6,8985.1,8826.3,8588.7,8464.0,9567.0,8692.0,8731.0,8572.0,8731.0,8692.0,7748.6,8670.0,10016.4,,,,9765.6,8754.0,,7694.2,8589.0,8005.7,8535.0,8753.3,8537.6,9364.5,9178.2,8640.0,,8581.7,9059.5,8832.0,8804.0,,8619.8,8386.5,8646.0,8590.0,8774.8,8652.0,9526.1,,8601.9,9121.1,8734.0,8989.7,8534.0,,8776.0,79.6,-533.9,-692.7,-930.3,-1055.0,48.0,-827.0,-788.0,-947.0,-788.0,-827.0,-1770.4,-849.0,497.4,,,,246.6,-765.0,,-1824.8,-930.0,-1513.3,-984.0,-765.7,-981.4,-154.5,-340.8,-879.0,,-937.3,-459.5,-687.0,-715.0,,-899.2,-1132.5,-873.0,-929.0,-744.2,-867.0,7.1,,-917.1,-397.9,-785.0,-529.3,-985.0,,-743.0,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,False,,False
Washington,5041,5070.9,5082.8,5061.8,5080.5,5105.0,5090.0,5079.0,5072.0,5072.0,5074.0,5100.0,5002.3,5066.0,5114.5,,5090.0,,5120.5,5072.5,,5068.7,5160.0,5091.4,5089.0,5042.2,5063.4,5047.0,5051.8,5085.0,5087.9,5081.0,5077.3,5088.0,5082.0,,5040.7,5074.0,5064.0,5079.0,5067.3,5084.0,5093.2,,5075.0,5094.8,5057.0,5093.2,5065.0,,5065.0,29.9,41.8,20.8,39.5,64.0,49.0,38.0,31.0,31.0,33.0,59.0,-38.7,25.0,73.5,,49.0,,79.5,31.5,,27.7,119.0,50.4,48.0,1.2,22.4,6.0,10.8,44.0,46.9,40.0,36.3,47.0,41.0,,-0.3,33.0,23.0,38.0,26.3,43.0,52.2,,34.0,53.8,16.0,52.2,24.0,,24.0,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,,False,False,,True,False,False,False,True,True,True,True,False,False,False,False,False,False,,True,False,True,False,True,False,False,,False,False,True,False,True,,True
West Virginia,2323,2333.4,2343.4,2329.5,2338.2,2336.0,2340.0,2338.0,2335.0,2344.0,2341.9,2340.0,2319.1,2326.0,2337.9,,2338.4,,2312.7,2338.1,,2343.1,2364.0,2336.4,2339.0,2352.8,2329.2,2329.0,2330.0,2337.0,2338.6,2339.8,2335.6,2333.0,2343.0,,,2329.2,2353.0,2337.0,2845.6,2356.0,2353.2,,2340.0,2352.4,2332.0,2344.3,2337.0,,2330.0,10.4,20.4,6.5,15.2,13.0,17.0,15.0,12.0,21.0,18.9,17.0,-3.9,3.0,14.9,,15.4,,-10.3,15.1,,20.1,41.0,13.4,16.0,29.8,6.2,6.0,7.0,14.0,15.6,16.8,12.6,10.0,20.0,,,6.2,30.0,14.0,522.6,33.0,30.2,,17.0,29.4,9.0,21.3,14.0,,7.0,False,True,False,False,False,False,False,False,False,False,True,True,False,,False,,True,False,,False,False,False,False,False,True,True,True,False,False,False,False,True,False,,,True,False,False,False,False,False,,False,False,True,False,False,,True
Wisconsin,7103,7136.6,7153.4,7081.1,7151.6,7157.0,7157.0,7111.0,7117.0,7111.0,7128.3,7080.0,7038.5,7127.0,7130.1,,7124.3,,7237.6,7121.5,,7060.6,7146.0,7153.2,7134.0,7101.1,7110.7,7090.0,7110.4,7106.0,7096.1,7127.8,7113.0,7157.3,7142.0,,7089.0,7101.9,7109.0,7094.0,6518.2,7111.0,7154.9,,7130.7,7140.3,7086.0,7109.2,7091.0,,7101.0,33.6,50.4,-21.9,48.6,54.0,54.0,8.0,14.0,8.0,25.3,-23.0,-64.5,24.0,27.1,,21.3,,134.6,18.5,,-42.4,43.0,50.2,31.0,-1.9,7.7,-13.0,7.4,3.0,-6.9,24.8,10.0,54.3,39.0,,-14.0,-1.1,6.0,-9.0,-584.8,8.0,51.9,,27.7,37.3,-17.0,6.2,-12.0,,-2.0,False,True,False,False,False,True,True,True,True,True,False,True,True,,True,,False,True,,False,False,False,True,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,False,True,False,,True,False,True,True,True,,True
Wyoming,682,678.7,686.6,673.2,678.7,682.0,680.0,680.0,682.0,688.0,679.5,678.0,678.8,687.0,684.8,,675.7,,672.0,677.3,,690.1,685.0,714.0,680.0,677.4,684.1,686.0,675.1,686.0,681.6,680.9,680.1,680.9,679.0,,,681.5,678.0,680.0,728.7,695.0,676.2,,681.8,686.1,680.0,,677.0,,675.0,-3.3,4.6,-8.8,-3.3,0.0,-2.0,-2.0,0.0,6.0,-2.5,-4.0,-3.2,5.0,2.8,,-6.3,,-10.0,-4.7,,8.1,3.0,32.0,-2.0,-4.6,2.1,4.0,-6.9,4.0,-0.4,-1.1,-1.9,-1.1,-3.0,,,-0.5,-4.0,-2.0,46.7,13.0,-5.8,,-0.2,4.1,-2.0,,-5.0,,-7.0,False,False,False,True,True,True,True,False,True,False,True,False,True,,False,,False,False,,False,True,False,True,False,True,False,False,False,True,True,True,True,True,,,True,False,True,False,False,False,,True,False,True,,False,,False
US,525162,525161.3,525231.7,522290.7,526065.9,,526231.0,523215.0,522263.0,522209.0,522519.3,523223.0,511477.4,523372.0,527456.4,523754.8,525688.1,,523587.5,,525143.0,517796.1,524767.0,518500.1,523898.0,515082.0,521438.6,524114.0,524222.3,523789.0,524066.1,523755.4,524117.0,524236.0,522684.0,524053.5,521568.4,521672.2,523559.0,521496.0,523669.8,523197.0,525272.5,525900.0,523696.3,525539.0,522348.0,523300.8,522419.0,522652.2,522138.0,900.3,970.7,-1970.3,1804.9,,1970.0,-1046.0,-1998.0,-2052.0,-1741.7,-1038.0,-12783.6,-889.0,3195.4,-506.2,1427.1,,-673.5,,882.0,-6464.9,506.0,-5760.9,-363.0,-9179.0,-2822.4,-147.0,-38.7,-472.0,-194.9,-505.6,-144.0,-25.0,-1577.0,-207.5,-2692.6,-2588.8,-702.0,-2765.0,-591.2,-1064.0,1011.5,1639.0,-564.7,1278.0,-1913.0,-960.2,-1842.0,-1608.8,-2123.0,False,False,False,,False,False,False,False,False,False,False,True,False,True,False,,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
