,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
18119,158,316.0,,347.9,,205.0,169.0,,,,,153.5,,219.8,,,214.0,49.9,259.8,,,162.0,196.6,,,,233.0,345.0,,,,,,,,,,238.2,455.1,158.0,,189.9,,47.0,11.0,,,,,-4.5,,61.8,,,56.0,-108.1,101.8,,,4.0,38.6,,,,75.0,187.0,,,,,,,,,,80.2,297.1,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,True,False
18121,68,116.0,,115.3,,106.0,63.0,,,,,83.4,,111.3,,,182.0,27.7,91.8,,,25.0,65.5,,,,162.0,212.5,,,,,,,,,,116.6,219.7,48.0,,47.3,,38.0,-5.0,,,,,15.4,,43.3,,,114.0,-40.3,23.8,,,-43.0,-2.5,,,,94.0,144.5,,,,,,,,,,48.6,151.7,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,False,,,,,,,,,,False,False
18123,176,356.0,,400.9,,237.0,134.0,,,,,137.1,,210.7,,,233.0,134.0,268.9,,,219.0,231.2,,,,264.0,344.2,,,,,,,,,,487.1,281.6,180.0,,224.9,,61.0,-42.0,,,,,-38.9,,34.7,,,57.0,-42.0,92.9,,,43.0,55.2,,,,88.0,168.2,,,,,,,,,,311.1,105.6,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,True
18125,100,152.0,,160.8,,137.0,57.0,,,,,96.1,,118.7,,,143.0,70.3,149.4,,,142.0,150.0,,,,136.0,131.0,,,,,,,,,,170.5,171.0,52.0,,60.8,,37.0,-43.0,,,,,-3.9,,18.7,,,43.0,-29.7,49.4,,,42.0,50.0,,,,36.0,31.0,,,,,,,,,,70.5,71.0,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,False
18127,1006,1764.0,,1719.8,,1547.0,1100.0,,,,,1161.6,,1207.5,,,1730.0,486.3,1702.4,1730.5,,1308.5,1277.0,,,,1746.0,2291.1,,,,,,2115.5,1217.0,,,2013.0,1720.7,758.0,,713.8,,541.0,94.0,,,,,155.6,,201.5,,,724.0,-519.7,696.4,724.5,,302.5,271.0,,,,740.0,1285.1,,,,,,1109.5,211.0,,,1007.0,714.7,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,False,,,,,,False,True,,,False,True
18129,196,372.0,,381.0,,276.0,143.0,,,,,210.3,,223.4,,,274.0,110.2,259.3,,,203.0,232.6,,,,386.0,242.7,,,,,,314.1,,,,451.1,378.4,176.0,,185.0,,80.0,-53.0,,,,,14.3,,27.4,,,78.0,-85.8,63.3,,,7.0,36.6,,,,190.0,46.7,,,,,,118.1,,,,255.1,182.4,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,,,,,,True,,,,False,False
18131,81,96.0,,91.5,,78.0,23.0,,,,,79.9,,92.4,,,131.0,20.2,75.4,,,51.0,59.6,,,,121.0,182.9,,,,,,,,,,85.9,121.8,15.0,,10.5,,-3.0,-58.0,,,,,-1.1,,11.4,,,50.0,-60.8,-5.6,,,-30.0,-21.4,,,,40.0,101.9,,,,,,,,,,4.9,40.8,,True,,True,False,,,,,True,,True,,,False,False,True,,,False,False,,,,False,False,,,,,,,,,,True,False
18133,274,576.0,,560.8,,453.0,681.0,,,,,250.9,,355.7,,,381.0,183.4,381.3,474.5,,478.0,356.6,,,,450.0,573.5,,,,,,605.8,,,,576.6,477.8,302.0,,286.8,,179.0,407.0,,,,,-23.1,,81.7,,,107.0,-90.6,107.3,200.5,,204.0,82.6,,,,176.0,299.5,,,,,,331.8,,,,302.6,203.8,,True,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,False,,,,False,True
18135,116,240.0,,227.4,,222.0,183.0,,,,,164.2,,182.5,,,407.0,64.9,220.3,,,205.5,192.4,,,,261.0,373.3,,,,,,273.5,,,,298.8,321.3,124.0,,111.4,,106.0,67.0,,,,,48.2,,66.5,,,291.0,-51.1,104.3,,,89.5,76.4,,,,145.0,257.3,,,,,,157.5,,,,182.8,205.3,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,False,,,,,,False,,,,False,False
18137,259,304.0,,287.6,,297.0,108.0,,,,,254.8,,209.8,,,468.0,67.3,295.1,,,164.0,227.0,,,,337.0,526.0,,,,,,626.3,,,,292.3,499.6,45.0,,28.6,,38.0,-151.0,,,,,-4.2,,-49.2,,,209.0,-191.7,36.1,,,-95.0,-32.0,,,,78.0,267.0,,,,,,367.3,,,,33.3,240.6,,True,,True,False,,,,,True,,False,,,False,False,True,,,False,True,,,,False,False,,,,,,False,,,,True,False
18139,87,280.0,,279.0,,210.0,143.0,,,,,166.7,,159.7,,,250.0,89.6,215.7,,,140.0,164.2,,,,227.0,330.8,,,,,,,,,,310.4,281.5,193.0,,192.0,,123.0,56.0,,,,,79.7,,72.7,,,163.0,2.6,128.7,,,53.0,77.2,,,,140.0,243.8,,,,,,,,,,223.4,194.5,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,False,False
18141,1988,2784.0,,2582.6,5536.3,2445.0,1719.0,,,,,1767.1,,1982.6,,2110.4,3122.0,835.5,3243.0,2646.0,,1690.5,1936.4,,,,2714.0,3808.3,,,,,,2887.3,1471.0,,,3182.4,2708.7,796.0,,594.6,3548.3,457.0,-269.0,,,,,-220.9,,-5.4,,122.4,1134.0,-1152.5,1255.0,658.0,,-297.5,-51.6,,,,726.0,1820.3,,,,,,899.3,-517.0,,,1194.4,720.7,,True,False,True,True,,,,,True,,True,,True,False,False,False,True,,True,True,,,,True,False,,,,,,False,True,,,False,True
18143,219,356.0,,364.0,,306.0,296.0,,,,,171.2,,238.3,,,376.0,98.8,207.5,,,208.0,246.5,,,,335.0,487.8,,,,,,398.9,,,,310.6,480.4,137.0,,145.0,,87.0,77.0,,,,,-47.8,,19.3,,,157.0,-120.2,-11.5,,,-11.0,27.5,,,,116.0,268.8,,,,,,179.9,,,,91.6,261.4,,False,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,False,,,,,,False,,,,True,False
18145,395,656.0,,664.2,,592.0,630.0,,,,,405.3,,426.8,,,618.0,133.2,505.7,1168.0,,440.0,461.1,,,,611.0,553.3,,,,,,842.2,,,,560.1,948.1,261.0,,269.2,,197.0,235.0,,,,,10.3,,31.8,,,223.0,-261.8,110.7,773.0,,45.0,66.1,,,,216.0,158.3,,,,,,447.2,,,,165.1,553.1,,False,,True,True,,,,,True,,True,,,True,False,True,False,,True,True,,,,True,True,,,,,,False,,,,True,False
18147,241,456.0,,463.5,,288.0,339.0,,,,,162.0,,229.1,,,208.0,82.1,310.9,,,329.0,244.9,,,,340.0,215.0,,,,,,,,,,464.3,340.6,215.0,,222.5,,47.0,98.0,,,,,-79.0,,-11.9,,,-33.0,-158.9,69.9,,,88.0,3.9,,,,99.0,-26.0,,,,,,,,,,223.3,99.6,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,,,,,,,,,,False,True
18149,97,188.0,,178.8,,157.0,108.0,,,,,123.3,,155.3,,,234.0,45.8,167.0,,,108.0,116.4,,,,211.0,195.5,,,,,,,,,,207.0,225.6,91.0,,81.8,,60.0,11.0,,,,,26.3,,58.3,,,137.0,-51.2,70.0,,,11.0,19.4,,,,114.0,98.5,,,,,,,,,,110.0,128.6,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,False,,,,,,,,,,False,False
18151,211,352.0,,314.2,,308.0,164.0,,,,,255.8,,246.9,,,454.0,82.7,326.2,348.5,,177.0,230.0,,,,393.0,674.7,,,,,,351.4,,,,409.7,391.1,141.0,,103.2,,97.0,-47.0,,,,,44.8,,35.9,,,243.0,-128.3,115.2,137.5,,-34.0,19.0,,,,182.0,463.7,,,,,,140.4,,,,198.7,180.1,,True,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,False,False,,,,,,True,,,,False,False
18153,94,152.0,,162.2,,147.0,45.0,,,,,122.4,,158.8,,,233.0,40.3,153.7,,,99.0,120.7,,,,231.0,378.9,,,,,,,,,,181.6,238.5,58.0,,68.2,,53.0,-49.0,,,,,28.4,,64.8,,,139.0,-53.7,59.7,,,5.0,26.7,,,,137.0,284.9,,,,,,,,,,87.6,144.5,,False,,True,True,,,,,True,,False,,,False,True,False,,,True,True,,,,False,False,,,,,,,,,,False,False
18155,89,176.0,,165.9,,143.0,113.0,,,,,72.3,,115.3,,,150.0,57.0,103.6,,,167.0,126.0,,,,138.0,176.8,,,,,,,,,,209.6,196.9,87.0,,76.9,,54.0,24.0,,,,,-16.7,,26.3,,,61.0,-32.0,14.6,,,78.0,37.0,,,,49.0,87.8,,,,,,,,,,120.6,107.9,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,False,False
18157,1700,2660.0,,2324.8,,1956.0,1854.0,,,,,1581.1,,1433.2,,,2006.0,694.7,2105.7,2510.5,,1456.0,1583.0,,,,1963.0,2851.9,,,,,,2515.2,1076.0,,,5012.4,2817.7,960.0,,624.8,,256.0,154.0,,,,,-118.9,,-266.8,,,306.0,-1005.3,405.7,810.5,,-244.0,-117.0,,,,263.0,1151.9,,,,,,815.2,-624.0,,,3312.4,1117.7,,True,,True,True,,,,,True,,True,,,True,False,True,True,,True,True,,,,True,False,,,,,,True,True,,,False,False
18159,128,200.0,,248.0,,139.0,75.0,,,,,99.8,,130.4,,,186.0,25.5,132.9,,,106.0,125.4,,,,145.0,201.9,,,,,,,,,,242.1,276.9,72.0,,120.0,,11.0,-53.0,,,,,-28.2,,2.4,,,58.0,-102.5,4.9,,,-22.0,-2.6,,,,17.0,73.9,,,,,,,,,,114.1,148.9,,False,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,True,False,,,,,,,,,,False,False
18161,41,88.0,,88.1,,73.0,32.0,,,,,56.8,,62.8,,,106.0,10.9,74.3,,,32.0,48.9,,,,92.0,119.7,,,,,,,,,,122.2,75.4,47.0,,47.1,,32.0,-9.0,,,,,15.8,,21.8,,,65.0,-30.1,33.3,,,-9.0,7.9,,,,51.0,78.7,,,,,,,,,,81.2,34.4,,False,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,False,,,,,,,,,,False,True
18163,1637,3568.0,,3525.8,,2477.0,2732.0,,,,,1915.4,,1844.6,,,2002.0,911.1,2577.4,3102.0,,2287.5,2247.9,,,,2857.0,1861.7,,,,,,2743.7,2199.0,,,5624.0,2982.2,1931.0,,1888.8,,840.0,1095.0,,,,,278.4,,207.6,,,365.0,-725.9,940.4,1465.0,,650.5,610.9,,,,1220.0,224.7,,,,,,1106.7,562.0,,,3987.0,1345.2,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,True,True,,,False,True
18165,87,192.0,,201.7,,153.0,58.0,,,,,111.4,,136.5,,,164.0,37.6,121.9,,,97.0,98.6,,,,197.0,259.9,,,,,,,,,,296.4,283.0,105.0,,114.7,,66.0,-29.0,,,,,24.4,,49.5,,,77.0,-49.4,34.9,,,10.0,11.6,,,,110.0,172.9,,,,,,,,,,209.4,196.0,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,,,,,False,False
18167,737,1176.0,,1164.0,,1110.0,910.0,,,,,808.1,,795.5,,,1166.0,295.0,1010.5,1207.5,,815.0,792.5,,,,1066.0,1651.2,,,,,,1876.6,,,,1514.6,1358.8,439.0,,427.0,,373.0,173.0,,,,,71.1,,58.5,,,429.0,-442.0,273.5,470.5,,78.0,55.5,,,,329.0,914.2,,,,,,1139.6,,,,777.6,621.8,,True,,True,True,,,,,True,,True,,,True,False,True,False,,True,True,,,,True,False,,,,,,False,,,,False,False
18169,242,464.0,,478.1,,382.0,506.0,,,,,239.4,,285.1,,,361.0,193.7,318.1,352.5,,342.0,342.3,,,,475.0,485.6,,,,,,649.8,,,,590.5,477.5,222.0,,236.1,,140.0,264.0,,,,,-2.6,,43.1,,,119.0,-48.3,76.1,110.5,,100.0,100.3,,,,233.0,243.6,,,,,,407.8,,,,348.5,235.5,,False,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,False,,,,,,False,,,,False,False
18171,61,112.0,,135.3,,79.0,32.0,,,,,56.9,,78.7,,,86.0,16.5,75.4,,,58.0,60.8,,,,102.0,162.8,,,,,,,,,,129.1,153.0,51.0,,74.3,,18.0,-29.0,,,,,-4.1,,17.7,,,25.0,-44.5,14.4,,,-3.0,-0.2,,,,41.0,101.8,,,,,,,,,,68.1,92.0,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,False,False
18173,623,1448.0,,1388.7,,934.0,744.0,,,,,672.1,,635.5,,,764.0,400.4,957.5,1123.0,,851.0,869.0,,,,1128.0,862.9,,,,,,1643.1,,,,1517.8,1466.3,825.0,,765.7,,311.0,121.0,,,,,49.1,,12.5,,,141.0,-222.6,334.5,500.0,,228.0,246.0,,,,505.0,239.9,,,,,,1020.1,,,,894.8,843.3,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,False,,,,False,False
18175,194,456.0,,471.4,,335.0,330.0,,,,,189.8,,302.2,,,359.0,165.6,251.6,,,320.0,292.9,,,,428.0,492.9,,,,,,,,,,467.2,372.4,262.0,,277.4,,141.0,136.0,,,,,-4.2,,108.2,,,165.0,-28.4,57.6,,,126.0,98.9,,,,234.0,298.9,,,,,,,,,,273.2,178.4,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,False,,,,,,,,,,False,True
18177,440,932.0,,977.5,,856.0,1070.0,,,,,437.6,,562.9,,,1113.0,279.0,603.0,979.0,,510.0,578.9,,,,821.0,1055.5,,,,,,969.0,,,,775.6,809.1,492.0,,537.5,,416.0,630.0,,,,,-2.4,,122.9,,,673.0,-161.0,163.0,539.0,,70.0,138.9,,,,381.0,615.5,,,,,,529.0,,,,335.6,369.1,,False,,True,False,,,,,True,,True,,,False,True,True,False,,True,True,,,,True,False,,,,,,False,,,,True,True
18179,177,300.0,,272.0,,228.0,84.0,,,,,176.9,,245.8,,,425.0,99.2,326.0,,,135.0,218.0,,,,313.0,425.5,,,,,,,,,,181.2,496.5,123.0,,95.0,,51.0,-93.0,,,,,-0.1,,68.8,,,248.0,-77.8,149.0,,,-42.0,41.0,,,,136.0,248.5,,,,,,,,,,4.2,319.5,,True,,True,True,,,,,True,,True,,,False,True,False,,,True,True,,,,False,False,,,,,,,,,,True,False
18181,204,300.0,,286.0,,227.0,134.0,,,,,193.5,,185.9,,,262.0,66.7,266.8,,,126.0,187.1,,,,308.0,297.5,,,,,,384.3,,,,203.1,343.4,96.0,,82.0,,23.0,-70.0,,,,,-10.5,,-18.1,,,58.0,-137.3,62.8,,,-78.0,-16.9,,,,104.0,93.5,,,,,,180.3,,,,-0.9,139.4,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,False,True,,,,,,False,,,,True,False
18183,373,600.0,,583.9,,453.0,409.0,,,,,279.9,,366.7,,,372.0,181.1,348.2,563.5,,516.0,441.9,,,,508.0,661.8,,,,,,388.1,,,,660.6,529.4,227.0,,210.9,,80.0,36.0,,,,,-93.1,,-6.3,,,-1.0,-191.9,-24.8,190.5,,143.0,68.9,,,,135.0,288.8,,,,,,15.1,,,,287.6,156.4,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,False,,,,,,True,,,,False,True
19001,94,40.0,,36.6,,35.0,24.0,,,,,38.2,,47.2,,,58.0,12.5,56.5,,,8.0,31.3,,,,106.0,32.3,,,,,,,,,,76.2,63.8,-54.0,,-57.4,,-59.0,-70.0,,,,,-55.8,,-46.8,,,-36.0,-81.5,-37.5,,,-86.0,-62.7,,,,12.0,-61.7,,,,,,,,,,-17.8,-30.2,,False,,False,False,,,,,False,,True,,,True,False,True,,,False,False,,,,True,False,,,,,,,,,,True,True
19003,18,16.0,,9.8,,15.0,6.0,,,,,17.9,,24.9,,,32.0,2.9,22.6,,,1.0,11.2,,,,44.0,51.0,,,,,,,,,,22.0,23.8,-2.0,,-8.2,,-3.0,-12.0,,,,,-0.1,,6.9,,,14.0,-15.1,4.6,,,-17.0,-6.8,,,,26.0,33.0,,,,,,,,,,4.0,5.8,,False,,False,False,,,,,True,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
19005,77,164.0,,154.9,,102.0,37.0,,,,,74.6,,110.8,,,131.0,31.4,84.1,,,79.0,85.7,,,,186.0,207.4,,,,,,,,,,150.0,122.6,87.0,,77.9,,25.0,-40.0,,,,,-2.4,,33.8,,,54.0,-45.6,7.1,,,2.0,8.7,,,,109.0,130.4,,,,,,,,,,73.0,45.6,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,,,,,True,True
19007,78,112.0,,97.8,,92.0,73.0,,,,,54.6,,96.8,,,115.0,28.4,125.7,,,92.0,79.5,,,,137.0,127.8,,,,,,,,,,117.9,148.5,34.0,,19.8,,14.0,-5.0,,,,,-23.4,,18.8,,,37.0,-49.6,47.7,,,14.0,1.5,,,,59.0,49.8,,,,,,,,,,39.9,70.5,,True,,True,True,,,,,True,,True,,,False,False,False,,,True,True,,,,False,False,,,,,,,,,,False,False
19009,43,44.0,,45.6,,29.0,10.0,,,,,23.1,,37.0,,,47.0,4.2,28.0,,,19.0,22.0,,,,69.0,38.5,,,,,,,,,,55.3,39.7,1.0,,2.6,,-14.0,-33.0,,,,,-19.9,,-6.0,,,4.0,-38.8,-15.0,,,-24.0,-21.0,,,,26.0,-4.5,,,,,,,,,,12.3,-3.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
19011,190,180.0,,174.6,,153.0,124.0,,,,,103.5,,170.5,,,201.0,29.8,150.1,,,162.0,141.6,,,,352.0,187.8,,,,,,302.9,,,,120.2,273.7,-10.0,,-15.4,,-37.0,-66.0,,,,,-86.5,,-19.5,,,11.0,-160.2,-39.9,,,-28.0,-48.4,,,,162.0,-2.2,,,,,,112.9,,,,-69.8,83.7,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,True,,,,,,False,,,,False,False
19013,681,1712.0,,1751.9,,1334.0,2577.0,,,,,658.5,,935.4,,,1122.0,442.3,1009.2,1366.0,,1414.0,1094.7,,,,1966.0,1314.5,,,,,,1310.5,1167.0,,,1881.8,1457.4,1031.0,,1070.9,,653.0,1896.0,,,,,-22.5,,254.4,,,441.0,-238.7,328.2,685.0,,733.0,413.7,,,,1285.0,633.5,,,,,,629.5,486.0,,,1200.8,776.4,,False,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,,,,,,True,True,,,False,True
19015,153,260.0,,250.0,,188.0,64.0,,,,,130.5,,195.6,,,194.0,46.6,219.3,,,180.0,161.1,,,,311.0,472.6,,,,,,288.7,,,,268.8,263.6,107.0,,97.0,,35.0,-89.0,,,,,-22.5,,42.6,,,41.0,-106.4,66.3,,,27.0,8.1,,,,158.0,319.6,,,,,,135.7,,,,115.8,110.6,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,False,,,,False,False
19017,131,312.0,,330.3,,212.0,349.0,,,,,122.0,,179.1,,,202.0,95.5,216.3,,,204.5,197.6,,,,400.0,233.2,,,,,,430.8,,,,340.4,319.6,181.0,,199.3,,81.0,218.0,,,,,-9.0,,48.1,,,71.0,-35.5,85.3,,,73.5,66.6,,,,269.0,102.2,,,,,,299.8,,,,209.4,188.6,,False,,True,False,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,,,,,,False,,,,False,False
19019,112,160.0,,173.2,,130.0,79.0,,,,,88.5,,140.7,,,171.0,45.2,141.4,,,148.0,103.8,,,,319.0,219.9,,,,,,,,,,116.5,140.2,48.0,,61.2,,18.0,-33.0,,,,,-23.5,,28.7,,,59.0,-66.8,29.4,,,36.0,-8.2,,,,207.0,107.9,,,,,,,,,,4.5,28.2,,False,,True,True,,,,,True,,True,,,False,False,True,,,True,True,,,,False,False,,,,,,,,,,True,True
19021,96,188.0,,150.9,,146.0,241.0,,,,,201.4,,75.0,,,143.0,27.2,178.3,,,56.0,99.4,,,,305.0,469.3,,,,,,176.5,,,,229.3,783.1,92.0,,54.9,,50.0,145.0,,,,,105.4,,-21.0,,,47.0,-68.8,82.3,,,-40.0,3.4,,,,209.0,373.3,,,,,,80.5,,,,133.3,687.1,,True,,True,False,,,,,False,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,True,,,,False,False
19023,61,180.0,,151.8,,128.0,86.0,,,,,88.2,,109.7,,,99.0,35.1,132.9,,,130.5,131.7,,,,231.0,191.4,,,,,,,,,,208.7,198.3,119.0,,90.8,,67.0,25.0,,,,,27.2,,48.7,,,38.0,-25.9,71.9,,,69.5,70.7,,,,170.0,130.4,,,,,,,,,,147.7,137.3,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,,,,,False,False
19025,40,56.0,,66.4,,58.0,5.0,,,,,49.9,,40.1,,,63.0,8.1,60.7,,,52.0,30.7,,,,130.0,67.9,,,,,,,,,,75.7,158.4,16.0,,26.4,,18.0,-35.0,,,,,9.9,,0.1,,,23.0,-31.9,20.7,,,12.0,-9.3,,,,90.0,27.9,,,,,,,,,,35.7,118.4,,False,,False,False,,,,,True,,True,,,False,False,False,,,True,True,,,,False,False,,,,,,,,,,False,False
19027,59,208.0,,190.6,,151.0,52.0,,,,,129.9,,113.0,,,168.0,27.8,201.5,,,103.0,106.7,,,,277.0,547.6,,,,,,,,,,231.1,160.4,149.0,,131.6,,92.0,-7.0,,,,,70.9,,54.0,,,109.0,-31.2,142.5,,,44.0,47.7,,,,218.0,488.6,,,,,,,,,,172.1,101.4,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,,,,,False,True
19029,93,92.0,,93.1,,81.0,26.0,,,,,58.0,,78.2,,,101.0,22.6,85.8,,,91.0,61.0,,,,183.0,201.1,,,,,,,,,,68.2,83.0,-1.0,,0.1,,-12.0,-67.0,,,,,-35.0,,-14.8,,,8.0,-70.4,-7.2,,,-2.0,-32.0,,,,90.0,108.1,,,,,,,,,,-24.8,-10.0,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,False
19031,96,164.0,,158.7,,145.0,113.0,,,,,90.7,,126.1,,,121.0,110.0,138.7,,,152.0,113.9,,,,257.0,214.2,,,,,,,,,,175.9,213.3,68.0,,62.7,,49.0,17.0,,,,,-5.3,,30.1,,,25.0,14.0,42.7,,,56.0,17.9,,,,161.0,118.2,,,,,,,,,,79.9,117.3,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,False,,,,,,,,,,False,False
19033,214,384.0,,412.1,,370.0,362.0,,,,,212.4,,272.8,,,393.0,117.9,387.0,359.5,,392.0,263.2,,,,513.0,474.7,,,,,,425.3,,,,325.3,356.8,170.0,,198.1,,156.0,148.0,,,,,-1.6,,58.8,,,179.0,-96.1,173.0,145.5,,178.0,49.2,,,,299.0,260.7,,,,,,211.3,,,,111.3,142.8,,False,,True,True,,,,,True,,True,,,False,True,False,True,,False,True,,,,False,False,,,,,,False,,,,True,True
19035,31,76.0,,77.9,,73.0,38.0,,,,,87.5,,64.8,,,73.0,17.8,104.6,,,20.0,57.2,,,,171.0,268.7,,,,,,,,,,110.0,90.1,45.0,,46.9,,42.0,7.0,,,,,56.5,,33.8,,,42.0,-13.2,73.6,,,-11.0,26.2,,,,140.0,237.7,,,,,,,,,,79.0,59.1,,False,,True,True,,,,,False,,True,,,True,True,False,,,True,True,,,,False,False,,,,,,,,,,False,False
19037,43,128.0,,134.4,,96.0,107.0,,,,,55.9,,84.3,,,99.0,17.1,76.8,,,83.0,64.2,,,,160.0,118.9,,,,,,,,,,138.2,112.2,85.0,,91.4,,53.0,64.0,,,,,12.9,,41.3,,,56.0,-25.9,33.8,,,40.0,21.2,,,,117.0,75.9,,,,,,,,,,95.2,69.2,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,,,,,,,,,,False,True
