,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nebraska,8181,11148.0,8290.3,10563.3,8913.0,14708.0,8123.0,,12014.5,3420.0,9021.5,,12118.9,,7771.1,11867.0,6790.9,9526.0,11899.2,10225.5,8370.9,6265.5,7804.5,10618.2,7847.5,12127.9,11548.0,18301.0,,6455.2,10655.0,3247.9,,17424.0,21707.2,10387.0,7967.6,,2967.0,109.3,2382.3,732.0,6527.0,-58.0,,3833.5,-4761.0,840.5,,3937.9,,-409.9,3686.0,-1390.1,1345.0,3718.2,2044.5,189.9,-1915.5,-376.5,2437.2,-333.5,3946.9,3367.0,10120.0,,-1725.8,2474.0,-4933.1,,9243.0,13526.2,2206.0,-213.4,,True,True,True,False,True,,False,False,True,,False,,True,False,True,True,False,True,True,True,True,True,True,False,False,False,,True,True,False,,False,False,True,True,
Nevada,13322,22908.0,20556.8,20195.5,19761.0,17617.0,24637.0,,22184.9,16135.0,22981.2,,20261.1,,15527.9,18605.0,12204.4,21134.0,19198.1,17831.5,13153.4,14316.5,15264.2,22965.2,25629.0,18053.8,19492.0,15880.0,,13657.4,21825.0,15434.8,,27276.9,20638.1,20286.0,18999.9,,9586.0,7234.8,6873.5,6439.0,4295.0,11315.0,,8862.9,2813.0,9659.2,,6939.1,,2205.9,5283.0,-1117.6,7812.0,5876.1,4509.5,-168.6,994.5,1942.2,9643.2,12307.0,4731.8,6170.0,2558.0,,335.4,8503.0,2112.8,,13954.9,7316.1,6964.0,5677.9,,True,True,True,True,False,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,,False,True,True,True,
New Hampshire,7506,11358.0,12835.7,11009.0,10701.0,11303.0,8147.0,,11840.7,6938.0,12349.5,,11256.7,,7796.9,12254.0,17504.7,11371.0,9040.1,13546.0,8684.3,8222.5,7397.9,10422.4,10303.2,10647.0,12937.0,11316.0,,9578.5,10948.0,11425.4,,11175.9,12215.1,9897.0,11545.0,,3852.0,5329.7,3503.0,3195.0,3797.0,641.0,,4334.7,-568.0,4843.5,,3750.7,,290.9,4748.0,9998.7,3865.0,1534.1,6040.0,1178.3,716.5,-108.1,2916.4,2797.2,3141.0,5431.0,3810.0,,2072.5,3442.0,3919.4,,3669.9,4709.1,2391.0,4039.0,,False,True,True,True,True,,False,True,False,,True,,True,False,False,False,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,False,True,False,
New Jersey,71832,105021.0,85958.5,101378.2,91333.0,91902.0,106205.0,,96463.8,74593.0,80528.0,,92352.8,,96357.1,89405.0,67530.0,106065.0,66743.7,108026.5,89498.8,77248.5,84391.5,48873.6,70029.7,93869.9,98492.0,89861.0,,93046.2,111771.0,59035.8,,79940.4,118459.0,90554.0,90720.1,,33189.0,14126.5,29546.2,19501.0,20070.0,34373.0,,24631.8,2761.0,8696.0,,20520.8,,24525.1,17573.0,-4302.0,34233.0,-5088.3,36194.5,17666.8,5416.5,12559.5,-22958.4,-1802.3,22037.9,26660.0,18029.0,,21214.2,39939.0,-12796.2,,8108.4,46627.0,18722.0,18888.1,,True,True,True,True,False,,True,True,True,,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,False,True,,True,False,True,True,
New Mexico,8936,14880.0,11990.8,12799.8,11995.0,11889.0,13348.0,,14332.2,12122.0,13062.4,,13375.6,,9955.9,16024.0,7508.3,14733.0,11456.4,11504.0,11712.0,9509.0,10212.1,14461.5,9688.7,11739.1,12421.0,11763.0,,8277.7,14094.0,6815.7,,16280.9,19387.7,11643.0,11177.1,,5944.0,3054.8,3863.8,3059.0,2953.0,4412.0,,5396.2,3186.0,4126.4,,4439.6,,1019.9,7088.0,-1427.7,5797.0,2520.4,2568.0,2776.0,573.0,1276.1,5525.5,752.7,2803.1,3485.0,2827.0,,-658.3,5158.0,-2120.3,,7344.9,10451.7,2707.0,2241.1,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,False,True,True,
New York,176737,256158.0,220729.6,247695.8,230748.0,237068.0,265528.0,,228182.4,286143.0,226114.6,,206563.1,,221884.4,221715.0,272360.2,324636.0,212334.1,227467.0,189911.8,186260.0,199376.1,254511.9,264349.3,243743.6,264903.0,218858.0,,210280.8,257408.0,238741.6,,222782.6,293997.9,231633.0,214829.3,,79421.0,43992.6,70958.8,54011.0,60331.0,88791.0,,51445.4,109406.0,49377.6,,29826.1,,45147.4,44978.0,95623.2,147899.0,35597.1,50730.0,13174.8,9523.0,22639.1,77774.9,87612.3,67006.6,88166.0,42121.0,,33543.8,80671.0,62004.6,,46045.6,117260.9,54896.0,38092.3,,True,True,True,True,False,,True,False,True,,True,,True,True,False,False,True,True,True,True,True,True,False,True,False,True,,True,False,True,,True,False,True,True,
North Carolina,87469,119733.0,114077.7,115058.0,105687.0,102463.0,69734.0,,121450.7,85246.0,157259.4,,102924.8,,100806.7,129653.0,100879.7,116726.0,84979.6,118077.5,89392.1,86194.0,82366.1,55071.5,113566.4,109080.1,131585.0,93028.0,,93533.8,112949.0,117308.2,,108496.8,139187.6,99221.0,101310.1,,32264.0,26608.7,27589.0,18218.0,14994.0,-17735.0,,33981.7,-2223.0,69790.4,,15455.8,,13337.7,42184.0,13410.7,29257.0,-2489.4,30608.5,1923.1,-1275.0,-5102.9,-32397.5,26097.4,21611.1,44116.0,5559.0,,6064.8,25480.0,29839.2,,21027.8,51718.6,11752.0,13841.1,,True,True,True,True,True,,False,True,False,,True,,True,False,True,True,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,False,True,True,
North Dakota,1676,2523.0,1478.2,2790.8,1874.0,4097.0,1206.0,,2449.6,574.0,1901.3,,1993.7,,1754.8,3364.0,1720.1,2641.0,2914.1,1755.5,1160.8,1425.0,1984.5,1519.0,753.8,2126.4,2001.0,5923.0,,1567.7,2232.0,566.3,,1433.0,3175.8,2010.0,2030.3,,847.0,-197.8,1114.8,198.0,2421.0,-470.0,,773.6,-1102.0,225.3,,317.7,,78.8,1688.0,44.1,965.0,1238.1,79.5,-515.2,-251.0,308.5,-157.0,-922.2,450.4,325.0,4247.0,,-108.3,556.0,-1109.7,,-243.0,1499.8,334.0,354.3,,True,False,True,False,True,,True,False,True,,True,,True,False,True,False,False,True,True,True,True,True,False,True,True,False,,True,True,False,,True,False,True,True,
Ohio,59525,98820.0,89048.3,96185.6,84054.0,88658.0,86053.0,,95360.0,45756.0,102780.0,,80883.0,,66376.6,97182.0,61622.1,88927.0,69463.3,78194.5,86139.8,56084.5,64351.0,56913.6,84058.7,79611.2,92928.0,95024.0,,66229.4,98820.0,43318.9,,98696.6,97118.8,77356.0,73584.4,,39295.0,29523.3,36660.6,24529.0,29133.0,26528.0,,35835.0,-13769.0,43255.0,,21358.0,,6851.6,37657.0,2097.1,29402.0,9938.3,18669.5,26614.8,-3440.5,4826.0,-2611.4,24533.7,20086.2,33403.0,35499.0,,6704.4,39295.0,-16206.1,,39171.6,37593.8,17831.0,14059.4,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,True,True,
Oklahoma,31728,49323.0,44143.4,49140.2,44376.0,42181.0,43088.0,,49898.4,42625.0,58506.0,,37161.3,,43415.6,51864.0,24746.8,57083.0,32386.3,40436.5,35025.9,31254.0,33506.2,56672.3,52777.6,43997.6,48532.0,39360.0,,36068.1,63760.0,30215.6,,43685.7,61112.8,42330.0,47964.3,,17595.0,12415.4,17412.2,12648.0,10453.0,11360.0,,18170.4,10897.0,26778.0,,5433.3,,11687.6,20136.0,-6981.2,25355.0,658.3,8708.5,3297.9,-474.0,1778.2,24944.3,21049.6,12269.6,16804.0,7632.0,,4340.1,32032.0,-1512.4,,11957.7,29384.8,10602.0,16236.3,,True,True,True,True,True,,False,True,False,,True,,True,False,True,False,True,True,True,True,True,False,False,True,True,True,,True,False,True,,True,False,True,True,
Oregon,10295,14448.0,12990.5,15459.6,13001.0,16311.0,17070.0,,13349.1,13564.0,12576.8,,13861.2,,8319.7,13815.0,8441.3,14475.0,13106.2,13419.5,13342.9,8786.0,9915.4,3834.2,14884.4,12909.6,14038.0,18798.0,,13509.5,14808.0,20563.8,,12705.7,14090.9,12588.0,11189.6,,4153.0,2695.5,5164.6,2706.0,6016.0,6775.0,,3054.1,3269.0,2281.8,,3566.2,,-1975.3,3520.0,-1853.7,4180.0,2811.2,3124.5,3047.9,-1509.0,-379.6,-6460.8,4589.4,2614.6,3743.0,8503.0,,3214.5,4513.0,10268.8,,2410.7,3795.9,2293.0,894.6,,True,False,True,False,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,False,True,True,False,,True,False,False,,True,True,True,True,
Pennsylvania,71437,116670.0,84815.6,114672.1,89166.0,95187.0,98661.0,,110251.8,43893.0,90048.6,,124285.2,,82643.4,97325.0,63355.8,127000.0,93330.3,93684.5,85498.4,78362.0,89692.1,65664.7,69809.7,90332.8,96161.0,98987.0,,85837.2,102283.0,98050.2,,113866.3,124978.9,95643.0,84560.9,,45233.0,13378.6,43235.1,17729.0,23750.0,27224.0,,38814.8,-27544.0,18611.6,,52848.2,,11206.4,25888.0,-8081.2,55563.0,21893.3,22247.5,14061.4,6925.0,18255.1,-5772.3,-1627.3,18895.8,24724.0,27550.0,,14400.2,30846.0,26613.2,,42429.3,53541.9,24206.0,13123.9,,True,True,True,True,True,,True,True,True,,False,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Rhode Island,8707,14109.0,10688.2,14816.0,12633.0,12554.0,13118.0,,14773.7,2193.0,2101868.3,,12599.0,,10048.4,15749.0,6050.0,14147.0,11339.9,11934.0,11598.9,10110.0,9054.2,15593.5,14908.8,12357.9,14053.0,12658.0,,11606.3,16286.0,5835.8,,10895.7,17169.1,11321.0,15047.6,,5402.0,1981.2,6109.0,3926.0,3847.0,4411.0,,6066.7,-6514.0,2093161.3,,3892.0,,1341.4,7042.0,-2657.0,5440.0,2632.9,3227.0,2891.9,1403.0,347.2,6886.5,6201.8,3650.9,5346.0,3951.0,,2899.3,7579.0,-2871.2,,2188.7,8462.1,2614.0,6340.6,,True,False,True,True,True,,False,False,False,,True,,True,False,True,False,True,True,True,True,True,False,False,True,True,True,,True,False,True,,True,False,True,False,
South Carolina,61492,77988.0,80214.7,78195.4,71094.0,70679.0,63783.0,,80849.9,176278.0,108056.3,,65310.5,,67855.6,80020.0,68187.5,74931.0,52276.5,68813.5,63566.7,56555.5,51325.9,74009.1,47693.7,75675.3,85276.0,61005.0,,70754.0,77988.0,97437.6,,78095.5,84676.5,65236.0,75057.0,,16496.0,18722.7,16703.4,9602.0,9187.0,2291.0,,19357.9,114786.0,46564.3,,3818.5,,6363.6,18528.0,6695.5,13439.0,-9215.5,7321.5,2074.7,-4936.5,-10166.1,12517.1,-13798.3,14183.3,23784.0,-487.0,,9262.0,16496.0,35945.6,,16603.5,23184.5,3744.0,13565.0,,False,False,True,True,True,,False,False,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,True,,True,False,False,,False,False,True,True,
South Dakota,3095,3321.0,2644.2,3226.3,2750.0,5078.0,2191.0,,3488.0,3968.0,3809.2,,5034.5,,2195.0,4488.0,1113.6,3684.0,4298.0,2764.0,2629.0,1538.0,2680.2,1246.8,4695.6,3310.4,2532.0,6625.0,,1933.2,1742.0,1123.3,,3825.8,3621.5,2585.0,2297.1,,226.0,-450.8,131.3,-345.0,1983.0,-904.0,,393.0,873.0,714.2,,1939.5,,-900.0,1393.0,-1981.4,589.0,1203.0,-331.0,-466.0,-1557.0,-414.8,-1848.2,1600.6,215.4,-563.0,3530.0,,-1161.8,-1353.0,-1971.7,,730.8,526.5,-510.0,-797.9,,False,True,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,False,False,
Tennessee,39266,56598.0,53756.1,56901.0,48032.0,47325.0,44887.0,,53186.6,39471.0,71333.6,,40307.0,,39051.0,61875.0,28005.5,53132.0,46268.4,39787.0,34904.5,30675.0,42775.1,52049.1,61474.8,42838.1,49096.0,46018.0,,31832.2,51696.0,61118.2,,49652.6,68447.6,47513.0,38737.3,,17332.0,14490.1,17635.0,8766.0,8059.0,5621.0,,13920.6,205.0,32067.6,,1041.0,,-215.0,22609.0,-11260.5,13866.0,7002.4,521.0,-4361.5,-8591.0,3509.1,12783.1,22208.8,3572.1,9830.0,6752.0,,-7433.8,12430.0,21852.2,,10386.6,29181.6,8247.0,-528.7,,True,False,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,True,False,True,True,
Texas,230550,362379.0,335812.5,382197.7,336476.0,324703.0,435345.0,,376450.1,386932.0,324445.2,,349356.8,,281688.1,381398.0,372515.6,388849.0,296359.6,358259.5,297891.8,293047.5,265683.0,417768.7,247090.0,341632.4,382151.0,292140.0,,283604.9,336028.0,260918.8,,306123.4,405457.7,300165.0,341176.9,,131829.0,105262.5,151647.7,105926.0,94153.0,204795.0,,145900.1,156382.0,93895.2,,118806.8,,51138.1,150848.0,141965.6,158299.0,65809.6,127709.5,67341.8,62497.5,35133.0,187218.7,16540.0,111082.4,151601.0,61590.0,,53054.9,105478.0,30368.8,,75573.4,174907.7,69615.0,110626.9,,True,False,True,True,False,,False,False,True,,True,,True,False,False,False,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,False,True,True,
Utah,20604,31623.0,29798.6,31756.3,28971.0,31579.0,23490.0,,31159.5,87330.0,40757.3,,28639.7,,18398.6,32074.0,9876.1,30768.0,20537.3,24202.0,30593.4,19638.5,21238.3,9686.9,35340.7,29287.4,28200.0,30808.0,,28400.8,30975.0,14039.3,,21466.1,41257.9,26097.0,21392.2,,11019.0,9194.6,11152.3,8367.0,10975.0,2886.0,,10555.5,66726.0,20153.3,,8035.7,,-2205.4,11470.0,-10727.9,10164.0,-66.7,3598.0,9989.4,-965.5,634.3,-10917.1,14736.7,8683.4,7596.0,10204.0,,7796.8,10371.0,-6564.7,,862.1,20653.9,5493.0,788.2,,True,False,True,True,True,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,True,False,True,True,
Vermont,2528,2769.0,1907.5,2745.2,2743.0,3804.0,2575.0,,2845.6,5656.0,2305.6,,2121.8,,2539.5,2628.0,3229.5,2641.0,2533.6,2922.0,3263.1,2324.0,2339.9,2381.9,3302.8,2821.9,3290.0,4519.0,,2670.1,2769.0,3291.3,,1981.7,2854.4,2574.0,2856.4,,241.0,-620.5,217.2,215.0,1276.0,47.0,,317.6,3128.0,-222.4,,-406.2,,11.5,100.0,701.5,113.0,5.6,394.0,735.1,-204.0,-188.1,-146.1,774.8,293.9,762.0,1991.0,,142.1,241.0,763.3,,-546.3,326.4,46.0,328.4,,False,True,True,False,True,,False,False,True,,False,,True,True,False,True,True,False,False,True,True,True,False,False,False,False,,True,False,False,,False,False,True,False,
Virginia,59591,100698.0,104712.3,101291.1,97475.0,89474.0,99146.0,,100724.7,115095.0,85245.5,,75556.2,,84230.5,87615.0,184207.5,107851.0,71788.7,102816.5,78868.6,78177.5,73162.2,95447.9,71247.4,92813.1,114302.0,78643.0,,76140.4,105258.0,91176.5,,100264.5,117503.1,81634.0,95014.2,,41107.0,45121.3,41700.1,37884.0,29883.0,39555.0,,41133.7,55504.0,25654.5,,15965.2,,24639.5,28024.0,124616.5,48260.0,12197.7,43225.5,19277.6,18586.5,13571.2,35856.9,11656.4,33222.1,54711.0,19052.0,,16549.4,45667.0,31585.5,,40673.5,57912.1,22043.0,35423.2,,False,False,True,True,True,,False,False,True,,True,,True,True,False,False,True,False,True,True,True,True,True,True,False,True,,True,False,True,,True,False,True,True,
Washington,22197,34197.0,31336.2,28460.7,30258.0,31595.0,39149.0,,30227.6,33180.0,21043.8,,26571.4,,27533.4,36120.0,16774.8,40904.0,36052.6,26973.5,32094.4,27610.5,22249.4,9697.2,36077.6,33654.0,37954.0,31403.0,,26790.4,49886.0,47517.2,,27581.6,40437.2,28692.0,35327.9,,12000.0,9139.2,6263.7,8061.0,9398.0,16952.0,,8030.6,10983.0,-1153.2,,4374.4,,5336.4,13923.0,-5422.2,18707.0,13855.6,4776.5,9897.4,5413.5,52.4,-12499.8,13880.6,11457.0,15757.0,9206.0,,4593.4,27689.0,25320.2,,5384.6,18240.2,6495.0,13130.9,,True,True,True,True,False,,True,True,True,,True,,True,False,True,False,False,True,True,True,True,False,False,True,False,True,,True,False,False,,True,False,True,False,
West Virginia,9024,16764.0,15029.3,15923.3,13763.0,15844.0,13710.0,,15982.8,17817.0,14376.0,,15126.0,,12766.0,17382.0,11352.4,17822.0,12028.8,13032.0,11627.2,11849.0,12125.7,13187.0,10152.4,14875.7,16822.0,15858.0,,12313.1,8960.0,13264.0,,13409.6,18813.6,14875.0,13684.8,,7740.0,6005.3,6899.3,4739.0,6820.0,4686.0,,6958.8,8793.0,5352.0,,6102.0,,3742.0,8358.0,2328.4,8798.0,3004.8,4008.0,2603.2,2825.0,3101.7,4163.0,1128.4,5851.7,7798.0,6834.0,,3289.1,-64.0,4240.0,,4385.6,9789.6,5851.0,4660.8,,True,True,True,True,True,,True,False,True,,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,True,True,True,,True,False,True,True,
Wisconsin,20792,32982.0,28125.6,36456.7,27874.0,41521.0,27675.0,,32651.7,18017.0,32504.4,,30360.3,,21046.8,31505.0,16719.7,32960.0,34981.9,27181.5,24387.5,19670.5,21851.4,48792.7,28802.4,28009.0,29786.0,52483.0,,21716.7,23613.0,11691.4,,29619.5,30747.3,26182.0,26020.2,,12190.0,7333.6,15664.7,7082.0,20729.0,6883.0,,11859.7,-2775.0,11712.4,,9568.3,,254.8,10713.0,-4072.3,12168.0,14189.9,6389.5,3595.5,-1121.5,1059.4,28000.7,8010.4,7217.0,8994.0,31691.0,,924.7,2821.0,-9100.6,,8827.5,9955.3,5390.0,5228.2,,True,False,True,False,True,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,True,,True,True,True,True,
Wyoming,1979,3363.0,3388.4,3515.1,2879.0,4064.0,2013.0,,3097.5,6828.0,3864.8,,3277.3,,2002.7,3667.0,2361.6,3135.0,2743.2,2824.5,2342.9,2384.0,2468.3,1708.5,2340.3,3146.0,2885.0,4674.0,,2476.9,3606.0,2580.4,,4404.2,2643.3,1756.0,2920.8,,1384.0,1409.4,1536.1,900.0,2085.0,34.0,,1118.5,4849.0,1885.8,,1298.3,,23.7,1688.0,382.6,1156.0,764.2,845.5,363.9,405.0,489.3,-270.5,361.3,1167.0,906.0,2695.0,,497.9,1627.0,601.4,,2425.2,664.3,-223.0,941.8,,False,False,True,False,True,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,True,True,
US,1982302,3174207.0,2859828.8,3147744.4,2779497.0,3049142.0,3087424.0,2572465.0,3159756.4,3019848.0,8551973.7,2832069.2,,3066557.0,2296923.1,2893593.0,2453375.0,3196160.0,2566527.0,,2298148.5,2117115.0,2203629.9,2640331.9,2693499.6,2777036.3,3103894.0,3088698.0,2839238.0,2300800.3,2924813.0,2636238.3,2703761.0,3609114.3,3255564.2,2645285.0,2692765.9,2520992.4,1191905.0,877526.8,1165442.4,797195.0,1066840.0,1105122.0,590163.0,1177454.4,1037546.0,6569671.7,849767.2,,1084255.0,314621.1,911291.0,471073.0,1213858.0,584225.0,,315846.5,134813.0,221327.9,658029.9,711197.6,794734.3,1121592.0,1106396.0,856936.0,318498.3,942511.0,653936.3,721459.0,1626812.3,1273262.2,662983.0,710463.9,538690.4,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
