,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nevada,20958,38492.0,38592.2,37204.6,34818.0,53698.0,,39885.2,24545.0,37953.6,,31525.7,,27555.6,37859.0,16346.8,34947.0,33547.9,34420.5,36015.6,24680.0,25614.5,37337.3,38624.2,38842.0,34840.0,,38863.5,,23399.8,,34427.1,64436.8,14303.1,26514.0,40644.3,,17534.0,17634.2,16246.6,13860.0,32740.0,,18927.2,3587.0,16995.6,,10567.7,,6597.6,16901.0,-4611.2,13989.0,12589.9,13462.5,15057.6,3722.0,4656.5,16379.3,17666.2,17884.0,13882.0,,17905.5,,2441.8,,13469.1,43478.8,-6654.9,5556.0,19686.3,,False,True,True,False,,False,True,True,,True,,True,True,True,True,True,True,True,True,True,True,False,False,True,,False,,True,,True,False,True,True,False,
New Hampshire,11166,22524.0,17501.0,22973.5,19897.0,28981.0,,20540.1,9224.0,21051.0,,20943.8,,19834.6,21564.0,13131.9,21688.0,16133.0,22543.5,19420.9,19391.0,16932.5,13942.0,15377.5,20949.3,20029.0,,13687.8,,20771.6,,17986.1,28833.9,22684.2,19403.0,24816.6,,11358.0,6335.0,11807.5,8731.0,17815.0,,9374.1,-1942.0,9885.0,,9777.8,,8668.6,10398.0,1965.9,10522.0,4967.0,11377.5,8254.9,8225.0,5766.5,2776.0,4211.5,9783.3,8863.0,,2521.8,,9605.6,,6820.1,17667.9,11518.2,8237.0,13650.6,,True,False,True,False,,True,True,True,,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,,True,,True,False,False,True,False,
New Jersey,106839,141788.0,125739.3,143454.9,137336.0,155676.0,,151095.9,103806.0,108533.4,,153091.3,,161137.5,142123.0,96313.0,123325.0,105428.8,141842.5,141906.8,134953.0,135340.1,197789.6,118631.9,153503.0,114600.0,,121905.9,,68623.0,,103217.7,213732.1,168064.8,120700.0,194507.1,,34949.0,18900.3,36615.9,30497.0,48837.0,,44256.9,-3033.0,1694.4,,46252.3,,54298.5,35284.0,-10526.0,16486.0,-1410.2,35003.5,35067.8,28114.0,28501.1,90950.6,11792.9,46664.0,7761.0,,15066.9,,-38216.0,,-3621.3,106893.1,61225.8,13861.0,87668.1,,True,False,True,False,,False,True,True,,False,,False,False,True,True,True,False,False,True,True,False,True,False,True,,True,,False,,True,False,False,True,False,
New Mexico,13896,22744.0,22018.2,21027.3,20357.0,14487.0,,22442.3,17386.0,18729.5,,18532.8,,16046.5,24272.0,10320.8,24841.0,17972.6,21547.5,21310.3,15290.5,15087.7,19962.6,16785.1,23499.6,21080.0,,22143.8,,19947.6,,19472.4,36736.2,29049.5,16363.0,21623.3,,8848.0,8122.2,7131.3,6461.0,591.0,,8546.3,3490.0,4833.5,,4636.8,,2150.5,10376.0,-3575.2,10945.0,4076.6,7651.5,7414.3,1394.5,1191.7,6066.6,2889.1,9603.6,7184.0,,8247.8,,6051.6,,5576.4,22840.2,15153.5,2467.0,7727.3,,True,True,True,True,,True,True,True,,True,,True,False,True,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,True,
New York,262123,377780.0,340928.2,381291.7,351286.0,556340.0,,303301.2,491732.0,303559.2,,316426.9,,349642.0,352656.0,309349.8,,329506.1,416589.5,474907.4,304506.5,312021.6,415778.8,220938.7,433610.8,332289.0,,334675.5,,334672.0,,334758.1,635694.6,455045.0,327429.0,569877.9,,115657.0,78805.2,119168.7,89163.0,294217.0,,41178.2,229609.0,41436.2,,54303.9,,87519.0,90533.0,47226.8,,67383.1,154466.5,212784.4,42383.5,49898.6,153655.8,-41184.3,171487.8,70166.0,,72552.5,,72549.0,,72635.1,373571.6,192922.0,65306.0,307754.9,,True,False,True,False,,True,False,True,,True,,True,True,True,,True,False,False,True,True,False,True,False,True,,True,,True,,True,False,False,True,False,
North Carolina,127380,179560.0,168451.1,176414.6,176398.0,183245.0,,183909.1,129479.0,146828.4,,192419.3,,180875.2,197437.0,100995.2,171487.0,141825.8,196338.0,192281.1,184466.0,154981.6,72623.9,106181.1,220815.7,147893.0,,160761.2,,164565.1,,163315.6,302899.3,208282.8,194631.0,268483.1,,52180.0,41071.1,49034.6,49018.0,55865.0,,56529.1,2099.0,19448.4,,65039.3,,53495.2,70057.0,-26384.8,44107.0,14445.8,68958.0,64901.1,57086.0,27601.6,-54756.1,-21198.9,93435.7,20513.0,,33381.2,,37185.1,,35935.6,175519.3,80902.8,67251.0,141103.1,,True,True,True,False,,False,True,True,,False,,False,False,True,True,True,False,False,False,True,False,True,False,True,,True,,True,,True,False,False,False,False,
North Dakota,2517,4024.0,1841.5,3849.8,3000.0,2140.0,,4148.8,365.0,2797.1,,4045.5,,2765.1,4983.0,1631.3,4934.0,4208.0,3088.5,1969.5,2252.0,2899.3,2174.3,1717.0,3310.0,12695.0,,1404.1,,961.9,,7840.3,856.8,8892.6,3000.0,5392.8,,1507.0,-675.5,1332.8,483.0,-377.0,,1631.8,-2152.0,280.1,,1528.5,,248.1,2466.0,-885.7,2417.0,1691.0,571.5,-547.5,-265.0,382.3,-342.7,-800.0,793.0,10178.0,,-1112.9,,-1555.1,,5323.3,-1660.2,6375.6,483.0,2875.8,,True,True,True,True,,False,False,True,,False,,True,False,True,False,False,True,True,True,True,True,True,True,False,,True,,False,,False,False,False,True,False,
Ohio,92465,153336.0,148498.8,146892.5,139875.0,124591.0,,152184.3,62772.0,136975.3,,183571.6,,107800.7,161171.0,73737.3,148055.0,111463.2,151228.0,141963.5,103467.0,111673.5,95221.9,116894.6,154544.1,154584.0,,135552.7,,63404.3,,141498.4,232275.4,184169.3,115630.0,202539.6,,60871.0,56033.8,54427.5,47410.0,32126.0,,59719.3,-29693.0,44510.3,,91106.6,,15335.7,68706.0,-18727.7,55590.0,18998.2,58763.0,49498.5,11002.0,19208.5,2756.9,24429.6,62079.1,62119.0,,43087.7,,-29060.7,,49033.4,139810.4,91704.3,23165.0,110074.6,,True,True,True,True,,True,True,True,,False,,True,False,True,True,True,True,True,True,True,True,True,False,False,,True,,True,,True,False,False,True,False,
Oklahoma,48169,73936.0,75832.6,74655.8,66246.0,61557.0,,79471.4,61290.0,74388.6,,63296.7,,67890.9,76370.0,33530.7,67960.0,48747.0,76117.0,49683.7,48055.0,56839.7,26496.0,101345.2,84818.6,63830.0,,66075.0,,36826.4,,61037.8,141006.4,96804.8,55804.0,99113.5,,25767.0,27663.6,26486.8,18077.0,13388.0,,31302.4,13121.0,26219.6,,15127.7,,19721.9,28201.0,-14638.3,19791.0,578.0,27948.0,1514.7,-114.0,8670.7,-21673.0,53176.2,36649.6,15661.0,,17906.0,,-11342.6,,12868.8,92837.4,48635.8,7635.0,50944.5,,False,False,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,True,False,False,True,,True,,True,,True,False,False,True,False,
Oregon,15111,20752.0,21742.8,19818.2,19408.0,13398.0,,23019.6,18894.0,22107.6,,32411.9,,15302.5,23042.0,16822.1,23499.0,23089.1,26144.5,18757.2,10549.5,16384.6,9244.3,16437.1,23093.1,19283.0,,17204.9,,28565.5,,17562.1,33573.4,24108.9,14338.0,22321.5,,5641.0,6631.8,4707.2,4297.0,-1713.0,,7908.6,3783.0,6996.6,,17300.9,,191.5,7931.0,1711.1,8388.0,7978.1,11033.5,3646.2,-4561.5,1273.6,-5866.7,1326.1,7982.1,4172.0,,2093.9,,13454.5,,2451.1,18462.4,8997.9,-773.0,7210.5,,False,True,True,True,,False,True,False,,False,,True,False,True,False,False,False,True,True,True,False,True,False,True,,True,,False,,True,False,False,True,False,
Pennsylvania,110327,152384.0,157603.4,149454.6,140685.0,155587.0,,139428.4,62624.0,136216.1,,148693.2,,100340.6,156159.0,72730.9,148838.0,145729.7,150119.5,126610.2,99889.5,105759.5,155715.0,91303.2,146756.9,136540.0,,112447.8,,183804.5,,137490.2,204561.4,214850.4,121634.0,250732.9,,42057.0,47276.4,39127.6,30358.0,45260.0,,29101.4,-47703.0,25889.1,,38366.2,,-9986.4,45832.0,-37596.1,38511.0,35402.7,39792.5,16283.2,-10437.5,-4567.5,45388.0,-19023.8,36429.9,26213.0,,2120.8,,73477.5,,27163.2,94234.4,104523.4,11307.0,140405.9,,False,True,True,False,,True,False,True,,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,,False,,True,False,False,True,False,
Rhode Island,13410,21168.0,17163.1,17329.2,17912.0,32621.0,,19578.5,3896.0,738625.3,,15062.1,,17648.3,25703.0,4197.7,21249.0,15024.5,16938.0,18662.7,18333.0,15467.4,3460.1,17411.7,25948.2,18074.0,,17836.5,,8541.1,,12731.9,39900.0,24434.4,6251.0,17553.5,,7758.0,3753.1,3919.2,4502.0,19211.0,,6168.5,-9514.0,725215.3,,1652.1,,4238.3,12293.0,-9212.3,7839.0,1614.5,3528.0,5252.7,4923.0,2057.4,-9949.9,4001.7,12538.2,4664.0,,4426.5,,-4868.9,,-678.1,26490.0,11024.4,-7159.0,4143.5,,True,True,True,False,,True,False,False,,True,,True,False,False,False,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,False,True,True,
South Carolina,87488,125468.0,101157.8,125164.6,123246.0,116496.0,,129991.7,243821.0,113921.0,,92007.3,,138157.4,128118.0,89728.9,120303.0,79860.6,136177.5,148029.9,97779.0,98028.4,116940.3,86983.1,134329.5,105017.0,,106866.1,,133748.1,,125292.1,205103.1,155686.1,115164.0,156154.6,,37980.0,13669.8,37676.6,35758.0,29008.0,,42503.7,156333.0,26433.0,,4519.3,,50669.4,40630.0,2240.9,32815.0,-7627.4,48689.5,60541.9,10291.0,10540.4,29452.3,-504.9,46841.5,17529.0,,19378.1,,46260.1,,37804.1,117615.1,68198.1,27676.0,68666.6,,True,True,True,True,,False,False,True,,True,,False,False,True,True,True,False,False,True,True,True,True,False,True,,True,,False,,True,False,False,True,False,
South Dakota,4202,6740.0,3787.8,6635.6,5375.0,3226.0,,6970.0,5495.0,5760.4,,10493.9,,4678.2,7172.0,2466.6,6424.0,6582.7,5946.0,4321.4,3295.5,4428.2,1891.1,2489.2,6237.6,14085.0,,4949.6,,4059.5,,6749.1,7084.5,3748.9,5164.0,8885.2,,2538.0,-414.2,2433.6,1173.0,-976.0,,2768.0,1293.0,1558.4,,6291.9,,476.2,2970.0,-1735.4,2222.0,2380.7,1744.0,119.4,-906.5,226.2,-2310.9,-1712.8,2035.6,9883.0,,747.6,,-142.5,,2547.1,2882.5,-453.1,962.0,4683.2,,True,True,True,True,,False,True,True,,False,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,False,False,True,True,False,
Tennessee,58132,100116.0,103190.1,102672.8,88364.0,72178.0,,92848.5,72966.0,96192.9,,69021.2,,66312.3,98201.0,27970.3,95924.0,80956.1,86782.0,67643.7,52444.0,68662.4,81847.1,65409.4,101847.3,88314.0,,81878.6,,98750.9,,93169.6,134619.9,138791.5,71025.0,131346.9,,41984.0,45058.1,44540.8,30232.0,14046.0,,34716.5,14834.0,38060.9,,10889.2,,8180.3,40069.0,-30161.7,37792.0,22824.1,28650.0,9511.7,-5688.0,10530.4,23715.1,7277.4,43715.3,30182.0,,23746.6,,40618.9,,35037.6,76487.9,80659.5,12893.0,73214.9,,False,False,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Texas,351343,519244.0,478369.9,496000.1,491960.0,618251.0,,558503.9,529532.0,317224.4,,674105.2,,488054.3,582352.0,525200.0,,452245.5,590241.5,519182.7,362913.0,361549.2,456294.5,379156.3,563107.6,465765.0,,476255.0,,315914.4,,392874.4,924795.6,490953.4,382019.0,597141.6,,167901.0,127026.9,144657.1,140617.0,266908.0,,207160.9,178189.0,-34118.6,,322762.2,,136711.3,231009.0,173857.0,,100902.5,238898.5,167839.7,11570.0,10206.2,104951.5,27813.3,211764.6,114422.0,,124912.0,,-35428.6,,41531.4,573452.6,139610.4,30676.0,245798.6,,True,True,True,False,,False,False,True,,False,,True,False,False,,True,False,True,True,True,True,True,False,True,,True,,True,,True,False,True,True,False,
Utah,31145,50548.0,44887.1,48043.7,46776.0,39969.0,,57006.2,113655.0,45990.7,,67438.6,,41258.3,53912.0,14919.8,51619.0,34899.6,52808.0,53270.8,32391.5,37257.3,30554.8,62151.1,61327.4,50201.0,,44951.5,,19134.7,,30014.6,96582.9,62401.8,33740.0,43559.6,,19403.0,13742.1,16898.7,15631.0,8824.0,,25861.2,82510.0,14845.7,,36293.6,,10113.3,22767.0,-16225.2,20474.0,3754.6,21663.0,22125.8,1246.5,6112.3,-590.2,31006.1,30182.4,19056.0,,13806.5,,-12010.3,,-1130.4,65437.9,31256.8,2595.0,12414.6,,True,True,True,True,,False,False,True,,False,,True,False,True,False,True,False,False,True,True,True,False,False,True,,True,,True,,True,False,False,True,True,
Vermont,3451,3972.0,2771.6,4039.4,4014.0,3056.0,,4948.6,7234.0,3535.6,,3701.4,,4553.1,4391.0,3340.0,4722.0,4780.6,4052.0,4742.3,3564.0,3414.7,4035.9,3647.1,4720.8,4991.0,,3658.1,,4093.7,,1470.3,6016.7,3942.7,3701.0,4163.4,,521.0,-679.4,588.4,563.0,-395.0,,1497.6,3783.0,84.6,,250.4,,1102.1,940.0,-111.0,1271.0,1329.6,601.0,1291.3,113.0,-36.3,584.9,196.1,1269.8,1540.0,,207.1,,642.7,,-1980.7,2565.7,491.7,250.0,712.4,,False,False,False,True,,False,False,True,,True,,False,False,True,False,False,False,False,True,True,False,True,False,False,,True,,False,,False,False,True,True,False,
Virginia,93157,157056.0,125615.2,154550.9,154717.0,152477.0,,172271.6,164370.0,98847.9,,216101.6,,155286.8,110451.0,184400.3,166895.0,116311.6,174347.0,159012.6,95848.0,107393.4,158035.3,124913.1,156273.4,137192.0,,129968.7,,125039.9,,95477.7,202001.6,195449.5,130519.0,190133.7,,63899.0,32458.2,61393.9,61560.0,59320.0,,79114.6,71213.0,5690.9,,122944.6,,62129.8,17294.0,91243.3,73738.0,23154.6,81190.0,65855.6,2691.0,14236.4,64878.3,31756.1,63116.4,44035.0,,36811.7,,31882.9,,2320.7,108844.6,102292.5,37362.0,96976.7,,True,True,True,True,,False,False,True,,False,,True,True,False,False,True,False,False,True,True,False,True,True,True,,True,,True,,True,False,False,True,False,
Washington,33596,56912.0,52574.6,70598.1,49807.0,89609.0,,46127.7,45900.0,19879.4,,60151.0,,44891.3,49483.0,20021.7,54285.0,55593.9,52092.0,53530.7,43365.0,35652.8,13461.4,79176.1,57121.9,53455.0,,51287.4,,70597.7,,45749.0,78551.1,62416.3,33222.0,59693.8,,23316.0,18978.6,37002.1,16211.0,56013.0,,12531.7,12304.0,-13716.6,,26555.0,,11295.3,15887.0,-13574.3,20689.0,21997.9,18496.0,19934.7,9769.0,2056.8,-20134.6,45580.1,23525.9,19859.0,,17691.4,,37001.7,,12153.0,44955.1,28820.3,-374.0,26097.8,,True,False,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,False,True,False,
West Virginia,14612,26512.0,26588.4,25474.1,24599.0,20320.0,,25851.3,28675.0,26283.3,,20149.2,,19220.5,27907.0,14400.1,27014.0,19407.4,27746.5,19319.3,16035.0,17122.2,21445.6,14240.9,30306.6,23809.0,,20989.8,,19523.8,,19911.6,47188.2,31162.8,20570.0,29271.7,,11900.0,11976.4,10862.1,9987.0,5708.0,,11239.3,14063.0,11671.3,,5537.2,,4608.5,13295.0,-211.9,12402.0,4795.4,13134.5,4707.3,1423.0,2510.2,6833.6,-371.1,15694.6,9197.0,,6377.8,,4911.8,,5299.6,32576.2,16550.8,5958.0,14659.7,,False,True,True,True,,True,False,True,,True,,True,False,True,False,True,False,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Wisconsin,31786,54912.0,49245.9,65065.9,45869.0,46197.0,,56188.7,22363.0,37437.0,,57612.0,,41697.2,52768.0,21789.0,50667.0,54758.6,52944.0,36988.0,32348.0,37372.6,12067.6,38038.0,56406.7,83450.0,,52269.3,,15126.0,,38351.8,91584.2,36279.7,38556.0,67727.5,,23126.0,17459.9,33279.9,14083.0,14411.0,,24402.7,-9423.0,5651.0,,25826.0,,9911.2,20982.0,-9997.0,18881.0,22972.6,21158.0,5202.0,562.0,5586.6,-19718.4,6252.0,24620.7,51664.0,,20483.3,,-16660.0,,6565.8,59798.2,4493.7,6770.0,35941.5,,True,False,True,True,,False,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,False,False,,True,,True,,True,False,True,True,False,
Wyoming,3100,6060.0,5814.1,6120.3,5783.0,5243.0,,7047.9,9916.0,5849.6,,8278.6,,6519.7,7303.0,2766.5,6594.0,4141.6,5977.0,3652.2,5016.0,5541.0,6126.3,3417.2,7082.5,8388.0,,5014.0,,2911.2,,4639.9,6133.3,5066.8,3608.0,7717.9,,2960.0,2714.1,3020.3,2683.0,2143.0,,3947.9,6816.0,2749.6,,5178.6,,3419.7,4203.0,-333.5,3494.0,1041.6,2877.0,552.2,1916.0,2441.0,3026.3,317.2,3982.5,5288.0,,1914.0,,-188.8,,1539.9,3033.3,1966.8,508.0,4617.9,,True,False,True,True,,False,False,True,,False,,False,False,True,False,True,True,True,True,True,False,True,False,False,,True,,True,,True,False,True,True,False,
US,3044187,4942432.0,4611651.9,5037257.9,4621947.0,5056205.0,4766889.0,4276355.7,6773335.0,8783672.0,4405335.8,,4617443.0,3375548.7,4759267.0,3055093.5,,4152566.9,,4543006.2,3216572.0,3973019.0,4632425.5,4047433.1,5310265.3,5231477.0,4798076.0,4581288.7,5286546.0,3807026.9,4231343.0,4743130.7,,5073802.1,3872424.0,6178745.8,3342168.6,1898245.0,1567464.9,1993070.9,1577760.0,2012018.0,1722702.0,1232168.7,3729148.0,5739485.0,1361148.8,,1573256.0,331361.7,1715080.0,10906.5,,1108379.9,,1498819.2,172385.0,928832.0,1588238.5,1003246.1,2266078.3,2187290.0,1753889.0,1537101.7,2242359.0,762839.9,1187156.0,1698943.7,,2029615.1,828237.0,3134558.8,297981.6,True,False,True,False,True,True,False,False,True,,True,True,True,True,,True,,True,True,True,True,True,False,False,True,True,False,True,True,True,,False,True,False,True
