,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nevada,2835,4445.0,3827.1,4239.8,3801.0,6720.0,3914.0,,4487.9,3848.0,,3241.5,3920.4,,3623.8,4924.0,3547.5,4125.0,4646.6,1680.0,3313.5,2737.5,3791.9,3867.5,4158.1,3626.6,4081.0,2527.0,,2800.7,3984.0,4002.8,,1281.6,4311.0,3585.0,,1610.0,992.1,1404.8,966.0,3885.0,1079.0,,1652.9,1013.0,,406.5,1085.4,,788.8,2089.0,712.5,1290.0,1811.6,-1155.0,478.5,-97.5,956.9,1032.5,1323.1,791.6,1246.0,-308.0,,-34.3,1149.0,1167.8,,-1553.4,1476.0,750.0,,True,True,True,False,True,,False,True,,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,
New Hampshire,2405,2444.0,1378.9,2352.2,2144.0,4207.0,2249.0,,2432.0,1668.0,,1967.9,2239.1,,2031.3,2692.0,1159.2,2452.0,2365.6,2111.5,1851.1,1668.0,1985.8,2058.4,3393.6,2108.9,2557.0,2094.0,,2319.1,2402.0,2507.2,,2452.7,2408.0,2075.0,,39.0,-1026.1,-52.8,-261.0,1802.0,-156.0,,27.0,-737.0,,-437.1,-165.9,,-373.7,287.0,-1245.8,47.0,-39.4,-293.5,-553.9,-737.0,-419.2,-346.6,988.6,-296.1,152.0,-311.0,,-85.9,-3.0,102.2,,47.7,3.0,-330.0,,False,False,False,False,False,,True,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,True,False,
New Jersey,20556,25984.0,16150.7,26658.7,22883.0,31608.0,23422.0,,22879.0,23564.0,,23811.2,15335.4,,21118.2,24691.0,12684.0,25671.0,20223.5,11283.0,20599.4,16706.5,19928.4,22886.1,22588.7,20963.6,23506.0,23321.0,,20775.0,26245.0,17689.2,,29850.8,25049.0,23395.1,,5428.0,-4405.3,6102.7,2327.0,11052.0,2866.0,,2323.0,3008.0,,3255.2,-5220.6,,562.2,4135.0,-7872.0,5115.0,-332.5,-9273.0,43.4,-3849.5,-627.6,2330.1,2032.7,407.6,2950.0,2765.0,,219.0,5689.0,-2866.8,,9294.8,4493.0,2839.1,,True,False,True,False,True,,True,True,,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,,True,False,True,,False,True,True,
New Mexico,2186,3075.0,2398.4,2969.2,2548.0,4617.0,2340.0,,2949.2,3089.0,,2369.2,2616.8,,2464.6,3795.0,2015.8,2877.0,2938.2,2611.0,2265.7,1933.5,2550.4,2754.9,2160.3,2572.3,2690.0,2150.0,,2386.0,2891.0,1884.0,,3792.0,2868.0,2521.6,,889.0,212.4,783.2,362.0,2431.0,154.0,,763.2,903.0,,183.2,430.8,,278.6,1609.0,-170.2,691.0,752.2,425.0,79.7,-252.5,364.4,568.9,-25.7,386.3,504.0,-36.0,,200.0,705.0,-302.0,,1606.0,682.0,335.6,,True,True,True,False,True,,True,False,,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
New York,53895,61239.0,37376.2,62379.4,52025.0,71309.0,50967.0,,53545.6,48716.0,,51603.2,50383.0,,50343.9,59103.0,39166.8,55779.0,57980.1,26508.5,47392.4,44489.5,52409.9,57384.0,47771.3,52282.8,57088.0,51798.0,,56033.2,68838.0,70316.2,,52680.5,53257.0,53655.7,,7344.0,-16518.8,8484.4,-1870.0,17414.0,-2928.0,,-349.4,-5179.0,,-2291.8,-3512.0,,-3551.1,5208.0,-14728.2,1884.0,4085.1,-27386.5,-6502.6,-9405.5,-1485.1,3489.0,-6123.7,-1612.2,3193.0,-2097.0,,2138.2,14943.0,16421.2,,-1214.5,-638.0,-239.3,,False,False,True,False,True,,True,True,,True,True,,True,True,False,True,True,False,True,False,True,True,True,True,True,True,,True,False,False,,True,True,True,
North Carolina,21372,27203.0,22573.8,26839.9,24780.0,37351.0,24568.0,,28796.2,21426.0,,22835.5,23650.9,,25052.5,35728.0,34716.9,22341.0,25584.0,12981.5,24901.6,17748.5,22345.6,21886.6,29064.9,24945.0,30436.0,23241.0,,23667.8,22343.0,33848.5,,31771.0,25608.0,26519.4,,5831.0,1201.8,5467.9,3408.0,15979.0,3196.0,,7424.2,54.0,,1463.5,2278.9,,3680.5,14356.0,13344.9,969.0,4212.0,-8390.5,3529.6,-3623.5,973.6,514.6,7692.9,3573.0,9064.0,1869.0,,2295.8,971.0,12476.5,,10399.0,4236.0,5147.4,,True,True,True,False,True,,False,True,,True,True,,True,False,False,True,True,False,True,True,True,True,False,True,False,True,,True,True,False,,False,True,True,
North Dakota,677,445.0,275.2,434.1,386.0,1473.0,253.0,,386.5,163.0,,288.8,322.3,,391.3,663.0,166.7,308.0,830.8,284.5,285.0,243.0,435.0,477.6,322.7,522.9,365.0,715.0,,402.9,401.0,222.7,,,384.0,366.2,,-232.0,-401.8,-242.9,-291.0,796.0,-424.0,,-290.5,-514.0,,-388.2,-354.7,,-285.7,-14.0,-510.3,-369.0,153.8,-392.5,-392.0,-434.0,-242.0,-199.4,-354.3,-154.1,-312.0,38.0,,-274.1,-276.0,-454.3,,,-293.0,-310.8,,False,False,False,False,False,,False,False,,False,False,,False,True,False,False,True,False,False,False,False,True,False,True,False,True,,False,False,False,,,False,False,
Ohio,14765,19462.0,33997.0,18900.2,18016.0,30111.0,16684.0,,19647.1,16870.0,,15134.2,16878.2,,15627.4,20990.0,14479.7,17640.0,19099.9,8242.0,17719.6,12857.5,16515.6,18289.2,25532.1,16100.7,18460.0,17955.0,,13007.3,19052.0,10788.5,,20751.7,18096.0,14683.0,,4697.0,19232.0,4135.2,3251.0,15346.0,1919.0,,4882.1,2105.0,,369.2,2113.2,,862.4,6225.0,-285.3,2875.0,4334.9,-6523.0,2954.6,-1907.5,1750.6,3524.2,10767.1,1335.7,3695.0,3190.0,,-1757.7,4287.0,-3976.5,,5986.7,3331.0,-82.0,,False,True,True,False,True,,False,True,,True,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,True,,False,True,True,
Oklahoma,6042,10496.0,9240.7,10548.3,10180.0,15336.0,9670.0,,11301.4,11627.0,,7022.7,7947.3,,9261.4,12576.0,10713.4,9651.0,10058.4,9484.0,9932.2,6614.5,8016.6,11344.3,11830.8,9311.1,11183.0,10913.0,,10217.5,10156.0,8833.6,,16062.3,10070.0,10204.1,,4454.0,3198.7,4506.3,4138.0,9294.0,3628.0,,5259.4,5585.0,,980.7,1905.3,,3219.4,6534.0,4671.4,3609.0,4016.4,3442.0,3890.2,572.5,1974.6,5302.3,5788.8,3269.1,5141.0,4871.0,,4175.5,4114.0,2791.6,,10020.3,4028.0,4162.1,,True,False,True,False,True,,False,False,,True,True,,True,False,False,True,True,True,True,True,True,False,False,True,False,False,,True,True,True,,False,True,True,
Oregon,2677,3293.0,2375.3,3377.7,3097.0,8412.0,2922.0,,3510.6,3410.0,,2411.6,2823.5,,2874.3,4070.0,3472.5,3280.0,3391.6,3188.5,3498.2,2404.0,2684.9,2109.1,3924.4,2937.5,3656.0,5089.0,,2831.6,3016.0,5365.1,,3011.5,3096.0,2993.3,,616.0,-301.7,700.7,420.0,5735.0,245.0,,833.6,733.0,,-265.4,146.5,,197.3,1393.0,795.5,603.0,714.6,511.5,821.2,-273.0,7.9,-567.9,1247.4,260.5,979.0,2412.0,,154.6,339.0,2688.1,,334.5,419.0,316.3,,True,False,True,False,True,,False,False,,True,True,,True,False,False,True,False,True,False,True,True,True,False,True,False,False,,True,True,False,,True,True,True,
Pennsylvania,19252,25438.0,16969.3,25910.1,22833.0,35727.0,24278.0,,24173.0,11440.0,,27234.8,19237.3,,20397.1,31501.0,17441.6,25370.0,25747.9,11012.5,22798.2,17045.5,19557.8,15834.4,23038.3,21574.5,22730.0,22768.0,,21713.4,24807.0,26507.8,,23767.6,24333.0,21128.8,,6186.0,-2282.7,6658.1,3581.0,16475.0,5026.0,,4921.0,-7812.0,,7982.8,-14.7,,1145.1,12249.0,-1810.4,6118.0,6495.9,-8239.5,3546.2,-2206.5,305.8,-3417.6,3786.3,2322.5,3478.0,3516.0,,2461.4,5555.0,7255.8,,4515.6,5081.0,1876.8,,True,False,True,False,True,,True,False,,False,True,,True,False,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,
Rhode Island,2324,2930.0,2049.0,2984.3,2481.0,6656.0,2585.0,,2762.9,2292.0,,2264.2,0.0,,2360.9,3501.0,1367.6,2766.0,3175.8,2186.5,2960.6,1729.5,2089.0,2561.4,3107.1,2665.6,2762.0,2408.0,,2148.4,3312.0,1541.5,,3477.2,2250.0,2189.2,,606.0,-275.0,660.3,157.0,4332.0,261.0,,438.9,-32.0,,-59.8,-2324.0,,36.9,1177.0,-956.4,442.0,851.8,-137.5,636.6,-594.5,-235.0,237.4,783.1,341.6,438.0,84.0,,-175.6,988.0,-782.5,,1153.2,-74.0,-134.8,,True,False,True,False,True,,True,True,,True,False,,True,False,False,True,False,True,False,True,True,True,False,True,True,True,,True,False,False,,False,True,True,
South Carolina,18137,20159.0,14423.7,19961.7,18686.0,24108.0,18276.0,,20050.0,15711.0,,19386.5,24784.7,,20801.6,20017.0,15867.4,19433.0,14640.7,9332.0,18439.2,17628.5,20380.0,18305.5,18155.9,19379.2,20473.0,16714.0,,17385.5,19673.0,25014.5,,19714.5,18867.0,19952.8,,2022.0,-3713.3,1824.7,549.0,5971.0,139.0,,1913.0,-2426.0,,1249.5,6647.7,,2664.6,1880.0,-2269.6,1296.0,-3496.3,-8805.0,302.2,-508.5,2243.0,168.5,18.9,1242.2,2336.0,-1423.0,,-751.5,1536.0,6877.5,,1577.5,730.0,1815.8,,False,True,True,False,True,,True,False,,True,False,,False,True,False,True,False,False,True,True,False,True,True,True,False,True,,True,True,False,,True,True,True,
South Dakota,960,1073.0,546.4,1119.3,907.0,2210.0,465.0,,970.0,907.0,,1194.4,817.5,,885.8,1088.0,652.4,1248.0,1220.6,833.0,672.1,616.0,948.5,403.3,649.7,837.1,884.0,1446.0,,525.1,1061.0,140.4,,,1119.0,948.7,,113.0,-413.6,159.3,-53.0,1250.0,-495.0,,10.0,-53.0,,234.4,-142.5,,-74.2,128.0,-307.6,288.0,260.6,-127.0,-287.9,-344.0,-11.5,-556.7,-310.3,-122.9,-76.0,486.0,,-434.9,101.0,-819.6,,,159.0,-11.3,,False,False,True,False,False,,True,True,,False,False,,True,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,True,False,,,False,True,
Tennessee,7937,13858.0,12348.7,13986.1,12424.0,21275.0,12364.0,,14299.0,5988.0,,9384.3,8578.2,,11324.6,17630.0,10558.1,13258.0,12432.8,5751.5,10569.0,7440.5,11202.7,12619.3,15649.7,10875.1,13565.0,13254.0,,11423.2,12484.0,14995.7,,17045.0,14157.0,18654.2,,5921.0,4411.7,6049.1,4487.0,13338.0,4427.0,,6362.0,-1949.0,,1447.3,641.2,,3387.6,9693.0,2621.1,5321.0,4495.8,-2185.5,2632.0,-496.5,3265.7,4682.3,7712.7,2938.1,5628.0,5317.0,,3486.2,4547.0,7058.7,,9108.0,6220.0,10717.2,,True,False,True,False,True,,False,True,,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,False,False,False,
Texas,29761,73888.0,76346.5,72821.5,73355.0,112802.0,63041.0,,74265.4,108349.0,,53287.6,52287.5,,61983.6,82562.0,143935.5,54800.0,87554.1,38267.5,64123.6,44385.5,58161.7,105970.9,95316.0,69699.4,79993.0,60185.0,,70336.4,80119.0,76047.2,,92864.6,61824.0,81296.6,,44127.0,46585.5,43060.5,43594.0,83041.0,33280.0,,44504.4,78588.0,,23526.6,22526.5,,32222.6,52801.0,114174.5,25039.0,57793.1,8506.5,34362.6,14624.5,28400.7,76209.9,65555.0,39938.4,50232.0,30424.0,,40575.4,50358.0,46286.2,,63103.6,32063.0,51535.6,,False,True,True,False,True,,False,False,,True,True,,True,False,False,True,False,True,True,True,True,False,False,True,False,True,,True,False,False,,False,True,False,
Utah,5450,6884.0,3198.3,6563.0,5687.0,9937.0,4308.0,,6798.1,6007.0,,5389.8,5855.6,,5499.3,7692.0,4066.6,6058.0,5695.8,5946.0,5306.7,4070.5,5687.1,6969.5,7470.9,5737.1,6370.0,5658.0,,5929.4,6476.0,3855.3,,,6407.0,4482.8,,1434.0,-2251.7,1113.0,237.0,4487.0,-1142.0,,1348.1,557.0,,-60.2,405.6,,49.3,2242.0,-1383.4,608.0,245.8,496.0,-143.3,-1379.5,237.1,1519.5,2020.9,287.1,920.0,208.0,,479.4,1026.0,-1594.7,,,957.0,-967.2,,False,True,True,False,True,,True,True,,True,True,,True,False,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,False,,,True,True,
Vermont,798,795.0,492.2,795.6,805.0,1553.0,829.0,,795.8,1492.0,,597.0,878.2,,781.2,910.0,1162.1,722.0,835.2,828.0,953.0,770.0,723.8,807.2,825.2,834.9,1009.0,803.0,,845.3,802.0,1039.4,,849.2,906.0,841.8,,-3.0,-305.8,-2.4,7.0,755.0,31.0,,-2.2,694.0,,-201.0,80.2,,-16.8,112.0,364.1,-76.0,37.2,30.0,155.0,-28.0,-74.2,9.2,27.2,36.9,211.0,5.0,,47.3,4.0,241.4,,51.2,108.0,43.8,,False,True,False,False,False,,True,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Virginia,14388,21248.0,13360.1,21759.3,18988.0,29254.0,20345.0,,21731.7,18120.0,,23132.3,19148.5,,17596.9,23148.0,12531.7,21526.0,19538.9,17069.0,17804.5,16501.5,18414.9,17742.3,23880.8,20086.2,23347.0,19097.0,,17004.1,20752.0,28037.3,,15069.4,18929.0,20777.4,,6860.0,-1027.9,7371.3,4600.0,14866.0,5957.0,,7343.7,3732.0,,8744.3,4760.5,,3208.9,8760.0,-1856.3,7138.0,5150.9,2681.0,3416.5,2113.5,4026.9,3354.3,9492.8,5698.2,8959.0,4709.0,,2616.1,6364.0,13649.3,,681.4,4541.0,6389.4,,True,False,True,False,True,,False,True,,False,True,,True,False,True,False,True,True,True,True,True,True,False,True,False,True,,True,True,False,,True,True,True,
Washington,5747,7901.0,6540.8,7814.1,7392.0,17310.0,7081.0,,8096.4,9479.0,,6258.8,2830.4,,6835.4,9714.0,7081.2,7410.0,8900.4,6840.5,6508.8,4449.0,5088.2,4280.7,10110.5,6683.9,7917.0,10378.0,,7540.0,8221.0,12785.9,,9546.1,5640.0,7965.8,,2154.0,793.8,2067.1,1645.0,11563.0,1334.0,,2349.4,3732.0,,511.8,-2916.6,,1088.4,3967.0,1334.2,1663.0,3153.4,1093.5,761.8,-1298.0,-658.8,-1466.3,4363.5,936.9,2170.0,4631.0,,1793.0,2474.0,7038.9,,3799.1,-107.0,2218.8,,True,True,True,False,True,,False,False,,True,False,,True,False,True,True,False,True,True,True,True,True,False,True,False,False,,True,False,False,,False,True,False,
West Virginia,2082,3092.0,2317.5,3127.6,2778.0,5000.0,2851.0,,3111.4,2768.0,,2356.2,2283.1,,2481.0,2964.0,2195.9,2921.0,3094.8,2627.0,2416.8,1949.0,2350.4,2544.3,3074.7,2630.6,3024.0,3289.0,,2842.6,2788.0,3396.3,,2082.5,2734.0,2601.1,,1010.0,235.5,1045.6,696.0,2918.0,769.0,,1029.4,686.0,,274.2,201.1,,399.0,882.0,113.9,839.0,1012.8,545.0,334.8,-133.0,268.4,462.3,992.7,548.6,942.0,1207.0,,760.6,706.0,1314.3,,0.5,652.0,519.1,,True,False,True,False,True,,False,True,,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,True,True,True,
Wisconsin,5138,6635.0,4724.0,6476.7,5821.0,12319.0,6215.0,,6895.0,5780.0,,5006.1,4915.8,,5361.7,7098.0,4949.2,5745.0,11099.1,2693.5,4999.2,3877.5,5618.6,2960.4,6690.8,5954.6,6527.0,6394.0,,5485.0,6712.0,3024.4,,5385.5,6086.0,5135.6,,1497.0,-414.0,1338.7,683.0,7181.0,1077.0,,1757.0,642.0,,-131.9,-222.2,,223.7,1960.0,-188.8,607.0,5961.1,-2444.5,-138.8,-1260.5,480.6,-2177.6,1552.8,816.6,1389.0,1256.0,,347.0,1574.0,-2113.6,,247.5,948.0,-2.4,,True,True,True,False,True,,False,True,,True,True,,True,False,True,True,False,False,True,True,True,False,False,True,True,True,,True,False,False,,True,True,True,
Wyoming,597,468.0,451.1,454.4,466.0,1424.0,394.0,,510.3,1542.0,,185.5,354.5,,381.5,808.0,572.4,319.0,681.3,335.5,636.3,189.0,369.5,136.9,679.8,468.7,532.0,771.0,,396.7,,771.1,,645.8,359.0,465.7,,-129.0,-145.9,-142.6,-131.0,827.0,-203.0,,-86.7,945.0,,-411.5,-242.5,,-215.5,211.0,-24.6,-278.0,84.3,-261.5,39.3,-408.0,-227.5,-460.1,82.8,-128.3,-65.0,174.0,,-200.3,,174.1,,48.8,-238.0,-131.3,,False,False,False,False,False,,True,False,,False,False,,False,False,True,False,True,False,True,False,False,False,True,True,True,False,,False,,False,,True,False,False,
US,472707,657557.0,559288.7,667051.9,577180.0,847842.0,566589.0,610987.0,613396.5,571127.0,570068.6,498813.0,,654114.0,516389.6,689722.0,577180.1,586124.0,714379.6,,535257.7,423473.0,518155.4,687338.0,736430.4,568591.0,648651.0,524796.0,629338.5,507949.2,559981.0,732834.9,582126.0,546684.3,594245.0,569948.3,660114.8,184850.0,86581.7,194344.9,104473.0,375135.0,93882.0,138280.0,140689.5,98420.0,97361.6,26106.0,,181407.0,43682.6,217015.0,104473.1,113417.0,241672.6,,62550.7,-49234.0,45448.4,214631.0,263723.4,95884.0,175944.0,52089.0,156631.5,35242.2,87274.0,260127.9,109419.0,73977.3,121538.0,97241.3,187407.8,True,False,True,False,True,True,True,True,True,True,,True,True,False,True,True,False,,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False
