,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
17085,45,90.0,,79.0,,88.0,88.0,96.0,,,,,62.3,,85.3,,,121.0,52.0,,80.6,,,27.0,66.0,,,,90.0,115.0,132.6,,,,,,,,,,101.5,106.2,45.0,,34.0,,43.0,43.0,51.0,,,,,17.3,,40.3,,,76.0,7.0,,35.6,,,-18.0,21.0,,,,45.0,70.0,87.6,,,,,,,,,,56.5,61.2,,True,,True,True,False,,,,,True,,True,,,False,True,,True,,,True,True,,,,False,False,False,,,,,,,,,,False,False
17087,44,123.0,,179.1,,102.0,115.0,64.0,,,,,90.3,,104.0,,,93.0,13.4,,89.3,,,59.0,72.3,,,,129.0,105.0,120.6,,,,,,,,,,104.4,190.0,79.0,,135.1,,58.0,71.0,20.0,,,,,46.3,,60.0,,,49.0,-30.6,,45.3,,,15.0,28.3,,,,85.0,61.0,76.6,,,,,,,,,,60.4,146.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,False,True,True,,,,,,,,,,True,False
17089,1924,3273.0,,3158.0,4315.7,2854.0,2994.0,2635.0,,,,,2380.2,,3260.4,,2673.6,3701.0,1884.9,,4201.4,4009.5,,2180.5,2318.7,,,,2687.0,3127.0,4744.7,,,,,,2496.2,1777.0,,,2606.5,3021.1,1349.0,,1234.0,2391.7,930.0,1070.0,711.0,,,,,456.2,,1336.4,,749.6,1777.0,-39.1,,2277.4,2085.5,,256.5,394.7,,,,763.0,1203.0,2820.7,,,,,,572.2,-147.0,,,682.5,1097.1,,True,False,True,True,True,,,,,True,,True,,True,False,True,,False,False,,True,True,,,,True,True,False,,,,,,True,True,,,True,True
17091,457,531.0,,536.5,,513.0,602.0,580.0,,,,,426.6,,569.7,,,820.0,297.3,,717.0,577.0,,324.5,375.7,,,,459.0,562.0,1183.3,,,,,,882.8,,,,465.9,696.1,74.0,,79.5,,56.0,145.0,123.0,,,,,-30.4,,112.7,,,363.0,-159.7,,260.0,120.0,,-132.5,-81.3,,,,2.0,105.0,726.3,,,,,,425.8,,,,8.9,239.1,,False,,True,False,False,,,,,True,,False,,,False,False,,False,False,,False,False,,,,True,False,False,,,,,,False,,,,True,False
17093,573,1035.0,,1084.2,,902.0,903.0,984.0,,,,,595.7,,783.3,,,890.0,413.8,,827.8,1266.5,,659.0,713.2,,,,899.0,846.0,1214.6,,,,,,873.2,683.0,,,928.7,1041.3,462.0,,511.2,,329.0,330.0,411.0,,,,,22.7,,210.3,,,317.0,-159.2,,254.8,693.5,,86.0,140.2,,,,326.0,273.0,641.6,,,,,,300.2,110.0,,,355.7,468.3,,False,,True,True,True,,,,,True,,True,,,True,True,,True,False,,True,True,,,,True,True,False,,,,,,True,True,,,True,False
17095,209,282.0,,284.6,,262.0,273.0,225.0,,,,,250.5,,231.1,,,350.0,79.1,,297.0,296.5,,132.0,179.4,,,,190.0,297.0,404.0,,,,,,634.4,,,,141.4,303.3,73.0,,75.6,,53.0,64.0,16.0,,,,,41.5,,22.1,,,141.0,-129.9,,88.0,87.5,,-77.0,-29.6,,,,-19.0,88.0,195.0,,,,,,425.4,,,,-67.6,94.3,,False,,True,True,True,,,,,True,,True,,,False,False,,False,False,,False,True,,,,True,False,False,,,,,,False,,,,True,False
17097,2776,4059.0,,4107.7,5207.5,3511.0,3516.0,3305.0,,,,,2996.5,,3651.7,,3013.6,4978.0,2138.7,,4679.5,4077.0,,2736.5,2730.5,,,,3184.0,4070.0,5541.5,,,,,,2855.8,2143.0,,,3703.0,3411.2,1283.0,,1331.7,2431.5,735.0,740.0,529.0,,,,,220.5,,875.7,,237.6,2202.0,-637.3,,1903.5,1301.0,,-39.5,-45.5,,,,408.0,1294.0,2765.5,,,,,,79.8,-633.0,,,927.0,635.2,,False,False,True,True,True,,,,,True,,True,,True,False,True,,False,False,,True,True,,,,True,False,False,,,,,,True,True,,,True,True
17099,545,897.0,,823.7,,766.0,797.0,974.0,,,,,620.8,,733.9,,,713.0,572.1,,978.1,635.5,,606.0,643.0,,,,755.0,1021.0,981.4,,,,,,677.2,,,,736.1,,352.0,,278.7,,221.0,252.0,429.0,,,,,75.8,,188.9,,,168.0,27.1,,433.1,90.5,,61.0,98.0,,,,210.0,476.0,436.4,,,,,,132.2,,,,191.1,,,True,,True,True,False,,,,,True,,True,,,True,True,,False,True,,True,True,,,,True,False,False,,,,,,True,,,,True,
17101,55,45.0,,57.2,,51.0,90.0,49.0,,,,,103.4,,96.5,,,126.0,15.1,,88.6,,,3.0,47.1,,,,46.0,61.0,217.1,,,,,,,,,,4.6,146.5,-10.0,,2.2,,-4.0,35.0,-6.0,,,,,48.4,,41.5,,,71.0,-39.9,,33.6,,,-52.0,-7.9,,,,-9.0,6.0,162.1,,,,,,,,,,-50.4,91.5,,True,,True,False,True,,,,,False,,False,,,False,False,,False,,,False,True,,,,True,True,False,,,,,,,,,,False,False
17103,95,222.0,,207.1,,202.0,238.0,232.0,,,,,186.8,,285.3,,,221.0,115.8,,233.8,214.0,,158.0,157.2,,,,177.0,246.0,280.3,,,,,,179.8,,,,210.7,339.7,127.0,,112.1,,107.0,143.0,137.0,,,,,91.8,,190.3,,,126.0,20.8,,138.8,119.0,,63.0,62.2,,,,82.0,151.0,185.3,,,,,,84.8,,,,115.7,244.7,,True,,True,False,False,,,,,True,,False,,,True,True,,False,True,,True,True,,,,True,False,False,,,,,,True,,,,True,False
17105,200,423.0,,419.9,,360.0,341.0,429.0,,,,,232.2,,332.3,,,270.0,161.3,,363.5,309.0,,275.0,272.7,,,,355.0,373.0,356.9,,,,,,324.9,,,,395.3,388.5,223.0,,219.9,,160.0,141.0,229.0,,,,,32.2,,132.3,,,70.0,-38.7,,163.5,109.0,,75.0,72.7,,,,155.0,173.0,156.9,,,,,,124.9,,,,195.3,188.5,,True,,True,True,False,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True,True
17107,75,156.0,,151.7,,159.0,189.0,172.0,,,,,171.4,,191.5,,,221.0,60.6,,239.0,,,61.0,111.9,,,,137.0,171.0,336.8,,,,,,,,,,152.4,274.9,81.0,,76.7,,84.0,114.0,97.0,,,,,96.4,,116.5,,,146.0,-14.4,,164.0,,,-14.0,36.9,,,,62.0,96.0,261.8,,,,,,,,,,77.4,199.9,,True,,False,False,False,,,,,False,,False,,,False,True,,False,,,True,True,,,,True,False,False,,,,,,,,,,True,False
17109,73,108.0,,114.4,,112.0,136.0,96.0,,,,,87.5,,125.8,,,203.0,116.7,,140.5,124.0,,66.0,90.9,,,,100.0,135.0,217.1,,,,,,102.9,,,,108.6,161.0,35.0,,41.4,,39.0,63.0,23.0,,,,,14.5,,52.8,,,130.0,43.7,,67.5,51.0,,-7.0,17.9,,,,27.0,62.0,144.1,,,,,,29.9,,,,35.6,88.0,,False,,False,False,True,,,,,True,,False,,,False,False,,False,False,,True,True,,,,True,False,False,,,,,,True,,,,False,False
17111,1261,1659.0,,1701.5,,1314.0,1609.0,1163.0,,,,,1280.8,,1603.4,,1163.7,1857.0,805.7,,1937.3,1522.5,,1088.5,1188.6,,,,1340.0,1650.0,2513.2,,,,,,1550.1,1065.0,,,1239.9,1692.1,398.0,,440.5,,53.0,348.0,-98.0,,,,,19.8,,342.4,,-97.3,596.0,-455.3,,676.3,261.5,,-172.5,-72.4,,,,79.0,389.0,1252.2,,,,,,289.1,-196.0,,,-21.1,431.1,,False,,True,True,True,,,,,True,,True,,True,False,False,,False,True,,True,True,,,,True,True,False,,,,,,True,True,,,True,False
17113,591,912.0,,926.5,,722.0,949.0,578.0,,,,,700.7,,778.8,,,1288.0,374.3,,1263.6,946.5,,596.0,645.4,,,,794.0,773.0,1456.5,,,,,,795.7,433.0,,,520.0,1351.5,321.0,,335.5,,131.0,358.0,-13.0,,,,,109.7,,187.8,,,697.0,-216.7,,672.6,355.5,,5.0,54.4,,,,203.0,182.0,865.5,,,,,,204.7,-158.0,,,-71.0,760.5,,False,,True,False,True,,,,,True,,True,,,False,True,,False,False,,True,True,,,,True,True,False,,,,,,True,True,,,True,False
17115,277,411.0,,427.9,,374.0,496.0,199.0,,,,,389.6,,681.0,,,797.0,194.4,,657.1,373.0,,241.0,300.2,,,,320.0,420.0,925.5,,,,,,414.3,,,,331.5,655.6,134.0,,150.9,,97.0,219.0,-78.0,,,,,112.6,,404.0,,,520.0,-82.6,,380.1,96.0,,-36.0,23.2,,,,43.0,143.0,648.5,,,,,,137.3,,,,54.5,378.6,,False,,True,False,True,,,,,True,,False,,,False,True,,False,True,,True,True,,,,True,False,False,,,,,,False,,,,True,False
17117,185,375.0,,351.9,,339.0,366.0,413.0,,,,,278.3,,323.9,,,356.0,186.5,,368.1,282.5,,229.0,257.8,,,,337.0,367.0,474.4,,,,,,425.3,,,,323.0,466.5,190.0,,166.9,,154.0,181.0,228.0,,,,,93.3,,138.9,,,171.0,1.5,,183.1,97.5,,44.0,72.8,,,,152.0,182.0,289.4,,,,,,240.3,,,,138.0,281.5,,True,,True,True,False,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,False,,,,True,False
17119,1583,2505.0,,2533.6,,2177.0,2389.0,2455.0,,,,,1610.3,,1585.3,,,2100.0,1431.6,,2458.1,1920.5,,2104.5,1957.7,,,,2078.0,2147.0,3106.1,,,,,,2274.4,1730.0,,,2220.0,2647.7,922.0,,950.6,,594.0,806.0,872.0,,,,,27.3,,2.3,,,517.0,-151.4,,875.1,337.5,,521.5,374.7,,,,495.0,564.0,1523.1,,,,,,691.4,147.0,,,637.0,1064.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,True,False
17121,79,330.0,,315.6,,252.0,278.0,209.0,,,,,233.8,,239.5,,,304.0,91.2,,288.8,237.0,,159.0,185.3,,,,221.0,319.0,393.0,,,,,,444.0,,,,217.2,348.9,251.0,,236.6,,173.0,199.0,130.0,,,,,154.8,,160.5,,,225.0,12.2,,209.8,158.0,,80.0,106.3,,,,142.0,240.0,314.0,,,,,,365.0,,,,138.2,269.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,False,,,,True,False
17123,86,126.0,,127.3,,103.0,103.0,145.0,,,,,44.0,,65.4,,,68.0,120.1,,72.6,,,107.0,96.1,,,,131.0,102.0,85.8,,,,,,,,,,97.5,114.2,40.0,,41.3,,17.0,17.0,59.0,,,,,-42.0,,-20.6,,,-18.0,34.1,,-13.4,,,21.0,10.1,,,,45.0,16.0,-0.2,,,,,,,,,,11.5,28.2,,False,,True,True,False,,,,,False,,True,,,True,True,,True,,,True,True,,,,False,True,True,,,,,,,,,,True,True
17125,48,90.0,,88.0,,65.0,78.0,62.0,,,,,60.9,,106.6,,,96.0,18.8,,73.9,,,56.0,53.8,,,,57.0,72.0,118.9,,,,,,,,,,38.8,98.9,42.0,,40.0,,17.0,30.0,14.0,,,,,12.9,,58.6,,,48.0,-29.2,,25.9,,,8.0,5.8,,,,9.0,24.0,70.9,,,,,,,,,,-9.2,50.9,,True,,True,True,True,,,,,True,,False,,,False,True,,True,,,True,True,,,,True,True,False,,,,,,,,,,True,False
17127,123,153.0,,151.6,,133.0,133.0,152.0,,,,,68.5,,157.6,,,133.0,87.8,,102.5,,,130.0,112.3,,,,124.0,114.0,135.8,,,,,,,,,,153.5,155.7,30.0,,28.6,,10.0,10.0,29.0,,,,,-54.5,,34.6,,,10.0,-35.2,,-20.5,,,7.0,-10.7,,,,1.0,-9.0,12.8,,,,,,,,,,30.5,32.7,,True,,True,True,True,,,,,False,,False,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,False,False
17129,74,120.0,,121.2,,104.0,108.0,118.0,,,,,61.2,,156.2,,,87.0,60.0,,89.1,,,100.0,111.2,,,,96.0,100.0,115.1,,,,,,,,,,98.0,126.2,46.0,,47.2,,30.0,34.0,44.0,,,,,-12.8,,82.2,,,13.0,-14.0,,15.1,,,26.0,37.2,,,,22.0,26.0,41.1,,,,,,,,,,24.0,52.2,,False,,True,True,True,,,,,True,,False,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True,False
17131,62,78.0,,71.9,,62.0,63.0,40.0,,,,,49.8,,86.3,,,108.0,9.8,,89.3,,,36.0,42.0,,,,44.0,73.0,101.7,,,,,,,,,,56.1,77.7,16.0,,9.9,,0.0,1.0,-22.0,,,,,-12.2,,24.3,,,46.0,-52.2,,27.3,,,-26.0,-20.0,,,,-18.0,11.0,39.7,,,,,,,,,,-5.9,15.7,,True,,True,True,False,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,True,False,,,,,,,,,,True,True
17133,219,408.0,,400.7,,290.0,332.0,234.0,,,,,228.9,,258.1,,,254.0,111.9,,281.9,284.0,,231.0,273.6,,,,296.0,312.0,429.0,,,,,,477.8,,,,282.8,383.2,189.0,,181.7,,71.0,113.0,15.0,,,,,9.9,,39.1,,,35.0,-107.1,,62.9,65.0,,12.0,54.6,,,,77.0,93.0,210.0,,,,,,258.8,,,,63.8,164.2,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,False,,,,True,True
17135,193,279.0,,232.1,,244.0,322.0,116.0,,,,,296.8,,252.2,,,250.0,40.3,,321.0,,,172.0,209.3,,,,232.0,249.0,505.7,,,,,,1117.3,,,,235.5,462.7,86.0,,39.1,,51.0,129.0,-77.0,,,,,103.8,,59.2,,,57.0,-152.7,,128.0,,,-21.0,16.3,,,,39.0,56.0,312.7,,,,,,924.3,,,,42.5,269.7,,True,,True,False,True,,,,,False,,True,,,True,False,,False,,,True,True,,,,True,True,False,,,,,,False,,,,True,False
17137,198,162.0,,159.6,,152.0,181.0,133.0,,,,,138.3,,154.0,,,246.0,68.3,,199.5,143.5,,74.0,106.2,,,,110.0,180.0,389.6,,,,,,147.2,,,,119.7,211.0,-36.0,,-38.4,,-46.0,-17.0,-65.0,,,,,-59.7,,-44.0,,,48.0,-129.7,,1.5,-54.5,,-124.0,-91.8,,,,-88.0,-18.0,191.6,,,,,,-50.8,,,,-78.3,13.0,,False,,False,True,False,,,,,False,,False,,,False,False,,True,False,,False,False,,,,False,True,False,,,,,,False,,,,False,True
17139,52,51.0,,57.3,,60.0,72.0,40.0,,,,,66.0,,75.9,,,131.0,77.6,,83.4,,,30.0,52.9,,,,59.0,67.0,141.6,,,,,,,,,,38.0,84.6,-1.0,,5.3,,8.0,20.0,-12.0,,,,,14.0,,23.9,,,79.0,25.6,,31.4,,,-22.0,0.9,,,,7.0,15.0,89.6,,,,,,,,,,-14.0,32.6,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,,,,False,False
17141,153,309.0,,339.9,,272.0,285.0,192.0,,,,,253.6,,276.6,,,292.0,76.6,,306.1,305.5,,115.0,187.5,,,,242.0,339.0,406.6,,,,,,542.8,,,,179.2,363.8,156.0,,186.9,,119.0,132.0,39.0,,,,,100.6,,123.6,,,139.0,-76.4,,153.1,152.5,,-38.0,34.5,,,,89.0,186.0,253.6,,,,,,389.8,,,,26.2,210.8,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,False,False,,,,,,False,,,,True,False
17143,928,1170.0,,1146.9,,941.0,1011.0,738.0,,,,,943.3,,1074.8,,,1188.0,594.8,,1275.2,1103.0,,557.0,747.5,,,,923.0,1072.0,1754.0,,,,,,849.2,459.0,,,299.2,1185.5,242.0,,218.9,,13.0,83.0,-190.0,,,,,15.3,,146.8,,,260.0,-333.2,,347.2,175.0,,-371.0,-180.5,,,,-5.0,144.0,826.0,,,,,,-78.8,-469.0,,,-628.8,257.5,,True,,True,True,True,,,,,True,,True,,,False,False,,False,True,,False,True,,,,True,True,False,,,,,,True,False,,,False,False
17145,145,294.0,,320.2,,276.0,248.0,207.0,,,,,212.2,,169.6,,,175.0,108.7,,265.3,,,73.0,164.1,,,,228.0,254.0,302.6,,,,,,189.7,,,,300.4,376.8,149.0,,175.2,,131.0,103.0,62.0,,,,,67.2,,24.6,,,30.0,-36.3,,120.3,,,-72.0,19.1,,,,83.0,109.0,157.6,,,,,,44.7,,,,155.4,231.8,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,False,,,,,,True,,,,False,False
17147,74,99.0,,98.6,,69.0,88.0,53.0,,,,,56.1,,92.6,,,127.0,22.0,,91.4,,,55.0,66.6,,,,79.0,91.0,114.8,,,,,,,,,,58.2,116.8,25.0,,24.6,,-5.0,14.0,-21.0,,,,,-17.9,,18.6,,,53.0,-52.0,,17.4,,,-19.0,-7.4,,,,5.0,17.0,40.8,,,,,,,,,,-15.8,42.8,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,False,,,,,,,,,,True,False
17149,39,129.0,,123.0,,101.0,102.0,97.0,,,,,75.1,,88.1,,,114.0,65.7,,121.6,,,65.0,72.3,,,,103.0,102.0,149.3,,,,,,,,,,104.3,118.7,90.0,,84.0,,62.0,63.0,58.0,,,,,36.1,,49.1,,,75.0,26.7,,82.6,,,26.0,33.3,,,,64.0,63.0,110.3,,,,,,,,,,65.3,79.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,False,,,,,,,,,,True,True
17151,17,24.0,,23.2,,17.0,19.0,13.0,,,,,20.9,,13.9,,,31.0,12.9,,20.5,,,6.0,14.5,,,,20.0,24.0,,,,,,,,,,,11.8,26.3,7.0,,6.2,,0.0,2.0,-4.0,,,,,3.9,,-3.1,,,14.0,-4.1,,3.5,,,-11.0,-2.5,,,,3.0,7.0,,,,,,,,,,,-5.2,9.3,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,False,True,,,,True,False,,,,,,,,,,,True,False
17153,25,63.0,,64.8,,45.0,56.0,21.0,,,,,32.5,,57.5,,,46.0,20.7,,39.5,,,40.0,40.2,,,,28.0,47.0,71.3,,,,,,,,,,52.5,76.8,38.0,,39.8,,20.0,31.0,-4.0,,,,,7.5,,32.5,,,21.0,-4.3,,14.5,,,15.0,15.2,,,,3.0,22.0,46.3,,,,,,,,,,27.5,51.8,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,False,,,,,,,,,,True,False
17155,33,54.0,,56.1,,32.0,40.0,14.0,,,,,17.5,,30.2,,,36.0,17.4,,32.7,,,26.0,31.8,,,,27.0,54.0,38.6,,,,,,,,,,38.0,44.7,21.0,,23.1,,-1.0,7.0,-19.0,,,,,-15.5,,-2.8,,,3.0,-15.6,,-0.3,,,-7.0,-1.2,,,,-6.0,21.0,5.6,,,,,,,,,,5.0,11.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,True,,,,,,,,,,True,True
17157,87,183.0,,180.4,,186.0,196.0,212.0,,,,,199.6,,230.6,,,282.0,56.3,,265.3,149.5,,51.0,120.0,,,,138.0,236.0,325.8,,,,,,228.6,,,,60.8,265.1,96.0,,93.4,,99.0,109.0,125.0,,,,,112.6,,143.6,,,195.0,-30.7,,178.3,62.5,,-36.0,33.0,,,,51.0,149.0,238.8,,,,,,141.6,,,,-26.2,178.1,,True,,False,False,False,,,,,False,,False,,,False,True,,False,True,,True,True,,,,True,False,False,,,,,,False,,,,True,False
17159,36,81.0,,81.9,,69.0,90.0,41.0,,,,,85.9,,95.2,,,122.0,24.3,,81.9,,,46.0,64.4,,,,63.0,75.0,161.8,,,,,,,,,,11.5,122.0,45.0,,45.9,,33.0,54.0,5.0,,,,,49.9,,59.2,,,86.0,-11.7,,45.9,,,10.0,28.4,,,,27.0,39.0,125.8,,,,,,,,,,-24.5,86.0,,False,,True,False,True,,,,,False,,False,,,False,True,,False,,,True,True,,,,True,True,False,,,,,,,,,,True,False
17161,541,672.0,,668.6,,681.0,730.0,490.0,,,,,566.1,,715.5,,,1000.0,1032.8,,823.8,811.0,,543.0,555.7,,,,562.0,810.0,1156.1,,,,,,1443.5,465.0,,,612.7,714.1,131.0,,127.6,,140.0,189.0,-51.0,,,,,25.1,,174.5,,,459.0,491.8,,282.8,270.0,,2.0,14.7,,,,21.0,269.0,615.1,,,,,,902.5,-76.0,,,71.7,173.1,,True,,False,False,True,,,,,True,,False,,,False,False,,False,False,,True,True,,,,True,False,False,,,,,,False,True,,,True,False
17163,1446,2139.0,,2069.6,,1771.0,1832.0,1380.0,,,,,1696.5,,1627.1,,,1817.0,940.5,,2235.2,4469.5,,1118.0,1436.7,,,,1699.0,2007.0,3032.5,,,,,,1746.9,990.0,,,1686.5,1825.9,693.0,,623.6,,325.0,386.0,-66.0,,,,,250.5,,181.1,,,371.0,-505.5,,789.2,3023.5,,-328.0,-9.3,,,,253.0,561.0,1586.5,,,,,,300.9,-456.0,,,240.5,379.9,,True,,True,True,True,,,,,True,,True,,,True,True,,False,False,,True,True,,,,True,True,False,,,,,,True,True,,,True,True
17165,130,159.0,,147.8,,138.0,155.0,108.0,,,,,137.7,,140.4,,,200.0,63.9,,128.8,,,78.0,100.1,,,,111.0,163.0,292.7,,,,,,,,,,134.0,185.6,29.0,,17.8,,8.0,25.0,-22.0,,,,,7.7,,10.4,,,70.0,-66.1,,-1.2,,,-52.0,-29.9,,,,-19.0,33.0,162.7,,,,,,,,,,4.0,55.6,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,False,False,,,,True,False,False,,,,,,,,,,True,False
17167,722,1116.0,,1077.3,,871.0,1056.0,853.0,,,,,668.6,,1152.7,,,1425.0,706.9,,1242.1,771.5,,768.0,824.4,,,,846.0,1077.0,1684.7,,,,,,1372.0,701.0,,,985.3,1099.7,394.0,,355.3,,149.0,334.0,131.0,,,,,-53.4,,430.7,,,703.0,-15.1,,520.1,49.5,,46.0,102.4,,,,124.0,355.0,962.7,,,,,,650.0,-21.0,,,263.3,377.7,,True,,True,True,True,,,,,True,,False,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,False,True,,,True,True
17169,14,36.0,,44.3,,42.0,50.0,0.0,,,,,34.7,,37.4,,,61.0,41.8,,43.3,,,14.0,27.0,,,,47.0,48.0,70.8,,,,,,,,,,34.3,81.6,22.0,,30.3,,28.0,36.0,-14.0,,,,,20.7,,23.4,,,47.0,27.8,,29.3,,,0.0,13.0,,,,33.0,34.0,56.8,,,,,,,,,,20.3,67.6,,False,,False,False,True,,,,,True,,False,,,False,False,,False,,,True,True,,,,False,False,False,,,,,,,,,,True,False
17171,25,42.0,,47.9,,44.0,45.0,41.0,,,,,28.7,,48.5,,,36.0,95.4,,51.3,,,48.0,35.7,,,,44.0,43.0,45.1,,,,,,,,,,48.4,,17.0,,22.9,,19.0,20.0,16.0,,,,,3.7,,23.5,,,11.0,70.4,,26.3,,,23.0,10.7,,,,19.0,18.0,20.1,,,,,,,,,,23.4,,,False,,False,False,True,,,,,True,,False,,,True,False,,False,,,False,True,,,,False,False,False,,,,,,,,,,False,
17173,68,84.0,,102.3,,103.0,125.0,115.0,,,,,92.6,,82.7,,,202.0,49.3,,106.0,,,58.0,69.1,,,,101.0,139.0,213.1,,,,,,,,,,50.0,165.4,16.0,,34.3,,35.0,57.0,47.0,,,,,24.6,,14.7,,,134.0,-18.7,,38.0,,,-10.0,1.1,,,,33.0,71.0,145.1,,,,,,,,,,-18.0,97.4,,False,,False,False,False,,,,,False,,True,,,False,False,,False,,,True,True,,,,False,False,False,,,,,,,,,,False,False
17175,32,12.0,,14.3,,12.0,25.0,0.0,,,,,22.4,,24.6,,,36.0,1.7,,12.4,,,2.0,10.9,,,,9.0,26.0,61.1,,,,,,,,,,1.5,32.5,-20.0,,-17.7,,-20.0,-7.0,-32.0,,,,,-9.6,,-7.4,,,4.0,-30.3,,-19.6,,,-30.0,-21.1,,,,-23.0,-6.0,29.1,,,,,,,,,,-30.5,0.5,,True,,False,True,False,,,,,True,,True,,,True,False,,True,,,False,False,,,,False,True,False,,,,,,,,,,False,True
