,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Nebraska,5330,5702.0,2379.2,5320.7,5308.0,5503.0,4238.0,,5852.9,3630.0,5892.8,,5380.5,,4267.1,4827.0,3619.2,5790.0,7213.7,5548.0,5042.8,3394.5,4585.9,5729.0,5046.6,5043.0,5490.0,5607.0,,5765.7,5064.0,1745.5,,5790.5,5710.1,7293.7,5664.0,,372.0,-2950.8,-9.3,-22.0,173.0,-1092.0,,522.9,-1700.0,562.8,,50.5,,-1062.9,-503.0,-1710.8,460.0,1883.7,218.0,-287.2,-1935.5,-744.1,399.0,-283.4,-287.0,160.0,277.0,,435.7,-266.0,-3584.5,,460.5,380.1,1963.7,334.0,,False,True,True,True,False,,False,False,False,,True,,False,False,False,False,False,True,True,False,False,False,True,True,True,True,,False,True,False,,False,False,False,True,
Nevada,7280,12084.0,9697.5,11977.8,9541.0,7449.0,11611.0,,11169.0,9282.0,10785.5,,11383.7,,8968.3,6535.0,9524.5,11626.0,10302.2,8921.0,7792.2,7315.0,9140.8,9332.3,11938.1,7997.9,10348.0,7186.0,,7117.5,9852.0,9075.5,,13453.4,9826.0,5120.1,10126.0,,4804.0,2417.5,4697.8,2261.0,169.0,4331.0,,3889.0,2002.0,3505.5,,4103.7,,1688.3,-745.0,2244.5,4346.0,3022.2,1641.0,512.2,35.0,1860.8,2052.3,4658.1,717.9,3068.0,-94.0,,-162.5,2572.0,1795.5,,6173.4,2546.0,-2159.9,2846.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,True,
New Hampshire,4901,5398.0,4528.3,5494.7,4825.0,5197.0,3707.0,,5343.4,3949.0,6562.8,,6121.2,,3824.2,5974.0,4269.9,5069.0,4837.9,6628.5,4272.0,4171.5,4196.1,4844.0,6438.9,4711.0,6004.0,5910.0,,5196.1,4053.0,7089.5,,7078.7,3635.9,6612.5,5629.0,,497.0,-372.7,593.7,-76.0,296.0,-1194.0,,442.4,-952.0,1661.8,,1220.2,,-1076.8,1073.0,-631.1,168.0,-63.1,1727.5,-629.0,-729.5,-704.9,-57.0,1537.9,-190.0,1103.0,1009.0,,295.1,-848.0,2188.5,,2177.7,-1265.1,1711.5,728.0,,True,False,True,True,False,,True,False,False,,False,,False,False,False,True,True,False,False,False,False,True,False,True,False,False,,True,False,False,,False,False,False,False,
New Jersey,46540,50584.0,38740.5,51772.2,47599.0,44535.0,47994.0,,51252.5,50142.0,57199.5,,53827.9,,44598.9,46518.0,45491.6,41227.0,40156.1,54418.5,43898.4,42749.0,44056.6,55658.9,46866.2,47172.0,50605.0,48017.0,,49676.2,41846.0,35629.9,,40936.8,35738.5,67709.8,47977.0,,4044.0,-7799.5,5232.2,1059.0,-2005.0,1454.0,,4712.5,3602.0,10659.5,,7287.9,,-1941.1,-22.0,-1048.4,-5313.0,-6383.9,7878.5,-2641.6,-3791.0,-2483.4,9118.9,326.2,632.0,4065.0,1477.0,,3136.2,-4694.0,-10910.1,,-5603.2,-10801.5,21169.8,1437.0,,False,False,True,True,True,,False,True,False,,False,,True,True,True,False,False,False,True,True,True,False,True,True,False,True,,True,False,False,,False,False,False,True,
New Mexico,5261,7350.0,5779.6,7231.9,6164.0,5229.0,6596.0,,7416.8,7523.0,5806.5,,6938.9,,5661.3,8807.0,4368.0,7051.0,6090.5,6408.0,6925.3,4066.5,5532.1,4666.6,4377.6,5635.0,6563.0,5247.0,,5548.6,,9369.3,,9092.6,8166.1,8767.0,6333.0,,2089.0,518.6,1970.9,903.0,-32.0,1335.0,,2155.8,2262.0,545.5,,1677.9,,400.3,3546.0,-893.0,1790.0,829.5,1147.0,1664.3,-1194.5,271.1,-594.4,-883.4,374.0,1302.0,-14.0,,287.6,,4108.3,,3831.6,2905.1,3506.0,1072.0,,True,True,True,True,True,,False,False,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,False,False,False,True,
New York,115134,123206.0,97457.0,118978.5,110856.0,111300.0,122088.0,,111168.7,115160.0,160747.6,,114557.6,,100623.1,113713.0,157019.4,90655.0,117816.0,106012.0,98725.8,83769.0,103867.1,127861.3,106038.8,112544.1,128980.0,107860.0,,129673.9,96539.0,149727.7,,137107.6,82228.8,102670.5,108695.0,,8072.0,-17677.0,3844.5,-4278.0,-3834.0,6954.0,,-3965.3,26.0,45613.6,,-576.4,,-14510.9,-1421.0,41885.4,-24479.0,2682.0,-9122.0,-16408.2,-31365.0,-11266.9,12727.3,-9095.2,-2589.9,13846.0,-7274.0,,14539.9,-18595.0,34593.7,,21973.6,-32905.2,-12463.5,-6439.0,,False,True,True,True,True,,True,True,False,,True,,False,True,False,False,True,False,False,False,False,False,False,True,False,True,,False,False,False,,False,False,False,True,
North Carolina,48575,77788.0,52777.3,77387.0,66322.0,58350.0,84651.0,,73613.9,49742.0,86336.8,,62611.9,,70990.3,82786.0,61438.9,82596.0,51617.0,68759.5,62945.1,42225.0,61205.4,49794.9,53869.9,66948.3,80075.0,60707.0,,63154.2,,73666.8,,75475.3,61385.4,86790.0,65625.0,,29213.0,4202.3,28812.0,17747.0,9775.0,36076.0,,25038.9,1167.0,37761.8,,14036.9,,22415.3,34211.0,12863.9,34021.0,3042.0,20184.5,14370.1,-6350.0,12630.4,1219.9,5294.9,18373.3,31500.0,12132.0,,14579.2,,25091.8,,26900.3,12810.4,38215.0,17050.0,,True,True,True,True,False,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,True,False,True,
North Dakota,1131,1090.0,557.2,1026.7,965.0,1739.0,730.0,,1187.8,365.0,1129.4,,953.3,,828.5,1578.0,480.4,1359.0,1819.5,1041.0,666.8,587.0,965.2,909.1,275.2,1011.1,955.0,2437.0,,908.3,875.0,1471.4,,1560.3,1281.9,1760.1,1021.0,,-41.0,-573.8,-104.3,-166.0,608.0,-401.0,,56.8,-766.0,-1.6,,-177.7,,-302.5,447.0,-650.6,228.0,688.5,-90.0,-464.2,-544.0,-165.8,-221.9,-855.8,-119.9,-176.0,1306.0,,-222.7,-256.0,340.4,,429.3,150.9,629.1,-110.0,,False,False,False,False,False,,False,False,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Ohio,34227,50596.0,37434.5,49024.2,42185.0,44998.0,42185.0,,48475.2,37320.0,51786.5,,42579.1,,36329.0,51617.0,40863.0,45900.0,40161.1,43130.5,40823.6,30231.5,37545.5,30721.0,77675.3,37567.2,49120.0,47686.0,,31227.4,36178.0,24102.7,,53226.6,39617.3,49572.3,43181.0,,16369.0,3207.5,14797.2,7958.0,10771.0,7958.0,,14248.2,3093.0,17559.5,,8352.1,,2102.0,17390.0,6636.0,11673.0,5934.1,8903.5,6596.6,-3995.5,3318.5,-3506.0,43448.3,3340.2,14893.0,13459.0,,-2999.6,1951.0,-10124.3,,18999.6,5390.3,15345.3,8954.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,True,True,True,
Oklahoma,16538,30380.0,21694.4,31518.9,26079.0,23032.0,27084.0,,27532.2,25392.0,35912.4,,23139.8,,25884.4,29550.0,23066.4,29728.0,21373.9,24777.0,23017.1,17799.5,23401.6,27167.5,33211.2,23588.2,28992.0,23708.0,,22206.9,34358.0,18123.5,,25573.5,23376.2,34535.7,27611.0,,13842.0,5156.4,14980.9,9541.0,6494.0,10546.0,,10994.2,8854.0,19374.4,,6601.8,,9346.4,13012.0,6528.4,13190.0,4835.9,8239.0,6479.1,1261.5,6863.6,10629.5,16673.2,7050.2,12454.0,7170.0,,5668.9,17820.0,1585.5,,9035.5,6838.2,17997.7,11073.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,False,True,,True,True,False,True,
Oregon,5970,8650.0,5457.3,8632.2,7984.0,8082.0,8506.0,,8281.0,8103.0,7586.1,,7968.9,,7105.8,8412.0,6409.4,8459.0,7678.5,9443.5,7848.1,7102.5,7545.5,3615.1,8141.4,7267.4,8969.0,9332.0,,6597.0,8510.0,13119.7,,7810.2,8557.8,8221.9,9795.0,,2680.0,-512.7,2662.2,2014.0,2112.0,2536.0,,2311.0,2133.0,1616.1,,1998.9,,1135.8,2442.0,439.4,2489.0,1708.5,3473.5,1878.1,1132.5,1575.5,-2354.9,2171.4,1297.4,2999.0,3362.0,,627.0,2540.0,7149.7,,1840.2,2587.8,2251.9,3825.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,False,,True,True,False,,True,True,True,False,
Pennsylvania,44690,53494.0,45686.7,52215.5,48923.0,50666.0,49501.0,,56303.8,26138.0,60393.6,,57023.1,,50831.2,55108.0,61208.9,41782.0,49920.8,49492.5,50814.2,45373.0,46776.7,42499.2,45930.0,47443.3,51054.0,52027.0,,46489.8,,59969.6,,52616.7,38946.8,62316.3,47196.0,,8804.0,996.7,7525.5,4233.0,5976.0,4811.0,,11613.8,-18552.0,15703.6,,12333.1,,6141.2,10418.0,16518.9,-2908.0,5230.8,4802.5,6124.2,683.0,2086.7,-2190.8,1240.0,2753.3,6364.0,7337.0,,1799.8,,15279.6,,7926.7,-5743.2,17626.3,2506.0,,True,True,True,True,True,,False,False,False,,False,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,True,True,False,True,
Rhode Island,5254,6906.0,5083.9,7471.1,6054.0,5500.0,9509.0,,6483.5,5172.0,1536439.9,,6249.7,,5008.5,8419.0,5266.8,5937.0,5463.2,6498.5,6771.8,4086.0,5218.9,5897.6,9275.3,6169.9,6764.0,5959.0,,2928.5,5640.0,3310.8,,6370.6,5432.3,9454.5,5093.0,,1652.0,-170.1,2217.1,800.0,246.0,4255.0,,1229.5,-82.0,1531185.9,,995.7,,-245.5,3165.0,12.8,683.0,209.2,1244.5,1517.8,-1168.0,-35.1,643.6,4021.3,915.9,1510.0,705.0,,-2325.5,386.0,-1943.2,,1116.6,178.3,4200.5,-161.0,,True,False,True,True,False,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,,True,True,False,True,
South Carolina,38296,46392.0,34325.5,46755.7,41454.0,34537.0,41259.0,,44372.8,34928.0,58179.7,,42060.7,,40258.9,43407.0,33305.8,46907.0,31417.9,34585.0,38638.8,27370.5,37263.9,39316.3,52013.0,39718.5,46000.0,34349.0,,37429.2,45952.0,62457.2,,42665.2,35814.7,47397.7,36237.0,,8096.0,-3970.5,8459.7,3158.0,-3759.0,2963.0,,6076.8,-3368.0,19883.7,,3764.7,,1962.9,5111.0,-4990.2,8611.0,-6878.1,-3711.0,342.8,-10925.5,-1032.1,1020.3,13717.0,1422.5,7704.0,-3947.0,,-866.8,7656.0,24161.2,,4369.2,-2481.3,9101.7,-2059.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,False,True,True,False,True,True,True,,True,True,False,,True,True,False,True,
South Dakota,2033,2124.0,1206.2,2196.9,1614.0,2469.0,1327.0,,1814.8,2162.0,2587.9,,2398.2,,1488.0,1837.0,1749.6,2054.0,2456.3,1634.5,1529.5,895.5,1486.3,696.0,1043.3,1347.7,1561.0,3016.0,,1055.3,1552.0,2559.5,,2377.7,2406.5,1420.3,1696.0,,91.0,-826.8,163.9,-419.0,436.0,-706.0,,-218.2,129.0,554.9,,365.2,,-545.0,-196.0,-283.4,21.0,423.3,-398.5,-503.5,-1137.5,-546.7,-1337.0,-989.7,-685.3,-472.0,983.0,,-977.7,-481.0,526.5,,344.7,373.5,-612.7,-337.0,,False,False,False,False,False,,False,False,False,,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Tennessee,21795,34942.0,26114.3,34719.5,28893.0,26863.0,31485.0,,30763.6,15413.0,36914.2,,29968.6,,28168.8,35343.0,21503.6,32777.0,25681.6,21940.5,23877.8,21687.0,28226.2,17562.2,47094.7,23175.8,29236.0,28030.0,,20043.3,,35640.3,,32463.0,29017.8,33960.8,30779.0,,13147.0,4319.3,12924.5,7098.0,5068.0,9690.0,,8968.6,-6382.0,15119.2,,8173.6,,6373.8,13548.0,-291.4,10982.0,3886.6,145.5,2082.8,-108.0,6431.2,-4232.8,25299.7,1380.8,7441.0,6235.0,,-1751.7,,13845.3,,10668.0,7222.8,12165.8,8984.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,,False,,True,True,True,True,
Texas,107311,246478.0,171047.2,236719.8,212356.0,183524.0,230373.0,,253213.2,245427.0,179166.9,,212579.0,,199447.6,242571.0,211459.9,255545.0,180276.0,238662.0,195242.6,158881.0,160820.9,288092.2,156500.7,207139.5,219024.0,183480.0,,179104.8,,169377.7,,230083.4,189983.6,277001.0,198441.0,,139167.0,63736.2,129408.8,105045.0,76213.0,123062.0,,145902.2,138116.0,71855.9,,105268.0,,92136.6,135260.0,104148.9,148234.0,72965.0,131351.0,87931.6,51570.0,53509.9,180781.2,49189.7,99828.5,111713.0,76169.0,,71793.8,,62066.7,,122772.4,82672.6,169690.0,91130.0,,True,True,True,True,True,,False,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,True,True,,True,,True,,True,True,False,True,
Utah,12334,16540.0,9009.6,16169.4,13952.0,12191.0,12329.0,,15508.5,13302.0,20505.6,,14198.9,,12433.9,16861.0,6780.3,13988.0,12199.3,11404.5,11622.8,8407.5,12545.5,16158.2,18251.8,12421.0,14988.0,13584.0,,15479.3,13518.0,7910.7,,13095.1,8184.7,20176.3,16122.0,,4206.0,-3324.4,3835.4,1618.0,-143.0,-5.0,,3174.5,968.0,8171.6,,1864.9,,99.9,4527.0,-5553.7,1654.0,-134.7,-929.5,-711.2,-3926.5,211.5,3824.2,5917.8,87.0,2654.0,1250.0,,3145.3,1184.0,-4423.3,,761.1,-4149.3,7842.3,3788.0,,True,True,True,True,True,,True,True,False,,True,,True,False,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,False,True,
Vermont,1593,1870.0,687.4,1888.1,1863.0,2056.0,1983.0,,2003.0,3259.0,1278.0,,1667.6,,1870.9,2066.0,2081.6,1899.0,1528.5,1958.5,2049.9,1791.0,1620.1,1752.7,1668.4,1809.7,2425.0,2548.0,,1741.7,,2227.4,,1533.7,1299.3,2048.4,1972.0,,277.0,-905.6,295.1,270.0,463.0,390.0,,410.0,1666.0,-315.0,,74.6,,277.9,473.0,488.6,306.0,-64.5,365.5,456.9,198.0,27.1,159.7,75.4,216.7,832.0,955.0,,148.7,,634.4,,-59.3,-293.7,455.4,379.0,,False,False,True,False,False,,False,False,False,,True,,False,False,False,False,True,False,False,True,True,True,True,True,False,False,,True,,False,,True,False,False,False,
Virginia,35636,47910.0,35224.4,47138.9,43329.0,38542.0,37579.0,,48458.0,41340.0,54926.1,,56179.9,,38139.5,47140.0,53201.5,39591.0,37729.3,49572.0,38176.6,25978.5,44533.4,44895.7,32487.4,47210.1,55108.0,37855.0,,44256.0,,58605.7,,30794.4,35628.9,54167.0,40943.0,,12274.0,-411.6,11502.9,7693.0,2906.0,1943.0,,12822.0,5704.0,19290.1,,20543.9,,2503.5,11504.0,17565.5,3955.0,2093.3,13936.0,2540.6,-9657.5,8897.4,9259.7,-3148.6,11574.1,19472.0,2219.0,,8620.0,,22969.7,,-4841.6,-7.1,18531.0,5307.0,,True,True,True,True,True,,False,True,False,,False,,True,True,False,True,True,False,True,True,True,True,True,True,False,True,,True,,False,,True,True,False,True,
Washington,13648,17098.0,14731.1,15023.1,16060.0,16607.0,14994.0,,16463.0,19899.0,7389.8,,12905.6,,16025.9,20937.0,16204.7,16663.0,19448.9,18438.0,18806.1,14623.0,13513.3,8334.9,26841.6,14250.1,19483.0,15110.0,,16374.4,15848.0,28617.7,,15687.9,14361.3,23158.9,16596.0,,3450.0,1083.1,1375.1,2412.0,2959.0,1346.0,,2815.0,6251.0,-6258.2,,-742.4,,2377.9,7289.0,2556.7,3015.0,5800.9,4790.0,5158.1,975.0,-134.7,-5313.1,13193.6,602.1,5835.0,1462.0,,2726.4,2200.0,14969.7,,2039.9,713.3,9510.9,2948.0,,True,True,True,True,True,,True,False,False,,True,,True,False,True,True,False,False,False,True,True,False,False,True,False,True,,True,True,False,,True,True,False,True,
West Virginia,5174,7700.0,6548.5,7746.2,6893.0,6699.0,6687.0,,7782.6,7660.0,9864.2,,6323.1,,5862.2,8318.0,8661.0,6890.0,6243.5,7811.0,5786.2,4666.0,6100.5,7509.5,5743.7,6759.0,8048.0,6795.0,,6410.5,8072.0,7859.6,,6897.3,5924.7,6779.9,6825.0,,2526.0,1374.5,2572.2,1719.0,1525.0,1513.0,,2608.6,2486.0,4690.2,,1149.1,,688.2,3144.0,3487.0,1716.0,1069.5,2637.0,612.2,-508.0,926.5,2335.5,569.7,1585.0,2874.0,1621.0,,1236.5,2898.0,2685.6,,1723.3,750.7,1605.9,1651.0,,True,False,True,True,True,,False,True,False,,True,,True,False,False,True,True,False,True,True,True,True,True,True,False,True,,True,False,False,,True,True,True,True,
Wisconsin,11773,18038.0,12553.2,18673.9,15267.0,20313.0,18096.0,,17086.0,12829.0,17955.9,,15759.8,,13431.7,17181.0,11147.0,17391.0,20483.2,14784.0,14978.5,10569.5,14132.6,4175.5,15582.0,13409.4,16526.0,23981.0,,12604.4,16425.0,6782.2,,16081.7,13736.9,12417.3,15740.0,,6265.0,780.2,6900.9,3494.0,8540.0,6323.0,,5313.0,1056.0,6182.9,,3986.8,,1658.7,5408.0,-626.0,5618.0,8710.2,3011.0,3205.5,-1203.5,2359.6,-7597.5,3809.0,1636.4,4753.0,12208.0,,831.4,4652.0,-4990.8,,4308.7,1963.9,644.3,3967.0,,True,False,True,False,False,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,True,,True,True,True,True,
Wyoming,1065,1828.0,1193.9,1560.1,1499.0,1736.0,1507.0,,1585.8,4305.0,1465.4,,1709.3,,899.9,2546.0,696.9,1843.0,1468.2,1695.5,1452.7,664.0,1020.5,476.4,1986.8,1134.9,1593.0,2094.0,,1428.8,2112.0,1625.0,,1303.4,2493.3,1612.0,1498.0,,763.0,128.9,495.1,434.0,671.0,442.0,,520.8,3240.0,400.4,,644.3,,-165.1,1481.0,-368.1,778.0,403.2,630.5,387.7,-401.0,-44.5,-588.6,921.8,69.9,528.0,1029.0,,363.8,1047.0,560.0,,238.4,1428.3,547.0,433.0,,True,True,True,True,True,,True,False,True,,True,,True,False,True,False,True,True,True,True,True,True,False,True,True,False,,True,False,True,,True,False,True,True,
US,1135893,1685804.0,1322601.2,1699565.3,1436815.0,1460745.0,1599009.0,1321060.0,1702622.6,1344572.0,7513418.4,1517692.0,,1642056.0,1272049.2,1682799.0,1458274.7,1505907.0,1461000.8,,1307789.6,1054280.5,1272777.7,1501712.9,1577426.2,1383066.6,1627274.0,1430881.0,1580414.0,1336077.4,1311582.0,1693055.5,1443213.0,1466505.3,1324705.1,1579768.3,1441532.0,1462730.2,549911.0,186708.2,563672.3,300922.0,324852.0,463116.0,185167.0,566729.6,208679.0,6377525.4,381799.0,,506163.0,136156.2,546906.0,322381.7,370014.0,325107.8,,171896.6,-81612.5,136884.7,365819.9,441533.2,247173.6,491381.0,294988.0,444521.0,200184.4,175689.0,557162.5,307320.0,330612.3,188812.1,443875.3,305639.0,326837.2,True,False,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
