,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
16071,14,4.0,,4.4,,5.0,6.0,0.0,,,,,9.8,,7.5,,,6.0,25.2,,10.5,,,0.0,3.8,,,,,11.0,15.1,,,,,,,4.7,,,,,-10.0,,-9.6,,-9.0,-8.0,-14.0,,,,,-4.2,,-6.5,,,-8.0,11.2,,-3.5,,,-14.0,-10.2,,,,,-3.0,1.1,,,,,,,-9.3,,,,,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,False,False,,,,,True,True,,,,,,,True,,,,
16073,22,20.0,,19.7,,19.0,17.0,0.0,,,,,20.8,,40.5,,,33.0,5.5,,16.5,,,0.0,12.1,,,,13.0,27.0,25.7,,,,,,,24.5,,,,25.6,-2.0,,-2.3,,-3.0,-5.0,-22.0,,,,,-1.2,,18.5,,,11.0,-16.5,,-5.5,,,-22.0,-9.9,,,,-9.0,5.0,3.7,,,,,,,2.5,,,,3.6,,False,,False,False,False,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False
16075,30,56.0,,47.6,,51.0,55.0,41.0,,,,,58.8,,43.4,,,60.0,20.6,,62.7,,,19.0,38.4,,,,45.0,56.0,91.6,,,,,,73.9,58.9,,,,73.0,26.0,,17.6,,21.0,25.0,11.0,,,,,28.8,,13.4,,,30.0,-9.4,,32.7,,,-11.0,8.4,,,,15.0,26.0,61.6,,,,,,43.9,28.9,,,,43.0,,True,,True,True,True,,,,,False,,True,,,False,True,,False,,,True,True,,,,True,False,False,,,,,,False,False,,,,False
16077,12,20.0,,22.9,,20.0,19.0,14.0,,,,,18.6,,10.6,,,16.0,53.5,,16.9,,,13.0,15.3,,,,19.0,25.0,36.4,,,,,,,17.1,,,,33.7,8.0,,10.9,,8.0,7.0,2.0,,,,,6.6,,-1.4,,,4.0,41.5,,4.9,,,1.0,3.3,,,,7.0,13.0,24.4,,,,,,,5.1,,,,21.7,,False,,False,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,False,False,,,,,,,True,,,,False
16079,18,26.0,,25.4,,26.0,21.0,17.0,,,,,27.8,,30.5,,,42.0,29.2,,29.3,,,3.0,19.8,,,,23.0,33.0,29.4,,,,,,,21.1,,,,,8.0,,7.4,,8.0,3.0,-1.0,,,,,9.8,,12.5,,,24.0,11.2,,11.3,,,-15.0,1.8,,,,5.0,15.0,11.4,,,,,,,3.1,,,,,,True,,False,True,True,,,,,False,,False,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,,True,,,,
16081,25,80.0,,73.1,,68.0,53.0,96.0,,,,,37.7,,24.7,,,30.0,107.5,,55.3,,,33.0,57.2,,,,92.0,74.0,63.7,,,,,,,47.4,,,,87.4,55.0,,48.1,,43.0,28.0,71.0,,,,,12.7,,-0.3,,,5.0,82.5,,30.3,,,8.0,32.2,,,,67.0,49.0,38.7,,,,,,,22.4,,,,62.4,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,,True,,,,False
16083,136,134.0,,161.0,,133.0,128.0,121.0,,,,,207.3,,71.3,,,278.0,91.2,,225.5,121.5,,46.0,104.3,,,,123.0,192.0,120.8,,,,,,149.6,131.0,,,,204.1,-2.0,,25.0,,-3.0,-8.0,-15.0,,,,,71.3,,-64.7,,,142.0,-44.8,,89.5,-14.5,,-90.0,-31.7,,,,-13.0,56.0,-15.2,,,,,,13.6,-5.0,,,,68.1,,False,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False
16085,19,110.0,,106.1,,47.0,58.0,0.0,,,,,34.5,,43.8,,,26.0,43.4,,55.8,,,52.0,64.9,,,,109.0,75.0,23.5,,,,,,,67.0,,,,78.8,91.0,,87.1,,28.0,39.0,-19.0,,,,,15.5,,24.8,,,7.0,24.4,,36.8,,,33.0,45.9,,,,90.0,56.0,4.5,,,,,,,48.0,,,,59.8,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
16087,9,16.0,,17.0,,22.0,24.0,18.0,,,,,28.8,,8.9,,,24.0,34.0,,30.3,,,4.0,16.7,,,,20.0,27.0,42.5,,,,,,,27.0,,,,44.7,7.0,,8.0,,13.0,15.0,9.0,,,,,19.8,,-0.1,,,15.0,25.0,,21.3,,,-5.0,7.7,,,,11.0,18.0,33.5,,,,,,,18.0,,,,35.7,,False,,False,False,False,,,,,False,,True,,,False,False,,False,,,True,False,,,,False,False,False,,,,,,,False,,,,False
17001,140,214.0,,219.0,,188.0,192.0,129.0,,,,,239.8,,115.0,,,296.0,114.1,,286.7,168.5,,81.0,171.7,,,,205.0,186.0,292.9,,,,,,381.7,184.4,,,,289.2,74.0,,79.0,,48.0,52.0,-11.0,,,,,99.8,,-25.0,,,156.0,-25.9,,146.7,28.5,,-59.0,31.7,,,,65.0,46.0,152.9,,,,,,241.7,44.4,,,,149.2,,False,,True,True,True,,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,False,True,,,,False
17003,16,26.0,,27.7,,18.0,20.0,14.0,,,,,16.8,,12.3,,,28.0,7.9,,19.5,,,0.0,14.4,,,,16.0,20.0,23.9,,,,,,,29.1,,,,33.9,10.0,,11.7,,2.0,4.0,-2.0,,,,,0.8,,-3.7,,,12.0,-8.1,,3.5,,,-16.0,-1.6,,,,0.0,4.0,7.9,,,,,,,13.1,,,,17.9,,False,,True,True,True,,,,,True,,True,,,False,True,,True,,,False,True,,,,True,True,True,,,,,,,False,,,,False
17005,57,42.0,,40.2,,40.0,44.0,33.0,,,,,59.2,,41.5,,,63.0,18.7,,68.4,,,15.0,37.2,,,,38.0,44.0,80.8,,,,,,,56.9,,,,60.6,-15.0,,-16.8,,-17.0,-13.0,-24.0,,,,,2.2,,-15.5,,,6.0,-38.3,,11.4,,,-42.0,-19.8,,,,-19.0,-13.0,23.8,,,,,,,-0.1,,,,3.6,,False,,False,True,False,,,,,True,,False,,,True,False,,True,,,False,False,,,,False,True,False,,,,,,,True,,,,True
17007,115,146.0,,146.7,,134.0,163.0,80.0,,,,,145.7,,69.5,,,193.0,45.7,,209.0,102.0,,75.0,123.1,,,,108.0,133.0,165.6,,,,,,270.3,284.6,,,,202.3,31.0,,31.7,,19.0,48.0,-35.0,,,,,30.7,,-45.5,,,78.0,-69.3,,94.0,-13.0,,-40.0,8.1,,,,-7.0,18.0,50.6,,,,,,155.3,169.6,,,,87.3,,False,,True,False,False,,,,,True,,False,,,False,False,,False,True,,False,True,,,,True,True,False,,,,,,False,False,,,,False
17009,10,12.0,,5.7,,14.0,17.0,25.0,,,,,26.1,,9.0,,,33.0,6.1,,24.9,,,3.0,11.3,,,,18.0,16.0,27.1,,,,,,,22.4,,,,38.2,2.0,,-4.3,,4.0,7.0,15.0,,,,,16.1,,-1.0,,,23.0,-3.9,,14.9,,,-7.0,1.3,,,,8.0,6.0,17.1,,,,,,,12.4,,,,28.2,,False,,False,False,False,,,,,False,,True,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,False,,,,False
17011,84,120.0,,119.0,,96.0,93.0,70.0,,,,,92.1,,97.7,,,122.0,103.2,,111.7,46.5,,70.0,95.3,,,,116.0,107.0,113.4,,,,,,88.6,123.2,,,,97.1,36.0,,35.0,,12.0,9.0,-14.0,,,,,8.1,,13.7,,,38.0,19.2,,27.7,-37.5,,-14.0,11.3,,,,32.0,23.0,29.4,,,,,,4.6,39.2,,,,13.1,,True,,True,True,True,,,,,True,,True,,,False,True,,True,False,,True,True,,,,True,True,True,,,,,,True,False,,,,True
17013,11,18.0,,15.7,,14.0,15.0,0.0,,,,,13.6,,11.8,,,24.0,1.2,,10.9,,,5.0,17.8,,,,9.0,16.0,15.8,,,,,,,21.0,,,,22.8,7.0,,4.7,,3.0,4.0,-11.0,,,,,2.6,,0.8,,,13.0,-9.8,,-0.1,,,-6.0,6.8,,,,-2.0,5.0,4.8,,,,,,,10.0,,,,11.8,,True,,True,True,False,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,,False,,,,False
17015,34,40.0,,42.5,,40.0,37.0,43.0,,,,,41.6,,11.0,,,58.0,56.3,,67.7,,,24.0,33.6,,,,43.0,32.0,41.0,,,,,,,49.6,,,,59.6,6.0,,8.5,,6.0,3.0,9.0,,,,,7.6,,-23.0,,,24.0,22.3,,33.7,,,-10.0,-0.4,,,,9.0,-2.0,7.0,,,,,,,15.6,,,,25.6,,False,,False,True,False,,,,,False,,False,,,False,False,,False,,,False,True,,,,False,True,False,,,,,,,False,,,,False
17017,20,36.0,,34.2,,32.0,38.0,21.0,,,,,57.2,,21.8,,,56.0,28.9,,51.8,,,12.0,28.0,,,,42.0,37.0,30.8,,,,,,,55.0,,,,80.8,16.0,,14.2,,12.0,18.0,1.0,,,,,37.2,,1.8,,,36.0,8.9,,31.8,,,-8.0,8.0,,,,22.0,17.0,10.8,,,,,,,35.0,,,,60.8,,True,,True,False,True,,,,,False,,True,,,False,True,,False,,,True,True,,,,False,False,True,,,,,,,False,,,,False
17019,1000,1006.0,,966.6,,904.0,779.0,1096.0,,,,,614.2,,656.6,,,665.0,525.9,,859.5,677.0,,960.0,1020.5,,,,969.0,778.0,1049.7,,,,,,955.6,715.2,1007.0,,,858.1,6.0,,-33.4,,-96.0,-221.0,96.0,,,,,-385.8,,-343.4,,,-335.0,-474.1,,-140.5,-323.0,,-40.0,20.5,,,,-31.0,-222.0,49.7,,,,,,-44.4,-284.8,7.0,,,-141.9,,False,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,False,,,False
17021,82,142.0,,141.2,,114.0,128.0,76.0,,,,,111.5,,178.9,,,132.0,39.8,,109.2,80.5,,125.0,114.8,,,,128.0,113.0,149.7,,,,,,99.3,208.4,,,,122.5,60.0,,59.2,,32.0,46.0,-6.0,,,,,29.5,,96.9,,,50.0,-42.2,,27.2,-1.5,,43.0,32.8,,,,46.0,31.0,67.7,,,,,,17.3,126.4,,,,40.5,,True,,True,True,True,,,,,True,,False,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,True,False,,,,True
17023,46,58.0,,55.6,,59.0,56.0,68.0,,,,,64.2,,51.7,,,63.0,47.3,,69.2,,,30.0,50.8,,,,76.0,62.0,69.6,,,,,,,59.8,,,,117.0,12.0,,9.6,,13.0,10.0,22.0,,,,,18.2,,5.7,,,17.0,1.3,,23.2,,,-16.0,4.8,,,,30.0,16.0,23.6,,,,,,,13.8,,,,71.0,,True,,False,True,False,,,,,False,,True,,,False,True,,False,,,False,True,,,,False,False,False,,,,,,,False,,,,False
17025,23,52.0,,58.8,,46.0,40.0,45.0,,,,,36.0,,38.9,,,48.0,63.9,,34.1,,,29.0,40.3,,,,49.0,36.0,67.1,,,,,,,42.5,,,,57.7,29.0,,35.8,,23.0,17.0,22.0,,,,,13.0,,15.9,,,25.0,40.9,,11.1,,,6.0,17.3,,,,26.0,13.0,44.1,,,,,,,19.5,,,,34.7,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,False
17027,91,288.0,,286.5,,205.0,198.0,195.0,,,,,194.3,,138.4,,,152.0,85.0,,202.5,192.0,,140.0,208.5,,,,243.0,230.0,250.2,,,,,,222.2,228.5,,,,281.5,197.0,,195.5,,114.0,107.0,104.0,,,,,103.3,,47.4,,,61.0,-6.0,,111.5,101.0,,49.0,117.5,,,,152.0,139.0,159.2,,,,,,131.2,137.5,,,,190.5,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
17029,145,184.0,,188.7,,161.0,159.0,158.0,,,,,158.5,,150.7,,,209.0,118.6,,189.1,103.0,,173.0,158.0,,,,169.0,154.0,246.5,,,,,,124.1,175.1,,,,171.1,39.0,,43.7,,16.0,14.0,13.0,,,,,13.5,,5.7,,,64.0,-26.4,,44.1,-42.0,,28.0,13.0,,,,24.0,9.0,101.5,,,,,,-20.9,30.1,,,,26.1,,False,,True,True,True,,,,,True,,True,,,False,True,,False,False,,True,True,,,,True,True,False,,,,,,True,True,,,,True
17031,9639,13996.0,,13966.0,13623.2,11473.0,11782.0,14802.0,,,,,9835.2,,12073.1,,9945.4,15456.0,7403.4,,15858.7,10862.0,,8488.5,11421.5,,,,12532.0,10569.0,20947.7,,,,,,18526.2,13829.2,8886.0,,,12515.8,4357.0,,4327.0,3984.2,1834.0,2143.0,5163.0,,,,,196.2,,2434.1,,306.4,5817.0,-2235.6,,6219.7,1223.0,,-1150.5,1782.5,,,,2893.0,930.0,11308.7,,,,,,8887.2,4190.2,-753.0,,,2876.8,,True,True,True,True,False,,,,,True,,True,,True,False,True,,False,True,,True,True,,,,True,True,False,,,,,,False,True,True,,,True
17033,50,108.0,,118.6,,77.0,84.0,30.0,,,,,73.4,,94.7,,,68.0,80.5,,70.1,,,73.0,79.3,,,,100.0,93.0,83.3,,,,,,,107.7,,,,116.9,58.0,,68.6,,27.0,34.0,-20.0,,,,,23.4,,44.7,,,18.0,30.5,,20.1,,,23.0,29.3,,,,50.0,43.0,33.3,,,,,,,57.7,,,,66.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
17035,40,24.0,,25.1,,25.0,23.0,28.0,,,,,36.9,,22.9,,,43.0,5.3,,38.9,,,3.0,21.5,,,,18.0,25.0,48.2,,,,,,,24.8,,,,50.5,-16.0,,-14.9,,-15.0,-17.0,-12.0,,,,,-3.1,,-17.1,,,3.0,-34.7,,-1.1,,,-37.0,-18.5,,,,-22.0,-15.0,8.2,,,,,,,-15.2,,,,10.5,,True,,True,False,True,,,,,True,,False,,,True,False,,True,,,False,False,,,,False,True,True,,,,,,,True,,,,True
17037,186,262.0,,269.5,,238.0,251.0,160.0,,,,,259.2,,235.9,,,344.0,117.9,,319.6,332.5,,150.0,212.8,,,,241.0,231.0,315.4,,,,,,255.2,372.2,,,,313.7,76.0,,83.5,,52.0,65.0,-26.0,,,,,73.2,,49.9,,,158.0,-68.1,,133.6,146.5,,-36.0,26.8,,,,55.0,45.0,129.4,,,,,,69.2,186.2,,,,127.7,,False,,True,True,True,,,,,True,,True,,,False,True,,False,False,,True,True,,,,True,True,False,,,,,,True,False,,,,False
17039,54,18.0,,13.0,,27.0,36.0,24.0,,,,,46.6,,26.2,,,63.0,10.9,,36.9,,,14.0,45.2,,,,19.0,25.0,52.7,,,,,,,49.3,,,,66.7,-36.0,,-41.0,,-27.0,-18.0,-30.0,,,,,-7.4,,-27.8,,,9.0,-43.1,,-17.1,,,-40.0,-8.8,,,,-35.0,-29.0,-1.3,,,,,,,-4.7,,,,12.7,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,False,True,,,,True,True,True,,,,,,,True,,,,True
17041,212,124.0,,117.8,,92.0,87.0,72.0,,,,,72.9,,70.9,,,87.0,160.6,,93.1,,,84.0,91.5,,,,121.0,96.0,191.5,,,,,,99.2,78.9,,,,102.5,-88.0,,-94.2,,-120.0,-125.0,-140.0,,,,,-139.1,,-141.1,,,-125.0,-51.4,,-118.9,,,-128.0,-120.5,,,,-91.0,-116.0,-20.5,,,,,,-112.8,-133.1,,,,-109.5,,False,,False,False,False,,,,,False,,False,,,False,True,,False,,,False,False,,,,False,False,True,,,,,,False,False,,,,False
17043,2099,2646.0,,2685.3,2827.9,2218.0,2292.0,2211.0,,,,,2133.6,,2156.0,,1885.3,2901.0,1348.7,,2898.3,2074.5,,1463.5,1981.7,,,,2354.0,2515.0,3397.2,,,,,,2600.7,2658.5,1678.0,,,3156.4,547.0,,586.3,728.9,119.0,193.0,112.0,,,,,34.6,,57.0,,-213.7,802.0,-750.3,,799.3,-24.5,,-635.5,-117.3,,,,255.0,416.0,1298.2,,,,,,501.7,559.5,-421.0,,,1057.4,,False,False,True,True,True,,,,,True,,True,,True,False,False,,False,True,,False,True,,,,True,True,False,,,,,,True,False,True,,,False
17045,14,32.0,,20.3,,31.0,31.0,28.0,,,,,39.9,,41.9,,,73.0,26.9,,57.2,,,4.0,26.0,,,,26.0,34.0,43.8,,,,,,,34.0,,,,71.6,18.0,,6.3,,17.0,17.0,14.0,,,,,25.9,,27.9,,,59.0,12.9,,43.2,,,-10.0,12.0,,,,12.0,20.0,29.8,,,,,,,20.0,,,,57.6,,True,,True,True,True,,,,,False,,False,,,False,True,,False,,,True,True,,,,True,False,False,,,,,,,False,,,,False
17047,16,32.0,,27.0,,23.0,24.0,14.0,,,,,19.3,,17.4,,,23.0,17.1,,18.7,,,11.0,23.7,,,,21.0,24.0,28.6,,,,,,,32.8,,,,34.7,16.0,,11.0,,7.0,8.0,-2.0,,,,,3.3,,1.4,,,7.0,1.1,,2.7,,,-5.0,7.7,,,,5.0,8.0,12.6,,,,,,,16.8,,,,18.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,False,,,,False
17049,52,70.0,,81.0,,70.0,78.0,48.0,,,,,120.4,,23.8,,,131.0,5.3,,120.9,49.0,,5.0,47.0,,,,46.0,87.0,153.8,,,,,,,120.5,,,,111.5,18.0,,29.0,,18.0,26.0,-4.0,,,,,68.4,,-28.2,,,79.0,-46.7,,68.9,-3.0,,-47.0,-5.0,,,,-6.0,35.0,101.8,,,,,,,68.5,,,,59.5,,False,,False,False,True,,,,,False,,False,,,False,False,,False,True,,False,True,,,,True,False,False,,,,,,,False,,,,False
17051,21,52.0,,50.8,,51.0,66.0,16.0,,,,,78.1,,21.1,,,87.0,25.4,,82.5,,,27.0,45.4,,,,52.0,73.0,112.7,,,,,,107.7,93.0,,,,114.5,31.0,,29.8,,30.0,45.0,-5.0,,,,,57.1,,0.1,,,66.0,4.4,,61.5,,,6.0,24.4,,,,31.0,52.0,91.7,,,,,,86.7,72.0,,,,93.5,,True,,True,False,True,,,,,False,,True,,,False,True,,False,,,True,True,,,,False,False,False,,,,,,False,False,,,,False
17053,73,86.0,,74.7,,51.0,53.0,42.0,,,,,49.2,,22.6,,,51.0,18.5,,67.1,,,37.0,60.1,,,,69.0,54.0,58.1,,,,,,,62.7,,,,89.0,13.0,,1.7,,-22.0,-20.0,-31.0,,,,,-23.8,,-50.4,,,-22.0,-54.5,,-5.9,,,-36.0,-12.9,,,,-4.0,-19.0,-14.9,,,,,,,-10.3,,,,16.0,,True,,False,False,False,,,,,False,,False,,,False,False,,True,,,False,True,,,,True,False,False,,,,,,,True,,,,False
17055,78,106.0,,111.7,,102.0,191.0,71.0,,,,,138.1,,97.6,,,146.0,38.6,,145.5,69.0,,53.0,97.8,,,,77.0,94.0,261.2,,,,,,,413.8,,,,113.6,28.0,,33.7,,24.0,113.0,-7.0,,,,,60.1,,19.6,,,68.0,-39.4,,67.5,-9.0,,-25.0,19.8,,,,-1.0,16.0,183.2,,,,,,,335.8,,,,35.6,,False,,True,False,True,,,,,False,,True,,,False,False,,False,True,,True,True,,,,True,True,False,,,,,,,False,,,,False
17057,72,118.0,,105.4,,104.0,92.0,111.0,,,,,78.2,,101.5,,,142.0,106.0,,103.7,65.5,,78.0,92.5,,,,107.0,123.0,172.3,,,,,,,76.7,,,,98.6,46.0,,33.4,,32.0,20.0,39.0,,,,,6.2,,29.5,,,70.0,34.0,,31.7,-6.5,,6.0,20.5,,,,35.0,51.0,100.3,,,,,,,4.7,,,,26.6,,True,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,False,False,,,,,,,True,,,,True
17059,14,18.0,,17.5,,17.0,14.0,12.0,,,,,19.0,,25.4,,,25.0,19.0,,16.1,,,1.0,15.3,,,,17.0,13.0,24.8,,,,,,,18.1,,,,21.2,4.0,,3.5,,3.0,0.0,-2.0,,,,,5.0,,11.4,,,11.0,5.0,,2.1,,,-13.0,1.3,,,,3.0,-1.0,10.8,,,,,,,4.1,,,,7.2,,True,,True,True,True,,,,,False,,False,,,False,False,,True,,,False,True,,,,True,True,False,,,,,,,False,,,,False
17061,32,72.0,,63.2,,45.0,49.0,45.0,,,,,39.3,,44.7,,,60.0,26.2,,56.2,,,27.0,44.0,,,,70.0,53.0,47.0,,,,,,,62.6,,,,77.4,40.0,,31.2,,13.0,17.0,13.0,,,,,7.3,,12.7,,,28.0,-5.8,,24.2,,,-5.0,12.0,,,,38.0,21.0,15.0,,,,,,,30.6,,,,45.4,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
17063,240,252.0,,250.7,,200.0,210.0,247.0,,,,,158.9,,134.7,,,185.0,141.1,,273.1,200.0,,198.0,201.4,,,,232.0,198.0,166.6,,,,,,198.2,288.4,,,,259.5,12.0,,10.7,,-40.0,-30.0,7.0,,,,,-81.1,,-105.3,,,-55.0,-98.9,,33.1,-40.0,,-42.0,-38.6,,,,-8.0,-42.0,-73.4,,,,,,-41.8,48.4,,,,19.5,,True,,False,False,True,,,,,False,,False,,,False,False,,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False
17065,24,16.0,,7.9,,17.0,19.0,20.0,,,,,25.5,,17.4,,,33.0,7.6,,27.9,,,3.0,15.1,,,,20.0,17.0,31.2,,,,,,,27.4,,,,29.0,-8.0,,-16.1,,-7.0,-5.0,-4.0,,,,,1.5,,-6.6,,,9.0,-16.4,,3.9,,,-21.0,-8.9,,,,-4.0,-7.0,7.2,,,,,,,3.4,,,,5.0,,False,,True,True,True,,,,,True,,True,,,False,False,,True,,,False,False,,,,True,True,True,,,,,,,True,,,,True
17067,48,50.0,,52.0,,49.0,49.0,16.0,,,,,47.9,,34.9,,,82.0,59.7,,80.3,,,32.0,40.3,,,,50.0,59.0,53.0,,,,,,,54.6,,,,78.6,2.0,,4.0,,1.0,1.0,-32.0,,,,,-0.1,,-13.1,,,34.0,11.7,,32.3,,,-16.0,-7.7,,,,2.0,11.0,5.0,,,,,,,6.6,,,,30.6,,False,,True,True,False,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False
17069,15,18.0,,20.8,,15.0,11.0,14.0,,,,,15.9,,15.5,,,25.0,1.8,,11.6,,,2.0,14.9,,,,11.0,12.0,14.8,,,,,,,11.9,,,,18.0,3.0,,5.8,,0.0,-4.0,-1.0,,,,,0.9,,0.5,,,10.0,-13.2,,-3.4,,,-13.0,-0.1,,,,-4.0,-3.0,-0.2,,,,,,,-3.1,,,,3.0,,False,,True,False,True,,,,,True,,True,,,False,False,,False,,,False,True,,,,False,False,True,,,,,,,False,,,,False
17071,5,22.0,,22.7,,16.0,17.0,14.0,,,,,14.3,,23.0,,,42.0,7.4,,20.5,,,4.0,13.5,,,,15.0,18.0,18.1,,,,,,,23.1,,,,26.9,17.0,,17.7,,11.0,12.0,9.0,,,,,9.3,,18.0,,,37.0,2.4,,15.5,,,-1.0,8.5,,,,10.0,13.0,13.1,,,,,,,18.1,,,,21.9,,False,,True,True,True,,,,,True,,False,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,,False,,,,False
17073,71,92.0,,100.8,,95.0,96.0,83.0,,,,,109.1,,74.1,,,200.0,102.0,,159.9,75.0,,31.0,72.1,,,,92.0,103.0,115.9,,,,,,175.3,124.9,,,,165.8,21.0,,29.8,,24.0,25.0,12.0,,,,,38.1,,3.1,,,129.0,31.0,,88.9,4.0,,-40.0,1.1,,,,21.0,32.0,44.9,,,,,,104.3,53.9,,,,94.8,,False,,False,False,True,,,,,False,,True,,,False,False,,False,True,,False,True,,,,False,False,False,,,,,,False,False,,,,False
17075,56,76.0,,74.3,,68.0,103.0,59.0,,,,,78.3,,83.8,,,96.0,34.0,,134.7,,,29.0,61.5,,,,69.0,79.0,85.7,,,,,,132.1,212.5,,,,116.6,20.0,,18.3,,12.0,47.0,3.0,,,,,22.3,,27.8,,,40.0,-22.0,,78.7,,,-27.0,5.5,,,,13.0,23.0,29.7,,,,,,76.1,156.5,,,,60.6,,True,,True,False,True,,,,,False,,False,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,False,False,,,,False
