,mean_abs_error_2020-04-20_2020-05-02,mean_abs_error_2020-04-27_2020-05-09,mean_abs_error_2020-05-04_2020-05-16,mean_abs_error_2020-05-11_2020-05-23,mean_abs_error_2020-05-18_2020-05-30,mean_abs_error_2020-05-25_2020-06-06,mean_abs_error_2020-06-01_2020-06-13,mean_abs_error_2020-06-08_2020-06-20,mean_abs_error_2020-06-15_2020-06-27,mean_abs_error_2020-06-22_2020-07-04,mean_abs_error_2020-06-29_2020-07-11,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-02,mean_sq_abs_error_2020-04-27_2020-05-09,mean_sq_abs_error_2020-05-04_2020-05-16,mean_sq_abs_error_2020-05-11_2020-05-23,mean_sq_abs_error_2020-05-18_2020-05-30,mean_sq_abs_error_2020-05-25_2020-06-06,mean_sq_abs_error_2020-06-01_2020-06-13,mean_sq_abs_error_2020-06-08_2020-06-20,mean_sq_abs_error_2020-06-15_2020-06-27,mean_sq_abs_error_2020-06-22_2020-07-04,mean_sq_abs_error_2020-06-29_2020-07-11,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-03-06
DDS-NBDS,,,,,,,,,,,,,,,121.2,108.5,188.1,59.7,51.3,37.6,43.8,50.6,40.3,48.8,59.9,65.0,59.3,77.7,108.9,119.0,142.7,123.4,284.5,173.8,303.1,173.9,241.1,290.8,231.0,270.9,558.4,169.5,279.0,,233.5,,,,,,,,,,,,,,,103605.6,80942.9,319084.6,11500.5,13026.4,5624.2,6640.6,8942.5,4069.6,7652.9,14145.6,10981.3,9769.5,16029.5,37501.4,42145.4,61573.0,60078.2,197956.6,120246.1,250866.3,88551.9,179626.6,287017.5,135452.2,174887.1,2079808.3,163486.1,272504.6,,169965.3
IHME-CurveFit,180.7,252.2,149.2,108.0,111.9,,86.6,66.6,61.8,47.4,52.3,88.2,,130.8,121.1,117.3,88.8,,109.8,93.9,66.9,,71.1,92.5,,,88.5,128.2,,,,169.8,,210.9,282.5,235.7,245.7,,,320.3,215.4,199.8,177.0,224.5,177.3,165175.0,375018.4,102571.0,57732.7,49195.6,,20091.1,9839.3,9257.5,5428.6,9047.2,39802.3,,61842.0,69651.8,67194.1,42793.6,,68001.6,54379.8,12961.4,,15603.8,23637.1,,,22118.5,57065.5,,,,82296.1,,123479.0,201165.7,133466.4,132208.9,,,272927.0,140473.3,124291.8,113739.7,417564.0,203987.6
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,76.0,81.3,89.7,189.2,150.4,104.6,104.3,146.6,252.4,225.5,169.2,,126.3,133.2,,174.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26504.9,20911.7,25961.2,34836.9,92109.0,68903.3,40247.2,32183.7,68071.1,207084.1,201740.1,109886.9,,38204.0,53252.4,,207686.4
RobertWalraven-ESG,,,,,,,,,,,,297.8,349.8,2171.6,144.4,108.5,189.3,98.1,91.8,69.5,83.4,102.2,99.6,97.8,65.5,94.6,67.6,160.2,197.3,103.9,134.9,186.7,392.9,278.2,218.1,160.5,304.6,349.3,177.9,135.8,137.0,96.7,90.3,133.8,149.6,,,,,,,,,,,,1156534.1,1501300.8,24920108.8,124800.3,52980.9,156201.3,36756.3,29039.5,16068.3,29177.8,38746.5,38969.4,31448.0,10106.7,20724.9,12794.2,53495.8,90476.7,22914.6,56729.1,102257.0,401288.9,221475.4,121777.0,73008.0,280875.3,366207.4,74516.7,43880.2,66145.6,26149.3,23444.0,71152.8,176682.7
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,50.4,71.8,76.2,79.7,97.6,83.4,96.1,127.9,121.3,147.5,199.9,189.4,145.6,278.3,328.8,235.1,136.7,148.2,192.3,232.7,150.3,,,,,,,,,,,,,,,,,,,,,,,,,6509.1,14259.9,20412.8,17744.5,26364.2,15462.7,29612.0,52057.8,38986.3,53322.8,101183.7,96363.8,57938.7,401084.5,501042.3,186561.7,57695.4,73071.4,140028.8,523032.6,139796.5
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,51.2,57.8,81.5,92.9,98.9,70.9,153.5,133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5819.1,6709.1,11805.1,21242.9,27620.6,33166.0,26535.9,66969.3,55641.0,,,,,,,,,,,
PSI-DRAFT,,,,,166.7,140.9,86.5,212.3,80.0,87.5,99.9,132.4,161.2,100.0,114.5,196.4,87.4,148.4,72.0,56.3,69.5,67.9,51.5,55.2,67.2,76.9,94.0,111.0,121.1,170.0,180.6,229.2,315.9,273.2,275.0,235.4,226.8,282.7,280.5,239.1,262.0,273.5,238.8,207.7,188.5,,,,,193787.1,105111.2,47490.4,357122.6,53644.6,57460.1,60938.4,96840.2,136215.0,34970.5,46648.9,417740.6,23246.9,115043.2,24772.3,10185.1,13753.6,14318.0,7433.7,6356.4,10657.7,15944.4,18727.3,36152.4,39994.7,79967.0,91480.7,148657.6,268844.6,222816.6,276587.6,195959.5,153098.5,276455.8,303626.2,194572.6,347012.9,540780.1,149428.5,150396.7,156577.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,94.2,107.2,291.6,149.3,110.4,115.8,,185.2,175.5,81.4,187.9,116.7,234.0,,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12625.7,29432.0,33041.3,192131.3,55042.5,28290.8,37702.8,,133156.1,56023.2,18001.3,128002.4,31709.1,155670.5,,202150.4
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,51.4,,75.4,89.0,118.2,120.8,104.0,122.9,172.9,160.9,148.9,177.9,167.8,,202.6,165.6,161.6,164.5,193.7,195.7,141.5,,,,,,,,,,,,,,,,,,,,,,,,,6105.3,,16048.0,24649.3,45563.8,38173.2,35441.3,43383.6,94873.1,78782.2,50673.4,86574.9,188868.4,,162793.5,70603.8,72117.5,60159.0,126491.9,109577.5,130628.1
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,61.6,58.0,69.6,72.2,57.0,54.2,63.4,85.5,94.4,77.6,151.8,179.9,299.5,533.3,131.0,231.6,166.0,337.3,,184.6,189.1,,188.9,218.8,209.3,,,,,,,,,,,,,,,,,,,,,12443.1,9123.1,22216.9,37556.6,12347.2,6687.2,12710.8,31422.0,26660.5,17410.7,79104.2,84492.1,201808.7,583217.4,48414.3,189109.2,68287.7,361236.3,,76813.9,103636.9,,112555.2,343438.5,306501.1
NotreDame-mobility,,,,,,,,,,180.8,129.6,100.6,95.6,121.7,160.2,216.2,126.4,58.1,52.0,46.9,61.7,94.1,67.2,59.6,50.4,79.5,83.4,97.0,114.4,174.2,159.4,219.3,293.8,316.8,366.4,,,,,,,,,,,,,,,,,,,,871108.4,221263.3,55037.8,45023.3,83414.0,120280.7,199646.7,75121.6,13788.7,6460.4,6275.0,10693.4,25967.6,19691.1,9122.0,5541.1,15677.2,15829.1,25257.0,43368.0,79116.0,63809.4,128024.7,239173.0,288270.6,492106.4,,,,,,,,,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,127.0,,,48.9,77.3,112.3,120.7,72.1,54.5,65.1,77.9,79.7,109.9,131.5,143.4,153.8,,,,201.6,227.4,240.5,253.4,261.2,209.4,169.3,162.6,223.1,165.3,,,,,,,,,,,,,,,,,181193.2,,,5278.8,37040.9,85415.5,88455.9,17106.4,8674.0,11814.9,14526.1,15736.4,34575.0,46949.5,61811.2,82095.7,,,,122453.1,179731.6,164077.2,169232.8,206598.0,122438.7,111726.3,79790.1,269710.5,166495.1
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.4,172.8,206.6,129.5,234.9,173.3,180.4,159.6,124.8,215.7,209.0,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54327.0,61988.7,86068.6,84224.3,270011.8,146685.8,66871.8,60954.4,42967.5,146912.7,194402.8,138826.9
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,134.0,126.4,104.1,109.4,136.9,118.4,122.3,129.6,63.8,83.0,97.8,111.4,119.0,133.3,168.2,257.5,160.3,171.2,145.8,228.5,305.4,219.4,173.5,183.2,136.4,483.2,20058.9,176.9,,,,,,,,,,,,,,,,,,61270.7,54482.5,40947.9,45376.9,72530.2,49760.9,50012.9,55099.6,11413.4,20645.1,33804.6,43021.4,41195.4,54219.3,92432.9,147747.0,75280.4,94567.4,60390.5,151846.9,318856.8,166547.3,85544.8,167933.0,44143.3,4348858.1,20208405952.7,254227.5
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,126.4,130.1,123.5,96.1,91.8,62.6,52.9,60.0,85.7,98.7,100.1,116.4,204.0,162.2,177.0,155.1,287.3,377.0,357.5,456.5,,226.2,724.1,643.5,776.1,399.7,,,,,,,,,,,,,,,,,,,,70813.2,76606.6,52343.7,34520.4,29761.1,9731.1,6635.4,10906.5,30623.3,28051.3,24402.1,43216.6,121724.6,78832.2,90872.3,62947.6,350753.9,345119.2,527825.4,904326.4,,151736.6,1786032.9,1460289.0,2814655.6,786551.5
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,79.1,49.5,61.8,57.5,47.0,57.3,,83.8,105.9,127.7,142.6,169.7,297.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38317.9,8547.2,10787.5,10656.0,5225.8,7989.3,,15897.4,32006.4,41229.3,57145.4,81600.2,193287.0,,,,,,,,,,,,
SWC-TerminusCM,,,,,,,90.9,103.4,185.6,,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38379.5,29065.9,836851.9,,23643.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USACE-ERDC_SEIR,,,,,134.2,112.6,170.7,149.7,93.9,129.8,222.3,83.6,87.1,154.1,139.8,138.3,132.0,114.4,98.8,99.6,105.2,111.4,109.2,118.6,,129.9,,170.2,,,362.8,549.6,687.3,,,,,,,,,,,,,,,,,76680.5,54812.1,154100.7,103239.7,36192.8,56349.3,199719.2,26378.3,28762.1,147017.5,85354.1,52730.5,41309.8,36568.7,27329.3,27060.0,33608.3,37213.1,38296.0,39591.7,,52504.4,,93303.9,,,468842.3,1065747.7,1617227.8,,,,,,,,,,,,
Auquan-SEIR,,,,,262.9,327.6,342.6,529.4,591.4,78.0,73.4,118.3,,,,125.5,125.1,152.3,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324146.6,532158.7,534532.9,808301.4,1025699.1,26194.5,29008.5,108283.4,,,,61479.9,52433.1,78777.5,81155.6,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,99.0,141.5,144.6,205.6,150.5,213.1,173.7,129.0,196.2,300.2,266.3,425.8,229.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27190.8,29757.2,63588.7,71234.3,95339.6,80643.5,149904.3,96634.5,33714.9,93296.8,232981.5,197676.5,317479.2,204722.5,,,,
CovidActNow-SEIR_CAN,,,,,,,101.0,115.2,94.9,112.7,,202.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26925.8,31516.4,39769.8,78689.9,,179916.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7,252.8,205.8,178.9,228.2,217.5,196.5,241.5,233.2,158.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115505.0,339221.1,124401.4,85094.0,248619.6,147966.0,131451.0,199311.9,172487.1,96938.9
MITCovAlliance-SIR,,,,,,,,,,,193.2,316.3,381.0,295.1,301.5,236.0,,335.6,,,64.5,81.2,91.6,49.4,,,71.7,,,,,,,,,,,389.3,373.9,,,,,,,,,,,,,,,,,169583.3,752275.2,870417.8,699344.8,732635.5,531545.9,,774673.3,,,20436.7,33397.3,39867.6,6053.6,,,14905.0,,,,,,,,,,,753179.0,768591.0,,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,107.6,1024.2,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32189.4,42546.9,13535125.9,135153.9
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,108.4,115.1,109.8,109.6,119.7,133.6,131.9,163.2,196.1,254.3,296.0,371.2,503.1,548.2,502.3,509.3,,649.5,599.6,540.8,505.9,401.0,293.6,251.2,254.6,,,,,,,,,,,,,,,,,,,,,40788.1,45584.3,43385.5,43475.5,50025.8,54803.5,37238.6,57216.9,91751.5,138637.3,190021.6,297859.4,513910.1,632093.9,582866.1,649342.0,,1302110.2,1208682.6,1078985.2,908789.3,577417.6,326828.9,268096.4,282299.0
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.2,203.1,280.8,,236.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128789.5,97254.9,191237.7,,220293.4,,,,,,,
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.6,190.4,377.8,274.2,174.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161461.8,133824.6,1175354.1,465065.9,207093.0
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34069.7,46968.3,,,,,,,,,,,,,,,
TTU-squider,,,,,,,,,,,,,,,,,,2605.3,335.6,,,417.1,,498.5,263.6,343.6,380.8,233.8,329.9,384.5,358.3,345.3,364.4,343.8,374.6,391.9,446.4,392.7,454.5,414.6,513.1,522.1,600.5,544.3,578.4,,,,,,,,,,,,,,,,,,20489923.4,341874.6,,,1063161.5,,1558150.5,248731.9,422595.6,524419.9,186339.4,476277.6,662645.9,374036.7,360049.4,449600.7,590249.1,398239.9,480687.0,609264.8,378426.6,507725.5,420960.2,658829.0,648389.5,879088.5,759292.0,777440.2
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.1,,230.2,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176174.1,,204519.3,280754.7
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,115.5,167.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39037.7,52574.9,98814.0,,,,,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161115.7
