,mean_abs_error_2020-04-20_2020-05-09,mean_abs_error_2020-04-27_2020-05-16,mean_abs_error_2020-05-04_2020-05-23,mean_abs_error_2020-05-11_2020-05-30,mean_abs_error_2020-05-18_2020-06-06,mean_abs_error_2020-05-25_2020-06-13,mean_abs_error_2020-06-01_2020-06-20,mean_abs_error_2020-06-08_2020-06-27,mean_abs_error_2020-06-15_2020-07-04,mean_abs_error_2020-06-22_2020-07-11,mean_abs_error_2020-06-29_2020-07-18,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-09,mean_sq_abs_error_2020-04-27_2020-05-16,mean_sq_abs_error_2020-05-04_2020-05-23,mean_sq_abs_error_2020-05-11_2020-05-30,mean_sq_abs_error_2020-05-18_2020-06-06,mean_sq_abs_error_2020-05-25_2020-06-13,mean_sq_abs_error_2020-06-01_2020-06-20,mean_sq_abs_error_2020-06-08_2020-06-27,mean_sq_abs_error_2020-06-15_2020-07-04,mean_sq_abs_error_2020-06-22_2020-07-11,mean_sq_abs_error_2020-06-29_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1,126.6,175.1,175.3,313.0,198.4,159.5,124.5,255.5,345.4,347.9,255.0,,201.3,201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84189.6,63532.4,106765.3,117371.3,262938.2,127390.1,92025.0,46261.6,213555.6,417945.2,486106.9,244850.7,,84901.1,117733.2,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,87.2,129.2,138.1,140.0,166.5,164.2,189.5,236.6,221.5,278.8,336.2,249.0,223.8,380.9,461.0,247.6,167.1,272.4,278.2,368.2,,,,,,,,,,,,,,,,,,,,,,,,,15889.7,39695.0,68036.8,52508.2,66816.0,56853.1,104054.0,166552.5,118961.5,158920.9,263132.4,174764.7,137871.0,698760.7,906999.3,197964.0,83414.6,272541.6,240193.4,1451548.0
RobertWalraven-ESG,,,,,,,,,,,,371.8,425.2,2045.8,207.3,150.7,418.3,144.8,133.2,115.4,141.8,156.2,160.9,162.8,128.0,168.3,131.1,253.4,335.8,180.9,276.5,321.8,578.4,490.4,386.9,258.3,543.8,514.2,273.9,241.9,190.6,143.7,132.6,206.2,,,,,,,,,,,,1267357.6,1587131.6,22150918.7,232767.1,97815.5,863671.1,77856.8,62748.7,41199.6,75065.7,83251.3,92374.0,83013.2,31692.9,53420.1,41808.4,137409.9,250410.2,67485.9,216694.7,334699.6,885143.8,633056.0,364630.7,176002.8,935619.6,822194.2,188361.6,178914.2,113649.2,57752.1,53330.9,173164.0
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,68.4,,114.6,136.9,186.0,187.8,190.0,202.1,280.2,229.8,257.6,269.0,296.4,,307.2,281.8,258.1,299.1,295.6,301.5,,,,,,,,,,,,,,,,,,,,,,,,,9877.2,,39111.0,52039.3,110868.1,102481.7,116441.1,113619.0,258383.9,157155.4,154334.9,297396.2,674673.0,,372428.6,192015.0,165128.5,243302.7,297790.9,229191.9
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,96.4,105.6,149.5,142.8,227.3,153.5,271.1,190.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13411.6,24597.9,33452.4,66055.7,70643.5,145871.6,99438.6,210340.0,110075.4,,,,,,,,,,
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,123.0,118.0,119.3,138.3,147.6,159.9,165.2,189.8,115.3,139.8,156.3,193.6,191.0,271.0,370.0,417.4,182.2,219.4,192.9,355.1,381.3,276.9,251.6,281.3,227.1,717.8,31438.1,,,,,,,,,,,,,,,,,,39332.1,36315.8,49958.0,70144.1,86000.8,83991.9,80436.2,113653.4,44898.0,59287.3,73668.7,116056.6,105308.2,196101.6,485676.2,399508.3,115769.2,154557.9,121440.2,379858.5,563505.6,244242.8,157168.8,367237.2,121468.6,8564745.9,49660032701.1
DDS-NBDS,,,,,,,,,,,,,,,330.2,222.0,436.6,110.0,98.4,59.1,73.2,76.7,66.3,86.3,109.9,130.9,113.0,138.8,218.2,208.1,308.5,273.6,497.8,270.2,569.7,272.3,422.3,441.6,424.6,388.9,1113.7,308.3,484.4,,,,,,,,,,,,,,,,889482.4,384690.9,1760103.3,34677.6,46451.7,14517.8,15357.3,20818.4,11149.7,25920.1,36753.9,54192.8,33979.6,53930.4,133089.2,131247.0,258730.7,248718.2,618604.9,309318.6,902336.6,266938.9,562876.5,671961.4,502102.3,362206.2,8813658.6,606200.2,754978.9,
PSI-DRAFT,,,,,247.1,174.9,115.5,284.4,136.3,157.9,176.5,231.3,276.1,139.7,252.4,421.7,163.9,220.6,113.5,104.1,119.7,98.4,81.1,93.4,115.2,130.9,176.5,189.7,212.1,267.7,350.1,415.4,511.9,421.2,533.5,397.2,411.5,424.8,484.5,366.0,406.3,475.2,373.5,310.9,,,,,325604.3,159852.8,76416.6,773240.0,166543.9,157417.3,206800.1,292083.6,447379.9,60170.1,370890.1,1946251.6,81296.4,223404.3,71485.4,30315.6,49960.1,30710.8,17863.6,20595.8,28736.6,37371.4,68587.3,99536.1,121721.7,204826.5,311812.0,476257.1,730651.6,627299.2,1277921.7,586010.4,487535.2,668865.9,877147.7,475550.9,1135536.1,1716126.4,402728.6,317719.4
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,176.9,186.8,165.9,130.1,128.9,89.3,73.6,103.6,117.9,166.7,143.3,209.2,332.2,287.4,233.3,227.2,416.4,587.3,506.9,612.5,,308.7,882.0,778.0,958.6,,,,,,,,,,,,,,,,,,,,135122.9,159003.9,100003.1,65705.7,66329.8,19230.6,15304.1,32844.3,53097.3,66928.4,64113.9,118599.7,371785.3,219045.9,184148.0,122599.1,671091.7,753967.7,1130890.3,1736107.6,,291941.4,2507788.5,2368477.5,4544183.4
NotreDame-mobility,,,,,,,,,,219.3,255.4,178.2,174.5,177.9,214.7,271.7,192.8,101.3,81.5,78.5,95.6,125.5,104.1,96.4,90.0,129.2,152.1,166.2,226.1,279.2,304.0,393.3,469.7,465.0,579.8,,,,,,,,,,,,,,,,,,,932789.0,936666.0,176197.8,188781.8,162698.5,198622.4,310412.1,191499.1,49650.7,17001.3,16705.9,26252.1,46318.1,44316.9,23846.4,18003.2,37006.3,52636.8,76310.7,138674.0,213890.1,206688.5,356912.0,633481.3,651154.9,1239770.8,,,,,,,,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,104.7,95.5,146.8,141.6,109.4,88.6,124.0,152.5,159.0,153.9,331.8,280.3,362.9,623.8,246.4,383.0,290.6,528.1,,329.7,290.2,,269.0,318.4,,,,,,,,,,,,,,,,,,,,,41953.0,25581.0,126237.5,202720.8,50274.3,19838.4,45449.1,101252.6,76968.0,62882.6,343223.4,190424.4,319916.6,844881.7,159576.9,680230.9,217456.0,898704.6,,275107.5,304947.5,,213144.9,665797.1
USACE-ERDC_SEIR,,,,,194.8,157.9,212.0,178.5,96.3,134.1,200.0,123.2,132.1,317.3,225.6,219.0,195.0,166.9,153.7,153.7,156.8,162.5,171.1,182.5,,198.1,,269.2,,,661.5,912.4,1007.8,,,,,,,,,,,,,,,,146703.4,104843.7,205658.1,134149.4,35111.9,60577.8,185534.0,67581.5,96176.3,681461.4,176527.1,130964.8,93465.8,80337.3,67347.7,66633.0,79462.1,79299.9,84467.4,97388.2,,125791.4,,239256.0,,,1589748.7,2810055.9,3576733.8,,,,,,,,,,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,239.2,,,73.0,138.4,180.2,194.0,112.9,88.7,105.9,131.7,143.3,208.5,221.8,291.9,309.9,,,,320.4,430.2,374.7,461.9,445.0,357.3,340.7,254.1,341.5,,,,,,,,,,,,,,,,,749581.2,,,12896.3,120673.2,210067.0,218821.3,41702.3,23563.0,29079.8,42841.0,46812.3,114785.0,144013.3,240826.9,276415.9,,,,334764.5,712842.0,417120.0,594053.0,779531.7,429094.4,433512.4,194689.8,717564.0
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4,244.4,266.3,232.7,336.8,257.1,321.9,282.5,228.4,358.5,356.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115081.2,136011.2,157566.0,308942.6,565735.5,315278.3,246708.4,211008.9,188174.2,355821.2,455660.0
Auquan-SEIR,,,,,323.3,352.4,370.4,680.0,766.0,99.1,130.7,198.8,,,,159.8,129.4,159.6,176.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491553.2,619744.5,658619.4,1361969.2,1695994.6,41753.8,86054.8,244171.7,,,,123226.5,74354.1,100215.6,102578.1,,,,,,,,,,,,,,,,,,,,,,,,,
SWC-TerminusCM,,,,,,,132.0,173.3,230.6,,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64300.1,99129.0,881917.0,,100747.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,182.0,231.8,288.8,310.9,271.5,320.2,294.8,233.4,299.0,403.8,434.3,692.6,359.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84563.4,92424.6,178385.0,263622.1,274827.3,263995.2,338630.8,264721.8,131372.6,221013.4,435184.4,447368.7,859446.2,737839.7,,,
CovidActNow-SEIR_CAN,,,,,,,153.3,195.2,147.1,175.7,,409.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63514.9,117728.4,100248.4,210861.9,,935746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.3,460.1,305.0,331.9,443.9,415.3,394.0,383.2,378.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348531.2,1185625.0,245109.5,320767.0,1252841.0,683100.0,660647.3,475577.2,440033.4
MITCovAlliance-SIR,,,,,,,,,,,238.7,385.2,471.1,375.0,379.6,288.4,,385.6,,,103.3,135.9,161.1,83.1,,,141.9,,,,,,,,,,,588.5,588.0,,,,,,,,,,,,,,,,244973.8,890252.2,1158147.8,1005699.4,1025208.3,658202.8,,942488.9,,,52349.0,96159.8,122706.6,18108.0,,,47395.7,,,,,,,,,,,1749202.9,1892040.5,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2,182.5,1571.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45856.2,119287.3,33258352.9
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,155.3,155.0,153.1,156.5,178.3,195.0,204.1,260.2,316.6,405.0,541.1,645.3,804.4,790.8,778.3,847.8,,953.2,899.1,803.1,692.6,492.0,406.2,356.1,,,,,,,,,,,,,,,,,,,,,66618.1,65777.7,64972.9,67392.4,80691.6,90188.4,92126.0,144292.6,242346.9,359939.6,613592.3,869691.3,1337784.6,1363861.0,1463368.3,1887636.5,,2956893.9,2871561.7,2369861.5,1766873.0,931827.6,628877.8,482268.0
TTU-squider,,,,,,,,,,,,,,,,,,2890.3,431.5,,,531.2,,605.8,312.2,398.2,435.4,259.6,455.4,520.4,507.3,486.5,486.9,447.1,469.8,447.4,502.3,458.6,533.0,519.4,638.6,608.6,688.3,648.6,,,,,,,,,,,,,,,,,,24694675.6,575713.3,,,1757157.6,,2391322.6,381180.1,607203.8,693756.3,248022.5,731055.7,1052671.6,767956.3,752340.9,909558.0,1037961.8,592847.4,598481.5,687681.6,525167.5,694130.1,666883.5,991544.9,882847.6,1143885.6,992456.1
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.1,347.1,460.0,,353.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249499.8,304652.4,533945.0,,494585.0,,,,,,
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8,199.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117465.3,140651.6,,,,,,,,,,,,,,
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.8,357.9,492.7,395.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655106.8,604458.9,1497618.6,796511.2
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,215.1,279.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111686.0,166110.6,268664.9,,,,,,,,,,,,,,
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.7,,325.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403475.6,,424920.4
