,perc_error_2020-04-20_2020-05-16,perc_error_2020-04-27_2020-05-23,perc_error_2020-05-04_2020-05-30,perc_error_2020-05-11_2020-06-06,perc_error_2020-05-18_2020-06-13,perc_error_2020-05-25_2020-06-20,perc_error_2020-06-01_2020-06-27,perc_error_2020-06-08_2020-07-04,perc_error_2020-06-15_2020-07-11,perc_error_2020-06-22_2020-07-18,perc_error_2020-06-29_2020-07-25,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.386,0.238,0.347,0.265,,0.076,-0.033,-0.085,-0.166,-0.211,-0.241,-0.162,-0.264,-0.029,0.053,0.017,-0.151,-0.050,0.152,0.259,0.310,0.506,0.441
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,-0.364,0.336,-0.288,-0.207,-0.135,-0.101,-0.168,-0.172,-0.104,-0.265,-0.275,0.057,-0.104,-0.216,-0.114,-0.167,-0.106,-0.395,-0.416,-0.322,,-0.110,0.048,0.013
CEID-Walk,,,,,,,,,,,,,,,,,0.082,0.184,0.214,0.190,0.129,-0.010,0.110,0.005,-0.147,-0.179,-0.271,-0.307,-0.389,-0.438,-0.447,-0.360,-0.393,-0.162,,,-0.265,-0.183,0.002,0.092,0.139,0.351,0.620
UMich-RidgeTfReg,,,,,,,,,,,,-0.660,-0.513,-0.541,-0.344,-0.283,-0.241,-0.404,0.327,0.369,0.410,0.469,0.509,0.197,0.051,-0.047,-0.159,-0.237,-0.331,-0.420,-0.453,-0.361,-0.374,-0.193,0.115,0.128,-0.284,-0.126,0.076,0.130,0.257,0.268,0.254
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.414,-0.318,-0.188,0.005,-0.163,-0.189,-0.194,-0.203,-0.235,-0.275,0.284,0.132,0.043,-0.175,-0.282,-0.429,-0.519,-0.578,-0.541,0.107,0.314,0.557,-0.238,-0.179,0.033,0.077,0.226,0.460,1.075
NotreDame-mobility,,,,,,,,,,-0.749,-0.041,-0.595,-0.444,-0.355,-0.335,-0.378,0.020,0.169,0.069,-0.178,0.012,-0.083,-0.195,-0.232,-0.287,-0.378,-0.441,-0.442,-0.431,-0.505,-0.366,-0.442,-0.439,-0.378,-0.508,,,,,,,,
USACE-ERDC_SEIR,,,,,-0.306,-0.284,-0.478,-0.439,-0.127,-0.210,-0.263,-0.062,-0.024,0.884,0.302,0.357,0.366,0.372,0.249,0.232,0.266,0.217,0.341,0.333,,0.350,,0.417,,,0.875,0.925,0.886,,,,,,,,,,
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,-0.062,-0.270,-0.163,-0.160,-0.205,-0.304,-0.272,-0.382,-0.390,-0.422,-0.443,-0.221,-0.075,-0.080,-0.008,0.015,-0.218,-0.267,-0.098,0.191,0.297,0.317,0.420
DDS-NBDS,,,,,,,,,,,,,,,1.262,0.573,1.833,0.216,0.301,0.041,0.021,0.019,0.025,-0.236,-0.377,-0.027,-0.269,-0.362,-0.458,-0.318,-0.487,-0.363,-0.506,-0.233,0.473,-0.103,-0.066,-0.319,0.300,0.215,1.420,0.278,0.661
RobertWalraven-ESG,,,,,,,,,,,,-0.983,-0.981,-0.170,-0.384,-0.288,1.149,-0.478,-0.504,-0.310,-0.474,-0.537,-0.501,,-0.487,-0.592,-0.339,-0.383,-0.309,-0.331,-0.378,-0.017,-0.696,0.544,0.019,0.083,-0.289,-0.283,0.286,0.054,0.101,0.101,0.201
